nr,url,heimilisfang,tegund,nidurstada,spurning
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018374,Ármúli 28,Br. inni og úti,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að saga op í plötu milli 1. og 2. hæðar, stækka glugga á  götuhlið þannig að gluggaflötur verði frá 1. og að 3. hæð og breyta innra skipulagi á öllum þremur hæðum hússins á lóðinni nr. 28 við Ármúla. Gjald kr. 2.500 Umsögn Borgarskipulags dags. 15. febrúar 1999 fylgir erindinu."
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018442,Ármúli 30,br. innanhúss og útlitsbr.,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að breyta innra skipulagi á hluta 1. hæðar og útliti norðurglugga að eignarhluta Europay á lóðinni nr. 30 við Ármúla. Gjald kr. 2.500 Umsögn Borgarskipulags dags. 15. febrúar 1999 fylgir erindinu.
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018421,Bakkastaðir 75,Breytingar  á milliveggjum,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að breyta léttum milliveggjum í steypta, þ.m.t. bílgeymslu í húsinu á lóðinni nr. 75 við Bakkastaði. Gjald kr. 2500"
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018370,Bankastræti 5 ,Byggja brunavarnarstiga við norður-hlið húss Íslandsbanka,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi fyrir brunastiga við norðurhlið hússins á lóðinni nr. 5 við Bankastræti og að fá samþykkta eldvarnaruppdrætti. Gjald kr. 2.500 Greinagerð vegna eldvarnauppdrátta fylgir erindinu.
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018455,Barmahlíð 23,Áður gerð íbúð í kjallara,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir áður gerðri íbúð í kjallara hússins á lóðinni nr. 23 við Barmahlíð. Gjald kr. 2.500 Ljósrit úr manntali frá 16. október 1952, samþykki meðeiganda dags. 15. febrúar 1999, íbúðaskoðun byggingarfulltrúa dags. 25. janúar 1999 og bréf hönnuðar dags. 16. febrúar 1999 og 3. mars 1999 fylgir erindinu."
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018423,Barónsstígur 3,Áður gert þvottahús,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi fyrir áður gerðri innréttingu þvottahúss sem hefur verið í rekstri síðastliðin 10 ár og breikkun hurðar á suðurhlið í húsinu á lóðinni nr. 3 við Barónsstíg. Gjald kr.2.500
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018433,Bergstaðastræti 53,"áður gerð íbúð, reyndart. v. eignask.",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir áður gerðum kjallara og skiptingu íbúðar 1. hæðar í tvær íbúðir á lóðinni nr. 53 við Bergstaðastræti. Gjald kr. 2.500 Ljósrit af afsölum dags 17. apríl og 30. október 1947, hússkoðun Heilbrigðiseftirlits dags. 3. nóvember 1997, íbúðaskoðun byggingafulltrúa dags. 3. nóvember 1997 og samþykki meðeiganda dags. 20. desember 1998 fylgir erindinu."
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018299,Borgartún 21,Breytingar á atv.húsn. (Bn 17998),Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að breyta skrifstofu- og verslunarhúsnæði sem samþykkt var 5. janúar 1999 á lóðinni nr. 21 við Borgartún. Breytingarnar felast einkum í stækkun tengibyggingar og skriðkjallara undir hluta húss. Jafnframt er sótt um leyfi til að leiðrétta stærðir frá fyrri skráningu. Stærðir: Kjallari 767 ferm., 1. hæð 1931,1 ferm., 2. hæð 1972,6 ferm., 3. hæð 1751,4 ferm., 4. hæð 997,5 ferm., samtals 7574 ferm. og 28733,9 rúmm.  Gjald kr. 2.500 + 41.223 Umsagnir Borgarskipulags dags. 2. og 22. febrúar 1999 og útskrift úr gerðabók skipulags- og umferðarnefndar frá 22. febrúar 1999 fylgir erindinu."
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018329,Borgartún 24 ,klæðning stenex,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til þess að klæða með sléttu Steni bakhús á lóðinni nr. 24 við Borgartún. Gjald kr 2.500  Ástandsskýrsla dags. 28. janúar 1999 fylgir erindinu.
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN017451,Bólstaðarhlíð 12 ,Reyndarteikn. ,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um samþykki fyrir núverandi fyrirkomulagi í húsinu vegna gerðar eignaskiptayfirlýsingar á lóðinni nr. 12 við Bólstaðarhlíð. Gjald kr 2.500 Erindið var kynnt fyrir meðeigendum, engar athugsemdir hafa borist. Mótmæli bárust með bréfi dags. 17. september 1998 móttekið 25. september 1998. Jafnframt lagt fram bréf hönnuðar dags. 5. október  1998. Erindinu var frestað og  vísað til byggingarfulltrúa á fundi borgarráðs þann 29. september 1998."
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018420,Brautarholt 2,breyting inni,Frestað. Á milli funda.,Sótt er leyfi fyrir áður gerðum breytingum á 3. og 4. hæð og skráningu hússins á lóðinni nr. 2 við Brautarholt. Gjald kr. 2.500
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018417,Breiðavík 87 ,Breytingar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að breyta gluggum í eldhúsi og stofu í húsinu á lóðinni nr. 87 við Breiðuvík. Gjald kr. 2.500
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018450,Brekkuhús 1 ,Breyting úti,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um samþykki fyrir handriði á útipall á suðurhlið  1. hæðar á lóðinni nr. 1 við Brekkuhús. Gjald kr. 2.500
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018351,Brekkustígur 12 ,Baðh. kjallaraíbúðar o.fl.,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Athygli umsækjanda er vakin á því að brunavarnir í húsinu uppfylla ekki ákvæði núverandi byggingarreglugerðar.,Sótt er um samþykki fyrir áður gerðum breytingum í kjallara vegna gerðar eignaskiptayfirlýsingar á lóðinni nr. 12 við Brekkustíg. Gjald kr. 2.500
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018134,Bræðraborgarst 41 ,Br. bílskýli í bílskúr og lokun á gangi í kj.,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til að breyta bílskýli í lokaða bílgeymslu og að gera breytingar á innra fyrirkomulagi í matshluta 02 (kjallara) hússins á lóðinni nr. 39-41 við Bræðraborgarstíg. Ný bílgeymsla: 27,6 ferm., 68,2 rúmm. Gjald kr. 2.500 + 1.705 Samþykki f.h. eigenda mhl 01 dags. 18. febrúar 1999 fylgir erindinu."
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018427,Efstaland 2-24,Klæðning á  Efstalandi 8-10-12 gaflar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um að klæða með formicaplötum  gafla á fjölbýlishúsinu á lóðinni nr. 8 - 12 við Efstaland. Gjald kr. 2.500  Samþykki meðeigenda og ástandsskýrsla dags. 16. febrúar 1999 fylgir erindinu.
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018408,Efstaland 26 ,Niðurbrot á veggjum,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Umsækjandi skal leggja fram umsókn vegna fyrirhugaðs fyrirkomulags á hæðinni.,Sótt er um leyfi til að brjóta niður burðarveggi í austurhluta  verslunarhúsnæðis á 1. hæð.í húsinu á lóðinni nr. 26 við Efstaland Gjald kr. 2500 Greinagerð hönnuðar dags. 9. febrúar 1999 fylgir erindinu.
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018457,Efstaleiti 1,"Br. á i.frkl., útliti og skipul. lóðar",Frestað. Vísað til athugasemda á umsóknarblaði.  Málinu vísað til umsagnar Borgarskipulags vegna bílastæða með Bústaðavegi.,Sótt er um leyfi til að breyta innra fyrirkomulagi og útliti Útvarpshússins á lóðinni nr. 1 við Efstaleiti. Jafnfram er sótt um breytt skipulag lóðarinnar. Stækkun: xx ferm. Gjald kr. 2.500 Erindinu fylgir greinargerð hönnuða dags. 17. febrúar 1999.
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018456,Engjavegur 6,Stakstætt  leiðbeiningaskiltikilti ,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að koma fyrir stakstæðu upplýstu leiðbeiningaskilti á lóðinni nr. 6 við Engjaveg. Skiltið er 2,4 ferm., 220 cm hátt. Gjald kr. 2.500"
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018436,Eskihlíð 13,Sjálfstæð íbúð á þakhæð.,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar gatnamálastjóra vegna bílastæðis.,"Sótt er um leyfi til þess að skipta íbúð annarar og þakhæðar í tvær íbúðir, fyrir skúr við bílskúr og fyrir einu nýju bílastæði á lóðinni nr. 13 við Eskihlíð. Stærð: Skúr 6,2 ferm., 15,4 rúmm. Gjald kr. 2.500 + 385 Bréf húsasmíðameistara dags. 20. janúar 1999 fylgir erindinu."
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018418,Faxafen 8-14,Leiðrétt merking á hurðum,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til leiðréttingar á bruna táknum hurða inn á skrifstofur í húsinu á lóðinni nr. 19 við Skeifuna Gjald kr. 2.500
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018378,Fellsmúli 2 - 12,skjólveggir,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til þess að byggja skjólveggi á endasvalir á suðurhlið hússins á lóðinni nr. 2-12 við Fellsmúla. Gjald kr. 2.500 Bréf til staðfestingar á kynningu fyrir íbúum hússins dags. 21. janúar 1999 fylgir erindinu.
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018363,Flugvöllur Loftleiðir ,Núverandi frkl. v/ eignask.,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til að breyta skráningu hótel- og skrifstofuhúsnæðis á Reykjavíkurflugvelli í samræmi við breytt eignarhald og reyndarteikningar. Jafnframt er sótt um leyfi til að skipta lóð í sér- og samnotahluta. Gjald kr. 2.500 Erindinu fylgir greinargerð hönnuðar dags. 16. febrúar 1999.
,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN018290,Flúðasel 74,Íbúð í kjallara,Frestað. Vantar samþykki meðlóðarhafa vegna bílastæða.,"Sótt er um samþykki fyrir áður gerðri íbúð í kjallara hússins nr. 74 á lóðinni nr. 60-76 við Flúðasel. Gjald kr. 2.500 Íbúðaskoðun byggingarfulltrúa dags.27. nóvember 1998, hússkoðun heilbrigðiseftirlits dags. 27. nóvember 1998, ljósrit af veðleyfi 27. júní 1978 og samþykki meðeiganda (á teikningu) fylgir erindinu."
