nr,url,heimilisfang,tegund,nidurstada,spurning
28575 (01.63.000.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN028575,Aragata 10,skipta í tvær íbúðir,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til þess að breyta innra fyrirkomulagi og skrá sem tvær íbúðir húsið á lóðinni nr. 10 við Aragötu. Húsið er nú skráð sem ein eign en á samþykktum teikningum eru sýnd þrjú eldhús í húsinu. Bréf umsækjenda dags. 11. nóvember 2003, sameignarsamningur dags. 17. maí 1961 og yfirlýsing dags. 1. febrúar 2000 fylgja erindinu. Gjald kr. 5.100"
28950 (01.83.420.3 03),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN028950,Ásgarður 22-24,íbúð í rými 0103,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi fyrir áður gerðri íbúð í rými 0103 í húsi nr. 22-24 (mahl. 03) á lóðinni nr. 18-24A við Ásgarð. Í húsnæðinu var atvinnustarfsemi. Jafnframt lagt fram bréf umsækjanda ódags. fylgir erindinu. Gjald kr. 5.400
28856 (01.18.621.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN028856,Baldursgata 28,breyting 1.hæð o.fl,Frestað. Vantar samþykki lóðarhafa nr. 26 við Baldursgötu vegna skúrbyggingar.,"Sótt er um leyfi til þess að breyta tveimur íbúðum á fyrstu hæð í eina íbúð, breyta lítillega innra fyrirkomulagi á annarri hæð húss og endurbyggja geymsluskúr (sbr. eldri samþykkt) sem þegar hefur verið fjarlægður á lóðinni nr. 28 við Baldursgötu. Umboð eigenda dags. 11. febrúar 2004 fylgir erindinu. Jafnframt lögð fram útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 27. febrúar 2004. Stærð: Stækkun geymsluskúr 25,8 ferm. og 88,8 rúmm. Gjald kr. 5.400 + 4.795"
28955 (00.00.000.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN028955,Barónsstígur 2-4,loftræsiskápar fyrir gaskúta,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til að koma fyrir læstum og loftræstum skáp fyrir gaskúta á suðurvegg hótelbyggingar nr. 2 á lóðinni nr. 2-4 við Barónsstíg. Gjald kr. 5.400
28742 (01.23.200.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN028742,Borgartún 32,breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að breyta innra fyrirkomulagi í kjallara og á rishæð (6.hæð) hótelbyggingar á lóðinni nr. 32 við Borgartún. Bar er komið fyrir í fundaherbergi á rishæð og í kjallara er hringstiga breytt, lyfta fjarlægð og komið fyrir starfsmannaaðstöðu. Gjald kr. 5.400"
28734 (01.70.420.9),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN028734,Drápuhlíð 20,áður gerð íbúð kj,Frestað. Enn þarf að lagfæra skráningu.,"Sótt er um leyfi fyrir áður gerðri íbúð í kjallara fjölbýlishússins nr. 20 við Drápuhlíð.  Erindinu fylgir virðingargjörð dagss. 28. jan. 1947 og 1. apríl 1951, skoðunarskýrsla byggingarfulltrúa dags. 26. jan. 2004, samþykki meðlóðarhafa áritað á teikningu. Gjald kr. 5.400"
27856 (01.35.710.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN027856,Efstasund 35,fjölbýlish. m. 3 íb.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að rífa núverandi einbýlishús og byggja tvílyft steinsteypt fjölbýlishús með þrem íbúðum og geymsluskúr úr steinsteypu fyrir hjól og vagna á lóð nr. 35 við Efstasund. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 5. september 2003 og umsögn skipulagsfulltrúa dags. 3. september 2003 fylgja erindinu. Stærð: Niðurrif íbúðarhús fastanr. 201-8320 samþykkt 65,1 ferm. Fjölbýlishús 1. hæð 142,4 ferm. 2. hæð 116,9 ferm., samtals 259,3 ferm., 758,9 rúmm., hjólageymsla 7,8 ferm., 17,6 rúmm. Gjald kr. 5.100 + 40.981"
28745 (01.67.211.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN028745,Einarsnes 56A,flutninghús (Laugavegur 86A),Frestað. Leiðrétta skráningu.,"Sótt er um leyf til að byggja einbýlishús og bílskúr á lóðinni nr. 56A við Einarsnes. Neðri hæð hússins verði byggð á staðnum, að mestu úr timbri, en efri hæðin verði aðflutt timburhús(áður Laugavegur 86b), endurnýjuð eftir þörfum og allt klætt að utan með bárujárni. Jafnframt verði byggður bílskúr úr timbri og klæddur bárujárni. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 13. febrúar 2004 og umsögn skipulagsfulltrúa dags. 13. febrúar 2004 fylgja erindinu. Stærðir: xx Gjald kr. 5.400 + xx"
28832 (01.46.610.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN028832,Faxafen 10,reyndarteikningar,Frestað. Lagfæra skráningu.,Sótt er um samþykki fyrir núverandi innra skipulagi 2. hæðar ásamt milliloftum og leyfi fyrir endurbótum á eldvörnum vegna 2. hæðar atvinnuhússins á lóð nr. 10 við Faxafen. Bréf hönnuðar dags. 11. febrúar 2004 og greinagerð Línuhönnunar um brunavarnir dags. 10. febrúar 2004 fylgja erindinu. Gjald kr. 5.400
28936 (01.11.500.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN028936,Fiskislóð 12,breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að hafa færanlegan stiga að millilofti (rými 0102) í húsinu á lóðinni nr. 12 við Fiskislóð. Gjald kr. 5.400
