nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
18097 (01.01.136.217 01),BN018097,Bárugata 6,"Áður gerð íb. í kj., reyndart.",Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um samþykki fyrir áður gerðum breytingum á öllum hæðum og áður gerðri íbúð í kjallara hússins á lóðinni nr. 6 við Bárugötu.  Gjald kr. 2.500  Virðingargjörð dags. 20. október 1947 og íbúðarskoðun byggingarfulltrúa dags. 3. og 31. desember 1998 fylgir erindinu.
17998 (01.01.218.001),BN017998,Borgartún 21,Versl.- og skrifst.hús á 5. h + niðurrif,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að byggja verslunar- og skrifstofuhús á fimm hæðum, með kjallara undir hluta húss, á lóðinni nr. 21 við Borgartún. Húsið verður steinsteypt og einangrað og klætt að utan með steinflísum, ljósri málmklæðningu og gleri.  Jafnframt er sótt um leyfi til að byggja bílskýli á 2 hæðum meðfram norður mörkum lóðar og rífa matshluta 01 á lóðinni.  Stærðir: Kjallari, bílgeymsla 629,8 ferm., sorpgeymsla 52,8 ferm, geymslur ofl. 418,7  ferm., 1. hæð 1915 ferm., 2. hæð 2012,8 ferm., 3. hæð 1738,1 ferm., 4. hæð 979,4 ferm., 5. hæð 130,6 ferm., samtals 27.384,2 rúmm.  Bílskýli 1831,2 ferm. og  5127,3 rúmm.  Niðurrif: 1527,7 ferm., 6140 rúmm.  Gjald kr. 2.500 + 819.817  Bréf varðandi niðurrif dags. 1. desember 1998 fylgir erindinu."
18061 (01.02.425.301),BN018061,Brúnastaðir 21-25,Br. innra fyrirk. og arinn á nr. 25,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um leyfi til þess að breyta innra fyrirkomulagi, setja upp arinn og stækka íbúð á kostnað bílskúrs í húsi nr. 25 á lóðinni nr. 21-25  við Brúnastaði.  Stærðir: Leiðrétting vegna breytinga, íbúð var 153,5 ferm., verður 161,5 ferm., bílskúr var 34,3 ferm., verður 26,3 ferm.  Gjald kr. 2.500  Samþykki meðeigenda dags. 14. desember 1998 fylgir erindinu."
18130 (01.02.841.201 01),BN018130,Dalhús 2,Breyting á hurðum v.eldvarna,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilið samþykki heilbrigðiseftirlits. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að breyta fyrirkomulagi á hurðum í sundlaugarhúsinu á lóðinni nr. 2 við Dalhús.  Gjald kr. 2.500
18145 (01.04.061.002),BN018145,Funahöfði 19,Fjölga bílastæðum,"Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Greiða skal fyrir 0,3 bílastæði í flokki l kr. 0,3 x 263.288,14 = 78.986 eftir framangreinda fjölgun í stað 3,3 bílastæða áður sbr. samþykkt byggingarnefndar frá 26. nóvember 1998.",Sótt er um leyfi til þess að fjölga bílastæðum um 3 bílastæði á lóðinni nr. 19 við Funahöfða.  Gjald kr. 2.500
18034 (01.01.191.012 01),BN018034,Grettisgata 86,Br á innra frkl og starfsemi,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til þess að sameina tvær verslanir á 1. hæð og fá samþykki fyrir matvælavinnslu, skyndibitastað og áður gerðu skyggni á lóðinni nr. 86 við Grettisgötu.  Gjald kr. 2.500  Umsögn Borgarskipulags dags. 16. desember 1998, skilyrt samþykki nokkurra íbúðareigenda ódags. fylgir erindinu."
18116 (01.01.255.204 01),BN018116,Hjálmholt 8,Br. skráning v eignaskiptasa,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til breytinga í kjallara og breyttri skráningu hússins á lóðinni  nr. 8 við Hjálmholt, vegna eignaskiptayfirlýsingar.  Gjald kr. 2.500"
18162 (01.01.151.411),BN018162,Hverfisgata 15,Garðveggir,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til gatnamálastjóra og umferðadeildar borgarverkfræðings til umsagnar vegna inn- og útkeyrslu.,"Sótt er um leyfi til þess að breyta garðvegg og endurbyggja ásamt endurbótum á lóð Safnahússins á lóðinni nr. 15 við Hverfisgötu.  Gjald kr. 2.500  Umsögn Árbæjarsafns dags. 30. desember 1998, Húsfriðunarnefndar dags. 29. desember 1998 og umsögn umferðadeildar og gatnamálastjóra dags. 7. janúar 1999 fylgja erindinu."
18058 (01.01.150.307 01),BN018058,Ingólfsstræti 1,Br á innra frkl,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til að breyta innra fyrirkomulagi á 1., 2. og 3. hæð hússins á lóðinni nr. 1 við Ingólfsstræti.  Gjald kr. 2.500"
18120 (01.01.832.008 01),BN018120,Langagerði 16,Einangrun og klæðning að utan,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til að rífa stálklæðningu og einangra og klæða húsið og bílgeymsluna á lóðinni nr. 16 við Langagerði að utan með steindum hvítum plötum.  Gjald kr. 2.500
