nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
19543 (01.11.405.01   ),BN019543,Austurstræti 16,Veitingastaður,Samþykkt. Með skilyrði um að koma skal fyrir á áberandi stað skilti sem vekur athygli gesta á lofthæð salerna í kjallara. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,"Sótt er um leyfi til þess að innrétta kaffibar og veitingastað á 1. hæð, snyrtingar í kjallara og starfsmannaaðstöðu á 5. hæð hússins á lóðinni nr. 16 við Austurstræti.  Gjald kr. 2.500  Bréf eiganda dags. 4. ágúst 1999, bréf rekstraraðila dags. 4. ágúst 1999 og 6. október 1999 ásamt umsögn Húsfriðunarnefndar dags. 25. maí 1999 fylgja  erindinu."
19760 (01.11.404.03),BN019760,Austurstræti 6,Nýr veitingastaður,Var samþykkt 15. október 1999. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi fyrir veitingastað á 1. hæð og í kjallara hússins á lóðinni nr. 6 við Austurstræti.  Gjald kr. 2.500  Staðfesting Sjóvá-Almenna vegna tryggingar hönnuðar dags. 17. september 1999, mótmæli dags. 7. október 1999 og bréf frá verkfræðistofu vegna loftræstingar dags. 8. október 1999  fylgja erindinu.  Mótmæli meðeigenda dags. 7. október 1999 og umsögn Borgarskipulags dags. 5. október 1999 fylgja erindinu."
19891 (01.14.320.02),BN019891,Álfheimar 13,Reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi fyrir áður gerðum minniháttar breytingum á innra fyrirkomulagi og skráningu húss og bílgeymslu á lóðinni nr. 13 við Álfheima.  Gjald kr. 2.500  Samþykki meðeigenda dags. 8. október 1999 fylgir erindinu.
19713 (01.14.302.08),BN019713,Álfheimar 2-6,"Íb. á 3. hæð, br. innra frkl. og skráning, hús nr. 6",Frestað. Vísað til fyrri athugasemda.,"Sótt er um leyfi fyrir áður gerðri breytingu á atvinnuhúsnæði á þriðju hæð í tvær íbúðir, niðurfellingu stiga milli fyrstu og annarrar hæðar og fleiri breytingum á innra fyrirkomulagi, ásamt breyttri skráningu matshluta 03 (Álfheimar 6) á lóðinni nr. 2-6 við Álfheima.  Gjald kr. 2.500  Erindinu fylgir samþykki sex húseigenda dags. 1. september 1999."
19978 (01.14.341.03),BN019978,Álfheimar 56-60,Reyndarteikningar v/eignaskipta,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi fyrir minniháttar áður gerðum breytingum á húsinu á lóðinni nr. 56-60 við Álfheima.  Gjald kr. 2.500
19818 (01.24.071.05),BN019818,Bakkastaðir 113-121,Breyting inni og úti,Samþykkt  20. október 1999 Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um leyfi til þess að hafa kjallara undir hluta húss nr. 121, setja kjallaraglugga á norðurhlið matshluta 06 og samþykki fyrir leiðréttingu stærða matshluta 01 og 03 á lóðinni nr. 113-121 við Bakkastaði.  Stærð: Hús nr. 121matshluti 06 kjallari 31,3 ferm., 84,2 rúmm., matshluti 01 leiðrétt 1. hæð stækkar um 5,2 rúmm., matshluti 03 leiðrétt 1. hæð stækkar um 12 rúmm.  Gjald kr. 2.500 + 2.535"
19900 (01.24.073.05),BN019900,Bakkastaðir 137,"Br. á glugga, sólpallur, heitur pottur, skjólveggir",Frestað. Vakin er athygli á því að þetta er í annað sinn sem erindið kemur til afgreiðslu án þess að tillit sé tekið til athugasemda.,"Sótt er um leyfi til að setja dyr milli þvottahúss og bílgeymslu, breyta stofuglugga og koma fyrir setlaug og skjólveggjum á lóðinni nr. 137 við Bakkastaði.  Gjald kr. 2.500"
19971 (01.24.211.05),BN019971,Bakkastaðir 49,"kjallari stækkaður, br á þaki ofl.",Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um leyfi til þess að breyta þakformi yfir fordyri, breyta gluggum og breyta útiklæðningu efri hluta hússins í flísar á lóðinni nr. 49 við Bakkastaði.  Stærð: Rúmmál minnkar um 14 rúmm.  Gjald kr. 2.500"
19946 (01.24.076.02),BN019946,Bakkastaðir 87-91,Hurðir á n-hlið færð til,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,Sótt er um leyfi til þess að færa til dyr á norðurhlið raðhúsanna á lóðinni nr. 87-91 við Bakkastaði.  Gjald kr. 2.500
19894 (01.11.845.03),BN019894,Baldursgata 27,áður gerð íbúð í bakhúsi,Samþykkt. Samræmist reglum um áður gerðar íbúðir.,Sótt er um leyfi fyrir áður gerðri íbúð í steinsteyptu bakhúsi á lóðinni nr. 27 við Baldursgötu.  Gjald kr. 2.500  Erindinu fylgir bréf Teiknistofu arkitekta dags. 4. október 1999 og annað dags. 6. s.m.
