nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
18052 (01.01.522.301),BN018052,Aflagrandi 40,Br á geymslum í kj.,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta tæknirými í kjallara húshluta 6 í geymslur.  Gjald kr. 2.500
17803 (01.01.247.105),BN017803,Auðarstræti 7,Reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um samþykki fyrir áður gerðum breytingum, aðalega á rishæð hússins á lóðinni nr. 7 við Auðarstræti.  Gjald kr. 2.500  Samþykki meðeiganda (á teikningu) og dags. 24. nóvember 1998 fylgja erindinu."
18065 (01.01.671.205),BN018065,Bauganes 6,Fjölgun bílastæða,Frestað. Málinu vísað til umsagnar gatnamálastjóra og umferðardeildar.,Sótt er um leyfi til þess að setja fjögur ný bílastæði að Skildingarnesi á lóðinni nr. 6 við Bauganes.  Gjald kr. 2.500  Samþykki meðeiganda dags. 8. september 1998 fylgir erindinu.
18097 (01.01.136.217),BN018097,Bárugata 6,"Áður gerð íb. í kj., reyndart.",Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir áður gerðum breytingum á öllum hæðum og áður gerðri íbúð í kjallara hússins á lóðinni nr. 6 við Bárugötu.  Gjald kr. 2.500
17173 (01.04.024.102),BN017173,Básbryggja 51,Br. á innra skip. og útliti,Frestað. Málinu vísað til umsagnar Borgarskipulags. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að breyta burðarveggjum til samræmis við sérteikningar, breyta innra skipulagi íbúða  breyta útliti svala, hækka þak hússins og byggja skúr fyrir hjólageymslu á lóðinni nr. 51  við Básbryggju.  Jafnframt eru stærðir leiðréttar.  Stærðir: Hjólageymsluskúr 9 ferm., 18,9 rúmm. Leiðréttar stærðir 1. hæð var 397,5 ferm., verður 398 ferm., 2.- 3. hæð voru 427 ferm., verða 431,6 ferm., 4. hæð var 166,6 ferm., verður 180,2 ferm., 5. hæð var 34,9 ferm., verður 34,7 ferm., verður samtals 1476,1 ferm., 4527,3 rúmm., eða 226,4 rúmm., stækkun  Gjald kr. 2.500 + 6.133  Bréf frá gatnamálastjóra, dags. 14. ágúst 1998,  bréf Björns Ólafs, varðandi lóðarblað ódags. og bréf hönnuðar dags 18. nóvember 1998 fylgja erindinu ásamt umsögn SKUM dags. 25. nóvember 1998."
18102 (01.04.059.303),BN018102,Bíldshöfði 6,"Fyrirk.l. á lóð, brunavarnir í kj.",Frestað. Vísað til athugasemda á umsóknarblaði. Skoða byggingu með hönnuði.,Sótt er um leyfi til að bæta brunavarnir í kjallara hússins og breyta fyrirkomulagi á lóðinni nr. 6 við Bíldshöfða.  Gjald kr. 2.500
18086 (01.04.056.401),BN018086,Bíldshöfði 7,Færa olíuafgreiðsludælu og geymi og koma fyrir mengunarvarnarbúnaði,Frestað. Vísað til athugasemda á umsóknarblaði. Ófullnægjandi gögn.,"Sótt er um leyfi til að færa olíugeymi, afgreiðsludælu og koma fyrir tilheyrandi mengunarvarnarbúnaði á lóðinni nr. 7 við Bíldshöfða.  Gjald kr. 2.500"
18075 (01.01.231.001),BN018075,Borgartún 30,Inntétta 5. hæð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til þess að innrétta skrifstofur á 5. hæð hússins á lóðinni nr. 30 við Borgartún.  Gjald kr. 2.500
18098 (01.01.231.001),BN018098,Borgartún 30,"br, v/ eignask, og fl,",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að breyta innréttingu og fjölga steyptum veggjum á 2. hæð,  setja hringstiga milli 2. og 3. hæðar, skipta 4. hæð í þrjár eignir, breyta uppskiptingu glugga á norðurhlið og fjölga svalahurðum á austurhlið hússins á lóðinni nr. 30 við Borgartún.  Gjald kr. 2.500"
18061 (01.02.425.301),BN018061,Brúnastaðir 21-25,Br. innra fyrirk. og arinn á nr. 25,Frestað. Vantar samþykki meðeigenda.,"Sótt er um leyfi til þess að breyta innra fyrirkomulagi, setja upp arinn og stækka íbúð á kostnað bílskúrs í húsi nr. 25 á lóðinni nr. 21-25  við Brúnastaði.  Stærðir: Leiðrétting vegna breytinga, íbúð var 153,5 ferm., verður 161,5 ferm., bílskúr var 34,3 ferm., verður 26,3 ferm.  Gjald kr. 2.500"
18088 (01.04.304.503),BN018088,Dragháls 6-12,"Hitaklefi, olíugeymir, br. frkl á lofti",Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta innra fyrirkomulagi og afmörkun notaeininga í matshluta 05 í húsinu nr. 6-8 á lóðinni nr. 6-12 við Dragháls. Jafnframt verði komið fyrir 1100 lítra olíutanki og loftstokkum framan við húsið.  Gjald kr. 2.500  Erindinu fylgir samþykki eiganda dags. 2. desember 1998.
17939 (01.01.713.008),BN017939,Drápuhlíð 40,Reyndart. vegna eignask.,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um samþykki á núverandi fyrirkomulagi  í húsinu á lóðinni nr. 40 við Drápuhlíð.  Gjald kr. 2.500  Samþykki nágranna ódags. fylgir erindinu.
17907 (01.04.948.601),BN017907,Engjasel 29-45,Klæðning 37-45 með garðastáli,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til að klæða raðhúsin nr. 37-45 á lóðinni nr. 29-45 við Engjasel með báruðu Garðastáli.  Gjald kr. 2.500  Samþykki meðeigenda móttekið 10. og 30. nóvember 1998 og ástandsskýrslur  dags 17. nóvember og 3. desember 1998 fylgja erindinu.
18082 (01.01.110.503),BN018082,Eyjarslóð 9,Skipta eign í 4 hluta,"Synjað. Samræmist ekki ákvæðum gr. 205.6 í byggingarreglugerð nr. 441/1998, auk fjölmargra athugasemda á umsóknarblaði.",Sótt er um leyfi til þess að skipta 1. hæð í fjórar eignir og 2. hæð í þrjá með tilheyrandi útlitsbreytingum þ.e. dyrum og vörudyrum á lóðinni nr. 9 við Eyjarslóð.  Gjald kr. 2.500
17704 (01.01.462.001),BN017704,Faxafen 8-14,Skeifan 19 eignaskipting,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til að breyta innra fyrirkomulagi og skráningu í húsinu nr. 19 við Skeifuna á lóðinni nr. 8-12 við Faxafen og 11-19 við Skeifuna.  Gjald kr. 2.500
17873 (01.01.553.011 03),BN017873,Fálkagata 20B,Breyting á gluggum og verklagi,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að endurbyggja húsið nr. 20B á lóðinni nr. 20 við Fákagötu úr steinsteyptum einingum í stað áður samþykktrar staðsteypu og breyta gluggum á suðurhlið.   Gjald kr. 2.500  Samþykki meðlóðarhafa dags. 11. nóvember 1998 og bréf Rb dags. 3. desember 1998 fylgir erindinu.
18031 (01.01.186.315),BN018031,"1"">Freyjugata 25",geymsluskúr,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um samþykki fyrir áður gerðri skiptingu á geymsluskúr á lóðinni nr. 25 við Freyjugötu.  Gjald kr. 2.500  Samþykki meðeiganda dags. 12. nóvember 1998 fylgir erindinu.
18043 (01.01.183.002),BN018043,Fríkirkjuvegur 1,"leiðréttar teikn, ásamt eldvarnarteikn,",Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi fyrir breytingum á innra fyrirkomulagi og fyrirkomulag brunavarna til samræmis við áður gerðar útfærslur í Miðbæjarskóla á lóðinni nr. 1 við Fríkirkjuveg.   Gjald kr. 2.500
