nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
17883 (01.01.383.008 01),BN017883,Austurbrún 39,Áður gerð íbúð í kjallara,Samþykkt. Samræmist reglum um áður gerðar íbúðir.,"Sótt er um samþykki fyrir áður gerðri íbúð í kjallara hússins á lóðinni nr. 39 við Austurbrún.  Gjald kr. 2.500  Samþykki meðeiganda rangt dags. 3. desember 1998, íbúðarskoðun byggingarfulltrúa dags 22. september 1998, íbúðarskoðun heilbrigðiseftirlits dags. 13. október 1998 og virðingargjörð dags. 30. mars 1960 fylgir erindinu."
16012 (01.01.702.014),BN016012,Barmahlíð 17,Áður gerð íb. í kjallara,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir áður gerðri íbúð í kjallara hússins á lóðinni nr. 17 við Barmahlíð.  Gjald kr. 2.500   Samþykki meðeiganda (á teikningu), íbúðarskoðun byggingarfulltrúa dags. 4. desember 1997 og hússkoðun heilbrigðiseftirlits dags. 5. desember 1997 fylgir erindinu."
17768 (01.01.196.309 01),BN017768,Bergstaðastræti 69,Reyndarteikning,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um samþykki fyrir breyttu fyrirkomulagi í kjallara hússins á lóðinni nr. 69 við Bergstaðastræti.  Gjald kr. 2.500
17931 (01.01.241.201),BN017931,Brautarholt 2,Reyndarteikningar v. eignaskipta,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er samþykkt á áður gerðum breytingum í húsinu á lóðinni nr. 2 við Brautarholt.  Gjald kr. 2.500
17793 (01.01.241.201 02),BN017793,Brautarholt 2,Innhússbreytingar og útlit,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að breyta innréttingu 2. hæðar og glugga  á norðvesturhlið matshluta 01 á lóðinni nr. 2 við Brautarholt.  Gjald kr. 2.500
17583 (01.01.818.309 01),BN017583,Bústaðavegur 69,"Forstofa, br. svalir, klæðning",Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi fyrir áður gerðri  forstofuviðbyggingu úr timbri við norðurhlið og leyfi til að breyta útfærslu á  svölum á suðurhlið hússins nr. 69 við Bústaðarveg.   Stækkun: 4.9 ferm., 12,3 rúmm.   Gjald kr. 2.500 + 307  Samþykki meðeigenda dags. 15. september 1998 fylgir erindinu, ásamt samþykki nágranna dags. 10. október 1998."
17836 (01.04.683.007),BN017836,Drafnarfell 2-18,"Drafnarf. 8-10, inngangar ofl",Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að bæta við inngöngum ofl.  við hús nr. 8-10 á lóðinni nr. 2-18 við Drafnarfell.  Gjald kr. 2.500
17939 (01.01.713.008),BN017939,Drápuhlíð 40,Reyndart. vegna eignask.,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki á núverandi fyrirkomulagi  í húsinu á lóðinni nr. 40 við Drápuhlíð.  Gjald kr. 2.500
17934 (01.01.410.001),BN017934,Efstasund 66,áður gerð íbúð,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir áður gerðri íbúð í kjallara hússins á lóðinni nr. 66 við Efstasund.  Gjald kr. 2.500  Virðingargjörð dags. 24. júní 1951 og íbúðaskoðun byggingarfulltrúa dags. 25. október 1996 fylgir erindinu.
17907 (01.04.948.601),BN017907,Engjasel 29-45,Klæðning 37-45 með garðastáli,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að klæða raðhúsin nr. 37-45 á lóðinni nr. 29-45 við Engjasel með báruðu Garðastáli.  Gjald kr. 2.500  Samþykki fjögurra meðeigenda af fimm ódags.og ástandsskýrsla dags 17. nóvember 1998  fylgir erindinu.
17785 (01.01.704.001 01),BN017785,Eskihlíð 12,Reyndart. og áður gerð íbúð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997 og reglum um áður gerðar íbúðir.,"Sótt er um samþykki fyrir núverandi fyrirkomulagi í húsinu sem m.a. fela í sér áður gerða íbúð í kjallara hússins á lóðinni nr. 12 við Eskihlíð.  Gjald kr. 2.500  Samþykki stjórnar húsfélagsins (á teikningu), virðingargjörð dags. 1. apríl 1951, hússkoðun heilbrigðiseftirlits dags. 26. október og íbúðarskoðun byggingarfulltrúa dags. 21. október 1998 fylgir erindinu."
17784 (01.01.704.003 01),BN017784,Eskihlíð 12A,Reyndart. og áður gerð íbúð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997 og reglum um áður gerðar íbúðir..,"Sótt er um samþykki fyrir áður gerðum breytingum, sem m.a. fela í sér áður gerða íbúð í kjallara og innri breytingum á þakhæð hússins á lóðinni nr. 12A við Eskihlíð.  Gjald kr. 2.500  Samþykki stjórnar húsfélagsins (á teikningu), virðingargjörð dags. 1. apríl 1951, hússkoðun heilbrigðiseftirlits dags. 26. október 1998 og íbúðarskoðun byggingarfulltrúa dags. 21. október 1998 fylgir erindinu"
17783 (01.01.704.004 01),BN017783,Eskihlíð 12B,Reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997 og reglum um áður gerðar íbúðir.,Sótt er um samþykki fyrir núverandi fyrirkomulagi í húsinu á lóðinni nr. 12B við Eskihlíð.  Gjald kr. 2.500  Samþykki stjórnar húsfélagsins (á teikningu) og umboð eiganda vegna umsækjanda dags. 19. október 1998 fylgir erindinu.
17704 (01.01.462.001),BN017704,Faxafen 8-14,Skeifan 19 eignaskipting,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta innra fyrirkomulagi og skráningu í húsinu nr. 19 við Skeifuna á lóðinni nr. 8-12 við Faxafen og 11-19 við Skeifuna.  Gjald kr. 2.500
17985 (01.04.302.601),BN017985,Fossháls 1,Breyta innra skipulagi og útliti,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta innra fyrirkomulagi og útliti í hluta af kjallara hússins nr. 1 við Fossháls.  Gjald kr. 2.500  Erindinu fylgir bréf Brunamálastofnunar dags. 18. nóvember 1998.
17787 (01.01.136.524 01),BN017787,Garðastræti 19,Reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi fyrir núverandi innra fyrirkomulagi í húsinu á lóðinni nr. 19 við Garðastræti.  Gjald kr. 2.500  Erindinu fylgir samþykki meðeigenda áritað á teikningu.
17984 (01.02.427.602),BN017984,Garðsstaðir 9-13,"burðarveggur í samræmi við sérteikn, á 9",Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Helga Guðmundsdóttir vék af fundi við afgreiðslu málsins.,Sótt er um leyfi til að steypa nokkra innveggi sem samþykktir voru léttir í húsi nr. 9 á lóðinni nr. 9-13 við Garðsstaði.  Gjald kr. 2.500
17987 (01.04.302.401),BN017987,Grjótháls 3,Br. frá fyrri samþ.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi fyrir breytingum á útliti, stærðum  og innra fyrirkomulagi áður samþykkts húss á lóðinni nr. 3 við Grjótháls.  Stækkun: xx  Gjald kr. 2.500 + xx"
17590 (01.01.140.204),BN017590,Hafnarstræti 4,Bar á 3.hæð og brunastigi,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að innrétta bar á 3. hæð og setja brunastiga við suð-vesturhorn hússins (Veltusund 1)  á lóðinni nr. 4 við Hafnarstræti.  Gjald kr. 2.500  Samþykki meðeiganda (á teikningu) fylgir erindinu.
17982 (01.01.552.302),BN017982,Hjarðarhagi 24-32,vegna eignaskipta,Frestað. Vísað til athugasemda eldvarnaeftirlits.,"Sótt er um leyfi fyrir áður gerðum breytingum og skráningu húsanna nr. 24, 24, 26. 28, 30 og 32 á lóðinni nr. 24-32 við Hjarðarhaga.  Gjald kr. 2.500"
17993 (01.01.364.101 01),BN017993,Hofteigur 12,Hækkun á þaki,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til að hækka þak hússins á lóðinni nr. 12 við Hofteig og stækka íbúð á 2. hæð sem því nemur.  Stækkun: 100,2 ferm., 202,3 rúmm.  Erindinu fylgir útskrift úr gerðabók skipulags- og umferðarnefndar frá 26. október 1998 og umsögn Borgarskipulags dags. 19. október 1998."
17935 (01.04.642.201),BN017935,Hrafnhólar 2-8,Br. á klæðnigu nr 6-8,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að gera minniháttar breytingar á eignamerkingum og fella niður klæðningu á göflum hússins nr. 6-8 á lóðinni nr. 2-8 við Hrafnhóla.  Gjald kr. 2.500
17893 (01.04.332.001),BN017893,Hraunbær 107,Breytt burðarvirki í kjallara,Var samþykkt 16. nóvember 1998.,Sótt er um samþykki fyrir breyttum burðarveggjum í kjallara til samræmis við sérteikningar hússins á lóðinni nr. 107 við Hraunbæ.  Gjald kr. 2.500
17868 (01.04.331.701 09),BN017868,Hraunbær 35 - 49,Hækka þak og klæða bílsk.nr. 43-49,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til þess að hækka þak og klæða að utan bílskúra nr. 43-49 með stonflexplötum á lóðinni nr. 35-49 við Hraunbæ.  Stærð: Hækkun þaks 70,5 rúmm.  Gjald kr. 2.500 + 1.763"
17638 (01.04.331.702),BN017638,Hraunbær 51-67,Hækka þak og klæða bílsk.nr. 51-57,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til að hækka þak og klæða að utan með stonflexplötum bílskúra nr. 51-57 á lóðinni nr. 51-67 við Hraunbæ.  Stækkun 83,5 rúmm.  Gjald kr. 2.500 +2.088   Samþykki meðeigenda, dags. 10.október 1998 og ástands könnun útveggja, dags. 13. október 1998 fylgir erindinu."
17983 (01.04.335.201),BN017983,Hraunbær 62-100,Reyndart. v/eignask. Hraunb 86,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi núverandi fyrirkomulagi og skráningu hússins nr. 86 á lóðinni nr. 62-100 við Hraunbæ.  Gjald kr. 2.500
17966 (01.04.070.401),BN017966,Höfðabakki 7,Skýli fyrir gastank,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja skýli úr steinsteypu, timbri og stálneti fyrir gastank á lóðinni nr. 7 við Höfðabakka.  Stærð: 40,6 ferm., 97,5 rúmm.  Gjald kr. 2.500 + 2.437"
