nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
35360 (04.60.330.1),BN035360,Álfabakki 6-18,16 -  endurinnrétta skrifstofuhúsnæði,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að endurinnrétta neðri og efri kjallara 1. og 2. hæð ásamt reyndarteikningu 3. hæðar, bæta við lyftu milli efri kjallara og 2. hæðar, einnig er gert grein fyrir áður gerðri stækkun í neðri og efri kjallara ásamt stækkun inná áður op í efri  kjallara fyrir Heilsugæslu höfuðborgarsvæðisins í húsi á lóð nr. 16 við Álfabakka.   Stækkun:  xxx ferm. xxx rúmm.  Gjald kr. 6.800 + xxx"
35392 (01.29.020.1),BN035392,Ármúli 12,br. inni og viðbygging,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja tveggja hæða viðbyggingu ásamt kjallara við Fjölbrautarskólann í Ármúla með samkomusal, kennslurýmum og skrifstofum og breyta innra skipulagi í hluta eldra húss þar sem m.a. verður sett lyfta og tengt á milli húshluta á 2. hæð skólabyggingarinnar á lóð nr. 12 við Ármúla.  Stærð: Stækkun samtals  xxx ferm., xxx rúmm.  Gjald kr. 6.800 + xxx"
35393 (01.17.421.3),BN035393,Barónsstígur 16,stærra gróðurhús,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að stækka nýsamþykkt (26.9´06) gróðurhús að eldvarnarvegg Laugavegs 78 á lóð nr. 16 við Barónsstíg.  Stærð: Stækkun 8,9 ferm., xxx rúmm.  Gjald kr. 6.800 + xxx"
35377 (01.17.130.7),BN035377,Bergstaðastræti 4,breytingar,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til að rífa núverandi þakhæð, til að byggja heila hæð ofaná og til að byggja stigahús aftan við verslunarhúsið á lóðinni nr. 4 við Bergstaðastræti.  Einnig er sótt um leyfi til breytinga á innra skipulagi og til að innrétta íbúðir á efri hæðum.  Stærð:  Stækkun xx ferm. og xx rúmm.  Gjald kr. 6.800 + xx"
35397 (04.06.200.1),BN035397,Bíldshöfði 9,skipting fastanúmers  í tvo hluta,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að breyta eignarhaldi þannig að í mhl. 04 verð 7. og 8. hæð með sér eignarhald í stað sameiginlegs á lóð nr. 9 við Bíldshöfða.  Meðfylgjandi er samþ. meðeigenda dags. 29. janúar 2007.  Gjald kr. 6.800
35367 (01.21.810.1),BN035367,Borgartún 25,skilti,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi fyrir skilti á 6. hæð á austur- vestur- og norðurhlið samtals 12 ferm. á lóðinni nr. 25 við Borgartún.  Gjald kr. 6.800
35389 (01.22.000.2),BN035389,Borgartún 6,breytingar,Frestað. Lagfæra skráningu.,Sótt er um leyfi til að breyta rýmisnúmerum víxla 0103 og 0104 einnig í kjallara áður eldhús/geymsla í óráðstöfuðu rými nr. 0001 verði kaffistofa á lóðinni nr. 6 við Borgartún.   Gjald kr. 6.800
35295 (01.25.010.5),BN035295,Brautarholt 30,reyndart. og gisting á 3. h,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um samþykki fyrir núverandi innra skipulagi og breyttri skráningu húss (matshluti 02 vörugeymsla og framhús sameinuð í einn matshluta 01) ásamt leyfi til þess að innrétta 3. hæð fyrir námsmannaaðstöðu í atvinnuhússins á lóð nr. 30 við Brautarholt.  Bréf Lögreglufélags Reykjavíkur dags. 26. janúar 2007 fylgir erindinu.  Gjald kr. 6.800
35385 (01.35.100.1),BN035385,Brúnavegur Hrafnista,endurn. byggingarl. 28108,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um endurnýjun á byggingarleyfi frá 7. október 2003 fyrir sameiningu tveggja vistherbergja í eitt (verða samtals níu einstaklingsherbergi) á 2. hæð í E-álmu Hrafnistu við Brúnaveg.  Gjald kr. 6.800
35386 (01.35.100.1),BN035386,Brúnavegur Hrafnista,endurn. byggingarl. 27950,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um endurnýjun á byggingarleyfi frá 10. september 2003 fyrir sameiningu tveggja vistherbergja í eitt (verða samtals níu einstaklingshebergi ) á 1. hæð E-álmu Hrafnistu við Brúnaveg.  Gjald kr. 6.800
