nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
35134 (01.14.040.2),BN035134,Austurstræti 4,núverandi fyrirkomulag,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um samþykki fyrir núverandi innra skipulagi veitingastaðar á 1. og 2. hæð austurenda hússins á lóð nr.  4 við Austurstræti.  Ljósrit af leyfisbréfi dags. 17. desember 2002 fylgir erindinu.  Gjald kr. 6.100
35118 (01.85.430.1),BN035118,Árland 1-7,stækkun á kjallara,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um leyfi fyrir kjallararými í áður óuppfylltu rými í húsi nr. 1 við Árland.   Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 12. janúar 2007 fylgir erindinu.  Stærð: Stækkun 124,1 ferm., 401,2 rúmm.  Gjald kr. 6.100 + 24.473"
34246 (01.81.640.1),BN034246,Bakkagerði 16,viðbygging,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja steinsteypta viðbyggingu við austurhlið 1. hæðar einbýlishússins á lóð nr. 16 við Bakkagerði.  Stærð: Stækkun 29,6 ferm., 92,4 rúmm.  Gjald kr. 6.100 + 6.283"
35236 (01.18.020.8 01),BN035236,Bergstaðastræti 10A,stækkun,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja 4. hæðina úr stáli og gleri, inndregna mót austri ásamt útkragandi svölum og inndregna að hluta mót norðri í atvinnuhúsnæðinu á lóðinni nr. 10A við Bergstaðastræti.  Stærðir: 71,4 ferm., 199,9 rúmm.  Gjald kr. 6.800 + 13.593"
35213 (04.05.640.1),BN035213,Bíldshöfði 7,Endurnýja steypustöð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,"Sótt er um leyfi til að endurnýja steypustöð á sama stað og sú sem fyrir er á lóðinni nr. 7 við Bíldshöfða.   Stærðir: Stækkun 9,6 ferm., 76,9 rúmm.  Gjald kr. 6.800 + 5.229"
35233 (01.21.810.3),BN035233,Borgartún 29,breyting,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um lítisháttar breytingu á nýlega samþykktu innra skipulagi 4. hæðar á atvinnuhúsnæðinu á lóðinni nr. 29 við Borgartún.  Gjald kr. 6.800
34729 (01.19.521.4),BN034729,Eiríksgata 17,íbúð í kjallara og reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi.,Sótt er um leyfi fyrir áður gerðri íbúð í kjallara fjölbýlishússins á lóðinni nr. 17 við Eiríksgötu. Jafnframt eru lagðar inn leiðréttar teikningar af öðrum hæðum hússins vegna gerðar eignaskiptayfirlýsingar.  Með málinu fylgir íbúðarskoðun byggingarfulltrúa dags. 15. september 2006.  Einnig fylgir virðingargjörð dags. 1. mars 1942.  Gjald kr. 6.100 + 6.100
35085 (04.73.250.1),BN035085,Ferjuvað 7-11,þrjú fjölbýlishús,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til þess að byggja þrjú steinsteypt þrílyft fjölbýlishús með níu íbúðum í hverju ásamt geymslu- og bílgeymslukjallara fyrir 18 bíla á lóð nr. 7-11 við Ferjuvað.  Stærð: Ferjuvað 7 (matshluti 01) Íbúð geymslukjallari 160,4 ferm., 1. hæð 262,6 ferm., 2. hæð 258,5 ferm., 3. hæð 258,5 ferm., bílageymsla 569,5 ferm., samtals 1509,5ferm., 4420,1 rúmm.  Ferjuvað 9 (matshluti 02) Íbúð geymslukjallari 118,1 ferm., 1. hæð 262,6 ferm., 2. hæð 258,4 ferm., 3. hæð 258,4 ferm., samtals 897,5 ferm., 2649,6 rúmm.  Ferjuvað 11 (matshluti 03) Íbúð geymslukjallari 133,8 ferm., 1. hæð 262,6 ferm., 2. hæð 258,4 ferm., 3. hæð 258,4 ferm., samtals 913,2 ferm., 2692,8 rúmm.  Gjald kr. 6.100 + 6.800 + 663.850"
35180 (02.46.740.1),BN035180,Fossaleynir 16,Skipta rými í tvennt,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi.,Sótt er um leyfi til að fjölga eignum þannig að áður rými 0107 verður nú að 0107 og 0111 og á suðurhlið kemur ný innkeyrsluhurð á rými 0107 á atvinnuhúsinu á lóð nr. 16 við Fossaleynir.  Meðfylgjandi er brunahönnun Fjarhitunar dags. 12. janúar 2007 og samþykki meðlóðarhafa dags. 11. janúar 2007.  Gjald kr. 6.100
34664 (01.17.210.9),BN034664,Frakkastígur 8,breytingar inni,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Vísað er til ábendingar skipulagsfulltrúa um takmörkun á sölutíma áfengis.,"Sótt er um leyfi til þess að breyta innra fyrirkomulagi veitingastaðar þ.e. breyta anddyri, móttökueldhúsi, bar og sviði á neðstu hæð (2. hæð) hússins Frakkastígur 8 á lóð nr. 8 við Frakkastíg.  Gjald kr. 6.100 + 6.100"
35144,BN035144,Freyjubrunnur 23,fjölbýslish. m. 5 íb.,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til þess að byggja þriggja hæða steinsteypt fjölbýlishús ásamt geymslu- og bílgeymslukjallara með samtals fimm íbúðum og bílgeymslu fyrir fimm bíla á lóð nr. 23 við Freyjubrunn.  Stærð: Íbúð geymslukjallari 85,9 ferm., 1. hæð 201,3 ferm., 2. hæð 201,3 ferm., 3. hæð 152,3 ferm., bílgeymsla 121,3 ferm., samtals 762,1 ferm., 2479 rúmm.  Gjald kr. 6.100 + 168.572"
35166 (05.05.510.3),BN035166,Friggjarbrunnur 2-4,skriðrými,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að gera skriðkjallara undir parhúsið á lóðinni nr. 2-4 við Friggjarbrunn.  Gjald kr. 6.100
