nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
36864 (05.86.550.1),BN036864,Almannadalur 9-15,takmarkað byggingarleyfi nr. 11,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Samþykktin fellur úr gildi við útgáfu á endanlegu byggingarleyfi. Vegna útgáfu á takmörkuðu byggingarleyfi skal umsækjandi hafa samband við yfirverkfræðing embættis byggingarfulltrúa.,"Ofanritaðir sækja um takmarkað byggingarleyfi fyrir greftri, fyllingu og aðstöðugerð fyrir hús nr. 11 á lóðinni nr. 17-23 við Almannadal."
36492 (01.14.050.2),BN036492,Austurstræti 18,"samþykkja íbúð, breyta innra skipulagi ofl.",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að fá samþykkta íbúð og byggja nýjar svalir á 6. hæð, ásamt breytingum á innra skipulagi á 4. , 5. og  6. hæð atvinnuhúsnæðisins á lóð nr. 18 við Austurstræti.  Gjald kr. 6.800"
36829 (01.14.050.3),BN036829,Austurstræti 20,br. innanhúss,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,Sótt er um leyfi fyrir breytingum á innra skipulagi þannig að áður Ömmukaffi og veitingastaðurinn Hressingaskálinn verða sameinuð í eina einingu með því að opna á milli eininga og breyta áður eldhúsi Ömmukaffis í bar á lóðinni nr. 20 við Austurstræti.  Gjald kr. 6.800
36527 (01.43.130.2),BN036527,Álfheimar 50-54,svalaskýli,"Frestað. Enn vantar samþykki Félagsbústaða og eigenda íbúða 02 0102, 01 0102, 01 0302, 03 0002, 03 0202, 03 0301, 02 0101.","Sótt er um leyfi fyrir svalaskýlum og til að hækka handrið á fjölbýlishúsinu á lóð nr. 50-54 við Álfheima.  Samþykki sumra meðeiganda dags. maí 2007 fylgir erindinu.   Úttektarskýrsla aðalhönnuðar dags. 19. júlí 2007 fylgir með erindinu.  Stærð:  23 íbúðir: svalir 6,0 ferm., 19,0 rúmm.  6 íbúðir: svalir 6,0 ferm., 16,0 rúmm.  Samtals 174 ferm.,  533 rúmm.  Gjald kr. 6.800 + 36.244"
36837 (01.18.451.2),BN036837,Baldursgata 11,br. innan húss,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að innrétta veisluþjónustu í eignarhluta 0003 í íbúðar- og atvinnuhúsinu á lóðinni nr. 11 við Baldursgötu.  Samþykki sumra meðlóðarhafa ódagsett fylgir erindinu.  Gjald kr. 6.800
36828 (01.18.021.1),BN036828,Bergstaðastræti 12,"12A - klæðing, breyta gluggum o.fl.",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til minnháttar breytinga á innra fyrirkomulagi íbúða 0203, 0303 og 0403 ásamt því að klæða efri hæðir hússins með álklæðningu og breyta gluggapóstum í öllum gluggum og svalahurðum í fjölbýlishúsinu á lóð nr. 12 við Bergstaðastræti.  Stærðaraukning vegna klæðningar 8,9 ferm., 78,6 rúmm.  Gjald kr. 6.800 + 5.344"
36753 (01.19.631.0),BN036753,Bergstaðastræti 67,breikka neðanjarðargang,Frestað. Vantar skráningartöflu.,"Sótt er um leyfi til breytinga á nýsamþykktu byggingaleyfi nr. BN035517 við fjölbýlishúsið á lóðinni nr. 67 við Bergstaðastræti.  Stækkun: 14,5 ferm. 71,3 rúmm.  Gjald kr. 6.800 + 4.848"
36749 (04.05.640.1),BN036749,Bíldshöfði 7,spennistöð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja spennistöð úr steinsteypu, á lóð nr. 7 við Bíldshöfða.  Stærð: 21,3 ferm., 77,0 rúmm.  Gjald kr. 6.800 + 5.236"
36840 (01.21.620.1),BN036840,Borgartún 1,kaffistofa/súpueldhús,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að útbúa nýjan inngang, síkka tvo glugga á norðurhlið og innrétta kaffistofu til bráðabirgða í þrjú ár í geymslu- og atvinnuhúsinu á lóðinni nr. 1 við Borgartún.  Gjald kr. 6.800"
36193 (01.22.000.2),BN036193,Borgartún 6,br. kjallara í eldh. og veitingas.,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til að breyta kjallara í veislusal, eldhús með tilheyrandi starfsmanna- og vinnuaðstöðu, ásamt snyrtingum og geymslum í húsi á lóðinni nr. 6 við Borgartún.  Bréf hönnuðar dags. 21. ágúst 2007 fylgir, einnig bréf hönnuðar dags. 11. september 2007.  Umsögn brunahönnuðar dags. 11. september 2007 fylgir erindinu.  Gjald kr. 6.800 + 6.800"
