nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
24332 (04.02.410.2),BN024332,Básbryggja 51,br. á gluggum bílskúra austurhlið,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,Sótt er um leyfi til þess að breyta gluggum austurhliðar bílskúra fyrir Básbryggju 51.  Gjald kr. 4.800
23764 (01.18.431.1),BN023764,Bjargarstígur 6,reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um samþykki fyrir reyndarteikningum af húsinu á lóðinni nr. 6 við Bjargarstíg.  Umsögn Árbæjarsafns dags 14. nóvember 2001 ásamt bréfi hönnuðar dags. 19. nóvember 2001 fylgir erindinu.  Virðingargjörðir dags. 3. desember 1912 og 1. mars 1942 fylgja erindinu. Samþykki meðeigenda (á teikn.) fylgir erindinu. Umsögn Húsafriðunarnefndar dags. 24. október 2001 fylgir erindinu ásamt umsögnum Árbæjarsafns dags. 31. okt. 2001 og 14. nóvember 2001.  Skoðunarskýrslur byggingarfulltrúa dags. 19. október 2001 fylgja erindinu. Afsalsbréf (v. íbúðar á neðri hæð í steinhúsi) dags. 5. október 1976 og 1. apríl 1975 fylgja erindinu.  Gjald kr. 4.100
24068 (01.24.410.1),BN024068,Einholt 2,Íbúð á annarri hæð.,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með skilyrði um að uppfyllt verði ákvæði greinargerðar vegna hljóðvistar.,Sótt er um leyfi til þess að innrétta íbúð í atvinnurými (rými 0201) á annarri hæð matshluta 01 á lóðinni nr. 2 við Einholt. Jafnframt er skyggni yfir inngangi hússins breytt.  Greinargerð vegna hljóðvistar dags. 13. júlí 2001 fylgir erindinu. Samþykki nokkurra meðeigenda dags. 27. nóvember og 3. desember 2001 fylgja erindinu.  Gjald kr. 4.100
24119 (04.94.730.3),BN024119,Engjasel 70-86,nr.84-86 br.á teikningum,Frestað. Lagfæra skráningu.,Sótt er um samþykki fyrir áður gerðum íbúðum í kjallara húss nr. 84 og 86 á lóð nr. 70-86 við Engjasel.  Gjald kr. 4.100
22610,BN022610,Engjateigur 4,Borholuhús RG-35,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um leyfi til að reisa borholuhús fyrir heitavatnsdælu Orkuveitu Reykjavíkur á lóð nr. 4 við Engjateig. Borholuhúsið komi á steyptan sökkul, burðarvirki verði út timbri og húsið klætt að utan með ryðfríu stáli. Húsið verði óeinangrað og engir starfsmenn dvelja í því að staðaldri.Jafnframt er sótt um leyfi til að rífa eldri skúr sem stendur á sama stað.  Erindinu fylgir bréf hönnuðar dags. 5. febrúar 2001.  Stærð: 19,6 ferm. og 53,2 rúmm.  Gjald kr. 4.100 + 2.181.0"
24317 (01.19.022.9),BN024317,Frakkastígur 19,Reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir reyndarteikningum af húsi og geymsluskúr á lóðinni nr. 19 við Frakkastíg.  Í húsinu eru sýndar fimm íbúðir, þar af tvær ósamþykktar.  Samþykki meðeigenda dags. 21. nóvember 2001 fylgir erindinu. Skoðunarskýrsla byggingarfulltrúa (v. rishæðar) dags. 11. ágúst 1999 fylgir erindinu.   Gjald kr. 4.800"
24330 (01.44.540.6),BN024330,Gnoðarvogur 78,br. á rýmisnúmerum,Frestað. Lagfæra skráningu.,Sótt er um samþykki fyrir leiðréttri skráningu til samræmis við eignaskiptayfirlýsingu á lóð nr. 78 við Gnoðarvog.  Umboð umsækjanda ódags.og samþykki meðeigenda (á teikningu) fylgja erindinu.  Gjald kr. 4.800
24175 (01.54.140.5),BN024175,Grenimelur 1,br. skráningu og eignarh.,Var samþykkt 11. janúar 2002. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til að breyta eignarhaldi og skráningu rýma í kjallara og á fyrstu hæð hússins nr. 1 við Grenimel. Jafnframt er sótt um að sameina matshlutana 70 og 71 og að hinn sameinaði matshluti verði nr. 02. Ennfremur er umsókn nr. 20919 dregin til baka.   Samþykki meðeigenda fylgir áritað á teikningar. Erindinu fylgir bréf hönnuðar ódags.   Gjald kr. 4.100
24333 (01.24.530.5),BN024333,Háteigsvegur 30,breyting á skráningu,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að sameina matshluta 01 og 02 (hús og bílgeymsla) á lóðinni nr. 30 við Háteigsveg. Skráning kjallara breytist og á lóðinni verður aðeins einn matshluti.   Gjald kr. 4.100
23807 (01.17.411.4),BN023807,Hverfisgata 108,Reyndarteikningar,Frestað. Lagfæra skráningu.,"Sótt er um samþykki fyrir áður gerðri stækkun kjallara,  breytingum á innra skipulagi kjallara og fyrir afmörkun séreignar á 4. hæð vegna gerðar eignaskiptayfirlýsingar á lóð nr. 108 við Hverfisgötu.  Ljósrit af afsali vegna eignar á 4. hæð innfært 6. febrúar 1995 fylgir erindinu.  Stærð: Áður gerð stækkun kjallara 29,7 ferm., 50,5 rúmm.  Gjald kr. 4.100 + 2.071"
