nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
24678 (01.38.410.1),BN024678,Hjallavegur 37,"Lyfta þaki, byggja bílskúr",Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til skipulagsfulltrúa til ákvörðunar um grennndarkynningu. Vísað er til uppdrátta A1.01 - A1.04. dags. 8. maí 2002.,"Sótt er um leyfi til að lyfta þaki, stækka íbúð, breyta innra og ytra skipulagi í húsinu og byggja steinsteyptan bílskúr, á lóðinni nr. 37 við Hjallaveg.  Samþykki nágranna (á teikn.) fylgir erindinu.  Stærðir: Stækkun v. ofanábygginar xx, bílskúr 50 ferm. og 162 rúmm.  Gjald kr. 4.800 + xx"
24865 (04.33.520.1 16),BN024865,Hraunbær 92,Íbúð í kj.,Frestað.,Sótt er um samþykki fyrir íbúð á jarðhæð fjöleignarhúss nr. 92 á lóð nr. 62-100 við Hraunbæ.  Samþykki meðeigenda ódags. og bréf umsækjanda ódags. fylgja erindinu.  Gjald kr. 4.800
22288 (01.52.401.2),BN022288,Hringbraut 85,Áður gerð íbúð í kjallara,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Samþykkt öðlast gildi þegar þinglýst hefur verið yfirlýsingu um aðgang að inntökum heimlagna.,"Sótt er um leyfi fyrir áður gerðri íbúð í kjallara, áður gerðum kvisti á rishæð og reyndarteikningum af húsinu á lóðinni nr. 85 við Hringbraut.  Samþykki nokkurra meðeigenda dags. 4. desember 2000 fylgir erindinu. Virðingargjörð dags. 1. maí 1941 fylgir erindinu. Skoðunarskýrslur byggingarfulltrúa dags. 16. október 2000 og 14. desember 2000 fylgja erindinu. Umsögn skrifstofustjóra byggingarfulltrúa dags. 15. janúar 2001, bréf Sigríðar R. Júlíusdóttur hrl., dags. 8. maí 2001, tvö bréf skrifstofustjóra byggingarfulltrúa dags. 2. júlí 2001, bréf Maríu Thejll hdl., dags. 13. júlí 2001 fylgja erindinu. Málinu fylgir tillaga að yfirlýsingu um aðgangskvöð, bréf eigenda þakhæðar dags. 20. febrúar 2002, bréf eiganda kjallara dags. 13. mars 2002 og bréf kaupanda miðhæðar dags. 18. mars 2002.  Gjald kr. 4.100"
25076 (01.80.250.7),BN025076,Hvammsgerði 13,stækka skála,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til skipulagsfulltrúa til ákvörðunar um grenndarkynningu. Vísað er til uppdráttar nr. (99) 2.02 dags. 3. júní 2002.,Sótt er um leyfi til þess að stækka garðskála á suðvesturhlið hússins á lóðinni nr. 13 við Hvammsgerði.  Stærð: Stækkun garðskáli xx  Gjald kr. 4.800 + xx
25031 (01.72.510.3 04),BN025031,Hvassaleiti 31,Laufskáli,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til þess að byggja laufskála að vesturhlið húss nr. 31 á raðhúsalóð nr. 25-37 við Hvassaleiti.  Áður hefur sams konar breyting verið samþykkt í húsi nr. 29.  Samþykki meðlóðarhafa dags. 20. maí 2002 fylgir erindinu.  Stærð: Laufskáli 18,0 ferm. og 50,7 rúmm.  Gjald kr. 4.800 + 2.434"
25103 (01.21.769.5),BN025103,Borgartún Höfði,Lyfta,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til þess að koma fyrir bílastæði fyrir fatlaða á lóð og lyftu við bakinngang á austurhlið móttökuhússins Höfða við Borgartún.  Bréf hönnuðar dags. 21. maí 2002 fylgir erindinu.  Gjald kr. 4.800
25130 (04.11.370.4),BN025130,Jónsgeisli 43,Br. á málsetningu,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,Sótt er um samþykki fyrir leiðréttri málsetningu hússins á lóðinni nr. 43 við Jónsgeisla.  Gjald kr. 4.800
24571 (01.35.410.8),BN024571,Kambsvegur 22,bílgeymsla,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Að lokinni grenndarkynningu byggingarleyfisumsóknar er lagt fram að nýju bréf frá afgreiðslufundi byggingarfulltrúa, dags. 27.02.02, þar sem sótt er um leyfi til þess að byggja einfaldan steinsteyptan bílskúr á lóðinni nr. 22 við Kambsveg, samkv. uppdr. Jóns M. Halldórssonar byggingarfr., dags. 22.01.02. Samþykki meðeigenda og nágranna Austurbrún 31 og 33 og Kambsvegi 20 og 24 (ódags.) fylgir erindinu. Málið var í kynningu frá 5. mars til 3. apríl 2002. Engar athugasemdir bárust.   Stærð: Bílskúr 41,3 ferm. og 144,6 rúmm.  Gjald kr. 4.800 + 6.941"
23867 (01.42.820.1),BN023867,"7"">Kjalarvogur 14",tímabundin starfsmannaaðst.,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki Vinnueftirlits ríkisins.,Sótt er um leyfi til að koma starfsmannaaðstöðu tímabundið fyrir á fyrstu hæð hússins nr. 14 við Kjalarvog í stað annarrar hæðar eins og samþykkt var 17. sept. 2001 og innréttuð verður síðar.  Umsögn Vinnueftirlits ríkisins dags. 16. maí 2002 fylgir erindinu.  Gjald kr. 4.100
25108 (01.83.201.1),BN025108,Langagerði 22,Reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir reyndarteikningum af húsinu á lóðinni nr. 22 við Langagerði.  Íbúð í risi er stækkuð og sýndir eru áður gerðir kvistir á austurhluta rishæðar.  Gjald kr. 4.800
25025 (01.18.340.6),BN025025,Laufásvegur 18A,breyting úti og inni,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til skipulagsfulltrúa til ákvörðunar um grenndarkynningu. Vísað er til uppdrátta 001 og 002 dags. 6. maí 2002.,"Sótt er um leyfi til þess að breyta innra fyrirkomulagi kjallara og innrétta þar geymslur og þvottahús, breyta atvinnuhúsnæði á fyrstu hæð í íbúð, breyta innra fyrirkomulagi og útliti eldra íbúðarhúsnæðis á baklóð, breyta innra fyrirkomulagi íbúða á öllum hæðum framhúss, byggja kvist á götuhlið þakhæðar og breyta útliti götuhliðar á annarri hæð framhúss á lóðinni nr. 18A við Laufásveg.  Stærð: Stækkun kvistur 13,3 ferm. og 9,0 rúmm.  Gjald kr. 4.800 + 432"
25106 (01.34.520.9),BN025106,Laugarnesvegur 85,Áður gerðir skúrar á lóð,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsfulltrúa.,Sótt er um samþykki fyrir stækkun lóðar og tveimur áður gerðum geymsluskúrum (matshl. 03 og 04) á lóðinni nr. 85 við Laugarnesveg.  Bréf Borgarskipulags Reykjavíkur dags. 24. júní 1986 og  bréf borgarstjóra dags. 25. júní 1986 fylgja erindinu.  Stærð: xx  Gjald kr 4.800 + xx
25119 (01.24.000.5),BN025119,Laugavegur 105,"stigahús, sorpg., handrið",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að breyta stigahúsi á fyrstu hæð,, koma fyrir sorpgeymslu og hækka handrið á sjöttu hæð hússins á lóðinni nr. 105 við Laugaveg.  Gjald kr. 4.800"
24874 (01.25.110.1),BN024874,Laugavegur 176,veitingastaður,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilið samþykki heilbrigðiseftirlits. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til þess að innrétta veitingastað á 1. hæð austurenda gamla sjónvarpshússins á lóð nr. 176 við Laugaveg.  Bréf eiganda vegna umsóknar dags. 15. apríl 2002 fylgir erindinu.  Gjald kr. 4.800
24980 (01.17.220.2),BN024980,Laugavegur 22A,verslun - kaffisala,Frestað. Málinu vísað til skipulagsfulltrúa til ákvörðunar um grenndarkynningu. Vísað er til uppdráttar nr. 1 dags. 30. apríl 2002.,Sótt er um leyfi til þess að innrétta kaffistofu í tengslum við verslun á fyrstu hæð í bakhúsi á lóðinni nr. 22A við Laugaveg.  Umsögn skipulagsfulltrúa dags. 21. maí 2002 fylgir erindinu.  Bréf umsækjanda dags. 11. apríl 2002 og 23 maí 2002 (varðandi opnunartíma) fylgir erindinu.
24770 (02.29.280.1),BN024770,Leiðhamrar 1,"viðbygging, sólstofa",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja sólstofuviðbyggingu við austurhlið og setja valmaþak yfir flatt þak bílgeymslu einbýlishússins á lóð nr. 1 við Leiðhamra.  Samþykki hönnuðar húss dags. apríl 2002 fylgir erindinu.  Stærð: Viðbygging 18 ferm., 58 rúmm., rúmmálsaukning vegna þaks bílgeymslu 18 rúmm.  Gjald kr. 4.800 + 3.821"
24959 (01.43.700.1 01),BN024959,Ljósheimar 2,reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um samþykki fyrir áður gerðum breytingum á innra skipulagi kjallara og fyrir áður gerðum neðri kjallara undir húsi nr. 2 á lóð nr. 2-6 við Ljósheima.  Samþykki stjórnar húsfélaga Ljósheima 2, 4. og 6. dags. 12. febrúar 2002 fylgja erindinu.  Samþykki Stærð: Áður gerður neðri kjallari 51,1 ferm., 105,9 rúmm.  Gjald kr. 4.800 + 5.574"
24973 (02.87.550.2),BN024973,Logafold 17,Viðbygging,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja viðbyggingu úr timbri á svölum annarrar hæðar hússins á lóðinni nr. 17 við Logafold.   Stærð: Viðbygging 9,34 ferm. og 31,3 rúmm.  Gjald kr. 4.800 + 1.502"
25028 (04.32.900.1),BN025028,Lyngháls 13/Krókh 14,lagerviðbygging,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja steinsteypta viðbyggingu fyrir lager Lyfjaverslunar Íslands við suðausturhorn atvinnuhússins á lóð nr. 13 við Lyngháls og 14 við Krókháls.  Bréf umsækjanda dags. 15. nóvember 2001 og bréf frá Gatnamálastofu dags. 23. maí 2002 fylgja erindinu.  Stærð: Viðbygging 1409 ferm., 8129 rúmm.  Gjald kr. 4.800 + 403.718"
22573 (01.54.221.0),BN022573,Melhagi 20-22,Hækkun og breytingar.,Frestað. Málinu vísað til skipulagsfulltrúa til ákvörðunar um grenndarkynningu. Vísað er til uppdrátta nr. 010301-010307 dags. 30. apríl 2002.,"Sótt er um leyfi til þess að sameina matshluta, byggja hæð ofan á austurálmu og innrétta fjórar íbúðir í húsinu á lóðinni nr. 20-22 við Melhaga.  Ofanábygging er úr stáli og timbursperrum, klædd með stál- eða álplötum að utan.  Gert er ráð fyrir innbyggðri bílageymslu fyrir sex bíla á fyrstu hæð hússins. Áfram verður atvinnustarfsemi í þeim hluta hússins sem snýr að Hofsvallagötu.  Stærð: Stækkun ofanábygging 192,7 ferm. og 760,3 rúmm.  Gjald kr. 4.100 + 36.494"
