nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
32831 (01.14.040.4),BN032831,Austurstræti 8-10,br. salerni í rými 0102,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að breyta fyrirkomulagi á salernum í vesturenda húss (rými 0102) og koma fyrir gasgeymslu inn af sorpgeymslu (rými 0106) á fyrstu hæð hússins nr. 8-10 við Austurstræti.  Gjald kr. 5.700
32577 (47.34.101),BN032577,Árvað 3,reyndarteikn. og stækkun,Frestað. Vísað til fyrri athugasemda.,"Sótt er um samþykki fyrir breyttri staðsetningu einnar færanlegrar kennslustofu og breyttum tengigangi ásamt leyfi til þess að setja upp fjórar viðbótar kennslustofur samtengdum suðaustan við þær sem fyrir eru á lóð nr. 3 við Árvað.  Stærð: Stækkun færanlegra kennslustofa og tengigangs samtals 360 ferm., 1148,1 rúmm.  Gjald kr. 5.700 + 65.442"
32844 (04.06.510.1),BN032844,Bíldshöfði 20,færsla á birgðatönkum,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til þess að færa um 1,4 m til austurs birgðatanka bensínstöðvarinnar á lóðinni nr. 20 við Bíldshöfða.  Tölvubréf Mengunarvarna Reykjavíkurborgar dags. 4. nóvember 2005 fylgir erindinu.  Gjald kr. 5.700"
32618 (01.21.810.3),BN032618,Borgartún 29,ofanábygging,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja þriðju og inndregna fjórðu hæð ofan á steinsteypt atvinnuhús, breyta hluta kjallara í bílgeymslu fyrir 13 bíla, sameina áður tvö stigahús með lyftu frá kjallara og upp á 4. hæð og klæða húsið með flísum á lóð nr. 29 við Borgartún.  Samþykki meðeigenda (á teikningu) og ljósrit af kaupsamning vagna sölu einnar eignar dags. 11. október 2005 fylgja erindinu. Jafnframt lagt fram bréf Hauks Margeirssonar, verkfræðings dags. 20. október 2005.  Stærð: Stækkun samtals 1193,8 ferm., 4361,7 rúmm.  Gjald kr. 5.700 + 5.700 + 248.617"
32074 (01.80.430.7),BN032074,Brekkugerði 32,"viðbygging, breytingar",Frestað. Vísað til athugasemda á umsóknarblaði.,"Að lokinni grenndarkynningu er sótt um leyfi til að breyta og byggja við húsið nr. 32 við Brekkugerði. M.a. verði byggt við húsið til vesturs og til suðurs, innra fyrirkomulagi beggja hæða breytt, komið fyrir arni á efri hæð og gerðir stoðveggir á lóð. Jafnframt er gerð grein fyrir áður gerðu kjallararými, sem sýnt var sem uppfyllt sökklarými, og gerð grein fyrir fyrirhuguðum breytingum á því, samkv uppdr. Teiknistofunar Óðinstorgi, dags. júlí 2005. Málið var í kynningu frá 17. ágúst til 14. september 2005. Engar athugasemdir bárust.  Stækkun: xx  Gjald kr. 5.700 + xx"
32661 (01.80.430.8),BN032661,Brekkugerði 34,viðbygging ofl.,Frestað. Málinu vísað til skipulagsfulltrúa til ákvörðunar um grenndarkynningu. Vísað er til uppdrátta nr. BG-A01 - BG-A06 dags. 2. september 2005. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að byggja viðbyggingu úr steinsteypu að suðausturhlið hússins nr. 34 við Brekkugerði.  Stækkun: xx  Gjald kr. 5.700 + xx
32708,BN032708,Engjavegur 8,"Laugardalsh. stækkun, reyndart.",Frestað. Vísað til fyrri athugasemdar vegna skráningar.,Sótt er um leyfi fyrir áður gerðum breytingum sem orðið hafa á byggingartíma viðbyggingar (mhl 02) við Laugardalshöll nr. 8 við Engjaveg.  Bréf VST vegna brunahönnuar dags. 14. okt. 2005 fylgir erindinu.  Gjald kr. 5.700
31832 (01.19.630.2),BN031832,Fjölnisvegur 2,breytingar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Sótt er um leyfi til þess að breyta kvisti í austurenda húss, stækka svalir á annarri hæð til austurs, breyta svalagluggum á suðurhlið annarrar og þriðju hæðar, koma fyrir þakgluggum á suðurþekju og jafnframt fjarlægja skorstein og lagfæra þak hússins á lóðinni nr. 2 við Fjölnisveg.  Einnig er sótt um leyfi til þess að byggja steinsteypta garðgeymslu austan hússins.  Málið var í kynningu frá 8. september til 6. október 2005. Engar athugasemdir bárust.  Samþykki meðeigenda dags. 25. júlí 2005 fylgir erindinu.  Stærð: Garðgeymsla 15,3 ferm. og 42,9 rúmm.  Gjald kr. 5.700 + 2.445"
32829 (01.27.010.5),BN032829,Flókagata 62,þvotthús í sameign - br. skráning.,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að breyta innra fyrirkomulagi íbúðar 0001 og breyta eignarhaldi rýma 0006 og 0007 í kjallara hússins nr. 62 við Flókagötu.  Gjald kr. 5.700
32849 (01.66.--9.9),BN032849,Flugvöllur,Niðurrif,Frestað. Á milli funda.,"Lagt fram bréf Flugmálastjórnar dags. 1. nóvember 2005, þar sem sótt er um endurnýjun á heimildum til niðurrifs tveggja bygginga á Reykjavíkurflugvelli, annarsvegar á gamla flugturninum, fastanúmer 202-9314, matshluti 16, sem var samþykkt 18. desember 2003 og hinsvegar á sandgeymslu, fastanúmer 202-9310, matshluti 05, sem var samþykkt 21. ágúst 2001.  Gjald kr. 5.700"
