nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
32195 (01.14.040.9),BN032195,Austurstræti 14,stigi v/brunavarna,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að breyta stiga milli kjallara og fyrstu hæðar, fjarlægja hluta burðarveggja í kjallara,  breyta kjallararými í geymslu í stað setustofu veitingastaðar og bæta brunavarnir kjallara og 1. hæðar hússins á lóð nr. 14 við Austurstræti.  Brunahönnun VSI dags. 20. júlí 2005 fylgir erindinu.  Gjald kr. 5.700"
32236 (01.24.200.5),BN032236,Ásholt 2-42,nr. 2 loftnet og fl.,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til þess að setja upp fjögur loftnet á hliðar turnhúss húss nr. 2 og koma fyrir loftræstum tækjaklefa á fyrstu hæð sama turnhúss á lóð nr. 2-42 við Ásholt.  Gjald kr. 5.700
32073 (01.13.521.1),BN032073,Bárugata 30A,stækkun á bíslagi,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Sótt er um leyfi til þess að stækka bíslag á norðurhlið (bakhlið) og breyta innra fyrirkomulagi hússins á lóðinni nr. 30A við Bárugötu.  Umsögn Húsafriðunarnefndar dags. 26. júlí 2005 og umsögn Minjasafns Reykjavíkur dags. 7. ágúst 2005 fylgja erindinu.  Stærð: Stækkun 19,6 ferm. og 45,6 rúmm.  Gjald kr. 5.700 + 2.599"
31801 (04.06.200.1),BN031801,Bíldshöfði 9,ýmsar breytingar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til þess að breyta innra fyrirkomulagi, útliti og skráningu hússins á lóðinni nr. 9 við Bíldshöfða.  Bréf hönnuðar dags. 1. júlí 2005, brunahönnunarskýrsla dags. 8. ágúst 2005 (útgáfa 2) og samþykki f.h. eiganda dags. 30. maí 2005 fylgja erindinu.  Gjald kr. 5.700"
32240 (01.70.421.7),BN032240,Blönduhlíð 11,reyndarteikningar af risi,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir áður gerðri séreign á rishæð hússins á lóðinni nr. 11 við Blönduhlíð.  Erindinu fylgir skoðunarskýrsla byggingarfulltrúa dags. 8. janúar 2005.  Gjald kr. 5.700
32242 (01.13.653.5),BN032242,Brattagata 3B,atvinnuh á 1.h í íbúð,Frestað. Lagfæra skráningu.,"Sótt er um leyfi til þess að innrétta sjálfstæða íbúð á 1. hæð, breyta innra skipulagi atvinnuhúsnæðis í kjallara, loka fyrir stiga milli kjallara og bílgeymslu, fjarlægja stiga milli kjallara og 1. hæðar og stækka baðherbergi innan íbúðar 2. hæðar fjöleignarhússins á lóð nr. 3B og 5 við Bröttugötu.  Gjald kr. 5.700"
31894 (01.34.200.3),BN031894,Brekkulækur 4,viðbygging/stækkun,Frestað. Samræma skráningarnúmer. Skipulagsferli ólokið.,"Sótt er um leyfi til þess að byggja yfir hluta svala á þriðju hæð hússins á lóðinni nr. 4 við Brekkulæk.  Samþykki meðeigenda dags. 30. maí 2005 fylgir erindinu.  Stærð: Stækkun viðbygging 17,4 ferm. og 54,7 rúmm.  Gjald kr. 5.700 + 3.118"
31506 (02.57.620.3),BN031506,Bæjarflöt 15,br. á byggl. frá 27.06.2000,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi.,"Sótt er um leyfi til að fjölga séreignum úr einni í sex í iðnaðarhúsinu á lóðinni nr. 15 við Bæjarflöt.   Jafnframt verði þakgluggar fjarlægðir, gerðar minniháttar breytingar á innra fyrirkomulagi og breytt fyrirkomulagi á lóð. Einnig er skráning hússins leiðrétt.  Samþykki eigenda aðlægra lóða dags. 6. júlí 2005 fylgir erindinu.  Leiðréttar stærðir: Húsið var áður skráð samtals 1155,4 ferm. og 5873,3 rúmm. en verður nú samtals 1160,1 ferm. og 5883,0 rúmm. (án botnpl.)  Stækkun v. leiðréttingar 4,7 ferm. og 9,7 rúmm.  Gjald kr. 5.700 + 553"
32202 (01.67.050.1),BN032202,Einarsnes 21,"einangrun, sorpgeymslur, svalir, gluggar",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi fyrir einungrun húss að utan og í kjölfarið breyttri gluggasetningu, aðstöðu fyrir sorp við aðalinngang, svölum ofan á bílskúr með stiga niður í garð og stækkun eldhúss á 1. hæð íbúðarhússins á lóð nr. 21 við Einarsnes.  Stækkun: xx  Gjald kr. 5.700 + xx"
32243 (01.19.521.5),BN032243,Eiríksgata 15,geymsluskúr á baklóð o.fl.,Frestað. Vísað til athugasemda á umsóknarblaði. Að þeim uppfylltum verður málið sent skipulagsfulltrúa til ákvörðunar um grenndarkynningu.,"Sótt er um leyfi til þess að byggja steinsteyptan geymsluskúr á baklóð sem matshluta 02 og stækka íbúð 1. hæðar um áður geymslurými í fjölbýlishúsinu á lóð nr. 15 við Eiríksgötu.  Stærð: Geymsluskúr 31,8 ferm., 95,9 rúmm.  Gjald kr. 5.700 + 5.466"
