nr,url,heimilisfang,tegund,nidurstada,spurning
22245,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN022245,Álftamýri,tækjahús og fjarskiptamastur,Frestað. Málinu vísað til umsagnar Borgarskipulags.,"Sótt er um leyfi til að byggja tækjahús og 16 m hátt mastur fyrir fjarskiptabúnað utan lóðar sunnan við Álftamýraskóla á lóðinni nr. 79 við Álftamýri. Jafnframt er sótt um að viðkomandi spilda verði afmörkuð sem lóð og hún úthlutuð Landssíma Íslands. Stærðir: 2,2 ferm. og 32,7 rúmm. Gjald kr. 4,100 + 1.340"
22173 (12.65.201 01),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN022173,Ármúli 31 ,Breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að breyta innra skipulagi og útliti í vesturhluta hússins Ármúli 31 sem er matshluti 01 á lóðinni nr. 34 við Suðurlandsbraut. Byggt er nýtt anddyri að vesturgafli húss, þakgluggum er breytt á norðurhlið og gluggasetningu og klæðningu er breytt á suðurhlið. Innra skipulagi kjallara og fyrstu hæðar er breytt og millilofti er komið fyrir yfir hluta fyrstu hæðar. Skráningu fyrstu hæðar er breytt úr lager- í skrifstofuhúsnæði. Bílastæðum á lóð er fjölgað og sýnd eru 214 bílastæði á lóðinni. Skýrsla um brunahönnun dags. 14. nóvember 2000 fylgir erindinu. Bréf hönnuðar dags. 28. nóvember 2000, þar sem beðið er um frest til að skila skráningartöflu, fylgir erindinu. Stærð: Stækkun viðbygging, milliloft 98,1 ferm. og 333,5 rúmm. Gjald kr. 4.100 + 13.674"
22214 (00.01.400.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN022214,Bakki ,breyting á fjósi,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til að stækka skrifstofu og mjólkurhús frá því sem samþykkt var 29. sept. 2000 á jörðinni að Bakka á Kjalarnesi. Stækkun: 11 ferm. og 33 rúmm. Gjald kr. 4.100 + 1.353
22055 (01.67.120.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN022055,Bauganes 4 ,Sólstofa,Frestað. Málinu vísað til Borgarskipulags til ákvörðunar um grenndarkynningu.,"Sótt er um leyfi til þess að byggja sólstofu á svölum 2. hæðar tvíbýlishússins á lóð nr. 4 við Bauganes. Samþykki meðeiganda og nágranna dags. 10. október 2000 fylgir erindinu. Stærð: Sólstofa 13,2 ferm., 35,6 rúmm. Gjald kr. 4.100 + 1.460"
22241 (01.85.430.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN022241,Bjarmaland  2-8,br. byggingarleyfi frá 14.11.00,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Sótt er um leyfi til þess að minnka lítillega nýsamþykkta viðbyggingar við hús nr. 4 á lóðinni nr. 2-8 við Bjarmaland. Bréf hönnuðar dags. 28. nóvember 2000 fylgir erindinu. Stærð: Viðbygging verður 30 ferm. (-0,7), rúmm. óbreyttir 88 rúmm. Gjald kr. 4.100"
22081 (01.22.110.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN022081,Borgartún 24 ,Hækkun á framhúsi um 1 hæð,Frestað. Vísað til athugasemda á umsóknarblaði. Sérstök athylgi er vakin á umsögn Borgarskipulags hvað varðar deiliskipulagsbreytingu.,Sótt er um leyfi til að byggja eina skrifstofuhæð ofan á nyrsta hluta hússins nr. 24 við Borgartún (matshl. 04). Burðarvirki verða að mestu úr stáli og límtré en veggir að mestu úr glereiningum. Á þaki verður dúkur. Erindinu fylgir bréf hönnuðar dags. 31. okt. 2000 og umsögn Borgarskipulags dags. 30. nóvember 2000. Stærðir: xx Gjald kr. 4.100 + xx
22183 (01.21.910.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN022183,Borgartún 39 ,Frág. við lóðarmörk,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi til þess að breyta lítillega frágangi á norðurlóðamörkum lóðarinnar Borgartúni 39. Samþykki nágranna (á teikningu) og bréf lögmanns Nýherja dags. 8. nóvember 2000 fylgja erindinu. Gjald kr. 4.100
22234 (01.27.300.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN022234,Bólstaðarhlíð 12 ,"br. á þakkanti, stækkun svala",Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til þess að breyta þakkanti og stækka svalir 2. hæðar fjölbýlishússins á lóð nr. 12 við Bólstaðarhlíð. Samþykki meðeigenda dags. 28. nóvember 2000 fylgir erindinu. Gjald kr. 4.100
21793 (04.02.840.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021793,Breiðhöfði 11 ,Glerskáli,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi fyrir áður gerðum breytingum á útliti (gluggasetningu) vesturhliðar og einnig er sótt um leyfi til þess að byggja anddyri úr áli og gleri að vesturhlið afgreiðsluhúss (matshl. 01) á lóðinni nr. 11 við Breiðhöfða. Bréf hönnuðar dags. 29. nóvember 2000 fylgir erindinu. Stærð: Stækkun 8,2 ferm., 20,0 rúmm. Gjald kr. 4.100 + 820"
22176 (02.42.530.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN022176,Brúnastaðir 33-39,br. á óútfylltu rými (nr. 39),Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um leyfi til þess að stækka 1. hæð yfir í óútgrafna sökkla og innrétta þar baðherbergi í húsi nr. 39 á lóð nr. 33-39 við Brúnastaði. Samþykki meðeigenda dags. 1. des. 2000 fylgir erindinu. Stærð: Stækkun 1. hæð 10,7 ferm., 29 rúmm. Gjald kr. 4.100 + 1.189"
22017 (02.42.430.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN022017,Brúnastaðir 61,Br. á gluggum og innra fyrirkomul.,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um leyfi til þess að breyta gluggum á vesturhlið, breyta anddyri, eldhúsi og þvottaherbergi í húsinu á lóðinni nr. 61 við Brúnastaði. Gjald kr. 4.100"
22010 (02.57.580.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN022010,Bæjarflöt 6 ,reyndarteikningar,Frestað. Lagfæra skráningu.,"Sótt er um samþykki fyrir reyndarteikningum af húsinu á lóðinni nr. 6 við Bæjarflöt. Klæðningu, dyrum og gluggasetningu er breytt á öllum hliðum hússins. Gjald kr. 4.100"
