nr,url,heimilisfang,tegund,nidurstada,spurning
21735,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021735,Austurbrún 25,Endurnýjun á byggingarleyfi,Frestað. Vantar samþykki meðeigenda og meðlóðarhafa.,"Sótt er um endurnýjun á byggingarleyfi frá 11. nóvember 1997 þar sem samþykkt var stækkun á áður gerðri bílgyemslu og breytingu á opum hússins á lóðinni nr. 25 við Austurbrún. Stækkun: Bílgeymsla 7,1 ferm., 19,9 rúmm. Gjald kr. 4.100 + 816"
21577 (01.14.040.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021577,Austurstræti 8-10,"Br. kj og 1. hæð, líkamsrækt.",Frestað. Vísað til athugasemda á umsóknarblaði. Umsækjandi geri nánari grein fyrir erindinu og umsókn nr. 21726.,Sótt er um leyfi til þess að innrétta líkamsræktarstöð í kjallara og á hluta fyrstu hæðar hússins á lóðinni nr. 8-10 við Austurstræti. Jafnframt er sótt um leyfi til að innrétta veitingastað og snyrtistofu á fyrstu hæð og breyta skráningu til samræmis. Erindinu fylgir ódags. samþykki húseiganda varðandi veitingastað og heilsuræktarstöð. Gjald kr. 4.100
21726 (01.14.040.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021726,Austurstræti 8-10,veitingastaður ??,Frestað. Vísað til athugasemda á umsóknarblaði. Umsækjandi geri nánari grein fyrir erindinu og umsókn nr. 21577.,Sótt er um leyfi til þess að innrétta líkamsræktarstöð í kjallara og á hluta fyrstu hæðar hússins á lóðinni nr. 8-10 við Austurstræti. Jafnframt er sótt um leyfi til að innrétta veitingastað og snyrtistofu á fyrstu hæð og breyta skráningu til samræmis. Erindinu fylgir ódags. samþykki húseiganda varðandi veitingastað og heilsuræktarstöð. Gjald kr. 4.100
21639 (04.64.260.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021639,Álftahólar 2-8,Útvkl. og svalal.(nr. 8),Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að loka svölum og klæða hús nr. 8 með sléttum álplötum á lóð nr. 2-8 við Álftarhóla. Ástandskönnun útveggja dags. 31. mars 2000, umsókn um frestun á skilum á skráningartöflu og samþykki meðeigenda dags. 20. júlí 2000  fylgja erindinu. Stærð: Stækkun vegna svalalokunar 2. hæð 20,7 ferm., 3. hæð 41,8 ferm., 4. hæð 41,8 ferm., samtals 104,2 ferm., 281,4 rúmm. Gjald kr. 4.100 + 11.537"
21527 (01.29.040.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021527,Ármúli 2 ,Viðbygging - 2.áfangi,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Sótt er um leyfi til þess að byggja þriggja hæða steinsteypt skrifstofuhúsnæði sem er annar áfangi (matshl. 02) hússins á lóðinni nr. 2 við Ármúla. Stærð: 1. hæð, skrifstofur 411,7 ferm., 2. hæð, skrifstofur 407,3 ferm., 3. hæð, skrifstofur 407,3 ferm., þakrými, (tæknirými) 23,4 ferm. Samtals 1249,7 ferm. og 4710,6 rúmm. Gjald kr. 4.100 + 193.135"
21483 (01.29.320.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021483,Ármúli 34 ,Hárgreiðslustofa,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til þess að innrétta hárgreiðslustofu á fyrstu hæð hússins á lóðinni nr. 34 við Ármúla. Samþykki meðeigenda dags. 28. júlí, 1. ágúst og 17. ágúst 2000 fylgja erindinu. Bréf stjórnar SÍBS dags. 2. ágúst 2000 fylgir erindinu.  Gjald kr. 4.100"
21662,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021662,"Bakki, Kjalarnesi",Stækkun á fjósi,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til að stækka núverandi fjós og haughús á jörðinni Bakka á Kjalarnesi. Í fjósinu verði einnig mjaltabás og mjólkurhús.  Húsið verði byggt úr steinsteypu einangrað að utan og klætt bárujárni eins og þak. Jafnframt verði gert haughús undir eldra fjós. Stærðir: Haughús 216,9 ferm., fjós 300 ferm., samtals 1589,6 rúmm. Gjald kr. 4.100 + 65.173"
21549,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021549,Barðastaðir 79 ,Sólstofa,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um leyfi til þess að byggja sólstofu við vesturhlið hússins á lóðinni nr. 79 við Barðastaði. Stærð: Sólstofa 6,8 ferm. og 17,0 rúmm. Gjald kr. 4.100 + 697"
21557 (01.13.630.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021557,Bárugata 13 ,Raunteikn. -Núv. fyrirkomulag,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir áður gerðri íbúð og núverandi innra fyrirkomulagi í húsinu á lóðinni nr. 13 við Bárugötu. Virðingargjörð dags. 21. febrúar 1942 og afrit úr manntali árið 1952 fylgja erindinu. Skoðunarskýrsla byggingarfulltrúa dags. 15. ágúst 2000 fylgir erindinu. Gjald kr. 4.100
21359 (01.18.431.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN021359,Bergstaðastræti 26 ,Bílastæði á lóð nr. 26b,Frestað. Breyta skal uppdrætti til samræmis við umsögn Borgarskipulags.,"Sótt er um leyfi til þess að koma fyrir bílastæði fyrir hús 26B á lóð nr. 26 við Bergstaðastræti. Afrit af samningi milli lóðarhafa vegna afnota lóðarhluta fyrir hús nr. 26 og 26B dags. í janúar 1987, umsögn gatnamálastjóra dags. 10. júlí 2000 og umsögn Borgarskipulags dags. 28. ágúst 2000 fylgja erindinu. Skilyrt samþykki meðlóðarhafa dags. 11. ágúst með áritun umsækjanda dags. 17. ágúst 2000 fylgir erindinu. Gjald kr. 4.100"
