nr,url,heimilisfang,tegund,nidurstada,spurning
47106 (01.14.050.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN047106,Austurstræti 18,Skilti á austurgafl,Synjað. Samræmist ekki samþykkt um skilti í lögsögu Reykjavíkur.,Sótt er um leyfi til að setja upp 860/1160 cm auglýsingaskilti sem er dúkur strengdur á tréramma á austurgafl hússins á lóð nr. 18 við Austurstræti. Gjald kr. 9.500
46967 (01.43.200.3 02),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN046967,Álfheimar 11A,"Íbúð kjallara - mhl.02 - 0001
",Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að breyta hárgreiðslustofu sem samþykkt var 1991 í mhl. 02 aftur í íbúð eins og var frá upphafi í kjallara íbúðarhúss á lóð nr. 11 við Álfheima. Gjald kr. 9.000 + 9.500
47035 (01.35.100.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN047035,Brúnavegur 13,Jökulgrunn 2-6 - Skipta um glugga og hurðir,Frestað. Vísað til athugasemda eldvarnaeftirlits á umsóknarblaði.,"Sótt er um leyfi til að skipta um glugga og hurðir, stækka opnanleg fög og setja glugga í þau bil sem eru með tréklæðningu í húsinu nr. 2-6 við Jökulgrunn á lóð nr. 13 við Brúnaveg. Gjald kr. 9.500"
46915 (04.30.960.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN046915,Bæjarháls 1,Breytingar innanhúss,"Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Skilyrt er að ný eignaskiptayfirlýsing sé samþykkt fyrir útgáfu byggingarleyfis, henni verður þinglýst eigi síðar en við lokaúttekt. Áskilin lokaúttekt byggingarfulltrúa.","Sótt er um leyfi til þess að stækka millipall í matshluta 08 í húsinu á lóðinni nr. 1 við Bæjarháls. Samþykki eigenda og meðeigenda (ódags.) fylgir. Brunahönnunarskýrsla dags. 3. desember 2013 fylgir.  Stækkun millipalls: 153,5 ferm. Gjald kr. 9.000 kr."
47095 (01.63.4-9.9 14),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN047095,Eggertsgata 2-34,12-14 -  Útigeymslur - áður gert,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi fyrir tveimur þegar byggðum útigeymslum, mhl. 25 og mhl. 26, úr timbri fyrir útiáhöld og leiktæki við hús nr. 12-14 á lóð nr. 2-34 við Eggertsgötu. Stærðir: mhl. 25, 17ferm., 53,5 rúmm., mhl. 26, 17 ferm., 53,5 rúmm. Samtals: 34,0 ferm., 107,0 rúmm.  Gjald kr. 9.500"
45387 (08.1-.--9.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN045387,Elliðavatnsblettur 3,Reyndarteikningar mhl 01,Frestað. Milli funda.,"Sótt er um samþykkt á reyndarteikningu af sumarhúsi (mhl. 01) á lóð nr. 3 við Elliðavatnsblett. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 26. apríl 2013 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 26. apríl 2013 og tölvupósti frá Orkuveitu Reykjavíkur dags. 3. maí 2013.  Einnig ýmis skjöl varðandi heimild til geymslu leikmyndar á landinu, ýmis gögn varðandi rotþró og kvittun fyrir greiðslu gatnagerðargjalda dags. 18. október 2004. Stækkun: ?? ferm., ?? rúmm. Gjald kr. 8.500 + ??"
45997,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN045997,Eyjarslóð - uppsátur,stöðuleyfi fyrir bátaskýli,Frestað. Með vísan til umsagnar skipulagsfulltrúa og leiðbeininga hans dags. 23. janúar 2014.,"Sótt er um stöðuleyfi til eins árs fyrir bátaskýli sem byggt er úr fjórum 40 feta gámum og einum 20 feta gámi og staðsett á uppsátri við Eyjarslóð á svæði Faxaflóahafna við Eyjarslóð. Samþykki f.h. Faxaflóahafna dags. 13. maí 2013 fylgir erindinu. ásamt útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 24. janúar 2014 og umsögn skipulagsfulltrúa dags. 23. janúar 2014. Stærð Bátaskýlis: 211,8 ferm., 863,7 rúmm. Gjald kr. 9.000"
47000 (01.08.920.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN047000,Fiskislóð 23-25,Breyting á hurðum og þakglugga,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að breyta áður samþykktu erindi BN046773 þannig að loka á dyraopum á austur- og vesturhlið og þakgluggi milli módúllína 7 og 8 verður fjarlægður í húsinu á lóð nr. 23-25 við Fiskislóð. Gjald kr. 9.000
46945 (02.69.570.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN046945,Freyjubrunnur 3-5,"Færa þvottahús, útitröppur, nýjar svalir á 1. hæð og lóð lækkuð",Synjað. Samræmist ekki deiliskipulagi samanber umsögn skipulagsfulltrúa dags. 22. janúar 2014.,"Sótt er um leyfi til að færa þvottahús og fjarlægja eldvarnarvegg á milli geymslukjallara og íbúðar í mhl. 01 rými 0001, koma fyrir svölum á 1. hæð á íbúðum í mhl. 01 og  02 lækka og aðlaga lóð til samræmis við aðliggjandi lóðir og koma fyrir staðsteyptum útitröppum sitt hvoru megin við húsið á lóð nr. 3-5 við Freyjubrunn. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 24. janúar 2014 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 22. janúar 2014. Gjald kr. 9.000"
47030 (02.69.310.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN047030,Friggjarbrunnur 55-57,Nýbygging,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja 3 - 5 hæða staðsteypt fjölbýlishús með 51 leiguíbúð og bílakjallara fyrir 57 bíla á lóð nr. 55-57 við Friggjarbrunn. Stærð: Kjallari 2.140,6 ferm. (þ.a. bílageymsla 1.430,1 ferm.), 1. hæð 1.275,9 ferm., 2. og 3. hæð 1.270,3 ferm., 4. hæð 961 ferm., og 5. hæð 639,2 ferm. Samtals 7.557,3 ferm., 23.654,9 rúmm. B-rými, svalagangar 286,6 ferm., B-rými, svalir og pallar 406,8 ferm. Gjald kr. 9.000"
