nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
39058,BN039058,Álfheimar 74,breyting á innra skipulagi 3. og 4. hæð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að breyta innra skipulagi á 3. og 4. hæð frá nýsamþykktu byggingarleyfi, BN038203 í Glæsibæ á lóð nr. 74 við Álfheima.  Meðfylgjandi er samantekt á A-3 blöðum yfir breytingar.  Gjald kr. 7.300"
39076 (01.24.120.5),BN039076,Brautarholt 8,"skyggni, skipta um glugga",Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til að setja stálskyggni fyrir ofan rennihurð og skipta um glugga í sameign hússins á lóð nr. 8 við Brautarholt.  Gjald kr. 7.300
39091 (04.76.530.7),BN039091,B-Tröð 7,stækkun,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að stækka hesthús í Víðidal með því að lyfta hluta af þaki hússins á lóð nr.7 við B-Tröð.  Samþykki meðeiganda húss fylgir dags. 21.okt 2008  Stækkun: 73,5 ferm og 313,6 rúmm.  Gjöld kr. 7.300 + 22.893"
38965 (02.57.580.3),BN038965,Bæjarflöt 10,millipallur,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits.,"Sótt erum leyfi til að byggja millipall fyrir kaffistofu starfsmanna og búningsaðstöðu í atvinnuhúsnæði á lóð nr. 10 við Bæjarflöt.  Stækkun:  81,6 ferm.  Gjald kr. 7.300 + 7.300"
38917 (01.70.221.4),BN038917,Drápuhlíð 3,stækka svalir,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst fyrir útgáfu á byggingarleyfi. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að stækka svalir  úr 2,2 ferm. í 4,2 ferm. með sömu efnisnotkun og útfærslu og núverandi svalir á suðurhlið fjölbýlishúss á lóð nr. 3 við Drápuhlíð.  Bréf frá Byggingarfulltrúa stílað 06.07.2004 og 06.09.2005  efni: Svar við fyrirspurnum, bæði bréfin jákvæð. Bréf stílað 07.05.2006 með undirskriftum eigenda húseigna á lóðum nr. 3-5 Drápuhlíð. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 7. nóvember fylgir erindinu. Erindið var grenndarkynnt frá 2. október til og með 30. október 2008. Engar athugasemdir bárust.  Gjald kr. 7.300"
38918 (01.70.221.5),BN038918,Drápuhlíð 5,stækka svalir,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst fyrir útgáfu á byggingarleyfi. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að stækka svalir á suðurhlið húss, úr 2,2 ferm. í 4,2 ferm.  Nýju svalirnar hafa hafa sama útfærslu og efnisnotkun og gömlu svalirnar í fjölbýlishúsið á lóð nr. 5 við Drápuhlíð.  Bréf frá Byggingarfulltrúa stílað 06.07.2004 og 06.09.2005  efni: Svar við fyrirspurnum.  Bæði bréfin jákvæð. Bréf stílað 07.05.2006 með undirskriftum með eigendum húseigna á lóðum Drápuhlíð 3 og 5. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 7. nóvember 2008 fylgir erindinu. Erindið var grenndarkynnt frá 2. október 2008 til og með 30. oktober 2008. Engar athugasemdir bárust.  Gjald kr. 7.300"
39024 (01.45.400.2),BN039024,Dugguvogur 8-10,breyting á iðnaðarhúsn. í 3 íbúðir,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Skilyrt er að skráningartafla verði lagfærð fyrir útgáfu á byggingarleyfi. Á sérteikningum skal gerð grein fyrir brunahólfun rýmisins bæði lóðrétt og lárétt. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi.,Sótt er um leyfi til að breyta í þrjár íbúðir hluta 2. hæðar atvinnuhússins á lóðinni nr. 8-10 við Dugguvog.  Erindi fylgir samþykki meðlóðarhafa dags. 22. október 2007 og 15. október 2008.  Gjald kr. 7.300 + 7.300
38305 (01.08.910.3),BN038305,Fiskislóð 11-13,"milligólf, flóttastigi",Frestað. Milli funda.,"Sótt er um leyfi til að byggja flóttastiga, skyggni yfir inngang, milligólf yfir anddyri og afgreiðslu 1. hæðar og  til að innrétta með geymslueiningum og tilheyrandi millipöllum og stigum nýsamþykkt, BN035034 dags. 12. desember 2006, atvinnuhús á lóðinni nr. 11-13 við Fiskislóð.  Meðfylgjandi er brunahönnun frá EFLA dags. 10. nóvember 2008, yfirlýsing burðarvirkishönnuðar dags. 3. apríl 2008 og tölvupóstur frá FMR dags. 3. apríl 2008.   Stækkun 131,3 ferm.  Gjald kr. 7.300 + 7.300"
39154 (01.24.720.5),BN039154,Flókagata 18,"hækka þak, kvistir",Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsstjóra.,"Sótt er um leyfi til að hækka þak með kvistum og þakgluggum, rýmið verður stækkun á og hluti af íbúð á 2. hæð, sömuleiðis eru austursvalir á 2. hæð stækkaðar í íbúðarhúsi á lóð nr. 18 við Flókagötu.  Meðfylgjandi er fyrirspurn BN033012 dags. 10.1.2006,  Stækkun 54,4 ferm., xxx rúmm.  Gjald kr. 7300 + xxxx"
39155 (02.69.550.3),BN039155,Freyjubrunnur 29,stækkun og breyting 4. hæð,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,"Sótt er um leyfi til að stækka og breyta efstu hæð fjölbýlishúss úr steyptum einingum á lóð nr. 29 við Freyjubrunn.  Stærðir: Stækkun 41,9 ferm., 315,9 rúmm.  Eftir stækkun samtals 874,3 ferm., 2.909 rúmm.  Gjald kr. 7.300 + 23.060"
