nr,url,heimilisfang,tegund,nidurstada,spurning
50991 (01.11.980.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050991,Austurbakki 2,Bílaþvottastöð - bílakjallara Hörpu,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að innrétta bílaþvottastöð og -hreinsunar í bílakjallara við norðurútgang á K2 í Hörpu á lóð nr. 2 við Austurbakka. Gjald kr. 10.100
50971 (01.29.510.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050971,Ármúli 42,Pizzustaður - 1.hæð,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,"Sótt er um leyfi til að innrétta veitingastað í flokki I, teg. A á 1. hæð í rými sem áður hýsti hamborgarastað í húsi á lóð nr. 42 við Ármúla. Gjald kr. 10.100"
51022 (01.26.200.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN051022,Ármúli 5,Lagfæra skráningu,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi.     Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til að leiðrétta stærðir í nýsamþykktu erindi, sjá BN050326 á lóð nr. 5 við Ármúla. Stækkun var skráð:  180 ferm., 761 rúmm. Á að vera 94,2 ferm., 112,4 rúmm. Gjald kr. 10.100"
51010 (01.17.120.2 01),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN051010,Bankastræti 14,Breyta gluggum,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta gluggum, sjá erindi BN045741, rennihurðir eru settar í stað hurða á lömum, og sölulúgur eru settar í tvö verslunarbil á 1. hæð í húsi á lóð nr. 14 við Bankastræti. Meðfylgjandi er bréf frá arkitekt dags. 9.5. 2016. Gjald kr. 10.100"
51086 (01.19.032.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN051086,Bergþórugata 31,Breyting inni - brunaop - brunastigi,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta innra skipulagi og fjölga svefnherbergjum, gera björgunarop á snyrtingu og koma fyrir fellistiga í íbúð 0101 í fjölbýlishúsi á lóð nr. 31 við Bergþórugötu. Jafnframt er erindi BN050557 dregið til baka. Gjald kr. 10.100"
51114 (04.05.640.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN051114,Bíldshöfði 7,Gluggar á austurhlið - leiðr. á staðsetningu veggja,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi á nýjum gluggum á austurhlið og áður gerðum innri breytingum á húsi á lóð nr. 7 við Bíldshöfða.  Gjald kr. 10.100
47670 (01.18.663.9),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN047670,Bragagata 26A,Endurnýjun - BN035456,Frestað. Málinu vísað til skipulagsfulltrúa til ákvörðunar um grenndarkynningu. Vísað er til uppdráttar. nr. 1 dags. 11. maí 2016.,"Sótt er um leyfi til að byggja nýjar svalir á suðvesturgafli, koma fyrir þaksvölum og skjólgirðingu ofan á geymsluskúr og reisa skjólvegg á lóðamörkum við raðhús á lóðinni nr. 26A við Bragagötu. Sjá erindi BN035456 sem samþykkt var 29. ágúst 2007. Meðfylgjandi er samþykki meðeiganda dags. 23. maí 2014 og samþykki nágranna á nr. 24 og 26 dags. 23. maí 2014. Gjald kr 9.500"
51055 (01.22.210.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN051055,Bríetartún 6,Kvistur - 0401,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja kvist á þakíbúð 0401, sbr. samþykkt erindi 794/89 dags. 31.8. 1989 í fjölbýlishúsi á lóð nr. 6 Við Bríetartún. Meðfylgjandi er samþykki meðeigenda. Stækkun 7 ferm., 22,3 rúmm. Gjald kr. 10.100"
50996 (01.35.050.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050996,Brúnavegur 3-5,Reyndarteikningar - breytingar BN049724,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta áður samþykktu erindi BN049724 þannig að vegna vinnslu eignaskiptayfirlýsingar kom í ljós villa í teikningum varðandi bílskúr, voru veggir sem skiptu upp tvöföldum bílskúr ranglega staðsettir  á lóð nr. 3-5 við Brúnaveg.  Gjald kr. 10.100"
50896 (04.76.570.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050896,D-Tröð 8,Breyting inni - taðlosun úti,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi til að breyta innra skipulagi í syðri hluta og til að endurbæta taðþró í hesthúsi við D-tröð 8. Erindi fylgir samþykki eigenda dags. 12. mars 2016. Gjald kr. 10.100
