nr,url,heimilisfang,tegund,nidurstada,spurning
50815 (01.11.980.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050815,Austurbakki 2,Breyting bílakjallara - reitur 1 og 2,"Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar umhverfis- og skipulagsráðs, dags. 22. maí 2013, skal lóðarhafi, í samráði við byggingarfulltrúa, setja upp skilti til kynningar á fyrirhuguðum framkvæmdum á byggingarstað. Í samræmi við samþykkt umhverfis- og skipulagsráðs dags. 9. október 2013 skal vélknúinn þvottabúnaður vera til staðar á byggingarlóð sem tryggi að vörubílar og aðrar þungavinnuvélar verði þrifnar áður en þær yfirgefa byggingarstað. Samráð skal haft við byggingarfulltrúa um staðsetningu búnaðarins. Sérstakt samráð skal haft við yfirverkfræðing byggingarfulltrúa vegna jarðvinnu. Skilyrt er að ný eignaskiptayfirlýsing sé samþykkt fyrir útgáfu byggingarleyfis, henni verður þinglýst eigi síðar en við fokheldi. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.","Sótt er um leyfi til að hækka G1 og G2 um eina hæð, breyta innra skipulagi íbúða og burðarkerfi, fjölga íbúðum um þrjár þannig að þar verða 40 íbúðir og fyrirkomulagi bílastæða í kjallara, sjá erindi BN048688 í fjölbýlishúsum á reit 1 lóð nr. 2 við Austurbakka. Stækkun:  920,9 ferm., 2.914,4 rúmm. Gjald kr. 10.100"
50746 (04.66.710.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050746,Austurberg 3,Tengigangur,"Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar umhverfis- og skipulagsráðs, dags. 22. maí 2013, skal lóðarhafi, í samráði við byggingarfulltrúa, setja upp skilti til kynningar á fyrirhuguðum framkvæmdum á byggingarstað. Í samræmi við samþykkt umhverfis- og skipulagsráðs dags. 9. október 2013 skal vélknúinn þvottabúnaður vera til staðar á byggingarlóð sem tryggi að vörubílar og aðrar þungavinnuvélar verði þrifnar áður en þær yfirgefa byggingarstað. Samráð skal haft við byggingarfulltrúa um staðsetningu búnaðarins. Sérstakt samráð skal haft við yfirverkfræðing byggingarfulltrúa vegna jarðvinnu. Skilyrt er að eignaskiptayfirlýsing vegna lóðar sé samþykkt fyrir útgáfu byggingarleyfis, henni verður þinglýst eigi síðar en við fokheldi. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.","Sótt er um leyfi til að byggja tengigang milli búningsálmu sundlaugar að nýbyggingu World Class við íþróttahús og sundlaug á lóð nr. 3 við Austurberg. Erindi fylgir greinargerð um brunavarnir dags. 2. apríl 2016. Stækkun:  87,7 ferm., 289,4 rúmm. Gjald kr. 10.100"
50872 (01.26.410.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050872,Ármúli 21,Breyting inni - vesturendi,Frestað. Vísað til athugasemda eldvarnaeftirlits á umsóknarblaði.,Sótt er um leyfi til að breyta innra skipulagi í rými 0101 í atvinnuhúsi á lóð nr. 21 við Ármúla. Gjald kr. 10.100
50820 (01.29.000.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050820,Ármúli 4-6,4 - Lyfta við stigahús,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi fyrir áður gerðum innri breytingum sem felast í að koma fyrir lyftu á milli 1. hæðar til 3. hæðar í húsi nr. 4 á lóð nr. 4 til 6 við Ármúla. Gjald kr. 10.100
50326 (01.26.200.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050326,Ármúli 5,Hótel,"Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Skilyrt er að ný eignaskiptayfirlýsing sé samþykkt fyrir útgáfu byggingarleyfis, henni verður þinglýst eigi síðar en við lokaúttekt. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.","Sótt er um leyfi til að einangra og klæða að utan með sléttum álplötum, breyta innra skipulagi, byggja flóttastiga á austurgafli og innrétta gististað í flokki IV teg. hótel með 57 herbergjum í mhl. 01 á lóð nr. 5 við Ármúla. Jafnframt er erindi BN049537 fellt úr gildi. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 11. desember 2015 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 9. desember 2015. Erindi fylgir orkurammi dags.. 21. nóvember 2015. Stækkun:  180 ferm., 761 rúmm. Gjald kr. 9.823"
50852 (02.42.110.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050852,Bakkastaðir 45,Einbýlishús,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja steinsteypt einbýlishús með innbyggðri tvöfaldri bílgeymslu, einangrað að utan og klætt sléttum plötum á lóð nr. 45 við Bakkastaði. Stærð:  269,3 ferm., 784 rúmm. Gjald kr. 10.100"
50875 (01.17.101.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050875,Bankastræti 11,Matvöruverslun - austurhluta jarðhæðar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að innrétta matvöruverslun í stað sérvöruverslunar í austurhluta 1. hæðar í húsi á lóð nr. 11 við Bankastræti. Jafnframt er erindi BN050620 dregið til baka. Meðfylgjandi er umsögn Minjastofnunar Íslands dags. 5. febrúar 2016 og umsögn skipulagsfulltrúa dags. 8. maí 2015. Gjald kr. 10.100
50224 (01.19.111.9),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050224,Barónsstígur 43,Íbúð kjallara - skráð ósamþykkt,Frestað. Milli funda.,"Sótt er um leyfi til að skrá íbúðareign 0001 sem ósamþykkta íbúð í kjallara fjölbýlishúss á lóð nr. 43 við Barónsstíg. Meðfylgjandi er bréf umsækjanda ódags. einnig íbúðarskoðun, söluyfirlit og virðingargjörð. Gjald kr. 9.823"
50853 (01.13.540.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050853,Bárugata 35,"Íbúð risi, loka milli hæða o.fl.",Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til að gera íbúð í risi að séríbúð og loka á milli hennar og íbúðar á 2. hæð, síkka þakglugga og byggja svalir á rishæð fjölbýlishúss á lóð nr. 35 við Bárugötu. Stærðarbreytingar:  ferm., rúmm. Gjöld kr. 10.100"
44177 (01.18.442.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN044177,Bjargarstígur 16,Áður gerðar svalir,Frestað. Lagfæra skráningu.,"Sótt er um leyfi fyrir áður gerðum svölum úr áli og timbri á suðurhlið einbýlishúss á lóð nr. 16 við Bjargarstíg. Erindi fylgir umsögn Húsafriðunarnefndar dags. 2. mars og Minjasafns Reykjavíkur dags. 9. mars bæði 2012 þar sem hvorugur gerir athugasemd við erindið. Erindi var grenndarkynnt frá 20. apríl til og með 22. maí 2012. Eftirtaldir aðilar sendu athugasemdir: Einar Guðjónsson dags. 22. maí 2012 og Tinna Jóhannsdóttir dags. 22. maí 2012. Einnig er lögð fram umsögn skipulagsstjóra dags. 29. maí 2012. Áður gerð geymsla 3,9 ferm., 10,4 rúmm. Gjald kr. 8.500 + 8.500 + 884"
50838 (01.23.000.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050838,Borgartún 26,Verslunarrými 1. hæð - breytingar 0103,Frestað. Skipulagsferli ólokið.,"Sótt er um leyfi til að skipta rými 0103 í tvö rými 0103 og 0104 og koma fyrir fiskverslun með veitingarekstur í flokki II  með nýjum inngangi á norðurhlið í rými 0104 í húsinu á lóð nr. 26 við Borgartún.  Bréf frá hönnuði dags. 7. apríl 2016 og tæknilegar upplýsingar um Ozon loftun, tölvupóstur frá fasteignaumsjón Eik dags. 11. apríl 2016 og umboð  frá eiganda LF ehf. dags. 11. apríl 2016 fylgja erindi. Gjald kr. 10.100"
50833 (01.24.230.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050833,Brautarholt 10-14,Reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki á minni háttar breytingum innanhúss, á fyrirkomulagi í eldhúsi, timburlistar eru felldir burt á norðurhlið við inngang og útfærslu er breytt á sorpgeymslu í og við hótel á lóð nr. 10-14 við Brautarholt. Gjald kr. 10.100"
50822 (01.24.200.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050822,Brautarholt 7,Hæðarskil á milli íbúða,Frestað. Vísað til athugasemda eldvarnaeftirlits á umsóknarblaði.,Sótt er um leyfi til breytinga á byggingarlýsingu varðandi hæðaskil milli íbúða og vegna brunavarna í fjölbýlishúsi á lóð nr. 7 við Brautarholt. Gjald kr. 10.100
50854 (04.61.520.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050854,Brúnastekkur 11,Breyting inni - breyting úti,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi fyrir áður gerðum breytingum sem eru að taka í notkun óútgrafið rými, breyta bílskýli í hobbý herbergi og tengja það við íbúð, breyta innra skipulagi í húsi og færa til og fjölga bílastæðum um tvö bílastæði á lóð nr. 11 við Brúnastekk.  Stækkun húss er : 105,1 ferm., 284,2 rúmm. Gjald kr. 10.100"
50847 (04.30.430.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050847,Dragháls 28-30/F.....,Fossháls 27-29 - Breytingar inni,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til breytinga og samþykki á þegar gerðum breytingum sem felast í að eignir 0101 og 0102 sameinast, eign 0202 stækkar á kostnað 0201, 0301 verður ný eign, sem og annarra breytinga innanhúss í atvinnuhúsi á lóð nr. 27-29 við Fossháls/nr. 28-30 við Dragháls. Gjald kr. 10.100"
50869 (04.03.520.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050869,Eldshöfði 9,Innkeyrsluhurð - flóttastigi 2.hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að færa innkeyrsluhurð í útbrún á austurgafli í bílakjallara og breyta hringflóttastiga frá 2. hæð í beinan í atvinnuhúsi á lóð nr. 9 við Eldshöfða. Gjald kr. 10.100
50829 (01.37.220.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050829,Engjavegur 7,Stöðuleyfi fyrir þrjú hús og tjald,Frestað. Gera betur grein fyrir erindinu.,"Sótt er um stöðuleyfi fyrir hús fyrir snyrtingar, miða- og veitingahús, fréttamannaskýli ásamt tjaldi fyrir íþróttaiðkendur við Valbjarnarvöll fyrir knattspyrnutímabilið 2017 við gerfigrasvöllinn í Laugardal á lóð nr. 7 við Engjaveg. Gjald kr. 10.100"
50850 (01.11.040.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050850,Eyjarslóð 11A,Breytingar inni,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta innra skipulagi eins og því er lýst í byggingarlýsingu og að stórum hluta fjallar um að koma fyrir nýjum hringstiga, breyta búningsaðstöðu og bæta við sturtu og snyrtiaðstöðu á 1. og 2. hæð í húsinu á lóð nr. 11A við Eyjaslóð. Bréf frá vinnueftirliti  dags 15. mars. 2016 fylgir. Gjald kr. 10.100"
50790 (01.08.740.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050790,Fiskislóð 53-69,57-59 - Kaffibrugghús,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að innrétta kaffibrennslu, kaffiskóla og kaffihús í flokki III fyrir 80 gesti í rými 0101 í mhl. 02 í iðnaðarhúsi á lóð nr. 57-59 við Fiskislóð. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 8. apríl 2016 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 8. apríl 2016. Jákvæð fyrirspurn BN050093 um kaffibrennslu fylgir erindi.  Gjald kr. 10.100"
50483 (01.27.001.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN050483,Flókagata 67,Stækka bílskúr og hækka þak,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að byggja við og hækka þakið á bílskúrnum á lóð nr. 67 við Flókagötu. Tölvupóstur frá hönnuði  þar sem grenndarkynningar er óskað dags. 14. janúar 2016 og bréf frá hönnuði dags. 21. maí 2015 fylgja erindi. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 11. mars 2016 fylgir erindinu. Erindið var grenndarkynnt frá 5. febrúar til og með 4, mars 2016. Engar athugasemdir bárust. Gjald kr. 10.100"
