nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
52944 (01.14.041.5),BN052944,Aðalstræti 7,Stækka kjallara og stigahús o.fl. - Breyting BN047437,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til að breyta erindi BN047437, hætt er við að lyfta húsi, kjallari stækkaður og dýpkaður, bætt við svölum á bakhlið, breytt opnun lyftu o. fl. í íbúðar- og atvinnuhúsi á lóð nr. 7 við Aðalstræti.  Stækkun:  59 ferm., 122,5 rúmm.  Gjald kr. 11.000"
52849 (01.11.980.1),BN052849,Austurbakki 2,Stöðuleyfi - vinnubúðir,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010.,Sótt er um leyfi til að koma upp vinnubúðum vegna framkvæmda við hótel á reit 5 suðvestan við Hörpu á reit 7 á lóð nr. 2 við Austurbakka.  Gjald kr. 11.000
52940 (01.52.160.6),BN052940,Álagrandi 6,Tómstundahús á baklóð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja timburhús sem nota á sem tómstundahús með einhalla þaki, með steyptum sökklum og steyptri og einangraðri gólfplötu, innrétta baðherbergi og eldunaraðstöðu á lóð nr. 6 við Álagranda.   Stærð: 34 ferm., 121,6 rúmm.   Gjald kr. 11.000"
52682 (01.19.022.6),BN052682,Bergþórugata 5,Viðbygging,Frestað. Með vísan til umsagnar skipulagsfulltrú dags. 2. júní 2017.,"Sótt er um leyfi til að byggja viðbyggingu til vesturs og til austurs, byggja rishæð og innrétta fjórar íbúðir í einbýlishúsi á lóð nr. 5 við Bergþórugötu.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 2. júní 2017 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 2. júní  2017.   Stækkun:  209,1 ferm., 614,2 rúmm.  Stærð eftir stækkun, A-rými:  442 ferm., 1.332,2 rúmm.  B-rými:  110,6 ferm.  Gjald kr. 11.000"
52886 (04.06.400.1),BN052886,Bíldshöfði 8,Smávöruturn sunnan við húsið,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til að byggja smávörulager við suðurhlið húss á lóð nr. 8 við Bíldshöfða.  Stærðir: x ferm., x rúmm.  Gjald kr. 11.000"
52943,BN052943,Blikastaðavegur 2-8,Breyting inni - bil I og J,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt um leyfi til að breyta innra skipulagi í rými I og J á milli mátlína 11-15 í verslunarhúsi á lóð nr. 2-8 við Blikastaðaveg.    Gjald kr. 11.000
52548 (01.85.200.2),BN052548,Brúnaland 2-40 3-21,21 - Grafa út kjallara,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að innrétta áður gert útgrafið rými í kjallara og innrétta tómstundaherbergi, geymslu og baðherbergi ásamt því að grafa frá húshlið að norðanverðu á húsi á lóð nr. 21 við Brúnaland.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 31. mars 2017 fylgir erindinu, ásamt umsögn skipulagsfulltrúa dags. 31. mars 2017.   Stækkun: A-rými 45,1 ferm., x rúmm.  Gjald kr. 11.000"
52838 (01.71.300.6),BN052838,Drápuhlíð 36,Bílskúr,Frestað. Umsókn er í grenndarkynningu.,"Sótt er um leyfi til að byggja staðsteyptan bílskúr við austurhlið lóðar upp við lóðarmörkum nr. 38  á lóð fjölbýlishúss nr. 36 við Drápuhlíð.   Bréf frá hönnuði dags. 9. maí 2017, Eignaskiptayfirlýsing dags. 20 nóv. 2011 og  bréf hönnuðar dags. 31. maí með samþykki sumra dags. 26.maí 2017 fylgir.   Stærð bílskúr:  28,0 ferm., 85,4 rúmm.   Gjald kr. 11.000"
52949 (01.41.011.8),BN052949,Efstasund 79,Uppfærðir brunauppdrættir,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að breyta erindi BN046936, um er að ræða að uppfæra brunamerkingar í húsinu á lóð nr. 79 við Efstasund.  Gjald kr. 11.000"
52738 (01.63.4-9.9),BN052738,Eggertsgata 2-34,2-4 - Skyggni - svalalokanir,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi fyrir áður gerðum breytingum sem felast í því að steypt hefur verið skyggni við inngang, anddyri stækkað og settar hafa verið upp svalalokanir samhliða viðhaldsframkvæmdum, auk þess sem minniháttar breytingar hafa verið gerðar á geymslum á 1. og 2. hæð í húsi nr. 2-4 á lóð nr. 2-34 við Eggertsgötu.  Stækkun: A-rými 5,2 ferm., 14,7 rúmm.  Sjá erindi BN049710.  Gjald kr. 11.000"
52959 (01.52.510.1),BN052959,Einimelur 19,Breyta gluggum - hurð út á pall.,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta gluggum í kvistum á suðurhlið með því að síkka þá og koma fyrir hurð út á pall  á húsinu á lóð nr. 19 við Einimel.   Gjald kr. 11.000
52832 (01.13.341.3),BN052832,Framnesvegur 40,Fjölbýlishús - fimm íbúðir,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja fimm íbúða fjölbýlishús úr forsteyptum samlokueiningum á lóð nr. 42 við Framnesveg.  Stærð, A-rými:  441,4 ferm., 1.304,2 rúmm  B-rými:  22,4 ferm., 62,7 rúmm.  Gjald kr. 11.000"
52831 (01.13.341.4),BN052831,Framnesvegur 42,Fjölbýlishús - fjórar íbúðir,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja fjögurra íbúða fjölbýlishús úr forsteyptum samlokueiningum á lóð nr. 42 við Framnesveg.  Stærð, A-rými:  446 ferm., 1.319,7 rúmm  B-rými:  19,7 ferm., 55,1 rúmm.  Gjald kr. 11.000"
52967 (05.05.510.5),BN052967,Friggjarbrunnur 10-12,Reyndarteikningar v/lokaúttektar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi fyrir áður gerðum breytingum á erindi BN035242 vegna lokaúttektar þannig  að geymslum er breytt í baðherbergi og verandir eru stækkaðar á lóð nr. 10-12 við Friggjarbrunn.  Gjald kr. 11.000
52509 (02.69.310.1),BN052509,Friggjarbrunnur 51,Breyting - inni og úti,"Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar umhverfis- og skipulagsráðs, dags. 22. maí 2013, skal lóðarhafi, í samráði við byggingarfulltrúa, setja upp skilti til kynningar á fyrirhuguðum framkvæmdum á byggingarstað. Í samræmi við samþykkt umhverfis- og skipulagsráðs dags. 9. október 2013 skal vélknúinn þvottabúnaður vera til staðar á byggingarlóð sem tryggi að vörubílar og aðrar þungavinnuvélar verði þrifnar áður en þær yfirgefa byggingarstað. Samráð skal haft við byggingarfulltrúa um staðsetningu búnaðarins. Sérstakt samráð skal haft við yfirverkfræðing byggingarfulltrúa vegna jarðvinnu. Áskilin lokaúttekt byggingarfulltrúa.","Sótt er um leyfi til að breyta erindi BN049156, sett er inn kvöð um aðkeyrslu að bílgeymslu yfir lóð 47A, útfærslu svala 0404 breytt, innra skipulagi kjallara breytt og komið fyrir sorpgeymslu á lóð fjölbýlishúss nr. 51 við Friggjarbrunn.  Gjald kr. 11.000"
52833 (02.69.310.3),BN052833,Friggjarbrunnur 53,Reyndarteikningar,Frestað. Vísað til athugasemda eldvarnareftirlits á umsóknarblaði.,"Sótt er um leyfi til að breyta fyrirkomulagi stæða í bílgeymslu, skiptingu svala á 5. hæð og fyrir breyttum frágangi þaka, sjá erindi BN048621,  á fjölbýlishúsi á lóð nr. 53 við Friggjarbrunn.  Gjald kr. 11.000"
52977 (01.44.030.1),BN052977,Gnoðarvogur 43,Breyting inni,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að skipta út og breyta glerveggjum og hurðum við skrifstofur og kennslustofur á 1. og 2. hæð Vogaskóla á lóð nr. 43 við Gnoðarvog.  Gjald kr. 11.000
52829 (01.44.410.1),BN052829,Gnoðarvogur 44-46,46 - Steyptur kassi fyrir gaskúta,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta áður samþykktu erindi BN051965 þar sem farið er fram á að steypa kassa með stálhurð að framan fyrir gaskúta við norðvesturhlið veitingarstaðarins í mhl. 02 rými 0101 í húsinu nr. 46  á lóð nr. 44 til 46 við Gnoðarvog.   Gjald kr. 11.000
52934 (01.11.530.1),BN052934,Grandagarður 2,Skilti á eyju á horni Rastargötu og Grandagarðs,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,Sótt er um leyfi til að setja upp skilti á horni Rastargötu og Grandagarðs sem verður þríhyrnt á steyptum sökkli  á borgarlandi fyrir utan lóð nr. 2 við Grandagarð.  Teikning frá umsækjanda fylgir.  Gjald kr. 11.000
52791 (01.11.510.1),BN052791,Grandagarður 8 - göngubryggja,Göngubryggja - tenging gönguleiða að bryggjum,Frestað. Með vísan til umsagnar skipulagsfulltrúa dags. 2. júní 2017.,Sótt er um leyfi til að byggja göngubrú sem tengir gönguleið frá Rastagötu að bryggju við Sjóminjasafn og liggur að húsi á lóð nr. 8 við Grandagarð.  Erindi fylgir samþykki Faxaflóahafna dags. 24. apríl 2017 og útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 2. júní 2017 ásamt umsögn skipulagsfulltrúa dags. 2. júní 2017.   Gjald kr. 11.000
