nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
52373 (01.11.980.1),BN052373,Austurbakki 2,"Bílastæði undir Geirsgötu, mhl. 09","Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar umhverfis- og skipulagsráðs, dags. 22. maí 2013, skal lóðarhafi, í samráði við byggingarfulltrúa, setja upp skilti til kynningar á fyrirhuguðum framkvæmdum á byggingarstað. Í samræmi við samþykkt umhverfis- og skipulagsráðs dags. 9. október 2013 skal vélknúinn þvottabúnaður vera til staðar á byggingarlóð sem tryggi að vörubílar og aðrar þungavinnuvélar verði þrifnar áður en þær yfirgefa byggingarstað. Samráð skal haft við byggingarfulltrúa um staðsetningu búnaðarins. Sérstakt samráð skal haft við yfirverkfræðing byggingarfulltrúa vegna jarðvinnu. Áskilin lokaúttekt byggingarfulltrúa.","Sótt er um leyfi til að breyta erindi BN051700, um er að ræða aðlögun þess hluta bílakjallara sem liggur undir Geirsgötu, mhl. 09, að aðliggjandi húsum og kjöllurum á lóð nr. 2 við Austurbakka.  Stæðum fjölgar um tvö, verða 128.  Mhl. 09 minnkar um:  148,3 ferm., 576,4 rúmm.  Gjald kr. 11.000"
52225 (01.11.980.1),BN052225,Austurbakki 2,Fjölbýlis- og verzlunarhúsnæði - nýtt mál,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta erindi BN050486 sem felst m.a. í því að umfangi og formi húsa hefur verið breytt, bætt við hæð í bílakjallara, yfirbyggð göngugata fjarlægð og íbúðum fækkað úr 106 í 71 í verslunar- og íbúðarhúsi á lóð nr. 2 við Austurbakka.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 27. janúar 2017 fylgir erindinu.  Stækkun: A-rými: x ferm., x rúmm. B-rými x ferm.  Gjald kr. 11.000"
52169 (01.11.980.1),BN052169,Austurbakki 2,"Hótel, Breyting á BN050485",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta erindi BN050485, um er að ræða stækkun tæknirýma í neðri kjallara, minni háttar breytingar á útliti og innra skipulagi allra hæða og stækkun 7. hæðar hótels á lóð nr. 2 við Austurbakka.  Erindi fylgja greinargerðir um algilda hönnun dags. 22. desember 2016, um eldvarnir dags. 22 desember 2016, um hljóðvist dags. 14. desember 2016 og  um hávaðadreifingu frá hafnarstarfsemi í Reykjavík dags. í september 2015.  Stækkun, mhl. 06:  xx ferm., xx rúmm.  Mhl. 11:  xx ferm., xx rúmm.  Mhl. 10:  xx ferm., xx rúmm.  Gjald kr. 10.100"
52381 (01.13.630.4),BN052381,Bárugata 9,Áður gerðar svalir,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Það athugist að um er að ræða samþykkt á áður gerðri framkvæmd sem gerð var án byggingarleyfis. Óvissa kann því að vera um uppbyggingu og útfærslu framkvæmdar. Hvorki er skráð verktrygging á verkið né ábyrgðaraðilar. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um samþykki fyrir áður gerðum svölum, sjá erindi BN030570 sem grenndarkynnt var og samþykkt 2005, á 2. hæð fjölbýlishúss á lóð nr. 9 við Bárugötu.  Gjald kr. 11.000"
52370 (04.02.410.2),BN052370,Básbryggja 51,Áður gerðar breytingar,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um áður gerðar breytingar annars vegar sem felast í því að íbúð 0303 og 0304 voru sameinaðar í eina og hins vegar nýja breytingu sem felst í því að rými 0402 og 0403, sem áður tilheyrðu sameinaðri íbúð 0303, tilheyra nú íbúð 0401 og núverandi stigi í íbúð 0303 er fjarlægður í húsi á lóð nr. 51 við Básabryggju.  Bréf umsækjanda dags. 07.02.2017 fylgir erindi.  Gjald kr. 11.000"
52263 (04.05.640.1),BN052263,Bíldshöfði 7,Stækka framleiðslusal,Frestað. Er í skipulagsferli.,"Sótt er um leyfi til að byggja við núverandi framleiðslusal mhl. 25 og verða veggir að hálfu steyptir og að hálfu úr samlokustáleiningum í húsinu á lóð nr. 7 við Bíldshöfða, samkvæmt uppdr. TAG teiknistofu ehf., dags. 11. janúar 2017.   Stækkun: 201,4 ferm., 1.249,9 rúmm.   Gjald kr. 11.000"
52030 (01.22.110.1),BN052030,Borgartún 24,Breyting á innveggjum og innréttingum,"Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Skilyrt er að ný eignaskiptayfirlýsing sé samþykkt fyrir útgáfu byggingarleyfis, henni verður þinglýst eigi síðar en við lokaúttekt. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.","Sótt er um leyfi til að breyta innveggjum, innréttingum og að loka stigagati á milli fyrstu hæðar 0101 og kjallara 0002í húsinu á lóð nr. 24 við Borgartún .  Stækkun vegna lokunar á stigagati: 7,4 ferm.   Gjald kr. 10.100"
52200 (01.18.310.7),BN052200,Bókhlöðustígur 2,Reyndarteikningar,Frestað. Lagfæra skráningu.,"Sótt er um leyfi fyrir áður gerðum breytingum sem felast í því að útliti vesturhliðar kjallara hefur verið breytt, kjallaragluggar hafa verið stækkaðir og syðsti hluti kjallarans hefur verið dýpkaður í húsi á lóð nr. 2 við Bókhlöðustíg.  Stækkun: 16,5 rúmm.  Umsögn Minjastofnunar dags. 25.01.2017 fylgir erindi ásamt bréfi arkitekts dags. 24.01.2017.  Gjald kr. 11.000"
52114 (01.45.400.2),BN052114,Dugguvogur 8-10,Reyndarteikningar 1. hæð hús nr. 10,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Það athugist að um er að ræða samþykkt á áður gerðri framkvæmd sem gerð var án byggingarleyfis. Óvissa kann því að vera um uppbyggingu og útfærslu framkvæmdar. Hvorki er skráð verktrygging á verkið né ábyrgðaraðilar. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi fyrir áður gerðum breytingum innan- og utanhúss eins og lýst er í byggingarlýsingu í húsi nr. 10 á lóð nr. 8- 10 við Dugguvog.   Samþykki meðeigenda fylgir ódagsett.  Gjald kr. 10.100
52279 (01.18.551.2),BN052279,Fjólugata 21,Reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Það athugist að um er að ræða samþykkt á áður gerðri framkvæmd sem gerð var án byggingarleyfis. Óvissa kann því að vera um uppbyggingu og útfærslu framkvæmdar. Hvorki er skráð verktrygging á verkið né ábyrgðaraðilar. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi fyrir áður gerðum breytingum á mhl. 01 og 02 vegna gerðar eignaskiptayfirlýsingar í húsi á lóð nr. 21 við Fjólugötu.  Bréf hönnuðar dags. 01.02.2017 fylgir erindi.  Gjald kr. 11.000
