nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
44280 (01.43.430.1),BN044280,Álfheimar 74,Skyggni við vesturinngang,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að byggja skyggni við vesturinngang verslunarmiðstöðvarinnar í Glæsibæ á lóð nr. 74 við Álfheima.  Gjald kr. 8.500
44276 (01.17.020.4),BN044276,Bankastræti 6,Íbúð 3. og 4. hæð - verönd 3. hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að skipta 3. hæð í tvær íbúðir, til að útbúa verönd á þaki 3. hæðar og fyrir núverandi fyrirkomulagi í íbúðar- og atvinnuhúsi á lóð nr. 6 við Bankastræti.  Erindi fylgja yfirlýsing og samþykki meðeigenda dags. 15. og 29. febrúar 2012, virðingargjörð dags. 1. júní 1941, þinglýst umboð v/ 3. hæðar dags. 27. nóvember 2009 og jákv. fsp. um þaksvalir dags. 12. maí 2005.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 16.04.2012 fylgir erindinu.  Gjald kr. 8.500"
44274 (01.19.310.1),BN044274,Barónsstígur 47,Breyting - 1. og 2. hæð,Frestað. Vísað til athugasemda á umsóknarblaði. Málið er ennfremur til umfjöllunar hjá skipulagsstjóra.,Sótt er um leyfi til að innrétta gistiheimili í flokki II fyrir 46 gesti á 1. hæð í heilsuverndarstöðinni á lóð nr. 47 við Barónsstíg.  Gjald kr. 8.500
44343 (04.03.430.2),BN044343,Breiðhöfði 11A,"Hækka gólf, breikka hurð o.fl.",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að hækka gólf í hluta rýmis 0102 um 80 cm. úr steinsteypu, hurð  á austurhlið rýmisins er breikkuð og gerð hurð á milli þvottaklefa og rýmis í húsinu á lóð nr. 11A við Breiðhöfða.   Gjald kr. 8.500"
44309 (04.03.010.2),BN044309,Eirhöfði 8 -Breiðh 15,Breyting úti og inni,Frestað. Vísað til athugasemda á umsóknarblaði og útskriftar úr gerðabók skipulagsstjóra dags. 16. apríl 2012.,"Sótt er um leyfi til að breyta innra skipulagi 1. hæðar, stækka húsið með því að koma fyrir 2. hæð og millilofti, koma fyrir svölum á suðurhlið og skyggni á austurhlið húsins á lóð nr. 8 -15  við Eirhöfða 8 -Breiðh 15. sbr. BN040330.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 13. apríl 2012 fylgir erindinu.  Stækkun millipalls XX ferm.  Stækkun 2. hæð XX ferm.   Gjald kr.8.500"
44346,BN044346,Engjavegur - Laugardalur,Brettavöllur,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,Sótt er um leyfi til að setja brettavöll 42 x 9 metra á lengd á ómerkta lóð í Laugadal við Engjaveg.  Gjald kr. 8.500
44320 (02.85.020.3),BN044320,Fannafold 107,Breytingar inni,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að breyta innra skipulagi þannig að anddyri er breikkað, bætt við fataskáp og rennihurðum og eldhús fært  í herbergi norðvesturhorni einbýlishússins á lóð nr. 107 við Fannafold.  Gjald kr. 8.500"
44027 (01.53.211.2),BN044027,Faxaskjól 26,Viðbygging og kvistur,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja nýjan bílskúr, byggja við og fjölga kvistum að norðan og sunnan við íbúðarhúsið á lóð nr. 26 við Faxaskjól.  Erindið var grenndarkynnt frá 25. janúar til og með 22. febrúar 2012. Eftirtaldir aðilar sendu inn athugasemdir: Íbúar að Sörlaskjóli 17 dags. 5. febrúar 2012.  Meðfylgjandi er umsögn skipulagsstjóra ásamt teikningum af skuggavarpi dags. 3. apríl 2012.  Stækkun: xx ferm., xx rúmm.  Gjald kr. 8.500 + xx"
44275 (01.29.430.2),BN044275,Fellsmúli  5-11,9-11 - Br. á gluggum,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að breyta gluggum á suður og norðurhlið fjölbýlishúss nr. 9-11 á lóð nr. 5-11 við Fellsmúla.  Erindi fylgir bréf hönnuðar dags. 24. aprís 2012.  Gjald kr. 8.500
44341 (01.18.511.4),BN044341,Fjólugata 5,Breytingar á samþ. BN044059,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta áður samþykktu erindi BN044059 dags. 27. mars. 2012 þannig að bílskúr stækkar, komið verður fyrir sorpskýli undir tröppur, inngangur á austurhlið breytt í glugga, verönd garðmegin lengd, bætt er við gluggum í kjallara á austur hlið og nýr inngangur undir núverandi aðalinngang í einbýlishúsinu á lóð nr. 5 við Fjólugötu.  Stækkun: 7,2 ferm., 23,3 rúmm.   Gjald kr. 8.500 + 1.981"
