nr,url,heimilisfang,tegund,nidurstada,spurning
44934 (01.81.321.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN044934,Akurgerði 21,Skúr og heitur pottur,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi fyrir áður gerðum geymsluskúr með skyggni og áður byggðum heitum potti á lóð nr. 21 við Akurgerði. Samþykki nágranna á lóð nr. 23 fylgir með á teikningu. Stærð skúrs er: 6 ferm., 16,5 rúmm. Gjald kr. 8.500 + 1.402"
44935 (01.81.321.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN044935,Akurgerði 21,Breyta gluggum - þakgluggi,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki á þrem þegar byggðum þakgluggum á norðausturþakhlið og einum á suðvesturhlið, allir á milli sperra, og breytum gluggum í kvistum á suðvesturhlið parhússins á lóð nr. 21 við Akurgerði . Samþykki eiganda Akurgerðis 19 og 23 er á teikningu. Gjald kr. 8.500"
44180 (01.70.421.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN044180,Blönduhlíð 9,Bílskúr,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja steinsteyptan bílskúr í norðvesturhorni lóðar fjölbýlishúss á lóð nr. 9 við Blönduhlíð. Erindið var grenndarkynnt frá 1. júní til og með 29. júní 2012 og samþykkt af skipulagsráði sem vísaði því til fullnaðarafgreiðslu byggingarfulltrúa. Erindi fylgja fsp. BN044040, BN043234, BN040455 og BN039742 og samþykki meðeigenda áritað á uppdrátt sem dagsettur er 13. október 2011, breytt 10. maí 2012. Stærð:  35,8 ferm., 112,3 rúmm. Gjald kr. 8.500 + 9.546"
44924 (01.21.910.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN044924,Borgartún 33,Innrétting o.fl.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta innra skipulagi í kjallara, 1. og 2. hæðar á nýsamþykktu erindi og aðskilið byggingaleyfi sem tekur til innréttingar í kjallara, 1. og 2. hæð hússins ásamt öllum lögnum innan þess leigurýmis, sjá erindi BN043900 í húsi á lóð nr. 33 við Borgartún.  Bréf frá hönnuði dags. 11. sept. 2012 og 19. sept. 2012 fylgja. Gjald kr. 8.500"
44978 (01.21.910.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN044978,Borgartún 33,Hækkun húss - breyting úti,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta erindi BN044277, hætt er við að rífa hringstiga og hann framlengdur ofan í kjallara, þakvirki er breytt sem og innra skipulagi á öllum hæðum í verslunar- og skrifstofuhúsi á lóð nr. 33 við Borgartún.  Stækkun:  274,7 rúmm. Gjald kr. 8.500 + 23.350"
44815 (01.13.521.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN044815,Bræðraborgarstígur 7,Áður gerðar breytingar 0201 - 0202,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi.     Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi fyrir áður gerðum breytingum þar sem íbúð 0202 er stækkuð á kostnað íbúðar 0201 í  fjölbýlishúsinu á lóð nr. 7 við Bræðraborgarstíg. Jákvæð fyrirspurn BN044789 fylgir dags. 24. júlí 2012. Gjald kr. 8.500 + 8.500
43641 (04.76.540.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN043641,C-Tröð 1,br. hestasundlaug í hesthús,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010.  Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til að breyta hestabaðsaðstöðu í hesthús með stíum og byggja kaffistofur á efri hæð, með fjórskiptu eignarhaldi í hesthúsi í Víðidal á lóð nr. C-Tröð 1. Stærðir stækkun: 28,7 ferm., 86,3 rúmm. Gjald kr. 8.000 + 8.500 + 7.336"
44983 (04.97.040.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN044983,Fífusel 25-41,35-37 - Tækjaskápur og loftnet,Frestað. Samkvæmt gögnum embættisins er lágmarksgjald ógreitt.,Sótt er um leyfi til að setja upp farsímaloftnet á þak og tækjaskáp í kjallara á fjölbýlishússins nr. 35-37 á lóð nr. 25-41 við Fífusel. Samþykki húsfélags dags. 13 júlí 2012 fylgir. Gjald kr. 8.500
44989 (02.46.730.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN044989,Fossaleynir 14,Breyting inni - útbygging,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að flytja til hurð og stækka á vesturgafli , gluggum á útbyggingu breytt og innra skipulagi og brunatáknum breytt í húsinu á lóð nr. 14 við Fossaleyni. Gjald kr. 8.500"
44996 (01.14.030.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN044996,Hafnarstræti 20/Læk5,Breyta í menningarhús,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,Sótt er um leyfi til að starfrækja menningar- og þjónustumiðstöð með móttökueldhús á 4. hæð fyrir 132 gesti með vínveitingar í flokki II  og einnig er sótt  um takmarkaða framlengingu heimildar fyrir svölum og hringstiga á 4 hæð með sömu skilyrðum og áður í húsinu á lóð nr. 20 við Hafnarstræti. Bréf frá hönnuði dags. 19 sept. 2012 Gjald kr. 8.500
44981 (01.23.530.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN044981,Hátún 8A,Stjórnstöð fyrir snjóbræðslu,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að byggja hús fyrir stjórnstöð snjóbræðslu á lóð nr. 8 við Hátún. Stærð 12 ferm., 28,8 rúmm. Gjald kr. 8.500 + 2.448"
44590 (01.32.750.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN044590,Héðinsgata 2,"Milliveggir, hurðarop",Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Þinglýsa skal lóðarskiptayfirlýsingu vegna breyttrar stærðar matshluta eigi síðar en við lokaúttekt. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til breytinga á verksmiðjuhúsi til aðlögunar að starfsemi átöppunarverksmiðju fyrir kolsýrt vatn og gos, breytingar eru þær að komið er fyrir nýrri innkeyrsluhurð og nýrri gönguhurð ásamt léttum innveggjum í skemmu á lóð nr. 2 við Héðinsgötu. Meðfylgjandi er eldvarnarskýrsla dags. 5.6. 2012. Gjald kr. 8.500 + 8.500"
44705 (01.43.010.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN044705,Holtavegur 23,Lyfta fyrir fatlaða í suðurbyggingu,Frestað. Vísað til athugasemda eldvarnaeftirlits á umsóknarblaði.,Sótt er um leyfi til að koma fyrir lyftu í suðurbyggingu Langholtsskóla á lóð nr. 23 við Holtaveg. Gjald kr. 8.500
44992 (01.17.100.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN044992,Hverfisgata 18,Breyting inni,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til breytinga innanhúss, stækka lækkun á gólfi kjallara um 5,4 ferm., færa kaffistofu starfsmanna og stækka sal í kjallara, gestafjöldi er óbreyttur í veitingahúsi á lóð nr. 18 við Hverfisgötu. Stækkun 1,6 rúmm. Gjald kr. 8.500 + 136"
44976 (01.15.251.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN044976,Hverfisgata 61,Nýtt fjölbýlishús,Frestað. Uppfærðum uppdráttum vísað til umsagnar skipulagsstjóra.,"Sótt er um leyfi til þess að byggja steinsteypt fjölbýlishús sem er þrjár hæðir og ris, með átján íbúðum á lóðinni nr. 61 við Hverfisgötu.  Sbr. erindi BN044673 ""Niðurrif - þrír matshl."" sem er til umfjöllunar hjá skipulagsstjóra.  Stærð: Fjölbýlishús xx ferm. og xx rúmm. Gjald kr. 8.500 + xx"
44997 (00.00.000.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN044997,Kristnibraut 14-22,Nr. 14 -Vindvörn á útipalli - 0101,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að setja útipallslokun með viðurkenndu brautarkerfi þar sem glerflekar eru með öryggisgleri á íbúð 0101 í mhl. 01 í húsinu nr. 14 á lóð nr. 12 til 22. Samþykki meðeignenda ódags. fylgir. Stærð útipallslokunar: 41,4 rúmm. Gjald kr. 8.500 + 3.519"
