nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
48436 (32.16.110.1),BN048436,Arnarholt 221217,Fjölga íbúðum - sorpgerði,Frestað. Lagfæra skráningartöflu.,"Sótt er um leyfi til að breyta 14 einstaklingsherbergjum í starfsmannahúsi í sjö íbúðir í mhl. 04, en fyrir eru fjórar íbúðir þannig að byggingin verður fjölbýlishús með 11 íbúðum, mhl. 04, einnig er sótt um að byggja sorpgerði og hjóla- og vagnageymslu, mhl. 10 og mhl. 11, við fjölbýlishúsið  á Arnarholti með landnúmer 221217.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 20. febrúar 2015 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 20. febrúar 2015.  Mhl. 11:  20,3 ferm., 52,8 rúmm.  Mhl. 10:  20,3 ferm., 52,8 rúmm.  Gjald kr. 9.500"
49665 (01.24.710.1),BN049665,Auðarstræti 15,Nýtt baðherbergi - kjallari,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að gera nýtt baðherbergi í kjallara í húsi á lóð nr. 15 við Auðarstræti  Gjald kr. 9.823
49755 (01.11.980.1),BN049755,Austurbakki 2,Takmarkað byggingarleyfi,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Samþykktin fellur úr gildi við útgáfu á endanlegu byggingarleyfi. Vegna útgáfu á takmörkuðu byggingarleyfi skal umsækjandi hafa samband við yfirverkfræðing embættis byggingarfulltrúa.,"Sótt er um takmarkað byggingarleyfi til að hefja jarðvegsframkvæmdir á byggingareit nr. 5 á lóðinni Austurbakki 2.  Tilgangurinn er að kanna hvort þar sé að finna olíumengaðan jarðveg í byggingarstæðinu, sbr. vísbendingar um slíkt í tilraunaborholum frá árinu 2006."
49570 (01.38.100.1),BN049570,Austurbrún 2,Svalalokun - 0409,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að loka svölum á íbúð 0401 með 8 mm öryggisgleri á brautum í fjölbýlishúsi á lóð nr. 2 við Austurbrún.  Bréf frá húsfélagi og samþykki meðeigenda húss ódags. fylgir.   Stærð brúttórúmm: 11,3 rúmm.  Gjald kr. 9.823"
49495 (01.14.041.8),BN049495,Austurv Thorvaldsenss,Thorvaldsenstræti 2 - Veitingastaður o.fl.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til breytinga á innra skipulagi í veitingasal á efri hæð og í tónlistar/dansstað sem báðir verða í flokki III fyrir samtals 400 gesti í húsi á lóð nr. 2 við Thorvaldsenstræti.  Meðfylgjandi er brunahönnun Eflu dags. 18. júní 2015, hljóðvistarskýrsla Eflu dags. júlí 2015, samningur um staðsetningu sorpíláta á lóð nr. 7 við Aðalstræti, umsögn Minjastofnunar Íslands dags. 10.7. 2015.  Gjald kr. 9.823"
49537 (01.26.200.2),BN049537,Ármúli 5,Hótel,Frestað. Lagfæra skráningartöflu.,"Sótt er um leyfi til að breyta húsnæði úr verslun og þjónustu í hótel í flokki II, tegund b, og breyta gluggum að hluta í norðurálmu húss, mhl. 1, á lóð nr. 5 við Ármúla.  Meðfylgjandi er fyrirspurn BN047973 sem fékk jákvæða umfjöllun 29. júlí 2015 og samþykki frá tveimur meðeigendum dags. 18. maí 2015.  Gjald kr. 9.823"
49736 (01.83.420.5),BN049736,Ásgarður  34-40,Endurbyggja skjólvegg,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að endurbyggja skjólvegg sem hljóðmön að Bústaðavegi og hækka úr 1500 mm í 1835 mm og byggja einnig 1200 mm grindverk að vestan við raðhús á lóð nr. 34-40 við Ásgarð.  Gjald kr. 9.823
49524 (01.55.010.2),BN049524,Birkimelur 3,"Breyting á útliti, sorpgeymsla færð o.fl.",Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að breyta nýsamþykktu erindi BN049055 frá 24.3.2015 sem felst í að færa sorpgeymslu, síkka glugga við inngang niður í gólf og fækka opnanlegum gluggarömmum í blómabúð á lóð nr. 3 við Birkimel.  Gjald kr. 9.823"
49006 (01.16.234.0),BN049006,Blómvallagata 11,Svalir - kvistur - skorsteinn o.fl.,"Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Skilyrt er að ný eignaskiptayfirlýsing sé samþykkt fyrir útgáfu byggingarleyfis, henni verður þinglýst eigi síðar en við lokaúttekt. Áskilin lokaúttekt byggingarfulltrúa.","Sótt er um leyfi til að byggja svalir á austurhlið allra íbúða, koma fyrir eldvarnarhurðum milli stigahúss og íbúða, fjarlægja skorstein, byggja kvist á götuhlið og breyta innra skipulagi íbúðar á 4. hæð fjölbýlishúss á lóð nr. 11 við Blómvallagötu.  Erindi fylgir greinargerð um ástandsskoðun húss frá verkfræðistofunni Eflu dags. í júlí 2013, allsherjarumboð frá eiganda íbúðar 0302 dags. 2. febrúar 2011, samþykki meðeigenda ódagsett og bréf hönnuðar dags. 27. maí 2015.  Einnig fylgir útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 15. maí 2015, umsögn skipulagsfulltrúa dags. 13. maí 2015 og útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 17. júlí 2015.  Erindið var grenndarkynnt frá 11. júní til og með 9. júlí 2015. Engar athugasemdir bárust.  Gjald kr. 9.823"
49545 (01.71.400.3),BN049545,Bogahlíð  2-6,4 - Setlaug á þaksvölum,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að koma fyrir heitum potti á þaksvölum íbúðar 0302 í fjölbýlishúsinu nr. 4  á lóð nr. 2-6 við Bogahlíð   Samþykki meðeigenda fylgir ódags. Umsögn burðarvirkishönnuðar dags. 4. júní 2015.  Gjald kr. 9.823
