nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
23304 (04.66.710.1),BN023304,Austurberg 3,Rennibraut og lendingarlaug,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,Sótt er um leyfi til þess að setja upp rennibraut við  Breiðholtslaug og tilheyrandi lendingarlaug á lóð nr. 3 við Austurberg.  Umsögn gatnamálastjóra dags. 27. júní 2001og bréf hönnuðar dags. 24. júlí og 27. júlí 2001 fylgja erindinu.  Gjald kr. 4.100
22356 (01.14.050.1),BN022356,Austurstr. 16-Póst. 7,br. á útloftun eldh. og flóttaleið,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til þess að breyta innra skipulagi kjallara, inngangi á 1. hæð, innra skipulagi á 1. hæð, loftræstingu frá eldhúsi og flóttaleiðum á 1. hæð og í kjallara hússins á lóð nr. 16 við Austurstræti.  Mat á flóttaleiðum frá VSI dags. 13. desember 2000 og umboð eiganda dags. 4. ágúst 2001 fylgja erindinu.  Gjald kr. 4.100"
23736 (01.14.041.8),BN023736,Austurv Póstur og Sím,Veitingahús.,Frestað. Málinu vísað til umsagnar Borgarskipulags vegna staðbundinar byggingarsamþykktar. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að endurinnrétta veitingastað á  fyrstu hæð með aðstöðu fyrir starfsfólk í kjallara hússins nr. 2 við Thorvaldsenstræti á lóðinni ""Austurv Póstur og sím"". Gert er ráð fyrir allt að 500 gestum í húsinu.  Leigutilboð (ódags.) fylgir erindinu. Samstarfsyfirlýsing Gámaþjónustunnar og umsækjanda dags. 10. september 2001 fylgir erindinu.  Gjald kr. 4.100"
23342 (01.29.000.1),BN023342,Ármúli 4,"Tengibygg, lóðasameining",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að sameina lóðirnar Ármúla 4 og Ármúla 6.  Jafnframt er sótt um leyfi til að byggja tengibyggingu úr steinsteypu á hinni sameinuðu lóð.  Umsögn Borgarskipulags dags. 10. júlí 2001, bréf hönnuðar dags. 17. júlí 2001, bréf meðeigenda dags. 3. september 2001 fylgir erindinu.  Stærðir: 113,3 ferm. og 512,6 rúmm.  Gjald kr. 4.100 + 2.101"
23751 (01.29.530.6),BN023751,Ármúli 44,Neyðarútgangur frá 3. hæð,Frestað. Vísað til athugasemda á umsóknarblaði. Helga Guðmundsdóttir vék af fundi við afgreiðslu málsins.,Sótt er um leyfi til þess að koma fyrir neyðarútgangi með stálpalli og stálstiga frá þriðju hæð hússins á lóðinni nr. 44 við Ármúla.  Gjald kr. 4.100
23734 (01.18.620.2),BN023734,Baldursgata 16,svalir,Frestað. Gögn ófullnægjandi.,Sótt er um leyfi til þess að setja svalir á suðausturhlið (bakhlið) annarrar hæðar hússins á lóðinni nr. 16 við Baldursgötu.  Samþykki meðeigenda á teikn. og dags. 31. júlí 2001 og ljósmyndir fylgja erindinu.
23748 (01.17.412.7),BN023748,Barónsstígur 13,rishæð,Frestað. Vísað til athugasemda á umsóknarblaði. Að þeim uppfylltum verður málið sent Borgarskipulagi til ákvörðunar um grenndarkynningu.,"Sótt er um leyfi til þess að byggja rishæð (4.hæð) ofan á eftirmeðferðarheimilið á lóðinni nr. 13 við Barónsstíg.  Stærð: 4. hæð 99,4 ferm. og 289,5 rúmm.  Gjald kr. 4.100 + 11.870"
23764 (01.18.431.1),BN023764,Bjargarstígur 6,reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir reyndarteikningum af húsinu á lóðinni nr. 6 við Bjargarstíg.  Virðingargjörð dags. 1. mars 1942 fylgir erindinu.  Gjald kr. 4.100
23739 (01.16.233.6),BN023739,Brávallagata 22,reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir reyndarteikningum af kjallara hússins á lóðinni nr. 22 við Brávallagötu. Í kjallara er sýnd séreign þar sem áður voru geymslur.  Gjald kr. 4.100
23687 (01.35.100.1),BN023687,Brúnavegur Hrafnista,klæðning - lagfæra svalir,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til þess að klæða suðurhlið D-álmu hússins með Stenex plötum og lagfæra handrið á svölum húss Hrafnistu á lóð við Brúnaveg.   Ástandsskýrsla útveggja dags. 21. ágúst 2001 fylgir erindinu.  Gjald kr. 4.100
