nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
42834 (01.14.040.7),BN042834,Austurstræti 12,breyting inni/úti,Frestað. Vísað til athugasemda eldvarnaeftirlits á umsóknarblaði.,Sótt er um breyttan gestafjölda innanhúss og um leyfi fyrir útiveitingum bæði við Austurstræti og Vallarstræti í veitingastað á 1. hæð í húsi á lóð nr. 12 við Austurstræti.  Umsögn skrifstofu gatna- og eignaumsýslu fylgir erindinu ásamt útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 29. apríl 2011 og umsögn skipulagsstjóra dags. 27. apríl 2011.  Gjald kr. 8.000
42927 (01.14.050.4),BN042927,Austurstræti 22,breyting inni (Grillmarkaðurinn),Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta milliveggjum, eldhúsi og loftræstingu í fyrirhuguðum  veitingastað í mhl. 01 sem er í  flokki III í kjallara og á jarðhæð í atvinnuhúsnæðinu á lóð nr. 22 við Austurstræti.  Gjald kr. 8.000"
42838 (01.14.021.2),BN042838,Austurstræti 5,hurð,Frestað. Vísað til athugasemda eldvarnaeftirlits á umsóknarblaði.,"Sótt er um leyfi til að setja hurð í glerfront Austurstrætismegin, þar sem hún var í upphafi, í húsi Arion Banka á lóð nr. 5 við Austurstræti.  Meðfylgjandi er umsögn Húsafriðunarnefndar dags. 22. desember 2010  Gjald kr. 8.000"
41803 (04.60.350.3),BN041803,Álfab. 12-16/Þönglab.,Þönglabakki 1 - breyta innra skipulagi,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta innra skipulagi í kjallara ásamt því að bæta við útgönguleiðum og hringstiga upp á 1. hæð í húsi nr. 1 við Þönglabakka á lóðinni Álfab. 12-16/Þönglab.  Gjald kr. 7.700
42929 (01.26.200.2),BN042929,Ármúli 5,reyndarteikning kjallara mhl 03,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um samþykki fyrir reyndarteikningu. sjá erindi BN040410, sem sýnir breyttar útgönguleiðir í atvinnueldhúsi í kjallara mhl.03 í húsi nr. 5 við Ármúla.  Gjald kr. 8.000"
42936 (04.73.410.2),BN042936,Árvað 3,"stækkun, tvær kennslustofur",Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi til að stækka um tvær færanlegar kennslustofur og tengigang leikskólans Rauðhól á lóð nr. 3 við Árvað.  Gjald kr. 8.000
42946 (01.13.920.4),BN042946,Ásvallagata 75,svalalokun,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til skipulagsstjóra til ákvörðunar um grenndarkynningu. Vísað er til uppdráttar dags.19.apríl 2011.,"Sótt er um leyfi til að byggja svalalokun úr áli og gleri yfir svalir á 2. hæð einbýlishússins á lóð nr. 75 við Ásvallagötu.  Stærð:  7,9 ferm., 17,4 rúmm.  Gjald kr. 8.000 + 1.392"
42721 (01.17.000.7),BN042721,Bankastræti 7,breyting inni í kjallara og 1. hæð,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,Sótt er um leyfi til að breyta innra fyrirkomulagi verslunar í kjallara og á 1. hæð atvinnuhúss á lóð nr. 7 við Bankastræti.  Gjald kr. 8.000
40827 (04.05.560.3),BN040827,Bíldshöfði 5A,áður gerð kæligeymsla,Frestað. Vísað til athugasemda heilbrigðiseftirlits á umsóknarblaði.,"Sótt er um leyfi fyrir áður viðbyggðri kæligeymslu við vesturvegg á atvinnuhúsinu á lóð nr. 5A við Bíldshöfða.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 8. janúar 2010 og umsögn skipulagsstjóra dags. 7. janúar 2010 fylgja erindinu.  Stækkun: 6,3 ferm og 14,1 rúmm.  Gjald kr. 7.700 + 8.000 + 1.086"
42904 (01.85.440.2),BN042904,Bjarmaland 18-24,"nr. 20 - skjólveggur, sundlaug, geymsla",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að gera sundlaug og byggja steypta skjólveggi á vesturhluta lóðar, einnig að byggja geymsluhús á lóð einbýlishússins nr. 20 á lóð nr. 18-24 við Bjarmaland.  Erindi fylgir samþykki meðlóðarhafa og Bjarmalands 14 dags. 11. apríl 2011 og útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 29. apríl 2011.  Geymsla:  25,1 ferm., 61,1 rúmm.  Gjald kr. 8.000 + 4.888"
