nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
43793 (01.14.041.5),BN043793,Aðalstræti 7,veitingarekstur í flokki 3,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta texta í erindislýsingu þannig að þar standi að kaffihúsið sé í flokki III á lóð nr. 7 við Aðalstræti. Meðfylgjandi er bréf arkitekts dags. 31.10. 2011. Útskrift úr gerðabók embættisafgreiðslufundar skipulagstjóra frá 11. nóvember  ásamt umsögn skipulagsstjóra dags. 10. nóvember fylgir erindinu  Gjald kr. 8.000
43805 (01.11.980.1),BN043805,Austurbakki 2,reyndarteikn. (br. BN034842),Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um br. á erindi BN034842 þar sem sýnd er afmörkun ófrágenginna rýma á 3.-8. hæð austurenda ásamt breytingum á innra skipulagi skrifstofurýma á  7. hæðar tónlistar- og ráðstefnuhússins (matshl. 01) á lóð nr. 2 við Austurbakka.  Gjald kr. 8000
43801 (01.14.021.0),BN043801,Austurstræti 9,breyting á gasgeymslu og fl.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er umleyfi til lagfæringar á gasforðageymslu, tilfæringu á sorpi, kæliskápum, matvælavaski og nýrri skábraut við aðalinngang veitingastaðar á lóð nr. 9 við Austurstræti.  Gjald kr. 8.000"
43804 (02.40.710.5),BN043804,Bakkastaðir 113-121,nr. 117 breytt skráning,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að sameina rými 0103 sem er vinnustofa við rými 0104 íbúð í raðhúsinu nr. 117 á lóð nr. 113-121 við Bakkastaðir.  Gjald kr. 8.000
43828 (01.18.311.0),BN043828,Bókhlöðustígur 6A,breytt afstöðumynd,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010.Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.  Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að breyta lítillega nýsamþykktu erindi, sjá BN042733 á einbýlishúsi á lóð nr. 6A við Bókhlöðustíg.  Gjald kr. 8.000"
43419 (01.13.700.3),BN043419,Bræðraborgarstígur 23,fjarlægja skúr og byggja nýjan,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að rífa gamlan skúr og byggja bílskúr úr timbri á steyptum undirstöðum með bárujárnsþaki á lóð nr. 23 við Bræðraborgarstíg.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 11. nóvember fylgir erindinu. Erindið var grenndarkynnt frá 6. október til 3. nóvember 2011, engar athugasemdir bárust.  Niðurrif:  17.25 ferm., 36.3 rúmm.  Bílskúr: 40,5 ferm., 121,5 rúmm.  Gjald kr. 8.000 + 8.000 + 9.720"
43420 (01.13.700.2),BN043420,Bræðraborgarstígur 23A,hjólageymsla og sólskáli,"Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Skilyrt er að ný eignaskiptayfirlýsing sé samþykkt fyrir útgáfu byggingarleyfis, henni verður þinglýst eigi síðar en við fokheldi. Áskilin lokaúttekt byggingarfulltrúa.","Sótt er um leyfi til að byggja hjólageymslu og sólskála úr timbri og gleri með bárujárnsþaki á steyptum undirstöðum með hellulögðu gólfi við hús á lóð nr. 23A við Bræðraborgarstíg.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 19. ágúst 2011 fylgir erindinu ásamt útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 11. nóvember 2011.  Erindið var grenndarkynnt frá 6. október til 3. nóvember 2011, engar athugasemdir bárust.  Stærðir: 18 ferm., 43 rúmm.  Gjald kr. 8.000 + 8.000 + 3.440"
43641 (04.76.540.1),BN043641,C-Tröð 1,br. hestasundlaug í hesthús,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta hestabaðsaðstöðu í hesthúsaðstöðu með stíum og byggja kaffistofur á efri hæð, með þrískiptu eignarhaldi í hesthúsi í Víðidal á lóð nr. C-Tröð 1.  Gjald kr. 8.000"
43776 (01.35.710.3),BN043776,Efstasund 37,reyndarteikningar,Frestað. Vísað til athugasemda eldvarnaeftirlits á umsóknarblaði.,Sótt er um samþykki á reyndarteikningum vegna eignaskiptasamnings á fjölbýlishúsinu á lóð nr. 37 við Efstasund.  Gjald kr. 8.000
43764 (02.85.470.5),BN043764,Frostafold 133A,Tjörudúkur og asfalt á bílgeymslu,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að setja tjörudúk og 50 mm asfaltslag ofan á þak bílageymslu á lóð nr. 133A við Frostafold.   Afgr. fyrirspurn BN043409 dags. 16. ágúst 2011 sem fjallar um burðarþol og hvað þungir bílar mega leggja á þakplaninu. og umsögn burðarvirkishönnuðar dags. 6. nóv. 2011 fylgir.  Gjald kr. 8.000
