nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
54208 (01.62.950.2),BN054208,Arnarhlíð 2 (Hlíðarendi 1-7),Breyting á BN048979 - fjölgun íbúða,Frestað. Vísað til athugasemda.,"Sótt er um leyfi til að breyta erindi BN048979, um er að ræða fjölgun á íbúðum og bílastæðum sem verða nú 142, fyrirkomulagi á geymslum breytt og útlit breytist lítils háttar á fjölbýlishúsi á lóð nr. 2 við Arnarhlíð.  Erindi fylgir brunahönnun frá Eflu dags. í febrúar 2018 og minnisblað hönnuða dags. 5. febrúar 2018.  Stærðir óbreyttar.  Gjald kr. 11.000"
54195 (01.11.980.1),BN054195,Austurbakki 2,"5b - Breytingar á 1. og 6. hæð, mhl 05 og 10",Frestað. Vísað til athugasemda eldvarnareftirlits.,"Sótt er um breytingar á erindi BN050486 sem felast í breytingum á grunnmyndum 1. og 6. hæðar, lítilsháttar breytingum á gluggasetningu og breytingu á þakvirki þaksvala í mhl.05, og breytingu á salarhæðum og lítilsháttar breytingu á flóttaleið í bílakjallara, mhl.10, ásamt uppfærslu á rýmisnúmerum í húsi á reit 5B á lóð nr. 2 við Austurbakka.  Stærðarbreyting: -11,6 ferm., +117,2 rúmm.  Gjald kr. 11.000"
54264 (04.60.350.3),BN054264,Álfab. 12-16/Þönglab.,Þönglabakki 1 - Breyting inni og úti,Frestað. Vísað til athugasemda.,Sótt er um leyfi til að breyta útliti þannig að komið er fyrir nýjum inngangi  norðan megin og innra skipulagi er breytt  í verslunarhúsnæði  nr. 1 við Þönglabakka á lóð nr.12-16 Álfabak/Þönglab.  Samþykki fylgir fyrir hönd Reita ehf. dags. 19. febrúar 2018.  Gjald kr. 11.000
54207 (01.71.301.6),BN054207,Blönduhlíð 23,Breyting á eignarhaldi geymslu,Frestað. Leggja þarf fram samþykki meðeigenda.,Sótt er um leyfi til að breyta eignarhaldi geymslu 0105 á 1. hæð fjölbýlishúss á lóð nr. 23 við Blönduhlíð.  Gjald kr. 11.000
54253 (01.24.120.1),BN054253,Brautarholt 2,Starfsmannastaða - 1.hæð,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til að uppfæra brunavarnir og breyta íbúðum á 2., 3. og 4. hæð í gististað í flokki II, teg. íbúð, 21 íbúð fyrir 90 gesti, einnig að innrétta starfsmannaaðstöðu í rými 0129 sem áður var þvottahús í fjölbýlishúsi á lóð nr. 2 við Brautarholt.  Gjald kr. 11.000"
54271 (01.74.530.1),BN054271,Efstaleiti 11,Takmarkað byggingarleyfi fyrir undirstöðum. Sjá stofn BN054155 !!,"Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Samþykktin fellur úr gildi við útgáfu á endanlegu byggingarleyfi. Vegna útgáfu á takmörkuðu byggingarleyfi skal umsækjandi hafa samband við yfirverkfræðing embættis byggingarfulltrúa. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar umhverfis- og skipulagsráðs, dags. 22. maí 2013, skal lóðarhafi, í samráði við byggingarfulltrúa, setja upp skilti til kynningar á fyrirhuguðum framkvæmdum á byggingarstað. Í samræmi við samþykkt umhverfis- og skipulagsráðs dags. 9. október 2013 skal vélknúinn þvottabúnaður vera til staðar á byggingarlóð sem tryggi að vörubílar og aðrar þungavinnuvélar verði þrifnar áður en þær yfirgefa byggingarstað. Samráð skal haft við byggingarfulltrúa um staðsetningu búnaðarins. Sérstakt samráð skal haft við yfirverkfræðing byggingarfulltrúa vegna jarðvinnu. Áskilin lokaúttekt byggingarfulltrúa.","Sótt er um takmarkað byggingarleyfi fyrir undirstöðum, botnplötu og lögnum í jörð fyrir fjölbýlishús mhl. 01 á lóð nr. 4 við Efstaleiti sbr. BN053226.  Meðfylgjandi er bréf byggingarstjóra og lóðarhafa dags. 16. febrúar 2018, hönnunaráætlun og verkáætlun."
54250 (04.77.270.1),BN054250,Elliðabraut 12,"Fjölbýlishús - 12, 14 og 16",Frestað. Vísað til athugasemda.,"Sótt er um leyfi til að byggja þrjú fjölbýlishús, fjórar hæðir með 57 íbúðum á bílakjallara fyrir 44 bíla á lóð nr. 12 við Elliðabraut.  Erindi fylgir greinargerð um brunahönnun frá Eflu dags. 13. febrúar 2018.  Stærð mhl. 01, A-rými:  2.232,2 ferm., 6.697 rúmm.  B-rými:  237 ferm., xx rúmm.  Mhl. 02, A-rými:  2.181,9 ferm., 6.878,4 rúmm.  B-rými:  237 ferm.,  xx rúmm.  Mhl. 03, A-rými:  2.232,2 ferm., 6.997 rúmm.  B-rými:  237 ferm., xx rúmm.  Mhl. 04, bílgeymsla, A-rými:  1.123,4 ferm., 3.448,9 rúmm.  Samtals A-rými:  7.769,7 ferm., 24.321,2 rúmm.  B-rými:  711 ferm.  Gjald kr. 11.000"
54163 (01.08.950.2),BN054163,Fiskislóð 3,Breyting inni og úti,Frestað. Vísað til athugasemda eldvarnareftirlits.,"Sótt er um leyfi til að skipta verslunarrými og innrétta apótek, koma fyrir nýjum inngangi á suðvesturhlið og nýrri hurð á suðurhlið fyrir starfsfólk og vörumóttöku í húsi á lóð nr. 3 við Fiskislóð.  Samþykki á umsóknarblaði dags. 14. febrúar 2018 fylgir.  Gjald kr. 11.000"
54257 (01.08.640.1),BN054257,Fiskislóð 37C,Hverfabækistöð - verkb.nr. 139378,Frestað. Vísað til athugasemda.,"Sótt er um leyfi til að reisa hverfabækistöð, mhl. 01, sem er skrifstofur, matsalur,  búningsaðstaða, verkstæði og vinnuaðstaða, og mhl. 02, sem eru yfirbyggðar þrær og aðstaða fyrir vinnuskóla, ásamt girðingu sem er 2,4 m á hæð á lóð nr. 37C við Fiskislóð.  Varmatapsútreikningar dags. 16. febrúar 2018, samþykki lóðarhafa aðliggjandi lóða v/girðingar fylgja erindi .   Stærð mhl. 01 er : A rými 1280,8 ferm., 645 rúmm.  B rými 18 ferm.,  48,6 rúmm.   Stærð mhl 02 er : A rými  123,8 ferm., 583,4 rúmm. B rými 184,2 ferm., 999,9 rúmm  Stærð samtals  A rými:  1.404,6 ferm., 1.228,4 rúmm.  B rými:  202,2 ferm., 1.048,5 rúmm.  Gjald kr. 11.000"
54238 (01.63.670.7),BN054238,Fossagata 2,Einbýlishús / vinnustofa,Frestað. Vísað til athugasemda.,"Sótt er um leyfi til að byggja tveggja hæða einbýlishús ásamt einnar hæðar vinnustofu á lóð nr. 2 við Fossagötu.  Stærðir:   Mhl.01: x ferm., x rúmm.  Mhl.02: x ferm., x rúmm.  Umsögn skipulagsfulltrúa dags. 24.11.2017 við fyrirspurn SN170829 fylgir erindi.  Jafnframt er erindi BN051376 fellt úr gildi.  Gjald kr. 11.000"
