nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
54260 (01.13.650.1),BN054260,Aðalstræti 4,Breyting á brunatexta o.fl.,Frestað. Vísað til athugasemda eldvarnareftirlits.,Sótt er um leyfi til að breyta texta um brunavarnir í byggingarlýsingu v/lokaúttektar í hóteli á lóð nr. 4 við Aðalstræti.  Gjald kr. 11.000
54259 (01.13.650.2),BN054259,Aðalstræti 6,Breyting á brunatexta o.fl.,Frestað. Vísað til athugasemda eldvarnareftirlits.,Sótt er um leyfi til að breyta texta um brunavarnir í byggingarlýsingu v/lokaúttektar í hóteli á lóð nr. 6 við Aðalstræti.  Gjald kr. 11.000
54261 (01.13.650.3),BN054261,Aðalstræti 8,Breyting á brunatexta o.fl.,Frestað. Vísað til athugasemda eldvarnareftirlits.,Sótt er um leyfi til að breyta texta um brunavarnir í byggingarlýsingu v/lokaúttektar í hóteli á lóð nr. 8 við Aðalstræti.  Gjald kr. 11.000
54133 (01.14.110.6),BN054133,Alþingisreitur,Tjarnargata 9 - Aþingi,Frestað. Vísað til athugasemda.,"Sótt er um leyfi til að byggja skrifstofuhús sem tengir og sameinar alla starfsemi Alþingis, með aðstöðu fyrir fundahöld, móttökur og ráðstefnur á Alþingisreit.  Erindi fylgir brunahönnun frá Eflu dags. 24. janúar 2018.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 2. mars 2018 fylgir erindinu, ásamt umsögn skipulagsfulltrúa dags. 2. mars 2018.  Stærð, mhl. 01, A-rými:  7.914,6 ferm., 31.073,4 rúmm.  B-rými:  130,7 ferm.  Mhl. 03, Kirkjustræti 4, A-rými:  787,9 ferm., 2.767,9 rúmm.  Greinargerð um brunahönnun dags. 24.01.2018 fylgir erindi ásamt umsögn Minjastofunnar dags. 21.02.2018.  Gjald kr. 11.000"
54195 (01.11.980.1),BN054195,Austurbakki 2,"5b - Breytingar á 1. og 6. hæð, mhl 05 og 10","Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Skilyrt er að ný eignaskiptayfirlýsing sé samþykkt fyrir útgáfu byggingarleyfis, henni verður þinglýst eigi síðar en við fokheldi. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar umhverfis- og skipulagsráðs, dags. 22. maí 2013, skal lóðarhafi, í samráði við byggingarfulltrúa, setja upp skilti til kynningar á fyrirhuguðum framkvæmdum á byggingarstað. Í samræmi við samþykkt umhverfis- og skipulagsráðs dags. 9. október 2013 skal vélknúinn þvottabúnaður vera til staðar á byggingarlóð sem tryggi að vörubílar og aðrar þungavinnuvélar verði þrifnar áður en þær yfirgefa byggingarstað. Samráð skal haft við byggingarfulltrúa um staðsetningu búnaðarins. Skilyrt er að ný eignaskiptayfirlýsing sé samþykkt fyrir útgáfu byggingarleyfis, henni verður þinglýst eigi síðar en við fokheldi. Áskilin lokaúttekt byggingarfulltrúa.","Sótt er um breytingar á erindi BN050486 sem felast í breytingum á grunnmyndum 1. og 6. hæðar, lítilsháttar breytingum á gluggasetningu og breytingu á þakvirki þaksvala í mhl.05, og breytingu á salarhæðum og lítilsháttar breytingu á flóttaleið í bílakjallara, mhl.10, ásamt uppfærslu á rýmisnúmerum í húsi á reit 5B á lóð nr. 2 við Austurbakka.  Stærðarbreyting: -11,6 ferm., +117,2 rúmm.  Gjald kr. 11.000"
54232 (01.13.911.4),BN054232,Ásvallagata 40,Gustlokun á svalir - garðdyr 1.hæð,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að setja upp gustlokun á svalir með 85% opnun og með einföldu hertu öryggisgleri  á íbúðum 0201, 0202, 0203, 0301, 0302 og 0303 og að setja hurð út í garð frá íbúðum 0101 og 0102 þar sem afmarkaður er sérafnotaflötur á lóð fyrir húsið á lóð nr. 40 við Ásvallagötu.  Samþykki frá meðeigendum dags. 24. janúar 2018 fylgir erindinu.   Svalir 0208: 8,4 ferm., 22,7 rúmm. Svalir 0209: 8,4 ferm., 22,7 rúmm. Svalir 0210: 8,4 ferm., 22,7 rúmm. Svalir 0307: 8,4 ferm., 22,7 rúmm. Svalir 0308: 8,4 ferm., 22,7 rúmm. Svalir 0309: 8,4 ferm., 22,7 rúmm. Samtals brúttó rúmm eru: 136,2 rúmm.  Gjald kr. 11.000"
53728 (01.70.110.9),BN053728,Barmahlíð 7,Áður gerðar breytingar,Frestað. Vísað til athugasemda.,Sótt er um leyfi fyrir áður gerðum breytingum innanhúss sem felast í því að hringstiga hefur verið komið fyrir milli íbúðar 0101 og rýmis 0002 og hluta af geymslu íbúðar 0001 hefur verið breytt í herbergi auk þess sem opnað hefur verið á milli þvottahúsa í kjallara í húsi á lóð nr. 7 við Barmahlíð.  Samþykki meðeigenda dags. 25.02.2018 fylgir erindi.  Gjald kr. 11.000
54314 (01.63.130.5),BN054314,Bjargargata 1,Takmarkað byggingarleyfi uppsteypa og plata y.kj.,"Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Samþykktin fellur úr gildi við útgáfu á endanlegu byggingarleyfi. Vegna útgáfu á takmörkuðu byggingarleyfi skal umsækjandi hafa samband við yfirverkfræðing embættis byggingarfulltrúa. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Með vísan til samþykktar umhverfis- og skipulagsráðs, dags. 22. maí 2013, skal lóðarhafi, í samráði við byggingarfulltrúa, setja upp skilti til kynningar á fyrirhuguðum framkvæmdum á byggingarstað. Í samræmi við samþykkt umhverfis- og skipulagsráðs dags. 9. október 2013 skal vélknúinn þvottabúnaður vera til staðar á byggingarlóð sem tryggi að vörubílar og aðrar þungavinnuvélar verði þrifnar áður en þær yfirgefa byggingarstað. Samráð skal haft við byggingarfulltrúa um staðsetningu búnaðarins. Sérstakt samráð skal haft við yfirverkfræðing byggingarfulltrúa vegna jarðvinnu. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.","Sótt er um takmarkað byggingarleyfi fyrir uppsteypu á kjallaraveggjum og plötu yfir kjallara nýbyggingar á lóðinni Bjargargata 1 (áður Sturlugata 6), sbr. erindi BN051881."
54258 (01.71.400.4),BN054258,Bogahlíð 8-10,Svalaskýli - breyta útliti glugga,Frestað. Vísað til athugasemda.,"Sótt er um leyfi til að setja upp svalaskýli með 90% opnun úr einföldum opnanlegum glerskífum  á brautum á allar svalir og að breyta útliti glugga á austurhlið hús á lóð nr. 8 - 10 við Bogahlíð.  Fundagerð frá húsfundi dags. 29 nóv. 2017, umboð frá Hönnu Dís dags. 29 nóv. 2017 og samþykki fyrir framkvæmdum ódags. fylgir.  B rými svala í nr. 8 er 237 rúmm.  B rými svala í nr. 10 er 237 rúmm.  Samtals: 474,0 rúmm.  Gjald kr. 11.000"
54302 (01.22.010.7),BN054302,Borgartún 8-16A,S1 - Br. BN047928,Frestað. Vísað til athugasemda.,"Sótt er um leyfi til að breyta erindi BN047928, m.a. inngangshurðum á jarðhæð, fyrirkomulagi eldhúsa, stigleiðsla færð til, komið fyrir setlaug á svölum á 12. hæð, gluggum á 12. hæð og girðing fjarlægð af þaki fjölbýlishúss, merkt S1 og er mhl. 05 á lóð nr. 8-16A við Borgartún.  Stækkun:  110,1 ferm., 163 rúmm.  Gjald kr. 11.000"
