nr,url,heimilisfang,tegund,nidurstada,spurning
34999 (04.66.370.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN034999,Austurberg 5,nýbygging sem tengist núverandi skólahúsi,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi fyrir 3. hæða húsi til stækkunar á skólabyggingu með tengibygginu við eldra hús á lóðinni nr. 5 við Austurberg (Fjölbraut í Breiðholti).  Stærðir: 1987,3 ferm., 7805,5 rúmm.  Gjald kr. 6.100 + 476.135"
35052 (04.06.410.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035052,Bíldshöfði 12,tímabundin opnun,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi tímabundið að opna milli og koma fyrir  vörulyftu og stiga á 1. hæð húsanna nr. 12 og 14 við Bíldshöfða  Meðfylgjandi er staðfesting burðarvirkishönnuðar dags. 24. nóvember 2006 og samþykki meðlóðarhafa að aðliggjandi mhl. á lóð nr. 14 dags. 9. nóvember 2006 Gjald kr. 6.100
35053 (04.06.410.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035053,Bíldshöfði 14,tímabundin opnun,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi tímabundið að opna milli og koma fyrir vörulyftu og stiga á 1. hæð húsanna nr. 12 og 14 við Bíldshöfða  Meðfylgjandi er staðfesting burðarvirkishönnuðar dags. 24. nóvember 2006 og samþykki meðlóðarhafa að aðliggjandi mhl. á lóð nr. 14 dags. 09. nóvember 2006 Gjald kr. 6.100
35090 (01.52.130.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035090,Boðagrandi 1-7,gervihnattadiskur endurnýjun byggingaleyfi,Frestað. Málinu vísað til umsagnar lögfræði- og stjórnsýslu.,"Sótt er um endurnýjun á byggingaleyfi nr. 31905 frá 28. júní 2005 til að koma fyrir gervihnattadiski á suðausturhluta  fjölbýlishússins nr. 7 á lóðinni nr. 1-7 við Boðagranda. Fundargerð aðalfundar húsfélags dags. 23. maí 2005 fylgir erindinu. Jafnframt lagt fram bréf Húseigendafélagsins dags. 15. júní 2005, tvö bréf formanns húsfélagsins Boðagranda 7 dags. 16. júní 2005 og dags. 20. júní 2005 og tölvubréf Hrundar Kristinsdóttur, hdl. dags. 27. júní 2005. Málinu fylgir bréf byggingarfulltrúa dags. 26. september 2006, bréf Sokol Hoda dags. 4. október 2006, bréf byggingarfulltrúa til borgarráðs dags. 20. október 2006 og bréf borgarráðs dags. 27. október 2006. Ennfremur ósk um boðun húsfundar dags. 13. október 2006, svarbréf byggingafulltrúa dags. 9. nóvember 2006, fundarboð dags. 19. nóvember 2006, tillaga frá Gunnari og Kristínu dags. 21. nóvember 2006 og fundargerð húsfundar dags. 22. nóvember 2006. Einnig lagt fram bréf Gústafs Þórs Tryggvasonar dags. 24. nóvember 2006. Gjald kr. 6.100"
35054 (01.24.410.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035054,Einholt 6,niðurrif,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til þess að rífa alla matshluta á lóð nr. 6 við Einholt. Bréf umsækjenda dags. 27. nóvember 2006 fylgir erindinu. Stærð: Niðurrif fastanúmer 201-1242 merking 01 0101 samtals 704 ferm., 2060 rúmm., fastanúmer 201-1244 merking 06 0101 samtals 160,6 ferm., 940 rúmm. og fastanúmer 221-7333 merking 07 0101 samtals 584 ferm., 2332 rúmm. Gjald kr. 6.100"
35055 (01.24.430.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035055,Einholt 8,niðurrif,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Þeim tilmælum er beint til umsækjanda að huga að varðveislu listaverka á austurhlið hússins og hugsanlegri endurnotkun þeirra við endurbyggingu á lóðinni.,"Sótt er um leyfi til þess að rífa atvinnuhús á lóð nr. 8 við Þverholt. Bréf umsækjenda dags. 27. nóvember 2006 fylgir erindinu. Stærð: Niðurrif fastanúmer 222-8084 merking 05 0101 samtals 2562,9 ferm., 17698,3 rúmm. Gjald kr. 6.100"
35050 (01.46.200.1 38),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035050,Faxafen 12,breytingar,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að fjölga eignarhlutum með því að hluta niður rými 0203 í 0203 og 0211 í húsinu á lóðinni nr. 12 við Faxafen. Gjald kr. 6.100
35043 (01.46.030.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035043,Faxafen 2,reyndarteikning,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi fyrir breyttu innra fyrirkomulagi með reyndarteikningum af veitngahúsi KFC á lóðinni nr. 2 við Faxafen. Gjald kr. 6.100
34734 (01.19.600.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN034734,Freyjugata 36,niðurrif og bílskúr,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Sótt er um leyfi til að byggja tvöfaldan bílskúr úr forsteyptum einingum við fjölbýlishúsið á lóðinni nr. 36 við Freyjugötu.  Jafnframt er sótt um leyfi til að rífa eldri bílskúr á lóðinni og lítið hús sem áður tilheyrði Freyjugötu 34 en tilheyrir nú Freyjugötu 36. Málinu fylgir samþykki eigenda Freyjugötu 34 dags. 24. september 2006 og uppdrættir dags. 8.september, 12. júní og 21. ágúst 2006 með samþykki eigenda Freyjugötu 34 og eiganda Freyjugötu 36 0101. Málinu fylgir einnig bréf eiganda Freyjugötu 36 og kaupsamningur og þinglýst afsal dags. 26. nóvember 2005. Niðurrif:  Bílskúr Fastanr. 200-8970 matshluti 2 merkt 0101, 29 ferm. og íbúð Fastanr. 200-8966 matshluti 2 merkt 0101, samtals 92,4 ferm. Stærð bílskúrs:  72,5 ferm., 244,1 rúmm. Gjald kr. 6.100 + 14.890"
34948 (02.69.350.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN034948,Friggjarbrunnur 9-11,parhús,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja tvílyft parhús  steinsteypt í einangrunarmót með innbyggðri bílgeymslu ásamt kjallara undir hluta húss á lóðinni nr. 9-11 við Friggjarbrunn. Málinu fylgir bréf hönnuðar dags. 21. nóvember 2006. Stærð: Friggjarbrunnur 9 (matshluti 01)  íbúð  kjallari 24,1 ferm., 1. hæð 55,8 ferm., 2. hæð 81,1 ferm., bílgeymsla 24,4 ferm., samtals 185,4 ferm., 704,5 rúmm. Friggjarbrunnur 11 (matshluti 02) er sömu stærðar eða samtals 185,4 ferm., 704,5 rúmm. Samtals er parhús 370,8 ferm., 1409 rúmm. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 1. desember 2006 fylgir erindinu. Gjald kr. 6.100 + 85.949"
34724 (04.12.130.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN034724,Guðríðarstígur 2-4,breyting inni - breyting úti,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki Vinnueftirlits ríkisins. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til þess að breyta innra skipulagi allra hæða, breyta gluggum á norðurhlið og stækka hús lítillega á 1. hæð um sem nemur hluta skýla verslunar- og skrifstofuhússins á lóð nr. 2-4 við Guðríðarstíg. Jafnframt er erindi 34384 dregið til baka. Stærð: Stækkun (um áður B-rými) 42,8 ferm., 148,6 rúmm. Gjald kr. 6.100 + 9.065"
35076 (01.72.710.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035076,Háaleitisbraut 66,breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að rífa anddyri í kjallara vesturhliðar með svalir á þaki og koma fyrir hringstiga með svölum ásamt breyttu innra fyrirkomulagi í kjallara hússins nr. 66 við Háaleitisbraut, Grensáskirkja. Gjald kr. 6.100"
35077 (04.97.420.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035077,Hálsasel 52,sólskáli,Frestað. Skipulagsferli ólokið.  Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja sólstofu við suðurhlið einbýlishússins á lóðinni nr. 52 við Hálsasel. Stærð:  Stækkun xx ferm., xx rúmm. Gjald kr. 6.100 + xx"
