nr,url,heimilisfang,tegund,nidurstada,spurning
35115 (01.14.040.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035115,Austurstræti 6,dyr milli húsa,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til þess að breyta lítillega innra skipulagi og setja dyr á 3. hæð, að sömu hæð húss nr. 8-10, í atvinnuhúsinu á lóð nr. 6 við Austurstræti. Samþykki f.h. eigenda Austurstrætis 8-10 ódags., bréf f.h. skrifstofu Alþingis dags. 6. desember 2006 og umsögn burðarvirkishönnuðar dags. 8. desember 2006 fylgja  erindinu. Gjald kr. 6.100"
35125 (01.14.040.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035125,Austurstræti 8-10,dyr á 3. h að húsi nr.6,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til þess að setja dyraop að 3. hæð Austurstrætis 6 á 3. hæð skrifstofu- og þjónustuhússins á lóð nr. 8-10 við Austurstræti. Gjald kr. 6.100
34899 (04.60.610.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN034899,Álfabakki 8,viðbygging 2.hæð o.fl.,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Sótt er um leyfi til að reisa viðbyggingu við 2. hæð ásamt breytingum á skrifstofusvæðinu á sama stað í húsinu á lóðinni nr. 8 við Álfabakka. Stækkun: 58,3 ferm., 211,0 rúmm. Gjald kr. 6.100 + 12.873"
35099 (01.28.010.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035099,Álftamýri 1-5,breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi fyrir breytingum á innra skipulagi og til að koma fyrir nýjum kjallaraglugga á atvinnuhúsinu á lóðinni nr. 1-5 við Álftamýri. Málinu fylgir brunahönnun frá Línuhönnun dags. 4. maí 2005, uppfærð 27. nóvember 2006. Gjald kr. 6.100"
35118 (01.85.430.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035118,Árland 1-7,stækkun á kjallara,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi fyrir kjallararými í áður óuppfyllt rými í húsi nr. 1 við Árland.  Stærð: Stækkun xxxx rúmm. xxxxx ferm. Gjald kr. 6.100 + xxxx
35106 (02.40.450.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035106,Barðastaðir 25-31,br. á áður samþ. aðaluppdr.,Frestað. Lagfæra skráningartöflu.,"Sótt er um leyfi til þess að breyta lítillega sólstofum við ný samþykkt raðhús, lækka gólfkóta þannig að stöllun verði 30 sm í stað 40 sm, lækka gluggahæð, færa gönguhurð í bílskúra, færa inntök og færa sorpgeymslu á lóð Öryrkjabandalagsins nr. 25-35 við Barðastaði. Bréf hönnuðar dags. 5. desember 206 fylgir erindinu. Leiðréttar stærðir: Hús nr. 25 (matshluti 08) óbreytt íbúð 83,6 ferm., var 273,8 rúmm. verður 274,8 rúmm., hús nr. 27 (matshluti 06) íbúð var 81,9 ferm., verður 81,5 ferm., óbreytt 268 rúmm., hús nr. 29 (matshluti 04) íbúð var 81,9 ferm. verður 81,5 ferm., óbreytt 268 rúmm., hús nr. 31 (matshluti 02) íbúð var 83,6 ferm. verður 83,1 ferm., var 273,8 rúmm. verður 273,2 rúmm., bílskúrar (matshluti 09, 07, 05 og 03) óbreyttir 22,9 ferm. voru 83 rúmm. verða 63 rúmm. hver bílskúr. Raðhús samtals var 331 ferm. verður 329,7 ferm., var 1083,6 rúmm. verður 1084 rúmm. og bílskúrar samtals óbreytt 91,6 ferm., voru 332 rúmm. verða 252 rúmm. Gjald kr. 6.100"
33061 (01.18.030.9),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN033061,Bergstaðastræti 13,4. h viðbygging,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst fyrir útgáfu á byggingarleyfi.,"Sótt er um leyfi til þess að byggja þriggja hæða steinsteypta viðbyggingu auk kjallara allt einangrað að utan og klætt gráum náttúrustein og múrkerfi, með samtals þremur íbúðum og atvinnuhúsnæði á neðstu hæð (kjallara), sem tengist 1. hæð húsnæðisins sem fyrir er á lóðinni nr. 13 við Bergstaðastræti. Samþykki meðlóðarhafa dags. 15. september 2006 fylgir erindinu. Stærð: Viðbygging 336,6 ferm., 920,7 rúmm Gjald kr. 5.700 + 56.163"
35094 (04.06.510.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035094,Bíldshöfði 20,breyting inni - hækkun viðbyggingar,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um minnháttar breytingu á innra fyrirkomulagi, stækkun á kælir og breytingu á ræstiklefa 1. hæðar í versluninni Krónunni á lóðinni nr. 20 við Bíldshöfða, einnig á nýsamþykktri viðbyggingu er hækkun á þaki sem nemur 25,8 cm. Stærðir: Stækkun 555,5 rúmm. Gjald kr. 6.100 + 33.885"
35090 (01.52.130.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035090,Boðagrandi 1-7,gervihnattadiskur endurnýjun byggingaleyfi,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um endurnýjun á byggingaleyfi nr. 31905 frá 28. júní 2005 til að koma fyrir gervihnattadiski á suðausturhluta  fjölbýlishússins nr. 7 á lóðinni nr. 1-7 við Boðagranda. Fundargerð aðalfundar húsfélags dags. 23. maí 2005 fylgir erindinu. Jafnframt lagt fram bréf Húseigendafélagsins dags. 15. júní 2005, tvö bréf formanns húsfélagsins Boðagranda 7 dags. 16. júní 2005 og dags. 20. júní 2005 og tölvubréf Hrundar Kristinsdóttur, hdl. dags. 27. júní 2005. Málinu fylgir bréf byggingarfulltrúa dags. 26. september 2006, bréf Sokol Hoda dags. 4. október 2006, bréf byggingarfulltrúa til borgarráðs dags. 20. október 2006 og bréf borgarráðs dags. 27. október 2006. Ennfremur ósk um boðun húsfundar dags. 13. október 2006, svarbréf byggingafulltrúa dags. 9. nóvember 2006, fundarboð dags. 19. nóvember 2006, tillaga frá Gunnari og Kristínu dags. 21. nóvember 2006 og fundargerð húsfundar dags. 22. nóvember 2006. Einnig lagt fram bréf Gústafs Þórs Tryggvasonar dags. 24. nóvember 2006. Jafnframt lögð fram umsögn lögfræði og stjórnsýslu dags. 6. desember 2006 og staðfesting frá kærunefnd fjöleignarhúsamála um móttöku á álitsbeiðni f.h. Gunnars H. Sigurgeirssonar. Gjald kr. 6.100"
35109 (01.76.020.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035109,Bústaðavegur 18,álklæða húsið hækka núverandi hliðarsal,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að hækka lægsta hluta þaks með timbur útveggjum og álklæða húsið á lóð nr. 18 við Bústaðaveg.  Stærð: Stækkun 8,2 ferm., 277,8 rúmm. Gjald kr. 6.100 + 16.946"
