nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
56943 (01.13.650.4),BN056943,Aðalstræti 10,"Breyting á erindi BNO55993, kjallari og tengigangur milli A16 og A10",Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Þinglýsa skal kvöð um opnun yfir lóðarmörk á milli Aðalstrætis 10 og 16 áður en byggingarleyfi er gefið út.,"Sótt er um leyfi til að breyta erindi BN055993 þannig að innra skipulagi er breytt, m.a. er kjallaraveggur fjarlægður, settar upp sjálfvirkar eldvarnarhurðir í tengigang  og lyfta sem tengir kjallara, hæð og ris og komið fyrir biðsvæði og samskiptabúnaði fyrir fatlaða í kjallara og tengigangi milli húsa nr. 10 og 16 á lóðum nr. 10,12 og 14-16 við Aðalstræti.  Erindi fylgja tillaga að lóðarbreytingu Aðalstrætis 10 og 12 dags. 31. október 2005 og tillaga að sameiningu lóðanna Aðalstræti 14-16, 18 og Túngötu 2 og 4 dagsett 5. desember 2003.  Gjald kr. 11.200"
56863 (01.13.650.6),BN056863,Aðalstræti 16,"Breyting á erindi BNO55994, kjallari og tengigangur milli A16 og A10",Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Þinglýsa skal kvöð um opnun yfir lóðarmörk á milli Aðalstrætis 10 og 16 áður en byggingarleyfi er gefið út.,"Sótt er um leyfi til að breyta erindi BN055994 þannig að innra skipulagi er breytt, m.a. er kjallaraveggur fjarlægður, settar upp sjálfvirkar eldvarnarhurðir í tengigang  og lyfta sem tengir kjallara, hæð og ris og komið fyrir biðsvæði og samskiptabúnaði fyrir fatlaða í kjallara og tengigangi milli húsa nr. 10 og 16 á lóðum nr. 10,12 og 14-16 við Aðalstræti.  Erindi fylgja tillaga að lóðarbreytingu Aðalstrætis 10 og 12 dags. 31. október 2005 og tillaga að sameiningu lóðanna Aðalstræti 14-16, 18 og Túngötu 2 og 4 dagsett 5. desember 2003.  Gjald kr. 11.200"
56877 (01.26.120.1),BN056877,Ármúli 3,"Breytingar - 1. 4. og 5.hæð, erindi BN053132",Frestað. Vísað til athugasemda eldvarnaeftirlits.,"Sótt er um leyfi til að breyta erindi BN053132, þannig að innra skipulagi 4. og 5. hæðar er breytt og tunnuhurð á jarðhæð í anddyri er skipt út fyrir aðgangshurð, í verslunar- og skrifstofuhúsi á lóð nr. 3 við Ármúla.  Bréf hönnuðar dags. 8. nóv. 2019 fylgir.   Gjald kr. 11.200"
56921 (01.19.210.2),BN056921,Barónsstígur 32,Endursmíði á handriði á skábraut,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.5 og 2.9.2 í byggingarreglugerð nr. 112/2012.,Sótt er um leyfi til þess að endurnýja og breyta útliti handriðs meðfram skábraut framan við Austurbæjarskóla á lóð nr. 32 við Barónsstíg.  Erindi fylgir umsögn Minjastofnunar í tölvupósti dags. 5. nóvember 2019.  Gjald kr. 11.200
56903 (01.17.130.6),BN056903,Bergstaðastræti 2,Innrétta ölstofu,Frestað. Vísað til athugasemda.,"Sótt er um leyfi til þess að opna veitingastað í flokki lll tegund f krá  fyrir  hámarks gestafjölda xx manns og tvo starfsmenn, lækka kjallaragólf um 50cm og setja stiga upp á 2. hæð við norðurgafl húss á lóð nr. 2 við Bergstaðastræti.  Stækkun: xx.x ferm., xx.x rúmm.  Gjald kr. 11.200"
56916 (02.49.610.1),BN056916,Blikastaðavegur 2-8,Breytingar 1.hæð,Frestað. Vísað til athugasemda.,"Sótt er um leyfi til að breyta samþykktu erindi, BN0???, þannig að komið verður fyrir millilofti, 0140, og brunahólf fellt út, í húsinu á lóð nr. 2 - 4 við Blikastaðaveg.   Stækkun milligólfs : XX ferm.   Gjald kr. 11.200"
56932 (01.24.120.1),BN056932,Brautarholt 2,Breytingar - BN056123,Frestað. Vísað til athugasemda.,"Sótt er um leyfi til að breyta erindi BN056123, brunatexta er breytt, hurðum á 1. hæð er breytt, gluggar síkkaðir og  skyggni sett yfir inngangshurð á húsinu á lóð nr. 2 við Brautarholt.   Gjald kr. 11.200"
56695 (01.24.220.7),BN056695,Brautarholt 20,Fjölbýlishús sameina lóð 18 og 20,Frestað. Vísað til athugasemda eldvarnaeftirlits.,"Sótt er um leyfi til að sameina lóðir 18 og 20 við Brautarholt í nr. 20, rífa bakhús sem tengt er núverandi matshlutum, einnig er sótt um að byggja nýja inndregna hæð ofan á 5. hæð mhl. 02 og mhl. 01 og innrétta 64 íbúðir á 2.-5. hæð, stækka glugga koma fyrir svölum, byggja stiga og lyftuhús  sem og nýtt bakhús við mhl. 03 þar verður hjólageymsla , sorpgeymsla, þvottur og sameiginlegt rými  á lóð nr. 20 við Brautarholti. Dregin eru til baka erindi BN056162 og BN056161 með þessu erindi.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 14. nóvember 2019 fylgir erindi.  Erindi var grenndarkynnt fyrir hagsmunaaðilum að Laugavegi 164, 166, 168, 170-172 og 174, Brautarholti 16 og 22 og Skipholti 15, 17, 19 og 21 frá 14. október 2019 til og með 11. nóvember 2019. Engar athugasemdir bárust.  Stækkun er samtals :  797,7 ferm., 2,754,8 rúmm.  Niðurrif er samtals:  555,0 ferm., 1.894,0 rúmm.  Gjald kr. 11.200"
56874 (01.35.000.7),BN056874,Dalbraut 3,Áður gerðar breytingar,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Það athugist að um er að ræða samþykkt á áður gerðri framkvæmd sem gerð var án byggingarleyfis. Óvissa kann því að vera um uppbyggingu og útfærslu framkvæmdar. Hvorki er skráð verktrygging á verkið né ábyrgðaraðilar.,"Sótt er um leyfi fyrir snyrtistofu með tveimur til þremur starfsmönnum ásamt áður gerðum breytingum á innra skipulagi rýmis 0102 í húsi, mhl. 02, á lóð nr. 3 við Dalbraut.  Erindi fylgir samþykki eiganda dags.11. nóvember 2019 og skýrsla um húsaskoðun dags. 18. nóvember 2019.  Gjald kr. 11.200"
56922 (04.64.170.5),BN056922,Depluhólar 5,Reyndarteikningar og breytingar á þaki bílskúrs o.fl.,Frestað. Vísað til athugasemda.,"Sótt er um leyfi fyrir áður gerðum breytingum á íbúðarhúsi, setja hurð í stað glugga á suðurhlið og  nýja hurð á vesturhlið kjallara ásamt því að klæða með sléttri álklæðningu og hækka og breyta þaki á bílskúr á lóð nr. 5 við Depluhóla.  Stækkun: 33.0 rúmm.  Erindi fylgir afrit af teikningum samþykktum 14. nóvember 1985.  Gjald kr. 11.200"
