nr,url,heimilisfang,tegund,nidurstada,spurning
42426 (01.13.650.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN042426,Aðalstræti 6,innri breytingar bakhúss,Frestað. Umsækjandi sýni fram á rétt sinn til lóðarinnar.,"Sótt er um leyfi til breytinga á 1. og 2. hæð bakhúss, breyttum útitröppum, fjarlægja þakglugga og til annarra smærri breytinga innanhúss og utan, sbr. erindi BN040772, í hóteli á lóð nr. 6 við Aðalstræti. Meðfylgjandi er bréf arkitekts dags. 9.12. 2010, og yfirlýsing og samkomulag milli fulltrúa Hótels Ísafoldar og eiganda Mjóstrætis 5 um tímabundna byggingu stoðveggja yfir lóðamörk dags. 9.12. 2010. Gjald kr. 7.700"
42427 (01.13.650.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN042427,Aðalstræti 8,eldhúsi bætt við,Frestað. Vísað til athugasemda heilbrigðiseftirlits á umsóknarblaði.,Sótt er um leyfi til að breyta innréttingu verslunar þannig að meðtökueldhúsi er bætt við og starfsmannaaðstaða flutt á 1. hæð sbr. erindi BN040571 og fyrir smávægilegum breytingum á hótelherbergjum á 2. hæð sbr. erindi BN039423 í húsi á lóð nr. 8 við Aðalstræti. Meðfylgjandi er bréf arkitekts dags. 7.12. 2010 Gjald kr. 7.700
42438 (01.14.040.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN042438,Austurstræti 6,breyta í hótel,"Frestað. Vísað til athugasemda á umsóknarblaði, sérstök athygli er vakin á því að umsókn er ekki í samræmi við deiliskipulag. Málinu vísað til umsagnar skipulagsstjóra.","Sótt er um leyfi til að stækka til suðurs, byggja kvisti í þak og innrétta hótel með 30 herbergjum í atvinnuhúsi á lóð nr. 6 við Austurstræti. Stækkun:  80,1 ferm., 160,7 rúmm. Gjald kr. 7.700 + 12.374"
42030 (01.16.230.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN042030,Ásvallagata 17,stálsvalir,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að setja upp járnsvalir á íbúðir 0101, 0102, 0201, 0202, 0301 og 0401í fjölbýlishúsinu á lóð nr. 17 við Ásvallagötu. Samþykki meðeigenda ódagsett, jafnframt  bréf frá umsækjanda ódagsett ásamt útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 17. desember 2010 fylgir erindinu. Kynning stóð yfir frá 17. nóvember 2010 til og með 15. desember 2010. Engar athugasemdir bárust. Jákvæð fyrirspurn BN041759 dags. 13. júlí 2010 fylgir erindinu. Gjald kr. 7.700"
42436 (02.42.230.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN042436,Bakkastaðir 2,færa kennslustofu,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi til að færa kennslustofu H-14B til innan lóðar  við Korpuskóla á lóð nr. 2 við Bakkastaði. Gjald kr. 7.700.
37850 (01.18.520.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN037850,Baldursgata 3,reyndarteikn. v/eignakiptayfirlýsingar,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um samþykkt á reyndarteikningum vegna eignaskipta, þar sem gerð er grein fyrir óleyfisbyggingu út fyrir lóð, þremur íbúðum í Mhl.01 og tveimur íbúðum í Mhl.02 á lóðinni nr. 3 við Baldursgötu. Málinu fylgja fjögur þinglýst afsöl, a) vegna kjallaraíbúðar næst götu, dags. 20. júlí 1978, b) vegna 2. herbergja íbúðar á baklóð dags. 28. desember 2000, c) vegna 3. herbergja íbúðar á aðalhæð dags. 21. október 1987 og c) vegna íbúðar 02-0101 dags. 1. febrúar 2002. Gjald kr. 7.300 + 7.700"
42435 (01.22.010.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN042435,Borgartún 8-16,H1 - 11 h suður br inni,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að breyta innra skipulagi skrifstofa á 11. hæð í Höfðatúnu 2 á lóð nr. 8-16 við Borgartún. Gjald kr. 7.700
42393 (01.35.100.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN042393,Brúnavegur 13,"anddyri stækkað, lyfta",Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að stækka aðkomuanddyri á 1. og 2. hæð B álmu og koma þar fyrir lyftu á milli og smávægilegum breytingum innan anddyris í Dvalarheimilinu Hrafnistu á lóð nr. 13 við Brúnaveg. Stækkun: 92,2 ferm.,  306,6 rúmm. Gjald kr. 7.700 + 23.608"
42418 (01.35.100.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN042418,Brúnavegur 13,inngangur D-álma,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að gera nýjan inngang fyrir starfs- og sjúkraflutningamenn á norðurhlið D álmu, komið verður fyrir skyggni yfir innganginn og hjúkrunarvakt verður breytt í anddyri í Dvalarheimilinu Hrafnistu á lóð nr. 13 við Brúnaveg. Umsögn burðarvirkishönnuðar dags. 16. des. 2010, fylgir málinu. Gjald kr. 7.700"
42095 (04.36.410.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN042095,Fylkisvegur 6-8,nr. 6  yfirlitsteikning,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um samþykki á  fyrirkomulagi 3 (lokaball) til skemmtanahalds á 1. hæð í íþróttahúsi Fylkis á lóð nr. 6 við Fylkisveg. Gjald kr. 7.700
