nr,url,heimilisfang,tegund,nidurstada,spurning
41522 (01.14.041.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN041522,Austurv Thorvaldsenst,reyndarteikningar,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits.,Sótt er um samþykki fyrir reyndarteikningum af 3. hæð Landssímahússins við Austurvöll á lóð nr. 6 við Thorvaldsenstræti. Gjald kr. 7.700
38448 (01.18.121.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038448,Baldursgata 39,hótelíbúðir,Erindi dregið til baka sbr. tölvupóst umsækjanda dags. 16. júní 2010.,"Sótt er um leyfi til að byggja ofan á og innrétta átta hótelíbúðir í íbúðarhúsinu á lóð nr. 39 við Baldursgötu. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 20. júní 2008 og 16. júní 2010 fylgja erindinu ásamt bréfi umsækjanda dags. 16. júní 2010. Stækkun:  xx ferm., xx rúmm. Gjald kr. 7.300 + xx"
41694 (04.23.370.4 04),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN041694,Birtingakvísl 58,breyting innanhúss,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til breytinga innanhúss þar sem nuddstofu er komið fyrir í stað dagstofu og geymslu breytt í snyrtingu, sbr. jákvæða fyrirspurn BN041318 um nuddstofu í kjallara, raðhúseiningu nr. 58 á lóð nr. 52-60 við Birtingakvísl. Meðfylgjandi á teikn. í fyrirspurn er samþykki eigenda á nr. 56 og 60 Gjald kr. 7.700"
41720 (00.00.000.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN041720,Borgartún 21,"opna milli rýma, geymsla minnkuð",Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að opna á milli rýma í húsnæði löggildingarstofu í norðvesturhorni kjallara skrifstofuhúss á lóð nr. 21 við Borgartún. Gjald kr. 7.700
41721 (01.22.010.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN041721,Borgartún 8-16,br. á glerskála,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi fyrir breytingum, sem hafa orðið á glerskála á byggingartíma Höfðatorgs-H1, 4. áfanga á lóð nr. 8-16 við Borgartún. Gjald kr. 7.700"
41639 (01.13.411.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN041639,Brekkustígur 4A,viðbygging,Frestað. Vísað til athugasemda á umsóknarblaði. Að þeim uppfylltum verður málið sent skipulagsstjóra til ákvörðunar um grenndarkynningu.,"Sótt er um leyfi til að stækka steinsteypt einbýlishús með því að byggja viðbyggingu og svalir á bakhlið og hækka gafla og byggja ""Mansard"" þak á einbýlishúsið á lóð nr. 4A við Brekkustíg. Meðfylgjandi er bréf umsækjanda dags. 13. júní 2010, bréf sömu til Borgarverkfræðings dags. 2. sept. 1999, ásamt umsögn skipulagsins dags. 4. mars. Stækkun:  xx ferm. xx rúmm. Gjald kr. 7.700 + xx"
41662 (04.63.030.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN041662,Eyjabakki 18-32,klæðing + skipta upp leyfi BN041165,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um aðskilið byggingarleyfi til að klæða suðurgafla, suðurhlið, austurhlið og austurhlið vesturálmu með sléttri álklæðningu festa á leiðarkerfi úr áli einangrað með 50 mm steinull, sbr. erindi BN041165 á fjölbýlishúsið á lóð nr. 18-32 við Eyjabakka.  Umsögn burðarvirkishönnuðar dags. 24. júní 2009 og 8. mars. 2010 með ljósmyndum fylgir erindi BNN041165 sem og fundargerð húsfélagsins Eyjabakka 18-32 dags. 16. júní 2009. Gjald kr. 7.700"
41675 (01.08.910.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN041675,Fiskislóð 31,breytingar á gluggum og fl.,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta gluggum á göflum og til að framlengja gaflveggi á efstu hæð og byggja veggi milli þaksvala og til að færa ræstingar á 2. hæð atvinnuhússins á lóð nr. 31 við Fiskislóð. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 16. júní fylgir erindinu. Gjald kr. 7.700
41679 (01.75.--9.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN041679,Flugvallarv. timburg.,flytja hús og staðsetja,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að tengja aðflutt timburhús við áður byggt hús á lóð nr. 5 sem hefur landnr. 107464 við Flugvallarveg. Fallið er frá áður frestuðu máli BN041577 frestað 1. júní 2010.  Meðfylgjandi er bréf umsækjanda dags. 16. júní 2010 Stærð: 111,2 ferm., 361,4 rúmm. Gjald kr. 7.700 + 27.828"
41700 (04.61.230.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN041700,Fremristekkur 1,breyting á þaki,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsstjóra.,"Sótt er um leyfi til að byggja nýtt valmaþak, loka innigarði, byggja kaldan gróðurskála og loka bílgeymslu á 1. hæð, einnig að stækka kjallara og koma þar fyrir bílskúr, loka inngangi í stigahús og steypa tröppur á lóðamörkum í og við einbýlishús á lóð nr. 1 við Fremristekk. Stækkun  xx fer., xx rúmm. Gjald kr. 7.700 + xx"
