nr,url,heimilisfang,tegund,nidurstada,spurning
41149 (01.81.320.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN041149,Akurgerði 37,"bílskúr, breyting",Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að breyta þaki nýsamþykkts bílskúrs úr flötu steyptu í létt einhalla, sjá erindi BN040275 og BN040223 dags. 13. október 2009, við parhúsið á lóð nr. 37 við Akurgerði. Erindi fylgir bréf hönnuðar dags. 15. mars 2010. Stækkun 17,1 rúmm. Gjald kr. 7.700 + 1.317"
41291 (01.14.030.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN041291,Austurstræti 17,breyta innra skipulagi á 2. hæð,Frestað. Vísað til athugasemda eldvarnaeftirlits á umsóknarblaði.,Sótt er um leyfi til að breyta innra fyrirkomulagi skrifstofa á 2. hæð verslunar- og skrifstofuhússins á lóð nr. 17 við Austurstræti. Gjald kr. 7.700
41292 (01.26.510.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN041292,"Ármúli 29, Suðurlands",Suðurlandsbraut 32 breyting inni,Frestað. Vísað til athugasemda heilbrigðiseftirlits á umsóknarblaði.,"Sótt er leyfi til breytinga innanhúss, sem felast í að innrétta rými fyrir pökkun matvæla, þar sem áður voru skrifstofur í rými 0101 á 1. hæð húss á lóð nr. 32 við Suðurlandsbraut. Gjald kr. 7.700"
41143 (01.83.420.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN041143,Ásgarður  34-40,nr. 38 breyting inni,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir áður gerðri íbúð í kjallara raðhússins nr. 38 á lóð nr. 34-40 við Ásgarð. Erindi fylgir samþykki meðeiganda í húsi dags. 22. febrúar 2010, lóðarleigusamningur dags. 19. janúar 1962, virðingargjörð dags. 6. mars. 1973, þinglýst skuldabréf dags. 24. mars og 14. apríl 1977, þinglýst afsöl dags. 27. september 1976, 10. júní 1988, 5. nóvember 1984, 2. apríl 1990, 1. mars 1993 og 1. nóvember 1996. Einnig fylgir íbúðarskoðun byggingarfulltrúa dags. 17. mars 2010. Gjald kr. 7.700"
41127 (01.17.020.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN041127,Bankastræti 4,breytt innra skipulag,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til breytinga á innra skipulagi og opna á milli eininga í verslunarhúsi á lóð nr. 4 við Bankastræti. Gjald kr. 7.700
40510 (01.19.011.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040510,Barónsstígur 20,stækkun ofl.,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að stækka geymsluskúr, Mhl. 02 við einbýlishúsið á lóð nr. 20 við Barónsstíg. Erindi fylgja samþykki sumra eigenda Grettisgötu 58A og 60 og Barónsstígs 22 dags. 12. maí 2008 árituð á uppdrátt. Stækkun Mhl. 02:  2,75 ferm., 7,56 rúmm. Gjald kr. 7.700 + 7.700 + 582"
41278 (01.22.010.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN041278,Borgartún 8-16,innrétta skrifstofu á 2. hæð suðurhluta,Frestað. Vísað til athugasemda á eldvarnaeftirlits umsóknarblaði.,Sótt er um leyfi til að innrétta skrifstofurými í hluta af  suðurhluta 2. hæðar í H1 turni á Höfðatorgi á lóð nr. 8 - 16 við Borgartún. Gjald kr. 7.700
41304 (01.37.220.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN041304,Engjavegur 7,skilti,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt eru leyfi til að setja merkingar/skilti utan á íþrótta/félagshús Ármanns /Þróttar á lóð nr. 7 við Engjaveg. Gjald kr. 7.700
41288 (01.24.440.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN041288,Flókagata 29,reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði. Skoðist á staðnum.,Sótt er um samþykki fyrir reyndarteikningum þar sem gerð er grein fyrir breytingu á innra fyrirkomulagi bílskúrs á lóð sambýlisins í einbýlishúsinu á lóð nr. 29 við Flókagötu. Gjald kr. 7.700
41289 (01.24.440.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN041289,Flókagata 31,reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði. Skoðist á staðnum.,"Sótt er um samþykki fyrir reyndarteikningum, þar sem skráningu hefur verið breytt og húsið gert að einni eign og gerð er grein fyrir ýmsum minni háttar breytingum á innra fyrirkomulagi sambýlisins í einbýlishúsinu á lóð nr. 31 við Flókagötu. Gjald kr. 7.700"
