nr,url,heimilisfang,tegund,nidurstada,spurning
49479 (01.83.730.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN049479,Austurgerði 1,Gluggi - suðurhlið,Frestað. Samkvæmt gögnum embættisins er lágmarksgjald ógreitt.,Sótt er um leyfi til að saga gat í steyptan útvegg á suðurhlið kjallara og setja glugga í gatið á einbýlishúsi á lóð nr. 1 við Austurgerði. Umsögn burðarvirkishönnuðar dags. 20.5 2015 fylgir. Gjald kr. 9.823
49354 (01.18.620.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN049354,Baldursgata 16,Íbúð - 3.hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta innra fyrirkomulagi íbúðar 0301 og byggja svalir á suðurhlið (bakhlið) þakhæðar, sbr. erindi BN047413 frestað dags. 1.4. 2015, einnig er sótt um leyfi til að byggja svalir og stiga ofan í garð frá íbúð á 1. hæð fjölbýlishússins á lóðinni nr. 16 við Baldursgötu. Meðfylgjandi er yfirlýsing hönnunarstjóra dags. 15.4. 2015. Gjald kr 9.823"
49476 (01.19.201.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN049476,Bergþórugata 14A,Breyting - BN049143,"Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Skilyrt er að ný eignaskiptayfirlýsing sé samþykkt fyrir útgáfu byggingarleyfis, henni verður þinglýst eigi síðar en við lokaúttekt. Áskilin lokaúttekt byggingarfulltrúa.","Sótt er um samþykki á breytingum á erindi BN049143 sem felast í að salarhæðir á 1., 2. og 3. hæð eru leiðréttar í húsi á lóð nr. 14A við Bergþórugötu. Stærðir: 279,4 ferm., óbreytt frá fyrra erindi., 772,3 rúmm. skv. áður samþykktu erindi 782,1 rúmm. minnkun 9,8 rúmm. Gjald kr. 9.823"
49455 (01.19.032.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN049455,Bergþórugata 23,Viðbygging,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til að byggja tveggja hæða viðbyggingu með kjallara og risi, innrétta þrjár nýjar íbúðir og til að gera  tvennar svalir á rishæð húss á lóð nr. 23 við Bergþórugötu. Erindi fylgir umboð eiganda dags. 19. maí 2015. Stækkun:  xx ferm.,xx rúmm. Gjald kr. 9.823"
49483 (04.06.500.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN049483,Bíldshöfði 18,Reyndarteikning af 3. hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki á teikningum af 3. hæð vegna hönnunar brunavarna og nýrri skráningartöflu fyrir hús á lóð nr. 18 við Bíldshöfða. Gjald kr. 9.823
49126 (04.06.200.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN049126,Bíldshöfði 9,Reyndarteikningar,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Þinglýsa skal eignaskiptayfirlýsingu vegna lóðar eigi síðar en við lokaúttekt. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi fyrir áður gerðum breytingum á 1. og 2. hæð þar sem fjarlægð hafa verið milliloft og veggir í mhl. 01 í húsinu á lóð nr. 9 við Bíldshöfða. Bréf frá hönnuði dags. 6. apríl og 24. apríl 2015 og umboð vegna byggingarleyfisumsóknar dags. 27. mars 2015 fylgir.  Minnkun millilofta: 168,0 ferm. og fjölgun á brúttórúmm. 536,2 rúmm.  Gjald kr. 9.823"
49006 (01.16.234.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN049006,Blómvallagata 11,Svalir - kvistur - skorsteinn o.fl.,Frestað. Vísað til athugasemda eldvarnaeftirlits á umsóknarblaði. Málinu vísað til skipulagsfulltrúa til ákvörðunar um grenndarkynningu. Vísað er til uppdráttar dags. 10. mars 2015.,"Sótt er um leyfi til að byggja svalir á austurhlið allra íbúða, koma fyrir eldvarnarhurðum milli stigahúss og íbúða, fjarlægja skorstein byggja kvist á götuhlið og breyta innra skipulagi íbúðar á 4. hæð fjölbýlishúss á lóð nr. 11 við Blómvallagötu. Erindi fylgir ástandsskoðun húss frá verkfræðistofunni Eflu dags. í júlí 2013, allsherjarumboð frá eiganda íbúðar 0302 dags. 2. febrúar 2011, samþykki meðeigenda ódagsett og bréf hönnuðar dags. 27. maí 2015.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 15. maí 2015 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 13. maí 2015. Gjald kr. 9.823"
49347 (01.22.010.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN049347,Borgartún 8-16A,S2- Hótel - Reyndarteikningar. Br. á BN042394,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,"Sótt er um samþykki á áður gerðum breytingum þar sem gerð er grein fyrir breytingum sem orðið hafa á byggingartíma, m. a. hefur lyftuhús hækkað um 140 cm., innréttingu heilsuræktar í kjallara er frestað og fyrirkomulagi 1. hæðar er breytt í hóteli, S2 á lóð nr. 8-16 við Borgartún. Erindi fylgir brunahönnun frá Verkís, 4. útgáfa, maí 2015. Gjald kr. 9.823"
49302 (01.25.010.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN049302,Brautarholt 22,Reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki á þegar gerðum breytingum sbr. erindi BN020225 dags. 24.2. 2000, breytingarnar felast aðallega í að anddyri hefur verið breytt og þar bætt við skrifstofu í hóteli á lóð nr. 22 við Brautarholt. Meðfylgjandi er minnisblað dags. 20.3. 2015. Gjald kr. 9.823"
49235 (01.16.233.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN049235,Brávallagata 26,Svalir - 2.hæð,Frestað. Vísað til athugasemda eldvarnaeftirlits á umsóknarblaði. Málinu vísað til skipulagsfulltrúa til ákvörðunar um grenndarkynningu. Vísað er til uppdrátta nr. 1.01 og 1.02 dags. 14. apríl 2015.,Sótt er um leyfi til að byggja svalir á 2. hæð fjölbýlishúss á lóð nr. 26 við Brávallagötu. Erindi fylgir jákvæð fsp. BN049007 dags. 17. mars 2015 og samþykki meðeigenda dags. 14. apríl 2015. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 15. maí 2015 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 13. maí 2015. Gjald kr. 9.823
