nr,url,heimilisfang,tegund,nidurstada,spurning
36042 (05.86.530.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036042,Almannadalur 17-23,hesthús nr. 19,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til þess að byggja hesthús með tveimur eignum,  eign 0101 tólf hestar, eign 0102 átján hestar, alls þrjátíu hestar og með kaffiaðstöðu á 2. hæð í hverri eign,  úr steinsteyptum einingum einangrað að utan og klætt með steyptri veðurkápu sem hús nr. 19 á lóð nr. 17-23 í Almannadal. Stærð: Hesthús 1. hæð 258,6 ferm., 2. hæð 162,7 ferm. samtals 421,3 ferm., 1402,1 rúmm. Gjald kr. 6.800 + 95.343"
36040 (05.86.530.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036040,Almannadalur 17-23,hesthús nr. 17,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til þess að byggja hesthús með þremur eignum,  eign 0101 tólf hestar, eign 0102 tólf hestar, eign 0103 átján hestar, alls fjörutíuogtveir hestar og með kaffiaðstöðu á 2. hæð í hverri eign allt einangrað að utan og klætt með steyptri veðurkápu sem hús nr. 17 á lóð nr. 17-23 í Almannadal. Stærð: Hesthús 1. hæð 368,4 ferm., 2. hæð 228 ferm. samtals 596,4 ferm., 1995 rúmm. Gjald kr. 6.800 + 135.660"
36041 (05.86.530.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036041,Almannadalur 17-23,hesthús nr. 23,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja hesthús með þremur eignum,  eign 0101 tólf hestar, eign 0102 tólf hestar, eign 0103 átján hestar, alls fjörutíuogtveir hestar og með kaffiaðstöðu á 2. hæð í hverri eign, úr steinsteyptum einingum allt einangrað að utan og klætt með steyptri veðurkápu sem hús nr. 23 á lóð nr. 17-23 í Almannadal. Stærð: Hesthús 1. hæð 368,4 ferm., 2. hæð 228 ferm. samtals 596,4 ferm., 1995 rúmm. Gjald kr. 6.800 + 135.660"
36278 (05.86.530.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036278,Almannadalur 17-23,takmarkað byggingarleyfi nr. 17,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Samþykktin fellur úr gildi við útgáfu á endanlegu byggingarleyfi. Vegna útgáfu á takmörkuðu byggingarleyfi skal umsækjandi hafa samband við yfirverkfræðing embættis byggingarfulltrúa.,"Ofanritaðir sækja um takmarkað byggingarleyfi fyrir greftri, fyllingu og aðstöðugerð fyrir hús nr. 17 á lóðinni nr. 17-23 við Almannadal."
36279 (05.86.530.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036279,Almannadalur 17-23,takmarkað byggingarleyfi nr. 19,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Samþykktin fellur úr gildi við útgáfu á endanlegu byggingarleyfi. Vegna útgáfu á takmörkuðu byggingarleyfi skal umsækjandi hafa samband við yfirverkfræðing embættis byggingarfulltrúa.,"Ofanritaðir sækir um takmarkað byggingarleyfi fyrir greftri, fyllingu og aðstöðugerð fyrir hús nr. 19 á lóð nr. 17-23 við Almannadal."
36141 (05.86.530.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036141,Almannadalur 17-23,hesthús nr.21,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til þess að byggja steinsteypt hesthús með tveimur einingum,  eining 0101 átján hestar, eining 0102 tólf hestar, alls þrjátíu hestar og með kaffiaðstöðu á 2.hæð í hverri eign allt einangrað að utan og klætt með láréttri zinkhúðari báraðri klæðningu sem hús nr. 21 á lóð nr. 17-23 í Almannadal. Stærð: Hesthús nr. 21 samtals 421,9 ferm., 1432,1 rúmm. Gjald kr. 6.800 + 97.383"
36138 (05.86.520.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036138,Almannadalur 25-29,hesthús nr. 27,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja steinsteypt hesthús með þremur einingum,  eining 0101 sex hestar, eining 0102 tólf hestar, eining 0103 tólf hestar, alls þrjátíu hestar og með kaffiaðstöðu á millilofti í hverri eign allt einangrað að utan og klætt með láréttri zinkhúðari báraðri klæðningu sem hús nr. 27 á lóð nr. 25-29 í Almannadal. Stærð: Hesthús nr. 27 samtals 431,8 ferm., 1.430,7 rúmm. Gjald kr. 6.800 + 97.288"
36139 (05.86.520.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036139,Almannadalur 25-29,hesthús nr.25,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja steinsteypt hesthús með fjórum einingum,  eining 0101 tólf hestar, eining 0102 tólf hestar, eining 0103 átta hestar, eining 0104 átta hestar, alls fjörutíu hestar og með kaffiaðstöðu 2.hæð í hverri eign allt einangrað að utan og klætt með láréttri zinkhúðari bárujárnsklæðingu sem hús nr. 25 á lóð nr. 25-29 í Almannadal. Stærð:  1. hæð 368,4 ferm., 2. hæð. 226,9 ferm. Samtals 595,3 ferm., 2.014,6 rúmm. Gjald kr. 6.800 + 136.993"
36242 (02.42.230.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036242,Bakkastaðir 2,sótt er um viðbótar færanlegar kennslustofur ásamt tengigangi.,Frestað. Vantar að gera grein fyrir hvaðan stofurnar koma.,"Sótt er um leyfi til að reisa færanlegar einnar hæðar kennslustofur ásamt tengigangi út timbri  við grunnskólan í Staðarhverfi í norðurhorni lóðar nr. 2 við Bakkastaði.  Stærðir: xx ferm., xx rúmm. Gjald kr. 6.800"
36008 (01.17.000.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036008,Bankastræti 5,lækka gólf í kj.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að lækka gólf um 45 sm í hluta kjallara, innrétta setustofu fyrir veitingastað á 1. hæð,  fjölga snyrtingum og færa starfsmannaaðstöðu veitingastaðar í kjallara atvinnuhússins á lóð nr. 5 við Bankastræti. Yfirlýsing vegna brunamála við gasarinn dags. 18. maí 2007 og umsögn burðarvirkishönnuðar dags. 3. maí 2007 fylgja erindinu. Stærð: Rúmmálsaukning 11,2 rúmm. Gjald kr. 6.800 + 762"
36219 (01.18.020.9),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036219,Bergstaðastræti 10,iðnaðarhúsnæði í íbúð,Frestað. Umsækjandi skal óska eftir skoðun byggingarfulltrúa á húsnæðinu.,Sótt er um leyfi til að breyta jarðhæð iðnaðarhúsnæði (skóverkstæði) í íbúð með tilheyrandi breytingum á innra fyrirkomulagi á lóðinni nr. 10 við Bergstaðastræti. Gjald kr. 6.800
36237 (01.17.140.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036237,Bergstaðastræti 3,girðing,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,Sótt er um leyfi til að reisa skjólvegg á lóðarmörkum við gangstétt hússins á lóðinni nr. 3 við Bergstaðastræti. Samþykki sumra nágranna fylgir erindinu. Gjald kr. 6.800
36252 (04.06.410.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036252,Bíldshöfði 12,breyting á innra skipulagi,Frestað. Skoðist á staðnum.,Sótt er um leyfi til að breyta innra skipulagi á þriðju hæð (einingu 0302) á lóð nr. 12 við Bíldshöfða. Gjald kr. 6.800
36235 (01.16.234.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036235,Blómvallagata 11,skera niður úr glugga,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til að síkka glugga í svalahurð á austurhlið hússins nr. 11 við Blómvallagötu. Meðfylgjandi er samþykki meðeigenda á uppdrætti dags. 4. júni 2007. Einnig lagt fram bréf burðarvirkishönnuðar dags. 25. júní 2007. Gjald kr. 6.800
36240 (01.16.232.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036240,""">Brávallagata 8",þrennar svalir úr stáli.,Frestað. Vísað til athugasemda á umsóknarblaði. Að þeim uppfylltum verður málið sent skipulagsstjóra til ákvörðunar um grenndarkynningu.,"Sótt er um leyfi til þess að byggja stálsvalir við austurhlið 1., 2. og 3. hæðar fjölbýlishússins á lóð nr. 8 við Brávallagötu. Gjald kr. 6.800"
35826 (01.35.000.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035826,Dalbraut 3,sérafnotafletir,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að fjölga bílastæðum við suðurhlið húss og skilgreina sérafnot verslana á 1. hæð frá lóðarhluta vegna íbúða fjöleignarhússins á lóð nr. 3 við Dalbraut. Umsögn Framkvæmdasviðs dags. 5. maí 2007 fylgir erindinu. Einnig lögð fram útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 22. júní 2007. Gjald kr. 6.800
36201 (32.47.370.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036201,Esjugrund 13,Sólstofa,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,"Sótt er um leyfi til að byggja sólstofu (fyrirspurn BN3600) við suðurhlið einbýlishússins á lóðinni nr. 13 við Esjugrund.  Stærð: Sólstofa 27,4 ferm., 68,5 rúmm. Gjald kr. 6.800 + 4.658"
35939 (01.55.301.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035939,Fálkagata 28,"Br. glugga á vestuhlið, einangr. að utan",Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Með vísan til forsögu málsins skal umsækjandi ljúka famkvæmdum utanhúss án tafar. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um leyfi til að síkka glugga í hurðaop á vesturhlið og einangra húsið og klæða á lóðinni nr. 28B við Fálkagötu.  Meðfylgjandi er sameignarsamningur dags. 12. nóv. 1971, yfirmat í máli nr. E-8104/2000 og samþykki sumra aðliggandi lóðarhafa og bréf hönnuðar dags. 19. júní 2007. Gjald kr. 6.800"
36236 (00.00.000.0 38),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036236,Fluggarðar skýli 36,fjölga eignarhald úr einu í tvö,Frestað. Lagfæra skráningartöflu.,"Sótt er um leyfi til að fjölga eignarhlutum, úr einum í tvo, flugskýlis nr. 36 á Reykjavíkurflugvelli. Gjald kr. 6.800"
35711 (01.75.120.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035711,Flugvallarv. Keiluh.,breytingar,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi fyrir áður gerðri stækkun á suðausturenda hússins, breytingum á skrifstofuhúsnæði og breytingu á innra fyrirkomulagi í húsi Keiluhallarinnar í Öskjuhlíð. Meðfylgjandi er brunahönnun dags. 15. september 2004 og vottun eininga dags. 21. júní 2006. Stærðir: Stækkun 286,9 ferm., 1705,2 rúmm. Gjald kr. 6.800 + 6.800 + 115.953"
35953 (02.69.550.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035953,Freyjubrunnur 25-27,8 íb. fjölbýlishús,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja þriggja hæða steinsteypt fjölbýlishús með átta íbúðum og bílageymslu fyrir sjö bíla á lóð nr. 25-27 við Freyjubrunn. Samþykki veggna garðveggja á lóðamörkum Gefjunarbrunnar 17-19 dags. 29. maí 2007 fylgir erindinu. Stærð: Íbúð 1. hæð 230,1 ferm., 2. hæð 528,3 ferm., 3. hæð 504,5 ferm., bílgeymsla 152 ferm., samtals 1414,9 ferm., 4454 rúmm. Gjald kr. 6.800 + 302.872"
36243 (01.19.430.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036243,Freyjugata 45,"hækka þak, kvistir",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi  til þess að hækka þak og setja kvisti á suður- og norður þak ásamt þakgluggum, breyta innra skipulagi 2. hæðar og byggja svalir úr steinsteypu við suðurhlið á fyrstu og annari hæð og gera verönd fyrir kjallaraíbúð undir svölum fjölbýlishússins á lóðinni nr. 45 við Freyjugötu.  Bréf hönnuðar dags. 18. júní 2007, samþykki meðeiganda (á teikningu) fylgja erindi.   Stærð: Stækkun xxx ferm., xxx rúmm. Gjald kr. 6.800+ xxx"
36159 (05.05.330.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036159,Friggjarbrunnur 34-40,raðhús,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja steinsteypt raðhús á tveim hæðum með innbyggðum bílgeymslum á lóðinni nr. 34-40 við Friggjarbrunn. Jafnframt er erindi BN036142 dregið til baka. Stærðir:  Hús nr. 34, Mhl. 1:  1. hæð:  Íbúð 115,5 ferm., 2. hæð:  íbúð 77,6 ferm., bílgeymsla 31,3 ferm.  Samtals 224 ferm. og 788,9 rúmm. Hús nr. 36 og 38, Mhl. 1 og tvö eru sömu stærðar.  Hús nr. 40, Mhl. 4:  1. hæð:  Íbúð 143,4 ferm., 2. hæð:  Íbúð 79,5 ferm., bílgeymsla 31,3 ferm.  Samtals 254,2 ferm. og 878,7 rúmm. Friggjarbrunnur 34-40 samtals 927,4 ferm. og 3.245,4 rúmm. Gjald kr. 6.800 + 220.687"
36208 (04.35.310.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036208,Hábær 33,viðbygging ofl.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja steinsteypta viðbyggingu er inniheldur anddyri, gestasnyrtingu og baðherbergi, breyta innra fyrirkomulagi tengt viðbyggingu, síkka glugga og seta útgönguhurð í stofu og hjónaherbergi, byggja verönd við suðvestur og norðvestur hlið ásamt áfastri girðingu að lóðarmörkum (Hábær 35)  færa sorpgeymslu og bæta við einu bílstæði framan við einbýlishúsið á lóð nr. 33 við Hábæ. Stærð: Viðbygging, 15,8 ferm., 47,6 rúmm.  Gjald kr. 6.800 + 3.237"
36253 (01.23.520.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036253,Hátún 6,eldstæði og pottur,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til að setja lokuð eldstæði (arinn) með tilheyrandi reykröri ásamt heitum pottum á svölum beggja íbúða efstu hæðar fjölbýlishússins nr. 6 við Hátún. Bréf burðarvirkishönnuðar dags. 18. júní 2007 og samþykki meðeigenda dags. 12. júní 2007 fylgir erindinu. Gjald kr. 6.800
35988 (01.54.300.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035988,Hofsvallagata 55,hringstigi - niðurrif svala,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að rífa svalir á vesturhlið og breyta svalahurð í glugga, til að byggja hringstiga af svölum ofan í garð og leyfi fyrir áður gerðum breytingum á innra skipulagi fjölbýlishússins á lóðinni nr. 55 við Hofsvallagötu.  Samþykki nágranna fylgir erindinu dags. 18. apríl 2007 og samþykki meðeigenda fylgir dags. 25. apríl 2007. Gjald kr. 6.800"
