nr,url,heimilisfang,tegund,nidurstada,spurning
36324 (01.14.041.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036324,Aðalstræti 9,sótt um skráningartöflu,Frestað. Vantar samþykki nokkurra eigenda sbr. bréf dags. 28. júní 2007 og 9. ágúst 2007. Leysa skal úr ágreiningi eigenda áður en málið verður tekið fyrir að nýju og er þar m.a. vísað til ákv. laga um fjöleignarhús nr. 26/1994.,"Sótt er um samþykki fyrir minni háttar breytingum á innra skipulagi  kjallara, 1. og 2. hæðar v/eignaskipta í atvinnu- og íbúðarhúsinu á lóðinni nr. 9 við Aðalstræti. Málinu fylgja fundargerð aðalfundar heildarhúsfélagsins dags. 28. júní 2007,  yfirlýsing húsfélagsins dags. 26. júlí 2007 og mótmæli f.h. eigenda nokkurra eignarhluta dags. 28. júní 2007 og á tölvupósti frá 9. ágúst 2007. Gjald kr. 6.800"
36590 (05.86.530.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036590,Almannadalur 17-23,hesthús nr. 19,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess breyta samþykktum teikningum sbr. BN036042 af húsi nr. 19 á lóðinni 17-23 við Almannadal. Eign 0101 er nú gerð fyrir 9 hesta í stað 12. Gjald kr. 6.800
36591 (05.86.530.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036591,Almannadalur 17-23,hesthús nr. 21,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess breyta samþykktum teikningum sbr. BN036141 af húsi nr. 21 á lóðinni 17-23 við Almannadal.  Gjald kr. 6.800
36589 (05.86.520.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036589,Almannadalur 25-29,hesthús nr. 27,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja steinsteypt hesthús með þremur einingum,  eining 0101 sex hestar, eining 0102 tólf hestar, eining 0103 tólf hestar, alls þrjátíu hestar og með kaffiaðstöðu á millilofti í hverri eign allt einangrað að utan og klætt með láréttri zinkhúðari báraðri klæðningu sem hús nr. 27 á lóð nr. 25-29 í Almannadal. Jafnframt er erindi BN036138 dregið til baka. Stærð: Hesthús nr. 27 samtals 431,8 ferm., 1.430,7 rúmm. Gjald kr. 6.800 + 97.288"
36479 (04.66.780.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036479,Austurberg 1,félagshús m. búningsklefum,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til að fjarlægja bráðabirgðahúsnæði og byggja nýtt steinsteypt hús á einni hæð auk tæknirýmis í þakrými og þaksvala félagsheimili íþróttafélagsins Leiknis á lóðinni nr. 1 við Austurberg. Stærðir: 697,7 ferm., 3.384,6 rúmm. Gjald kr. 6.800 + 230.152"
36580 (01.14.021.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036580,Austurstræti 9,útiskýli,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsstjóra.,"Sótt er um leyfi fyrir útiskýli á 2.hæð baklóðar hússins á lóð nr. 9 við Austurstræti. Stærð: Útiskýli xxx ferm., xxx rúmm. Gjald kr. 6.800 + xxx"
35392 (01.29.020.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN035392,Ármúli 12,br. inni og viðbygging,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til þess að rífa hluta af núverandi byggingu, fjarlægja færanlegar kennslustofur og byggja tveggja hæða viðbyggingu ásamt kjallara við Fjölbrautarskólann í Ármúla með samkomusal, kennslurýmum og skrifstofum og breyta innra skipulagi í hluta eldra húss þar sem m.a. verður sett lyfta og tengt á milli húshluta á 2. hæð skólabyggingarinnar á lóð nr. 12 við Ármúla. Brunahönnun dags. 12. júlí 2007, bréf hönnuðar dags. 10. júlí 2007 og bílastæðaútreikningur  ódags. fylgja erindinu. Stærð: Niðurrif 61,2 ferm., færanlegar kennslustofur 205,1 ferm., 714 rúmm. Viðbygging samtals 2663,7 ferm., 16416,8 rúmm. Gjald kr. 6.800 +6.800 + 1.116.342"
36574 (01.83.420.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036574,Ásgarður 34-40,(40) Svalaskýli á 2 og 3 hæð,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,"Sótt er um leyfi til þess að byggja svalarskýli á 2. og 3. hæð á suðurhlið parhússins á lóð 34-40 við Ásgarð. Samþykki meðlóðarhafa fylgir með erindinu. Stærð: Stækkun 2. hæð 7,4 ferm., 19,2 rúmm. 3. hæð 3,1 ferm., 8,4 rúmm. Samtals: 10,5 ferm., 27,6 rúmm. Gjald kr. 6.800 + 1.877"
36553 (01.18.020.9),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036553,Bergstaðastræti 10,br innra skipulagi,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta innra skipulagi íbúðar- og atvinnuhússins  á lóðinni nr. 10 við Bergstaðastræti. Jafnframt er erindi BN036219 dregið til baka Gjald kr. 6.800
36593 (01.18.031.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036593,Bergstaðastræti 9B,reyndarteikn af rishæð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til breytinga á samþykktum aðaluppdráttum dags. 14. mars 1946 af íbúð, þvottaherbergi og geymslum á fjórðu hæð í risi á lóð nr. 9B við Bergstaðastræti. Gjald kr. 6.800"
