nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
30619 (04.94.320.5),BN030619,Akrasel 27,sólstofa o.fl.,Frestað. Vísað til athugasemda á umsóknarblaði.  Að þeim uppfylltum verður málið sent skipulagsfulltrúa til ákvörðunar um grenndarkynningu.,"Sótt er um leyfi til þess að byggja viðbyggingu ásamt sólstofu að suðvesturhlið hússins á lóðinni nr. 27 við Akrasel.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 18. júní 2004 (v. fyrirspurnar) fylgir erindinu.  Stærð: Stækkun viðbygging xx, sólstofa xx  Gjald kr. 5.400 + xx"
30470 (01.84.710.6 02),BN030470,Álfaland 4,gluggar á suðausturhlið kjallara,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að koma fyrir gluggum á suðausturhlið geymslu og tómstundaherbergis í kjallara hússins nr. 2-4 við Álfaland.  Bréf meðumsækjenda dags. 25. nóvember 2004 fylgir erindinu.  Samþykki nokkurra meðeigenda fylgir áritað á teikningu.  Gjald kr. 5.400
30272 (00.01.000.0 00),BN030272,Álfsnes 125650,félagsheimili,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til þess að byggja félagsheimili Skotfélags Reykjavíkur (matshl. 01) á lóð félagsins á norðanverðu Álfsnesi.  Um er að ræða tvö flutningshús úr timbri sem áður stóðu við Sporhamra í Grafarvogi, útliti húsanna er breytt og húsin tengd saman með viðbyggingu úr gleri.  Stærð: Félagsheimili (matshl. 01) kjallari 41,2 ferm 1. hæð 189,3 ferm. Samtals 230,5 ferm. og 697,1 rúmm.  Gjald kr. 5.400 + 37.643"
30407 (01.26.210.1),BN030407,Ármúli 7,matshl. 01 - br. veitingah.,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til þess að breyta innra fyrirkomulagi á fyrstu hæð, breyta fyrirkomulagi og skráningu í kjallara og breyta skyndibitastað í veitingahús á fyrstu hæð hússins (matshluta 01) á lóðinni nr. 7 við Ármúla.  Jafnframt er sótt um leyfi til þess að koma fyrir gasgeymslu sunnan við húsið.  Samþykki meðlóðarhafa dags. 5. nóvember 2004 fylgir erindinu. Samþykki nágranna Ármúla 9 dags. 18. nóvember 2004 fylgir erindinu.  Gjald kr. 5.400 + 5.400"
30447 (01.17.010.1),BN030447,Bankastræti 2,núverandi fyrikomulag,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilið samþykki heilbrigðiseftirlits. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi fyrir núverandi skipulagi og fyrirkomulagi brunavarna húsanna nr. 2 við Bankastræti, nr. 3 við Lækjargötu og nr. 1 við Amtmansstíg á lóðinni nr. 2 við Bankastræti í samræmi við meðfylgjandi uppdrætti.   Erindinu fylgir bréf hönnuðar dags. 8. okt. 2004.  Gjald kr. 5.400"
29969 (02.40.430.4),BN029969,Barðastaðir 67,einbýlishús,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um leyfi til þess að byggja tvílyft steinsteypt einbýlishús með innbyggðri bílgeymslu á lóðinni 67 við Barðastaði.  Stærð: Íbúð 1. hæð 250,3 ferm. 2. hæð 198,5 ferm., bílgeymsla 41,9 ferm.   Samtals 492,5 ferm. og 1833,8 rúmm.  Gjald kr. 5.400+ 5.400 + 99.025"
30467 (01.19.700.1),BN030467,Bergstaðastræti 60,leiðr. á aðaluppdráttum dags 07.09.04,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um samþykki fyrir leiðréttingu á uppdráttum af húsinu á lóðinni nr. 60 við Bergstaðastræti.  Nöfn hæða eru leiðrétt á grunnteikningum og sýnd er stækkun íbúðar 0301 fram í anddyri í sameign.  Samþykki meðeigenda dags. 18. nóvember 2004 fylgir erindinu.  Gjald kr. 5.400
30606 (04.06.500.2),BN030606,Bíldshöfði 18,bráðabirgða samnýting rýma,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að samnýta til bráðabirgða notaeiningar 0202 og 0208 í matshluta 03 (framhús) á lóðinni nr. 18 við Bíldshöfða. Jafnframt verði innra fyrirkomulagi breytt.  Gjald kr. 5.400
30269 (01.18.622.0 02),BN030269,Bragagata 29A,"áðurgerð íbúð í risi, breytt útlit",Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi fyrir áður gerðri íbúð á 3. hæð (rishæð) hússins nr. 29A við Bragagötu.   Jafnframt er innra fyrirkomulagi á hæðinni breytt og sótt um leyfi til þess að koma fyrir gluggum á suðaustur- og norðvesturgafli hússins.  Íbúðarskoðanir dags. 19. maí 2000 og 3. desember 2004 fylgja erindinu. Kaupsamningur dags. 28. júní 2004 fylgir erindinu.  Samþykki meðeigenda dags. 23. júlí 2004 fylgir erindinu.  Afsal dags. 2. október 1950 fylgir erindinu.  Gjald kr. 5.400
30540 (01.87.100.4),BN030540,Bústaðavegur 130,breytt innra fyrirkomulag,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Leyfið tekur ekki til reksturs spilakassa. Komi til lyktmengunar í nágrenni verður umsækjandi að endurbæta loftræiskerfi á eigin kostnað.,Sótt er um leyfi til þess að breyta fyrirkomulagi og m.a. koma  fyrir tveimur spilakössum og djúpsteikingaraðstöðu á 1. hæð í söluturni (fyrrverandi biðskýli) á lóðinni nr. 130 við Bústaðaveg.  Ný skráningartafla fylgir erindinu.  Gjald kr. 5.400
