nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
29480 (04.63.220.1 09),BN029480,Arnarbakki 1-3,"bætt aðg., lyfta",Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki Vinnueftirlits ríkisins. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til þess að setja upp lyftu til þess að bæta aðgengi milli kjallara, 1.  og 2. hæðar unglingadeildar Breiðholtsskóla á lóð nr. 1-3 við Arnarbakka.  Gjald kr. 5.400"
27790 (01.83.710.3),BN027790,Austurgerði 6,áðurg. yfirbygging á svalir o.fl.,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til skipulagsfulltrúa til ákvörðunar um grenndarkynningu vegna svala. Vísað er til uppdrátta nr. 101-103 dags. 28. júlí 2003.,"Sótt er um samþykki fyrir áður gerðri yfirbyggingu svala og leyfi til þess að byggja nýjar svalir að suðurhlið fyrstu hæðar hússins á lóðinni nr. 6 við Austurgerði.  Umsögn skipulagsfulltrúa dags. 21. ágúst 2003 og útskrift skipulagsfulltrúa frá 29. ágúst 2003 fylgja erindinu.  Stærð: Áður gerð viðbygging 16,8 ferm. og 43,5 rúmm.  Gjald kr. 5.100 + 2.349"
29279 (01.14.030.8),BN029279,Austurstræti 17,stækkun  á 1 hæð,Frestað. Lagfæra skráningu. Skipulagsferli ólokið.,"Sótt er um leyfi til þess að stækka verslunarrými á fyrstu hæð í línu við suðurhlið annarra hæða hússins á lóðinni nr. 17 við Austurstræti.  Jafnframt er sótt um samþykki fyrir núverandi innra fyrirkomulagi á efri hæðum hússins.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 30. apríl 2004 fylgir erindinu.  Stærð: Stækkun 1. hæð, 27,9 ferm. og 108,0 rúmm.  Gjald kr. 5.400 + 5.832"
29662 (01.14.021.0),BN029662,Austurstræti 9,breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að breyta innra fyrirkomulagi veitingastaðar á fyrstu hæð og í kjallara hússsins nr. 9 við Austurstræti.  Gjald kr. 5.400
29676 (01.21.810.3),BN029676,Borgartún 29,fjölga um eina eign (kj. og 1. h),Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að skipta eign 0103 á 1. hæð og í kjallara í tvær eignir þannig að eining 0002 verði sjálfstæð eign í atvinnuhúsinu á lóð nr. 29 við Borgartún.  Tölvubréf hönnuðar dags 18. júní 2004 fylgir erindinu.  Gjald kr. 5.400
29655 (01.21.810.3),BN029655,Borgartún 29,innr. konditorí,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að innrétta konditorí í vesturenda 1. hæðar atvinnuhússins á lóð nr. 29 við Borgartún.  Gjald kr. 5.400
29308 (01.23.20),BN029308,Borgartún 34,fordyrirsbygging o.fl.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að gera fordyrisbyggingu úr áli og gleri undir skyggni við núverandi inngang austanvert í húsið nr. 34 við Borgartún.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 7. maí 2004 og umsögn skipulagsfulltrúa dags. 6. maí 2004 fylgja erindinu.  Stærð: 9,6 ferm. og 28,8 rúmm.  Gjald kr. 5.400 + 1.555"
29513 (01.34.810.2),BN029513,Dalbraut 16,svalalokun,Frestað. Vísað til athugasemda eldvarnaeftirlits. Málinu vísað til umsagnar lögfræði og stjórnsýslu.,Sótt er um leyfi til þess að setja upp svalalokun úr gleri (án pósta) með rauf á milli til loftunar á svölum 0211 á 2. hæð fjölbýlishússins á lóð nr. 16 við Dalbraut.  Ljósrit úr eignaskiptayfirlýsingu og bréf ritara húsfundar dags. 16. júní 2004 fylgja erindinu.  Gjald kr. 5.400
29648 (02.29.920.2),BN029648,Dverghamrar 3,"verkfæraskúr, stoðveggur",Frestað. Vísað til athugasemda á umsóknarblaði. Að þeim uppfylltum verður málið sent skipulagsfulltrúa til ákvörðunar um grenndarkynningu.,"Sótt er um leyfi til þess að byggja verkfæraskúr á lóðarmörkum norðan húss og framlengja stoðvegg á sömu lóðarmörkum, jafnframt er sótt um samþykki fyrir áður gerðum stoðvegg á suðurlóðarmörkum og leyfi til þess að koma fyrir bílastæði á lóðinn nr. 3 við Dverghamra.  Bréf umsækjanda dags. 14. júní 2004 fylgir erindinu. Samþykki nágranna Dverghömrum 1 dags. 11. júní 2004 og útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 19. mars 2004 (v.fyrirspurn) fylgja erindinu.  Stærð: Verkfæraskúr, matshl. 02; 11,4 ferm. og 29,1 rúmm.  Gjald kr. 5.400 + 1.571"
29595 (02.45.610.1),BN029595,Fossaleynir 1,tímabundnar br vegna tónleikahalds,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilið samþykki Vinnueftirlits ríkisins. Áskilið samþykki heilbrigðiseftirlits. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi fyrir tímabundnum breytingum vegna tónleikahalds 4. júlí 2004 fyrir allt að 18.000 manns í Egilshöll á lóð nr. 1 við Fossaleyni.  Bréf hönnuðar dags. 4. júní 2004 og brunahönnun VSI dags. 16. júní 2004 fylgja erindinu.  Gjald kr. 5.400
29668 (01.18.452.3),BN029668,Freyjugata 6,br ofanábygging,Frestað. Lagfæra skráningu. Málinu vísað til skipulagsfulltrúa til ákvörðunar um grenndarkynningu. Vísað er til uppdrátta nr. 1.01 og 1.02 dags. 15. júní 2004.,Sótt er um leyfi til að hækka og breyta ofanábyggingu á húsið nr. 6 við Freyjugötu frá því sem samþykkt var 25. nóv. 2003. Jafnframt er sótt um leyfi fyrir geymslurými í risi hússins.   Erindinu fylgir fylgiskjal dags. 16. nóv. 1999 með eignakiptayfirlýsingu fyrir Freyjugötu 10 vegna aðkomu að baklóð.  Stækkun: xx  Gjald kr. 5.400 + xx
29270 (01.13.652.5),BN029270,Garðastræti 17,br. undiganga,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að gera vegg og dyr í báða enda undirganga í húsinu nr. 17 við Garðastræti. Veggir og hurðir verði að mestu úr timbri og gleri og í rýminu verði sorpgeymsla auk geymslu fyrir hjól og vagna.  Stækkun: xx  Gjald kr. 5.400 + xx
