nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
29082 (01.52.160.5),BN029082,Álagrandi 4,br. á aðalhönnuði,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um samþykki fyrir aðaluppdráttum tvíbýlishússins á lóð nr. 4 við Álagranda, byggingarlýsingu er breytt.  Gjald kr. 5.400"
29057 (01.28.310.1),BN029057,Álftamýri 79,gervigrasvöllur við Álftamýraskóla,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsfulltrúa vegna stígs.,Sótt er um leyfi til að koma fyrir 40 x 22 m gervigrasvelli á lóð Álftamýrarskóla nr. 79 við Álftamýri.  Gjald. kr. 5.400
29050,BN029050,Ármúli 13A,síkkun glugga á austurhl og br. innanhúss,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til að síkka norðausturglugga á fyrstu hæð hússins nr. 13A við Ármúla (mhl 09) á lóðinni nr. 16 við Suðurlandsbraut. Jafnframt verði  op á fyrstu hæð milli Ármúla 13A og Vegmúla 4 (mhl 06) á sömu lóð stækkað, komið fyrir eldvarnahurð og innra fyrirkomulagi breytt.  Erindinu fylgir umsögn Hönnunar dags. 8. mars. 2004.  Gjald kr. 5.400"
28860 (01.26.200.2),BN028860,Ármúli 5,reyndarteikning Múlakaffi,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um samþykki fyrir núverandi fyrirkomulagi veitingahússins Múlakaffis á fyrstu hæð hússins (matshl. 02) á lóðinni nr. 5 við Ármúla.  Gjald kr. 5.400
28892 (01.83.420.2),BN028892,Ásgarður 10-16,reyndarteikningar v/eignaskipta,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um samþykki fyrir núverandi fyrirkomulagi húsanna nr. 10-16 (matshl. 01-04) við Ásgarð.   Breytingar hafa orðið á kjallaraíbúðum húsanna.  Gjald kr. 5.400
28925 (01.18.030.9),BN028925,Bergstaðastræti 13,breyta verslun í íbúð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að breyta innra fyrirkomulagi, stækka hús út í áður inndregin anddyri og breyta tveimur verslunarrýmum (rými 0101 og 0102) í eina íbúð á fyrstu hæð hússins nr. 13 við Bergstaðastræti.  Stærð: Stækkun xx  Gjald kr. 5.400 + xx"
29060 (01.18.030.9),BN029060,Bergstaðastræti 13,viðbygging,Frestað. Vísað til athugasemda á umsóknarblaði. Að þeim uppfylltum verður málið sent til umsagnar skipulagsfulltrúa.,Sótt er um leyfi til þess að byggja fjögurra hæða viðbyggingu úr steinsteypu að suðurhlið hússins á lóðinni nr. 13 við Bergstaðastræti.  Stærð xx  Gjald kr. 5.400 + xx
29053 (01.18.221.5),BN029053,Bjarnarstígur 4,svalir,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsfulltrúa.,Sótt er um leyfi til þess að byggja svalir úr timbri á norður- og vesturhlið hússins á lóðinni nr. 4 við Bjarnarstíg.  Gjald kr. 5.400
28790 (01.82.630.4),BN028790,Byggðarendi 8,breyta einbýlish. í tvíbýlishús,Frestað. Málið er til umfjöllunar skipulagsfulltrúa.,"Sótt er um leyfi til þess að grafa út lóð, taka í notkun óuppfyllt rými og koma fyrir sjálfstæðri íbúð á neðri hæð hússins nr. 8 við Byggðarenda.  Yfirlýsing burðarvirkishönnuðar dags. 2. febrúar 2004 fylgir erindinu.  Stærð: Stækkun, óuppfyllt rými 73,3 ferm. og 194,2 rúmm.  Gjald kr. 5.400 +10.487"
29028 (01.19.340.4),BN029028,Egilsgata 3,handrið 6. hæð,Frestað. Eldvarnareftirlitið getur ekki fallist á framlagða tillögu sem fullnægjandi lausn vegna eldvarna á hæðinni.,Sótt er um leyfi til þess að setja upp handrið framan við björgunarop á suðurhlið 6. hæðar Domus Medica á lóð nr. 3 við Egilsgötu.  Gjald kr. 5.400
