nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
34416 (04.68.100.1),BN034416,Asparfell 2-12,ný anddyri á norðurhlið,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Sveinbjörn Steingrímsson vék af fundi við afgreiðslu málsins.,"Sótt er um leyfi til þess að búa til ný anddyri (fordyri) framan við núverandi aðalinnganga á norðurhlið kjallarahæðar fjölbýlishúsanna á lóð nr. 2-12 við Asparfell.  Stærð: 38 ferm., 102,6 rúmm.  Gjald kr. 6.100 + 6.259"
34357 (01.28.030.2 08),BN034357,Álftamýri 57,viðbygging,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Sótt er um að leyfi til að byggja úr timbri ofan á svalir á raðhúsinu  Álftamýri 57. Samþykki húseigenda að Álftamýri 43-57 dagsett 7. júlí 2006, fyrir þessum breytingum fylgir.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 28. júlí 2006 fylgir erindinu.  Stærðir: 31 ferm., og 82,2 rúmm.  Gjald kr. 6.100 + 50.142"
34382 (01.82.410.4),BN034382,Ásendi 7,stækka hús + framlenging á þaki,Frestað. Skipulagsferli ólokið.,"Sótt er um leyfi til að byggja við stofu einbýlishússins á lóðinni nr. 4 við Ásenda. Samþykki eigenda Ásenda 5 og 9 dagsett 10. júlí 2006 fylgir erindinu.  Stækkun 13,4 ferm.,  48,08 rúmm.  Gjald kr. 6.100 + 2923"
34530 (00.00.000.0),BN034530,Bogahlíð 4,sólskáli á svölum,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að byggja svalaskýli á hluta svala úr prófílum og tvöföldu sólgleri á fjöbýlishúsinu á lóðinni nr. 4 við Bogahlíð.  Gjald kr. 6.100 + xx rúmm.
34334 (01.21.910.3),BN034334,Borgartún 39,atvinnuhúsnæði,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til að byggja kæligeymslu við suðurhlið hússins á lóðinni nr. 39 við  Borgartún (þjónustustöð Esso). Viðbyggingin er úr stálgrind klædd álflísum.  Stærðir: 15,9 ferm., og 43 rúmm.  Gjald kr. 6.100 + 2.623"
34343 (01.22.000.2),BN034343,Borgartún 6,breytingar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki Vinnueftirlits ríkisins.,"Sótt er um að breyta burðarvirki í turni á vesturhlið hússins, úr steinsteypu í stál, útveggjagrind frágengin með múrkerfi í húsinu á lóðinni nr. 6 við Borgartún.  Málinu fylgir yfirlýsing brunahönnuðar dags. 24. ágúst 2006.  Gjald kr. 6.100"
34483 (01.35.100.1),BN034483,Brúnavegur Hrafnista,sólstofa (Jökulgrunn 19),Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Sótt er um leyfi til að byggja sólstofu við raðhúsið á lóðinni nr. 19 við Jökulgrunn.  Málinu fylgir undirritað samþykki eigenda Jökulgrunns 21 dags. 21. ágúst 2006.  Stærð: 12 ferm., 29 rúmm.  Gjald kr. 6.100 + 1.769"
34549 (02.34.440.4),BN034549,Dofraborgir 15,viðbygging,Frestað. Lagfæra afstöðumynd.,"Sótt er um leyfi til að byggja 2. hæða viðbyggingu við einbýlishús á lóðinni nr. 15 við Dofraborgir. Neðri hæð verður steinsteypt en efri hæð úr timbri.  Stærð: Viðbygging 71,2 ferm., 191,3 rúmm.  Gjald kr. 6.100 + 11.672"
34529 (01.45.411.8),BN034529,Dugguvogur 15,íbúð í atvinnuhúsnæði,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til að útbúa og innrétta íbúð með vinnustofu í atvinnuhúsnæðinu á lóðinni nr. 15 við Dugguvog.  Málinu fylgir samþykki sumra meðlóðarhafa, dags. 31. júlí 2006.  Gjald kr. 6.100"
34545 (04.23.630.1 02),BN034545,Fiskakvísl 3,breytingar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að koma fyrir dyrum úr bílgeymslum yfir í sameign fjölbýlishússins nr. 3 á lóðinni nr. 1-3 við Fiskakvísl.  Samþykki meðlóðarhafa dags. 18. ágúst 2006 fylgir erindinu.  Gjald kr. 6.100
