nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
34863 (01.26.120.1),BN034863,Ármúli 3,breytingar á skipulagi 4. hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta innra fyrirkomulagi skrifstofurýma 4. hæðar, með léttum milliveggum, í húsi á lóð nr. 3 við Ármúla.   Gjald kr. 6.100"
33899 (01.16.220.8),BN033899,Ásvallagata 21,svalir ofl.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að gera þaksvalir og aðkomurými úr gleri til að komast uppá svalirnar á húsinu á lóðinni nr. 21 við Ásvallagötu.  Einnig er sótt um leyfi fyrir áður gerðum breytingum innanhúss og endurnýjun á byggingarleyfi frá 25. ágúst 1998 vegna byggingu áhaldaskúrs, skv uppdr. Ragnars Birgissonar, dags. 16. nóvember 1997. Kynning stóð frá 31. maí til og með 28. júní. Engar athugasemdir bárust.  Málinu fylgir eignaskiptayfirlýsing til yfirferðar dags. 11. maí 2006.  Málinu fylgja einnig undirritaðir uppdrættir með samþykki  eigenda  Ásvallagötu 19 nema eiganda 01 0101 og 01 0201, allra eigenda Ásvallagötu 21, Blómvallagötu 10 og Blómvallagötu 10A.  Stærð: Stækkun 2,2 ferm., 1,6 rúmm.  Gjald kr. 6.100 + 98"
34864 (02.42.110.1),BN034864,Bakkastaðir 41,stækkun,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Sótt er um leyfi til að byggja við norðurhlið einbýlishússins á lóðinni nr. 41 við Bakkastaði.  Stærð:  Stækkun 15,8 ferm., 61 rúmm.  Gjald kr. 6.100 + 3.721"
34855 (01.21.810.3),BN034855,Borgartún 29,breyting 4 hæð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi fyrir breytingu á innra fyrirkomlagi 4. hæðar hússins á lóðinni nr. 29 við Borgartún.  Gjald kr. 6.100
34798 (00.00.000.0 12),BN034798,Eggertsgata 12-14,leyfi fyrir geymsluskúra á lóð,Frestað. Vísað til athugasemda á umsóknarblaði og til útskriftar úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 20. október 2006.,"Sótt er um leyfi fyrir tveimur óupphituðum útigeymslum úr timbri á suðausturenda lóðar nr. 12-14 við Eggertsgötu.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 20. október 2006 fylgir erindinu.  Stærðir: 30,0 ferm., og 104,4 rúmm.  Gjald kr. 6.100 + 6.368,4"
34838 (01.36.640.3),BN034838,Engjateigur 3-5,"3 - br. þaki, svalir o.fl.",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um að breyta innra fyrirkomulagi á öllum hæðum áður lagerrými í kjallara verði að geymslu og starfsmannarými tengd 2. og 3. hæð, á 4. hæð verði settar nýjar innbyggðar svalir með tilheyrandi breytingu á þaki hússins á lóðinni nr. 3-5 við Engjateig.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 20. október 2006 fylgir erindinu.  Gjald kr. 6.100"
34701 (01.08.930.1),BN034701,Fiskislóð 15-21,"Nýb., verslun",Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til þess að byggja að mestu einnar hæða stálgrindarskemmu klædda timbureiningum með steniklæðningu yst fyrir byggingavöru- og timburvöruverslun ásamt skýli við norðurhluta lóðar nr. 15-19 við Fiskislóð.  Brunahönnun Hönnunar dags. í september 2006 fylgir erindinu.  Stærð: Verslun 1. hæð 6975,9 ferm., 2. hæð 173,2 ferm., samtals 7149,1 ferm., 65362,8 rúmm.   Skýli (B-rými) 304,7 ferm., 1046,6 rúmm.  Gjald kr. 6.100 +  4.050.973"
34010 (01.08.760.3),BN034010,Fiskislóð 45,"milligólf, br. á innr. og útliti",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að setja milliloft í allt húsið, fjölga eignum úr þrettán í tuttugu og sjö, breyta gluggum og dyraopum, leiðrétta stærðir húss og fjölga bílastæðum á stækkaða lóð nr. 45 við Fiskislóð.  Stærð: Atvinnuhús var 1740,1 ferm., verður 2441,6 ferm.  Stækkun: 701,5 ferm.  Gjald kr. 6.100"
34862 (01.24.360.5),BN034862,Flókagata 1,stækka glerskála,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að stækka glerskála við húsið á lóðinni nr. 1 við Flókagötu.  Stækkun: 21 ferm., og 47,6 rúmm.  Gjald kr. 6.100 + 2.903"
34795 (01.24.440.4),BN034795,Flókagata 29,breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að innrétta sambýli með sex íbúðareiningum og sameiginlegu rými fyrir íbúana í einbýlishúsinu og bílskúrnum á lóðinni nr. 29 við Flókagötu.  Einnig er sótt um leyfi til að lækka gólf í bílskúr og koma fyrir gluggum í stað bílskúrshurðar.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 13. október 2006 fylgir erindinu.  Stærð: Stækkun xx rúmm.  Gjald kr. 6.100 + xx
34791 (01.24.440.3),BN034791,Flókagata 31,breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að innrétta sambýli með fimm íbúðareiningum fyrir einstaklinga og sameiginlegu rými fyrir íbúana í einbýlishúsinu og bílskúrnum á lóðinni nr. 31 við Flókagötu.  Einnig er sótt um leyfi til að lækka gólf í bílskúr og koma fyrir gluggum í stað bílskúrshurðar.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 13. október 2006 fylgir erindinu.  Stærð:  Stækkun xx rúmm.  Gjald kr. 6.100 + xx
