nr,url,heimilisfang,tegund,nidurstada,spurning
25004 (01.14.021.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025004,Austurstræti 3,kaffistofa,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til skipulagsfulltrúa til ákvörðunar um grenndarkynningu.  Vísað er til uppdrátta nr. 802 dags. 8. apríl 2002.,Sótt er um leyfi til þess að breyta verslunarhúsnæði á fyrstu hæð í kaffistofu með sætum fyrir tuttugu og sex gesti í húsinu nr. 3 við Austurstræti. Samþykki hluta meðeigenda dags. 30. apríl 2002 fylgir erindinu. Gjald kr. 4.800
24851 (01.16.220.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN024851,Ásvallagata 31,kjallari,Frestað. Lagfæra skráningu.,Sótt er um samþykki fyrir reyndarteikningum af kjallara hússins á lóðinni nr. 31 við Ásvallagötu. Innra skipulagi og eignarhaldi í kjallara er breytt. Samþykki meðeigenda dags. 7. apríl 2002 fylgir erindinu. Gjald kr. 4.800
25037 (01.17.020.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025037,Bankastræti 6,íbúð 3.hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að breyta skrifstofuhúsnæði í íbúð á þriðju hæð hússins á lóðinni nr. 6 við Bankastræti. Komið er fyrir svölum ofan á þakfleti á suðurhlið hússins. Kauptilboð dags. 21. mars 2002 fylgir erindinu. Gjald kr. 4.800
24992 (01.78.200.2 02),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN024992,Birkihlíð 9,garðhús,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að byggja sólstofu að suðurhlið fyrstu hæðar hússins nr. 9 á raðhúsalóðinni nr. 7-11 við Birkihlíð. Samþykki meðlóðarhafa dags. 30. apríl 2002 fylgir erindinu. Stærð: Sólstofa xx Gjald kr. 4.800 + xx
25024 (01.18.222.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025024,Bjarnarstígur 3,breyting úti og inni,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til skipulagsfulltrúa til ákvörðunar um grenndarkynningu. Vísað er til uppdráttar A-01 dags. 19. febrúar 2002.,"Sótt er um leyfi til þess að byggja við efri hæð norðausturenda og breyta innra skipulagi einbýlishúss á lóð nr. 3 við Bjarnarstíg. Stærð: Viðbygging 2. hæð 13,1 ferm., 37,2 rúmm. Gjald kr. 4.800 + 1.786"
24994 (01.88.930.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN024994,Bleikargróf 15,áður g. br. og nýtt anddyri,Frestað. Lagfæra skráningu.,"Sótt er um samþykki fyrir áður gerðri viðbyggingu og sólstofu við vesturhlið, fyrir áður gerðri stækkun bílskúrs og leyfi til þess að nota bílskúr tímabundið fyrir gæludýraeldi og tengja saman bílskúr og einbýlishús  með nýrri anddyrisviðbyggingu á lóð nr. 15 við Bleikargróf. Stærð: Áður gerð stækkun íbúðarhúss 26,9 ferm., 65,7 rúmm., áður gerð stækkun bílskúrs 23,7 ferm., 88,5 rúmm., anddyrisviðbygging 3,5 ferm., 9,7 rúmm. Gjald kr. 4.800 + 8.387"
25032 (01.21.910.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025032,Borgartún  35-37,(35) reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir breyttri útfærslu á útloftun og flóttastiga frá opinni bílgeymslu, leyfi til þess að breyta innra skipulagi á öllum hæðum, fjölga eignum og leiðrétta stærðir húss nr. 35 á lóð nr. 35-37 við Borgartún. Stærð: Kjallari var 482,3 ferm. verður 504,4 ferm., 1. hæð var 571,2 ferm. verður 577,3 ferm., 2.- 5. hæð var hver hæð 555,1 ferm. verður 570,4 ferm., 6. hæð var 247 ferm. verður 241,2 ferm., samtals var hús 3520,9 ferm. verður 3604,5 ferm., var 12027,3 rúmm. verður 12234 rúmm. Gjald kr. 4.800 + 9.922"
24930 (01.35.100.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN024930,Brúnavegur Hrafnista ,br. innra skipulagi deild A3,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að breyta innra skipulagi á deild A3 þannig að borðstofa og eldhús komi næst svölum á 3. hæð A-álmu Hrafnistu á lóð við Brúnaveg. Gjald kr. 4.800
25042 (01.34.450.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025042,Dalbraut 12,Ljónagarður - Leiktækjagarður,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sót er um leyfi til þess að breyta útfærslu væntanlegs leiktækjagarðs við Barna- og unglingageðdeild Landspítalans á lóð nr. 12 við Dalbraut. Bréf hönnuðar dags. 8. maí 2002 ásamt greinagerð fylgja erindinu. Gjald kr. 4.800
25018 (04.94.870.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025018,Dalsel  6-22,(10) risloft,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að setja stiga frá 4. hæð og nýta risloft með eign 0402 ásamt leyfi til þess að setja tvo þakglugga á risloft húss nr. 10 á lóð nr. 6-22 við Dalsel. Afsal vegna eignar undir þaki innfært 15. september 1989 fylgir erindinu. Gjald kr. 4.800
24819 (01.70.420.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN024819,Drápuhlíð 2,reyndarteikning,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997 og með vísan til 15. gr. reglugerðar nr. 910/2000.,"Sótt er um samþykki fyrir smávægilegum breytingum á innra skipulagi allra hæða og fyrir afmörkun séreignar á rishæð húss á lóð nr. 2 við Drápuhlíð. Bréf fyrrverandi eiganda rishæðar dags. 9. apríl 2002, samþykki meðeigenda dags. 9. apríl 2002, íbúðarskoðun byggingarfulltrúa dags. 13. desember 2001, afsal eignar á 3. hæð innfært 2. október 1962 og 15. janúar 1999 ásamt tengipappírum vegna rishæðar (3.h) dags. 11. september 1947 fylgja erindinu. Gjald kr. 4.800"
24244 (01.71.300.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN024244,Drápuhlíð 34,reyndarteikningar,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,Sótt er um samþykki fyrir reyndarteikningum af húsinu á lóðinni nr. 34 við Drápuhlíð. Innra fyrirkomulagi geymslurýma í kjallara og íbúðar á rishæð er breytt. Gjald kr. 4.800
