nr,url,heimilisfang,tegund,nidurstada,spurning
25170 (05.13.140.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025170,Andrésbrunnur 1-7,fjölbýlish. 28 íb. á 4. h,Frestað. Vísað til athugasemda á umsóknarblaði. Deiliskipulagsferli ólokið.,"Sótt er um leyfi til þess að breyta nýsamþykktu fjögurra hæða steinsteyptu fjölbýlishúsi þannig að íbúðum fjölgi úr 24 í 28 ásamt breyttu útliti og stærðum á lóð nr. 1-7 við Andrésbrunn. Stærð: Hús nr. 1 (matshluti 01) verður íbúð kjallari 90,3 ferm., 1. hæð 256,5 ferm., 2. hæð 256,5 ferm., 3. hæð 252,3  ferm., bílgeymsla 191,4 ferm., samtals 1047 ferm., 3262,5  rúmm.  Hús nr. 3 (matshluti 02) verður íbúð 108,7 ferm., 1. hæð 255,6 ferm., 2. hæð 255,6 ferm., 3. hæð 251,4 ferm., bílgeymsla 172,6 ferm., samtals 1043,9 ferm., 3260 rúmm.  Hús nr. 5 (matshluti 03) verður sömu stærðar og hús nr. 3 eða samtals 1043,9 ferm., 3260 rúmm.   Hús nr. 7 (matshluti 04) verður sömu stærðar og hús nr. 1 eða samtals 1047 ferm., 3262,5 rúmm. Samtals var fjölbýlishúsið 4295,2 ferm. verður 4181,8  ferm., var 12659,4 rúmm. verður 13045 rúmm.    Gjald kr. 4.800 + 18.509"
25388 (01.14.040.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025388,Austurstræti 8-10,Fjölg.gesta í sal,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að auka leyfilegan fjölda gesta í veitingasal, úr 80 manns í 160 manns, á fyrstu hæð byggingar á lóð nr. 8-10 við Austurstræti. Gjald kr. 4.800"
23734 (01.18.620.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN023734,Baldursgata 16,svalir,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að setja svalir á suðausturhlið (bakhlið) annarrar hæðar hússins á lóðinni nr. 16 við Baldursgötu. Virðingargjörð dags. 1. ágúst 1941 (allar íb.) fylgir erindinu.  Afsalsbréf dags. 6. febrúar 1998 (1. hæð), 5. september 1995 (2. hæð t.v.), 15. nóvember 1995 (2. hæð t.h.) og 28. febrúar 1973 (rishæð) fylgja erindinu. Samþykki meðeigenda á teikn. dags. 31. júlí 2001 og ljósmyndir fylgja erindinu."
25037 (01.17.020.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025037,Bankastræti 6,íb. 3.h. + ós. íb. 4.h.,Frestað. Lagfæra skráningu.,"Sótt er um leyfi til þess að breyta skrifstofuhúsnæði í íbúð á þriðju hæð hússins á lóðinni nr. 6 við Bankastræti. Komið er fyrir svölum ofan á þakfleti á suðurhlið hússins.  Einnig er gerð grein fyrir ósamþykktri íbúð á fjórðu hæð hússins. Afsal dags. 22. janúar 1964, skiptasamningur dags. 4. desember 1981,  kauptilboð dags. 21. mars 2002 og samþykki meðeigenda dags. 13. maí 2002 fylgja erindinu.  Gjald kr. 4.800"
25245 (01.13.630.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025245,Bárugata 11,reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir reyndarteikningum af gistiheimili  (matshl. 01) og bílskúr (matshl. 02) á lóðinni nr. 11 við Bárugötu. Innra fyrirkomulagi allra hæða hefur verið breytt. Gjald kr. 4.800
24253 (01.18.030.9),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN024253,Bergstaðastræti 13,Inndregin þakhæð.,Samþykkt 10. júlí 2002. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til þess að byggja inndregna þakhæð (4. hæð) með tveimur íbúðum ofan á húsið á lóðinni nr. 13 við Bergstaðastræti. Stærð: 4. hæð, 200,8 ferm. og 635,4 rúmm. Gjald kr. 4.800 + 30.499"
25297 (01.18.030.9),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025297,Bergstaðastræti 13,br. á geymslum,Frestað. Lagfæra skráningu.,Sótt er um leyfi til þess að breyta innra skipulagi á 1. hæð hússins á lóð nr. 13 við Bergstaðastræti. Gjald kr. 4.800
25205 (01.88.540.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025205,Blesugróf 11,viðbygging,Frestað. Lagfæra skráningu.,"Sótt er um samþykki fyrir áður gerðri viðbyggingu við vesturhlið íbúðarhúss og leyfi til þess að byggja einlyfta viðbyggingu á milli íbúðarhúss og bílskúrs á lóð nr. 11 við Blesugróf. Skipulagsfulltrúi kynnti erindið. Engar athugasemdir bárust. Samþykki eigenda af Blesugróf 9 og 13 dags. 3. júní 2002 og samþykki sömu aðila á teikningu dags. 15. júlí 2002 fylgja erindinu. Stærð: Áður gerð viðbygging 14,6 ferm., viðbygging 13,4 ferm., samtals 31 ferm., 79,3 rúmm. Gjald kr. 4.800+ 3.806"
25082 (04.23.520.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025082,Bröndukvísl 8,Garðskáli og þakgluggi,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að gera þakglugga á suðurhlið og  leyfi fyrir áður gerðum garðskála á vesturhlið hússins á lóðinni nr. 8 við Bröndukvísl. Stærð: Garðskáli xx Gjald kr. 4.800 + xx
25433 (00.00.000.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025433,Drekavogur 4A,breytingar. Kjallarar sameignaðir á húsi A og B.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að sameina hús nr. 4A og 4B og að byggja sameiginlega geymslu og kjallara, breyta stigahúsi og að breyta innri skipan íbúða á öllum hæðum fjölbýlishúsins nr.4A og 4B á lóð nr.4-4B við Drekavog. Gjald kr.4.800"
25312 (01.35.521.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025312,Efstasund 12,Viðbygging og bílskúr,Frestað. Lagfæra skráningu. Málinu vísað til skipulagsfulltrúa til ákvörðunar um grenndarkynningu.  Vísað er til uppdrátta nr. 1-101 og 1-102 dags.18. júní 2002.,"Sótt er um leyfi til þess að byggja viðbyggingu úr timbri að suður- og vesturhlið húss og byggja steinsteyptan bílskúr á lóðinni nr. 12 við Efstasund. Samþykki nágranna dags. 20. júní og 5. júlí 2002 fylgir erindinu. Stærð: Stækkun húss 83,3 ferm. og 346,0 rúmm. Bílskúr xx ferm. og xx rúmm. Gjald kr. 4.800 + xx"
25166 (01.19.430.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025166,Eiríksgata 6,reyndarteikningar ,Frestað. Lagfæra skráningu.,Sótt er um samþykki fyrir reyndarteikningum af innra fyrirkomulagi gistiheimilis á lóðinni nr. 6 við Eiríksgötu. Gjald kr. 4.800
25415 (01.19.621.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025415,Fjölnisvegur 11,br.2.h og gluggi,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að breyta innra skipulagi á annari hæð og að setja nýjan glugga á norð-austur hlið húss á lóð nr. 11 við Fjölnisveg. Gjald kr.4.800
25399 (04.67.440.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025399,Gerðuberg 7,eldvarnaruppdrættir,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir reyndarteikningum skátaheimilis á lóð nr. 7 við Gerðuberg. Gjald kr.4.800
25201 (01.18.210.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025201,Grettisgata 2,"reyndarteikn., séreign.",Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir reyndarteikningum sem m.a. sýna afmörkun séreignar í kjallara framhússins (matshluta 01) á lóð nr. 2 við Grettisgötu. Afsal vegna eignar í kjallara innfært 5. nóvember 1999 fylgir erindinu. Gjald kr. 4.800
25425 (01.17.150.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025425,Grettisgata 5,"fjölga íbúðum,viðb.",Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til þess að byggja viðbyggingu við suðurhlið þriðju hæðar og að fjölga íbúðum á annarri og þriðju hæð, úr einni í þrjár íbúðir ásamt því að breyta vörugeymslu í bílageymslu á fyrstu hæð byggingar á lóð nr. 5 við Grettisgötu. Stærð: Viðbygging 87,4 ferm., 219,1 rúmm. Gjald kr.4.800 + 10.517"
24949 (01.17.422.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN024949,Grettisgata 55B,reyndarteikningar,Frestað. Lagfæra skráningu.,Sótt er um samþykki fyrir reyndarteikningum af húsinu nr. 55B á lóðinni nr. 55 við Grettisgötu. Á uppdráttum kemur fram áður gerð íbúð á jarðhæð hússins. Samþykki eiganda Grettisgötu 55A dags. 23. apríl 2002  og virðingargjörð dags. 6. maí 1922 fylgja erindinu. Skoðunarskýrslur byggingarfulltrúa dags. 15. maí 2002 og 28. maí 2002 fylgja erindinu. Gjald kr. 4.800
25393 (01.81.420.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025393,Grundargerði 18,kvistir,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til skipulagsfulltrúa til ákvörðunar um grenndarkynningu. Vísað er til uppdrátta nr. 1 dags. 25. júní 2002 og nr. 2 dags. 23. maí 2002,Sótt er um leyfi til þess að byggja þrjá kvisti á norðurþekju einbýlishúss á lóð nr.18 við Grundargerði. Gjald 4.800
24864 (01.18.430.9),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN024864,Grundarstígur 11,reyndarteikningar,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um samþykki fyrir áður gerðum kvistum á þakhæð, áður gerðum íbúðum á 1.-3.  hæð og afmörkun séreigna í kjallara, á 1. hæð og þakhæð fjöleignarhúss á lóð nr. 11 við Grundarstíg. Íbúðarskoðanir byggingarfulltrúa dags. 22. maí 2002, virðingargjörð dags. 25. maí 1945 og 19. febrúar 1973, yfirlit frá sýslumanni um eignirnar níu og afsal fyrir eign 0002 dags. 17. sept. 1975, eign 0101 innfært 25. október 1990, eign 0102 innfært 31. ágúst 1993,  eign 0103 dags. 28. apríl 1983, eign 0201 innfært 20. september 2000, eign 0301 dags. 21. febrúar 1973, eign 0302 dags. 12. ágúst 1999, eign 0401 dags. 15. janúar 2001 fylgja erindinu. Áður gerð stækkun þakhæðar (kvistir) 6,7 ferm., 12,1 rúmm. Gjald kr. 4.800 + 581"
25424 (05.13.540.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025424,Gvendargeisli 32,einbýlish. m. innb. bílg.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja einlyft steinsteypt einbýlishús með innbyggðri bílgeymslu á lóð nr. 32 við Gvendargeisla. Stærð: Íbúð 165,7 ferm., bílgeymsla 42,5 ferm., samtals 208,2 ferm., 781,4 rúmm. Gjald kr. 4.800 + 37.507"
24885 (02.57.610.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN024885,Gylfaflöt 32,breytingar,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Framvísa skal vottun þakeininga áður en úttekt á botnplötu fer fram.,"Sótt er um leyfi til þess að breyta byggingaraðferð, útliti og innra fyrirkomulagi hússins á lóðinni nr. 32 við Gylfaflöt.  Húsið verði steinsteypt klætt prófíljárni. Þakformi er breytt. Mænishæð er lækkuð og flatarmál og rúmmál hússins breytist. Afrit af afsalsbréfi dags. 19, apríl 2002 fylgir erindinu. Stærð: Húsið var áður skráð samtals 883,8 ferm., 4800,8 rúmm. en verður nú 884,0 ferm. og 4793,5 rúmm. Gjald kr. 4.800"
25237 (01.22.320.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025237,Hátún 2B,reyndarteikningar,Frestað. Lagfæra skráningu.,Sótt er um samþykki (uppfærðar teikningar) vegna breytinga á eignum á lóð nr. 2B við Hátún. Gjald kr. 4.800
25125 (01.80.230.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025125,Heiðargerði 116,bílskúrsgryfja.,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um leyfi til þess að koma fyrir kjallara (gryfju) undir bílskúr á lóðinni nr. 116 við Heiðargerði. Stærð: Stækkun bílskúrskjallari 38,9 ferm. og 97,3 rúmm. Gjald kr. 4.800 + 4.670"
25323 (01.80.100.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025323,Heiðargerði 15,yfirb. svalir og br. á bílskúr,Frestað. Lagfæra skráningu. Málinu vísað til skipulagsfulltrúa til ákvörðunar um grenndarkynningu. Vísað er til uppdráttar nr. 01 dags 25. júní 2002.,"Sótt er um samþykki fyrir áður gerðri yfirbyggingu yfir hluta svala á 2. hæð og fyrir áður gerðu anddyri við austurhlið ásamt leyfi til þess að stækka svalaskýli og stækka  bílskúr að útvegg íbúðarhússins á lóð nr. 15 við Heiðargerði. Samþykki eigenda Heiðargerðis 13 og 17 (á teikningu) fylgir erindinu. Stærð: Áður gert anddyri 5,7 ferm., áður gert svalaskýli 7,5 ferm., samtals áður gert 13,2 ferm., 35 rúmm. Stækkun 2. hæðar 3,9 ferm., 9 rúmm., bílskúrs 6 ferm., 17,4 rúmm. Gjald kr. 4.800 + 2.947"
