nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
39585 (01.83.420.3),BN039585,Ásgarður  18-24,breyta í íbúð,Frestað. Hliðarhengja björgunarop.,Sótt er um leyfi til að stækka glugga á suðurhlið og til að breyta rými 0204 í mhl 03 þar sem nú er skráð hársnyrtistofa í íbúð í sambýlishúsinu nr. 22-24 á lóð nr.  18-24 við Ásgarð.  Erindi fylgir samþykki sumra meðeigenda  Gjald kr. 7.700
39569 (01.70.440.4),BN039569,Blönduhlíð 8,breyting inni,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að fjarlægja steyptan vegg í kjallara og koma fyrir járnbita og súlum undir loftplötu í staðinn í einbýlishúsi á lóð nr. 8 við Blönduhlíð.  Gjald kr. 7.700
39523 (01.85.010.1),BN039523,Efstaland 26,breyta innra skipulagi 02-01 - pizzustaður,Frestað. Vísað til athugsemda heilbrigðiseftirlits.,Sótt er um leyfi til að breyta myndbandaleigu í flatbökustað með veitingaaðstöðu. Sett verður útloftunarrör á suðurhlið hússins á lóð nr. 26 við Efstaland.  Samþykki meðeigand dags 2. mars 2009.  Gjald kr. 7.700
39570 (01.37.820.1),BN039570,Engjavegur 8,"loka porti, endurnýjun á fyrri samþykkt BN035655",Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til að endurnýja áður samþykkta umsókn frá 22. maí 2007, erindi BN035655, um að  loka porti með léttri gegnsærri klæðningu með porthurð og flóttahurð á suðvesturenda íþróttarsalar Laugardalshallarinnar á lóðinni nr. 8 við Engjaveg.  Gjald kr 7.700"
38868 (02.85.160.6),BN038868,Fannafold 145,garðskáli,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst fyrir útgáfu á byggingarleyfi. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að bæta við glugga á vesturgafl og til að byggja garðskála úr gleri og timbri með einangruðu þaki á steyptum undirstöðum við parhús á lóð nr. 145 við Fannafold.  Stærðir stækkun: 29,5 ferm. 86,6 rúmm.  Samtals eftir stækkun: 280,1 ferm., 979,2 rúmm.  Gjald kr. 7.300 + 7.700 + 6.322"
39436 (01.44.410.1),BN039436,Gnoðarvogur 44-46,breyting inni mhl 02,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta innra skipulagi kjallara og 1. hæðar matshluta 02 og stækka fiskbúð í verslunarhúsinu á lóð nr. 44 - 46 við Gnoðavog.  Gjald kr. 7.700
39586 (01.54.030.4),BN039586,Grenimelur 29,breyta íbúð í kjallara,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi fyrir núverandi stærð og staðsetningu bílskúrs, áður gerðri íbúð í kjallara og ýmsum fyrirkomulagsbreytingum á 2. hæð og risi í fjölbýlishúsi á lóð nr. 29 við Grenimel.  Meðfylgjandi er ódagsett samþykki eigenda skráð á teikningar.  Stækkun: Stækkun xx ferm. xx rúmm.  Gjald kr. 7.700"
39528 (02.57.630.4),BN039528,Gylfaflöt 22,breyting inni,Frestað. Lagfæra skráningartöflu.,"Sótt er um leyfi til að fella niður milliloft 0105 í rými 0103 í atvinnuhúsinu á lóð nr. 22 við Gylfaflöt.  Milliloft minnkun 75,4 ferm.  Gjald kr. 7.700"
39583 (01.81.520.6),BN039583,Háagerði 11,endurnýjun byggingarleyfis hækka þak byggja yfir svalir og ósamþ íbúð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um endurnýjun byggingarleyfis nr. BN032197 samþ. 20.12.2005 sem er endurnýjun á byggingarleyfi nr. 17758 frá 27. janúar 2000 þar sem sótt var um ""leyfi til að hækka þak á útbyggingu við norðurhlið, byggja yfir svalir á suðurhlið og að sýna ósamþykkta íbúð á efri hæð hússins á lóðinni nr. 11 við Háagerði.""  Stækkun: 8,5 ferm., 15,5 rúmm.  Gjald kr. 7.700"
39529 (04.37.320.3),BN039529,Heiðarás 13,stækkun útigeymslu sbr. erindi BN038525,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að stækka útigeymslu sbr. nýsamþykkt erindi BN038525 við einbýlishús á lóð nr. 13 við Heiðarás.  Stækkun 1,4 ferm., 3,4 rúmm.  Gjald kr 7.700 + 262"
