nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
38812 (04.68.100.1),BN038812,Asparfell 2-12,Æsufell 2-6 fjölga bílastæðum,"Frestað. Nýjum uppdráttum vísað til  skipulagsstjóra, þar sem málið er til umfjöllunar.","Sótt er um leyfi til að fjölga bílastæðum um 44 við fjölbýlishús við Æsufell 2-6 á lóð nr. 2-12 við Asparfell  og nr. 2-6 við Æsufell.  Samþykki Húsfélags Æsufells 2, 4, 6 dags 11. júlí 2008 og Asparfells 2 - 12 dags. 2. mars 2009.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 5. september 2008 fylgir erindinu.  Gjald kr. 7.300 + 7.700"
39759 (01.38.110.2),BN039759,Austurbrún 6,fjölgun eigna,Frestað. Vísað til athugasemda eldvarnaeftirlits.,Sótt er um leyfi til að skrá fjölbýlishús úr einni eign yfir í 71 eigna fjöleignahús á lóð nr. 6 við Austurbrún.  Gjald kr. 7.700
39825 (01.14.040.9),BN039825,Austurstræti 14,útiveitingar,Frestað. Vísað til athugasemda eldvarnaeftirlits.,"Sótt er um leyfi til að koma  fyrir borðum og stólum til útiveitinga fyrir 96 manns á lóð nr. 12A og 14 við Austurstræti.  Bréf frá hönnuði dags 28.apríl 2009 fylgir, sömuleiðis  samþykki húseiganda dags 22. april 2009  Tölvupóstur frá skrifstofu gatna- og eignaumsýslu dags. 30. apríl 2009 fylgir málinu.  Gjald kr. 7.700"
39832 (01.14.020.6),BN039832,Austurstræti 7,breyting inni,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að innrétta veitingastað á 1., 2. og 3. hæð í húsi á lóð nr. 7 við Austurstræti.  Gjald kr. 7.700"
39826 (04.60.350.3),BN039826,Álfab. 12-16/Þönglab.,br. innra skipulag,Frestað. Vísað til athugasemda eldvarnaeftirlits.,Sótt er um leyfi til að breyta innra skipulagi 2. hæðar í sjúkraþjálfunarmiðstöð í atvinnuhúsinu á lóð nr. 1 við Þönglabakka.  Jafnframt er erindi BN039727 dregið til baka.  Gjald kr. 7.700
39757 (01.43.220.1),BN039757,Álfheimar 29,reyndarteikningar v/eignaskiptayfirlýsingar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi.,Sótt er um leyfi fyrir reyndarteikningum vegna gerðar eignaskiptayfirlýsingar fyrir fjölbýlishús á lóð nr. 29 við Álfheima.  Gjald kr. 7.700
39814 (01.19.112.0),BN039814,Barónsstígur 41,br. inni og stækkun íbúðar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi fyrir breyttu skipulagi innan íbúðar 0301 og stækkunar hennar út á stigagang í fjölbýlishúsi á lóð nr. 41 við Barónsstíg.  Meðfylgjandi er samþykki meðeigenda dags. jan. 2009.  Gjald kr. 7.700
39822 (04.94.110.2),BN039822,Bláskógar 3,breyting inni,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,"Sótt er um leyfi til að innrétta óuppfyllta sökkla og gera nýja glugga á kjallara einbýlishússins á lóð nr. 3 við Bláskóga.  Stækkun:  76,4 ferm., 197,3 rúmm.  Gjald kr. 7.700 + 15.192"
39831 (01.46.110.2),BN039831,Grensásvegur 11,bæta við geymslum,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta áður samþykktu erindi BN034409 og stækka kjallarahæð við norðurhlið til að koma fyrir geymslu og steypa tengibyggingu í staðinn fyrir að byggja hana úr gleri í atvinnuhúsi á lóð nr. 11 við Grensásveg.  Stækkun XXX ferm og XXX rúmm.  Gjald kr. 7.700 + XXX
39174 (01.19.010.9),BN039174,Grettisgata 54,þakgluggi og samþykkja íbúð,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að koma fyrir þakglugga yfir stiga, fyrir breyttu fyrirkomulagi innan húss og að fá samþykkta ""ósamþykkta"" íbúð í risi fjölbýlishússins á lóð nr. 54 við Grettisgötu.  Erindi fylgir skoðunarskýrslur byggingarfulltrúa dags. 20. febrúar 2008 og dags. 4. desember 2008.  Gjald kr. 7.300"
39282 (04.11.240.5),BN039282,Grænlandsleið 9,viðbygging,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst fyrir útgáfu á byggingarleyfi. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að byggja viðbyggingu úr timburgrind, útveggir einangraðir og klæddir hvítri álklæðningu á parhúsi á lóð nr. 9 við Grænlandsleið.  Samþykki lóðarhafa dags. 22. feb. 2009.   Stækkun:  39.5 ferm. og 130 rúmm.  Gjöld kr. 7.300 + 7.700 + 9.490"
39829 (01.73.100.1),BN039829,Hamrahlíð 10,matsala nemenda,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að endurnýja innréttingu og tæki í mötuneyti Menntaskólans við Hamrahlíð á lóð nr. 10 við Hamrahlíð.  Gjald kr. 7.700
38269 (01.81.571.6),BN038269,Háagerði 71,áður gerð ósamþykkjanleg íbúð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Afmörkun íbúðar er gerð með vísan til 15. gr. reglugerðar nr. 910/2000. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi.,"Sótt er um leyfi fyrir afmörkun á áður gerðri íbúð sem er ósamþykkjanleg í kjallara fjölbýlishússins á lóð nr. 71 við Háagerði.  Erindinu fylgir bréf hönnuðar dags. 7. maí 2008, þinglýstur eignaskiptasamningur dags. 2. febrúar 1961 og tengiskýrsla frá RR dags. 27. september 1961.  Ennfremur þinglýstir kaupsamningar og afsöl dags. 18. október 1994, 28. október 1988, 24. febrúar 1992, 14. október 1993 og 1. september 1999 og íbúðarskoðun byggingarfulltrúa dags. 26. ágúst 2008.  Á teikningar er áritað samþykki meðlóðarhafa ódagsett.  Gjald kr. 7.300"
39828 (01.13.431.4),BN039828,Holtsgata 14,breyting inni,Synjað. Með vísan til ákvæða gr. 81 í byggingarreglugerð nr. 441/1998,Sótt er um leyfi til að fjarlægja í risi innveggi við geymslur 0301 og 0305 í tvíbýlishúsi á lóð nr. 14 við Holtsgötu.  Gjald kr. 7.700
39810 (08.2-.--9.9),BN039810,Hólmsland,niðurrif á spennistöð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til að rífa spennistöð, mhl. 46 á lóð við Hólmsland.  Stærð niðurrifs: Mhl. 46 2,0 ferm. Landnr. 113490, fastanúmer 205-7721.  Gjald kr. 7.700"
39738 (04.07.000.1),BN039738,Höfðabakki 1,innri breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta innréttingum í veitingasölu í fl. 1 (veitingar til meðtöku) á 1. hæð í húsi á lóð nr. 1 við Höfðabakka.  Meðfylgjandi er A - afrit af leyfisbréfi, sem er í gildi, dags. 28.6. 2005, B - bréf frá rekstraraðila dags. 22.4. 2009, C - staðfesting eiganda og nágranna um aðgengi og flóttaleið dags. 22.4. 2009, D - staðfesting um að ljós sé í lagi, dags 10.4. 2009  Gjald kr. 7.700"
39809 (01.42.260.2),BN039809,Kjalarvogur 17A,niðurrif á spennistöð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til að rífa spennistöð, mhl. 01 á lóð nr. 17a við Kjalarvog.  Stærð niðurrifs: Mhl. 01 stærð 13,8 ferm. landnr. 178346, fastanúmer 223-4143.  Gjald kr. 7.700"
39749 (01.86.330.1),BN039749,Kvistaland  1-7,nr. 1 viðbygging og breytingar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til breytinga á nýsamþykktu erindi, BN038904, þar sem breytt er innra skipulagi og lóð einbýlishússins nr. 1 á lóð nr. 1-7 við Kvistaland.  Þar með fellur takmarkað byggingarleyfi BN039848 dags. 6. feb. 2009 úr gildi.  Gjald kr. 7.700 + 7.700"
39812 (01.32.840.1),BN039812,Köllunarklettsvegur *,niðurrif á spennistöð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til að rífa spennistöð, mhl. 16 á lóð við Köllunarklettsveg.  Stærð niðurrifs: Mhl.16 stærð 66,6 ferm. landnr. 103874, fastanúmer 222-8143.  Gjald kr. 7.700"
39811 (01.17.432.0),BN039811,Laugavegur við nr. 90,niðurrif á spennistöð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til að rífa spennistöð, mhl. 01 á lóð nr. 90 við Laugaveg.  Stærð niðurrifs: Mhl. 01 stærð 53,2 ferm. landnr. 101655, fastanúmer 200-5575.  Gjald kr. 7.700"
39807 (01.26.130.3),BN039807,Lágmúli 9,niðurrif á spennistöð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til að rífa spennistöð, mhl. 04 á lóð nr. 9    við Lágmúla.  Stærð niðurrifs: Mhl. 04 stærð 13,0 ferm. landnr. 103509, fastanúmer 201-2652.  Gjald kr. 7.700"
39808 (01.76.--9.9),BN039808,Reykjanesbr Öskjuhlíð *,niðurrif á spennistöð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til að rífa spennistöð, mhl.18 á lóð við Reykjanesbr. Öskjuhlíð.  Stærð niðurrifs: Mhl.18 stærð 12,9 ferm. landnr. 107474, fastanúmer 221-7388.  Gjald kr. 7.700"
39835 (04.21.270.5),BN039835,Silungakvísl 21,breyting úti,Frestað. Lagfæra skráningu.,Sótt er um leyfi til að byggja svalir með tröppum niður í garð og til að gera inngang í kjallara tvíbýlishússins á lóð nr. 21 við Silungakvísl.  Meðfylgjandi er samþykki meðeigenda.  Gjald kr. 7.700
39685 (01.13.520.8),BN039685,Stýrimannastígur 4,"viðbygging, kvistur",Frestað. Vísað til athugasemda á umsóknarblaði. Að þeim uppfylltum verður málinu vísað til skipulagsstjóra til ákvörunar um grenndarkynningu.,"Sótt er um leyfi til að byggja við til austurs, kjallara úr steinsteypu, 1. hæð og ris úr trégrind klæddri með bárujárni og hækka þak um 70 cm á húsi á lóð nr. 4 við Stýrimannastíg.  Stækkun: xxx ferm. og xxx rúmm.  Gjald kr. 7.700 + XXX"
39827 (01.60.--9.9),BN039827,Suðurgata Háskóli Ísl/Sæmundargata 2,fyrirkomulag á lóð,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,"Sótt er um leyfi til að gera endurbætur á fyrirkomulagi bílastæða og garðsvæða, sem felur í sér að sérmerkja bílastæði fyrir fatlaða og koma fyrir pressugámi við Háskóla Íslands á lóð nr. 2 við Sæmundargötu.  Gjald kr. 7.700"
39591 (01.38.620.6),BN039591,Sunnuvegur 27,hækka steyptan vegg á lóðarmörkum,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Þinglýsa skal yfirlýsingu um samruna eigna til þess að samþykktin öðlist gildi. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að hækka núverandi og bæta við nýjum veggjum á lóðarmörkum, færa anddyri innar í húsið, koma fyrir heitum potti og koma sorptunnum fyrir í geymslu í húsi á lóð nr. 27 við Sunnuveg.  Samþykki nágranna vegna lóðamarka fylgir dags. 25. mars 2009   Minnkun: 5,4 ferm., 13,8 rúmm.  Gjald kr. 7.700 + 7.700"
39804 (04.32.710.2),BN039804,Tunguháls 15,auglýsingaskilti,Synjað. Með vísan til umsagnar framkvæmda- og eignasviðs dags. 4. maí 2009.,Sótt er um leyfi til að setja upp auglýsingaskilti á borgarlandi á miðri eyju á milli götu og bílastæði nr. 13   við Tunguháls.  Bréf frá hönnuði og þrjár ljósmyndir fylgja ásamt umsögn framkvæmda- og eignasviðs dags. 4. maí 2009.  Gjald kr. 7.700
39003 (01.13.720.1),BN039003,Túngata 26,súrefniskútur á lóð,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að staðsetja 3.130 kg. súrefniskút norðan við aðalbyggingu á baklóð Landakotsspítala á lóð nr. 26 við Túngötu.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 24. október 2008 fylgir erindinu ásamt umsögn skipulagsstjóra dags. 24. október 2008.  Gjald kr. 7.300
39842 (01.14.042.0),BN039842,Veltusund 3B,eldvarnarmerking á hurð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að breyta eldvarnarmerkingu á hurð í nýsamþykktu erindi BN039248 í húsi á lóð nr. 3B við Veltusund.  Gjald kr. 7.700
39843 (01.13.600.5),BN039843,Vesturgata 21,tölusetningar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Byggingarfulltrúi leggur til að fasteignir á lóðinni Vesturgata 21, (landnúmer 100508) verði sem hér segir:  Matshluti 01, fastanúmer 200-1615 og 200-1616 verði áfram tölusettur sem Vesturgata 21.  Matshluti 02, fastanúmer 226-6603 og 226-6604 verði Vesturgata 21A.  Matshluti 03, fastanúmer 200-1614 og 228-4506 verði Vesturgata 21C.  Matshluti 04, fastanúmer 200-1617, 228-4510, 228-4511 og  228-4512 verði Vesturgata 21B.  Eigendum voru tilkynnt fyrirhuguð áform með bréfi dags. 13. febrúar 2009 og rann athugasemdarfrestur út þann 15. mars.  Engar athugasemdir bárust."
39820 (01.85.410.2),BN039820,Bjarmaland 17-23,(fsp) nr. 19 rífa og byggja nýjan bílskúr,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,Spurt er hvort leyft yrði að rífa núverandi bílgeymslu og byggja stærri við einbýlishúsið nr. 19 á lóð nr. 17-23 við Bjarmaland.
39818 (01.25.100.1),BN039818,Brautarholt 29,(fsp) skipta um þakklæðningu,Jákvætt.,Spurt er hvort skipta megi stáli út fyrir ál á þaki og þakköntum færeyska sjómannaheimilisins á lóð nr. 29 við Brautarholt. Ekki eru gerðar útlitsbreytingar.
39817 (01.44.420.5),BN039817,Gnoðarvogur 64,(fsp) sólpallur,Jákvætt. Að uppfylltum skilyrðum enda liggi fyrir samþykki meðeigenda.,Spurt er hvort leyfi fengist til að byggja sólpall við suðurhlið fjölbýlishúss á lóð nr. 64 við Gnoðarvog.
39823 (02.22.000.1),BN039823,Gufunes Áburðarverksm,(fsp) nýting skemmu,Frestað. Málinu vísað til umsagnar Heilbrigðiseftirlits.,Spurt er hvort leyfi fengist til að nýta skemmu með landnúmeri 108955 sem geymslu fyrir ósekkjaða kornvöru sem er fóðurbætir á lóð Áburðarverksmiðjunnar í Gufunesi.
39813 (01.24.420.3),BN039813,Háteigsvegur 1,(fsp) stækkun húss,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,Spurt er hvort leyfi fengist fyrir stækkun til að koma fyrir hótelrekstri í atvinnuhúsinu  á lóð nr. 1 við Háteigsveg.  Bréf frá Háteigsvegi 1 ehf dags. 22. apríl 2009 og bréf frá arkitekt dags. 14. feb. 2009
39747 (01.13.460.9),BN039747,"Holtsg.1-3,Bræðrab.30",(fsp) yfirbygging svala,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,"Spurt er hvort leyft yrði að byggja yfir svalir á suðvestur- og norðausturhlið og til að nýta þak sem svalir á 4. hæð fjölbýlishússins á lóð nr. 1-3 við Holtsgötu og 30 við Bræðraborgarstíg.  Erindi fylgir samþykki lóðarhafa dagsett í september 2008,  þrjár ljósmyndir og  eignaskiptayfirlýsing dags. 12. febrúar 2007."
39830 (01.17.110.8),BN039830,Laugavegur 21 - Klapp,(fsp) pylsuvagn,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,Spurt er hvot leyfi fengist til að staðsetja 6 ferm. pylsuvagn á hjólum á lóð nr. 21 við Laugaveg.
39833 (02.87.570.7),BN039833,Logafold 77,(fsp) skipting lóðar,Ekki kemur til greina að skipta lóðinni í tvær sjálfstæðar lóðir. Hægt er í eignaskiptayfirlýsingu að ákveða sérnotafleti hvers eignahluta um sig enda sé um það fullt samkomulag eigenda sbr. ákvæði fjöleignarhúsalaga nr. 26/1994.,Spurt er hvernig skipta eigi upp lóð þar sem samþykkt hefur verið aukaíbúð í húsi á einbýlishúsalóð.
