nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
39967 (01.14.050.4),BN039967,Austurstræti 22,takmarkað byggingarleyfi f/stálþili,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Samþykktin fellur úr gildi við útgáfu á endanlegu byggingarleyfi. Vegna útgáfu á takmörkuðu byggingarleyfi skal umsækjandi hafa samband við yfirverkfræðing embættis byggingarfulltrúa.,"Sótt er um takmarkað byggingarleyfi til að reka niður stálþil með lóðamörkum Austurstrætis 20, Austurstrætis 22 og Lækjargötu 2, vinna jarðvinnu og steypu á botnplötu.  Jafnframt  er sótt um leyfi til þess að reisa plötuklædda trégirðingu á gangstétt Lækjargötu 2 og Austurstrætis 22.  Auk uppdrátta fylgir málinu bréf arkitekta dags. 20. maí 2009 og Framkvæmdaheimild nr. 200905120 dags. 25. maí 2009.  Gjald kr. 7.700"
39946 (04.60.350.3),BN039946,Álfab. 12-16/Þönglab.,br. innra skipulag,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi til að breyta innra skipulagi 2. hæðar í sjúkraþjálfunarmiðstöð í atvinnuhúsinu á lóð nr. 1 við Þönglabakka.  Jafnframt er erindi BN039727 og BN039826 dregið til baka.  Gjald kr. 7.700
39772 (04.06.510.1),BN039772,Bíldshöfði 20,breyting inni,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til að innrétta apótek, gleraugnaverslun og stækka matvöruverslun á 1. hæð í atvinnuhúsnæði á lóð nr. 20 við Bíldshöfða.  Gjald kr. 7.700 + 7.700"
39938 (01.18.221.9),BN039938,Bjarnarstígur 12,"br. innra fyrirkomulagi, svalir",Frestað. Vísað til athugasemda á umsóknarblaði. Að þeim uppfylltum verður málinu vísað til skipulagsstjóra til ákvörðunar um grenndarkynningu.,Sótt er um leyfi til að breyta innra fyrirkomulagi svo úr verði þrjár íbúðir og til að koma fyrir svölum á suðurhlið rishæðar íbúðarhússins á lóð nr. 12 við Bjarnarstíg.  Gjald kr. 7.700
39851 (00.01.800.0),BN039851,Brautarholt 1 125660,"viðbygging, bílskúr",Frestað. Ítrekuð er sú ábending sem kom fram í umsögn skipulagsstjóra að umsækjanda sé heimilt að láta vinna á eigin kostnað tillögu að breytingu á deiliskipulagi.,"Sótt er um leyfi til að stækka núverandi einbýlishús og byggja bílskúr á jörðinni Brautarholt 1 með landnúmer 125660 á Kjalarnesi.  Bréf frá hönnuði fylgir erindinu dags. 5. maí 2009 og 18. maí 2009  Bréf frá burðavirkishönnuði dags. 25. maí 2009  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 15. maí 2009 fylgir erindinu.  Stækkun:  Einbýlishús 90,6 ferm.  454,6 rúmm.   Bílskúr 65,2 ferm. og 203,8 rúmm.   Samtals stækkun: 155,8 ferm og 658,4 rúmm.  Gjald kr. 7.700 + 7.700 + 50.697"
36240 (01.16.232.8),BN036240,Brávallagata 8,þrennar svalir,Frestað. Vísað til athugasemda á umsóknarblaði. Að þeim uppfylltum verður málinu vísað til umsagnar skipulagsstjóra til ákvörðunar um grenndarkynningu.,Sótt er um leyfi til þess að byggja úr stáli svalir við austurhlið 1. 2. og 3. hæðar fjölbýlishússins á lóð nr. 8 við Brávallagötu. Með umsókninni fylgir bréf dagsett 15.07.08 frá arkitekt þar sem óskað er eftir að málið verði grenndarkynnt.  Einnig fylgir bréf eigenda Brávallagötu 10 dags. 5. ágúst 2008.  Gjald kr. 6.800
34131 (01.13.420.6),BN034131,Brekkustígur 3,reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsstjóra.,"Sótt er um leyfi fyrir þegar gerðum breytingum s.s. breytingum á innra skipulagi, tekinn er út lítill gluggi í stigarými, og rifinn garðskúr og byggður nýr  við  húsið á lóðinni nr. 3 við Brekkustíg.  Stærð:  10,9 ferm., 27,9 rúmm.  Gjald kr. 6.100 + 1.702"
39957 (04.06.140.3),BN039957,Dvergshöfði 27,"stækkun á lóð, breytingar inni og úti",Frestað. Málinu vísað til umsagnar skipulagsstjóra vegna lóðarstækkunar.,"Sótt er um leyfi fyrir áður gerðri hurð, áður gerðum stoðvegg og áður gerðri yfirbyggingu svala á norðurhlið og til lóðarstækkunar til að mannvirki þessi rúmist innan lóðar.  Einnig er sótt um leyfi til að breyta innra fyrirkomulagi, fjölga inngöngum á suðurhlið og til að fjölga eignum í atvinnuhúsinu á lóð nr. 27 við Dvergshöfða.  Jafnframt er erindi BN038160 dregið til baka.  Erindi fylgir bréf hönnuðar dags. 12. maí 2009 og byggingasaga húss dags. 23. febrúar 2009.  Gjald kr. 7.700"
39691 (08.1-.--6.4),BN039691,Elliðavatnsblettur 35,"þak yfir hús, klæðning, gluggar","Frestað. Lagfæra skráningartöflu, vantar umsögn fornleifanefndar og Orkuveitu Reykjavíkur.","Sótt er um leyfi til að byggja nýtt þak og klæða að utan með lóðréttri viðarklæðningu sumarhúsið á lóðinni Elliðavatnsblettur 35.  Einnig er gerð grein fyrir bátaskýli á sömu lóð og eldra erindi BN038872 dregið til baka.  Erindi fylgir yfirlýsing frá OR dags. 10. mars 2009 ásamt útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 8. maí 2009.  Bátaskýli:  xx ferm., xx rúmm.  Stækkun sumarhúss:  xx ferm., xx rúmm.  Gjald kr. 7.700 + xx"
39848 (01.11.730.6),BN039848,Geirsgata 3a-7c,nr. 3B innrétta veitingastað - gluggi,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að innrétta veitingastað á 1. hæð og geymslur á 2. hæð og setja glugga á norðurgafl húss nr. 3B á lóð nr. 3-7C við Geirsgötu.  Sjá fyrirspurn BN039675 dags. 31.3. 2009.  Meðfylgjandi er bréf Faxaflóahafna dags. 11. maí 2009  Gjald kr. 7.700
