nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
39334 (01.43.430.1),BN039334,Álfheimar 74,breyta verslunarrými í veitingastað,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta rými 01-41 í matshl. 01 úr verslunarrými í veitngastað í verslunarmiðstöð á lóð nr. 74 við Álfheima.  Fyrirspurn sem fékk jákvæða umfjöllun 16. des. 2008 fylgir.  Gjald kr. 7.300
39340 (01.08.980.9),BN039340,Ánanaust Sorpa,breyting v.starfsmannahúss,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til að fjarlægja starfsmannahús og setja nýtt og stærra starfsmannahús, einnig að breikka rampa við gáma á lóð Sorpu við Ánanaust.  Stærðir: Nýja starfsmannahúsið 42,1 ferm., 117,9 rúmm.  Niðurrif  21,8 ferm., 59,8 rúmm.  Gjöld kr. 7.300 + 8.607"
39103 (01.82.410.4),BN039103,Ásendi 7,klæðning,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Sótt er um leyfi til að klæða með 30 x 60 cm steinflísum á álgrind og einangra með 100 mm þéttull og 30 mm útloftun, útveggi að utan á einbýlishúsi á lóð nr. 7 við Ásenda.  Meðfylgjandi er ástandsskýrsla burðarvirkis dags. 2. des. 2008 og ástandsskýrsla burðarvirkis dags 22. des. 2008.  Gjöld Kr. 7.300 + 7.300"
39344 (01.17.130.7),BN039344,Bergstaðastræti 4,breyting á geymslum,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta aðgengi að efri hæð Mhl. 02 með því að byggja svalir, breytt er eignarhaldi og skráningu á geymslu og anddyri í matshluta 01, allt í húsi á lóð nr. 4 við Bergstaðastræti.  Gjald kr. 7.300"
39342 (01.88.901.5),BN039342,Bleikargróf 1,stækkun á húsi,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja viðbyggingu úr timbri  við einbýlishúsið á lóð nr. 1 við Bleikargróf.  Jafnframt eru erindi BN039123, BN039006 og BN038648 dregin til baka.  Stækkun:  xx ferm., xx rúmm.  Gjald kr. 7.300 + xx"
39330 (00.00.000.0),BN039330,Ferjuvogur 2,breyting á innra skipulagi,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta innra skipulagi, meðal annars eldvarnarmerkjum, og að aðskilja kennslurými með glerveggjum og viðarrennihurðum í húsi á lóð nr. 2 við Ferjuvog.  Gjald kr. 7.300"
39331 (01.19.630.2),BN039331,Fjölnisvegur 2,reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi fyrir reyndarteikningum í samræmi við samþykktar vinnuteikningar, sem framkvæmt var eftir, í fjölbýlishúsi á lóð nr. 2 við Fjölnisveg.  Gjald kr. 7.300"
39337 (01.13.652.5),BN039337,Garðastræti 17,breyta hluta í í búð,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta í íbúð þess hluta hluta teiknistofunnar sem er á 1. hæð í íbúðar- og atvinnuhúsinu á lóð nr. 17 við Garðastræti.  Meðfylgjandi er samþykki húsfundar.  Gjald kr. 7.300
36517 (01.62.210.1),BN036517,Hringbraut 12,reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um breytingu á áður samþykktum teikningum (erindi BN034425) þar sem skilti á húsi eru lagfærð, gerð grein fyrir skiltastandi (6,9 m hár og 2,5 m breiður) staðsettur á suðaustur horni lóðar við Hringbraut ásamt minniháttar breytingum á innréttingum, brunamerkingum og brunatexta í lýsingu fyrir þjónustumiðstöð Olíufélagsins (N1) á lóð nr. 12 við Hringbraut.  Ljósmyndir hönnuðar af skiltum dags. 8 ágúst - 20. júlí 2007 fylgja erindi.  Bréf brunahönnuðar dags. 19. júlí 2007 fylgir erindinu.  Gjald kr. 6.800"
39338 (01.17.301.1),BN039338,Hverfisgata 78,endurnýjun á samþykkt frá 24/7/07 (bn035937),Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst fyrir útgáfu á byggingarleyfi. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til endurnýjunar á byggingarleyfi BN035937, þar sem veitt var leyfi til að byggja 5. hæðina ofan á framhús sem verið er að breyta í íbúðir sbr. erindi BN28998 með þremur viðbótaríbúðum og tveggja hæða steinsteypta byggingu ofan á suðurhluta núverandi prentsalar sem verður rifinn milli fram og bakhúss og innrihluta breytt í íbúðir með samtals átta íbúðum í bakhúsi með aðgengi í gegnum framhús ásamt geymslum og þvottaherbergi fjöleignarhúsanna á lóð nr. 78 við Hverfisgötu.  Samþykki meðeigenda dags. 5. júlí 2007, áritun burðarvirkishönnuðar (á teikningu) og samkomulag vegna glugga á vegg að Laugavegi 59 dags. 7. apríl 1997 fylgja erindinu.  Stærð: Niðurrif hluta prentsalar samtals 124,2 ferm., 434,6  rúmm.  Ofanábygging 5. hæðin 168,5 ferm., 492,2 rúmm. bakbygging (2. og 3. hæð) samtals 263,8 ferm., 1483,5 rúmm.  Gjald kr. 7.300 + 144.226"
