nr,url,heimilisfang,tegund,nidurstada,spurning
27377 (01.52.210.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN027377,Aflagrandi 20-26,br  gróðurskálum 20 og 22,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Sótt er um leyfi til að breyta yfirbyggingu suðursvala á húsi nr. 20 (matshl. 01) og 22 (matshl. 02) á lóðinni nr. 20-26 við Aflagranda þannig að þak verði fulleinangrað og því ekki lengur um ""gróðurskála"" að ræða.. Málinu fylgir samþykki meðlóðarhafa. Stækkun mhl. 01: 13,2 ferm. og 6,3 rúmm. Gjald kr. 5.100 + 321"
27695 (01.18.000.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN027695,Amtmannsstígur 2,niðurrif,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,"Hermann Jóhannesson f.h. Menntamálaráðuneytisins sækir um leyfi til þess að rífa 23 ferm. timburskúr sem stendur sunnan við húsið á Amtmannsstíg 2, fastanr. 200-5622 og mh.nr. 02.01.01. Gjald kr. 5.100."
27568 (01.14.040.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN027568,Austurstræti 12,br á 4.h.,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til að koma fyrir vegg með dyrum á fjórðu hæð þannig að stigi ofan fjórðu hæðar í húsinu nr. 12 við Austurstræti verði séreign 5. hæðar og loka opi á 5. hæð að Austurstrætis 10A . Gjald kr. 5.100
27607 (01.14.050.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN027607,Austurstræti 20,"skemmtistaður, breytingar",Frestað. Vísað til athugasemda á umsóknarblaði og umsagnar gatnamálastjóra.,Sótt er um leyfi til þess að breyta innra fyrirkomulagi og innrétta skemmtistað í austurhluta hússins á lóðinni nr. 20 við Austurstræti. Útliti og aðkomu að húsi Austurstrætismegin er einnig breytt. Erindinu fylgir umsögn gatnamálastjóra dags. 18. júlí 2003. Gjald kr. 5.100
27512 (01.43.501.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN027512,Álfheimar 31,reyndarteikningar,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,Sótt er um samþykki fyrir núverandi innra fyrirkomulagi í húsinu á lóðinni nr. 31 við Álfheima. Gerð er grein fyrir eignarhaldi í húsinu. Samþykki meðeigenda (á teikn.) og afsal eignar 0001 innfært 6. apríl 1978 fylgja erindinu. Gjald kr. 5.100
27642 (01.29.000.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN027642,Ármúli 8,br. innr. og gluggi,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að breyta innra skipulagi hluta 1. hæðar, breyta vöruinnkeyrslu við suðausturhlið í  glugga og hurð ásamt palli með skjólvegg á lóð nr. 8 við Ármúla. Gjald kr. 5.100"
27669 (01.44.210.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN027669,>Barðavogur 42,leiðr. reyndarteikn.,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir áður gerðum svölum á 1. hæð vesturhliðar fjölbýlishússins á lóð nr. 42 við Barðavog. Gjald kr. 5.100
26206 (01.17.412.9),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN026206,Barónsstígur 11A,koníaksst. og salur á 2.h,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi til þess að innrétta koníaksstofu og lítinn sal á 2. hæð veitingastaðarins Argentínu ásamt leyfi til þess að setja björgunarpall framan við glugga og fellistiga á aðlæga lóð frá lóð nr. 11A við Barónsstíg. Samþykki lóðarhafa Barónsstígs 11 dags. 4. nóvember 2002 og bréf umsækjanda dags. 13. nóvember 2002 fylgja erindinu. Gjald kr. 4.800
27532 (01.18.530.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN027532,Bergstaðastræti 48,"íb. á 1. hæð, -br. útlit",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að breyta í íbúð atvinnuhúsnæði á fyrstu hæð hússins á lóðinni nr. 48 við Bergstaðastræti. Jafnframt er gluggum hússins breytt, inngangi í horni húss lokað og húsið stækkað út í hornið. Samþykki meðlóðarhafa dags. 24. og 26. júní 2003 fylgir erindinu. Stærð: Stækkun xx Gjald kr. 5.100 + xx"
27368 (01.19.200.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN027368,Bergþórugata 4,"lyfta þaki, kvistir o.fl.",Samþykkt 18. júlí 2003. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Sótt er um leyfi til þess að lyfta þaki, byggja fjóra kvisti og svalir á einbýlishúsið á lóð nr. 24 við Bergþórugötu. Erindið var í kynningu frá 12. júní til 11. júlí 2003. Engar athugasemdir bárust. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 18. júlí 2003 fylgir erindinu. Stærð: Stækkun 3. hæð 59,3 ferm., 179,3 rúmm. Gjald kr. 5.100 + 9.144"
