nr,url,heimilisfang,tegund,nidurstada,spurning
27796 (01.14.040.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN027796,Austurstræti 10A,íb. á 5.hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að breyta skrifstofuhúsnæði í íbúð og útbúa tvennar svalir á fimmtu hæð hússins á lóðinni nr. 10A við Austurstræti. Jafnframt er sótt um leyfi fyrir gervihnattadiski á suðurþekju hússins. Samþykki meðeigenda (á teikn.) fylgir erindinu. Gjald kr. 5.100
28044 (01.43.430.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN028044,Álfheimar 74,br. í kj. (eldriborgarar),Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um samþykki fyrir smávægilegum breytingum í suðvesturhluta kjallara Glæsibæjar á lóð nr. 74 við Álfheima. Tölvubréf brunahönnuðar dags. 29. september 2003 fylgir erindinu. Gjald kr. 5.100
28029 (01.43.200.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN028029,Álfheimar 9,reyndarteikn. v. eignaskipta,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,Sótt er um samþykki fyrir núverandi innra fyrirkomulagi í húsinu á lóðinni nr. 9 við Álfheima. Gerð er grein fyrir eignarhaldi og breytingu á innra fyrirkomulagi í kjallara. Samþykki meðeigenda dags. 15. september 2003 fylgir erindinu. Gjald kr. 5.100
28156 (01.29.040.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN028156,Ármúli 2,veggur við lóðarm.,Frestað. Málinu vísað til umsagnar Verkfræðistofu.,Sótt er um leyfi til þess að steypa stoðvegg og klæða með dökkum steinflísum fyrir merkingu fyrirtækisins nálægt aðkomu að bílastæðum frá  Háaleitisbraut á lóð nr. 2 við Ármúla.  Gjald kr. 5.100
27951 (01.21.800.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN027951,Borgartún 21 - 21A,nr. 21A kaffihús 1. h.,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til þess að breyta innra fyrirkomulagi og útliti suðurhliðar, staðsetja skáp fyrir gaskúta við austurhlið húss og starfrækja veitingastofu í suðurhluta fyrstu hæðar hússins nr. 21A á lóðinni nr. 21-21A við Borgartún. Gjald kr. 5.100"
26560 (01.21.800.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN026560,Borgartún 21 - 21A,"21A vindfang, leiðr. teikn.",Frestað. Vísað til athugasemda eldvarnaeftirlits. Athugasemd varðar öryggi og skal lokið við málið án tafar.,"Sótt er um leyfi til þess að byggja vindfang við aðalinngang á vesturhlið, leiðrétta stærðir og breyta innra fyrirkomulagi á öllum hæðum hússins nr. 21A (matshl. 02) á lóðinni nr. 21-21A við Borgartún. Stærð: Húsið var áður skráð 3.079,5 ferm. og 10.306,9 rúmm. en er nú skráð 3.158,1 ferm. og 10.539,3 rúmm. Stækkun 78,6 ferm. og 232,4 rúmm. Gjald kr. 5.100 + 11.852"
28143 (01.24.120.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN028143,Brautarholt 8,bókaverslun,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til þess að innrétta bókaverslun á 1. hæð ásamt leyfi til þess að breyta inngangi á austurhlið atvinnuhússins á lóð n. 8 við Brautarholt. Gjald kr. 5.100
28162 (01.13.700.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN028162,Bræðraborgarstígur 19,rishæð,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir núverandi innra fyrirkomulagi á rishæð (5.hæð) hússins á lóðinni nr. 19 við Bræðraborgarstíg. Gjald kr. 5.100
25082 (04.23.520.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025082,Bröndukvísl 8,Garðskáli og þakgluggi,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til þess að gera þakglugga á suðurhlið og samþykki fyrir áður gerðum garðskála á vesturhlið hússins á lóðinni nr. 8 við Bröndukvísl. Stærð: Stækkun garðskáli 10,3 ferm. og 28,7 rúmm. Gjald kr. 4.800 + 1.378"
25472 (02.57.580.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025472,Bæjarflöt 10,viðbygging,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja tvílyfta viðbyggingu úr samlokueiningum við norðurhlið atvinnuhússins á lóð nr. 10 við Bæjarflöt. Brunahönnun VSI dags. 15. júlí 2002, samþykki eigenda að Gylfaflöt 9 innfært 23. september 2003 og yfirlýsing vegna notkunar kjallara innfærð 23. september 2003 fylgja erindinu. Stærð: Viðbygging samtals 1035,2 ferm., 5425,4 rúmm. Gjald kr. 4.800 + 276.695"
