nr,url,heimilisfang,tegund,nidurstada,spurning
27046 (01.18.560.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN027046,Bergstaðastræti 54,reyndarteikningar,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um samþykki fyrir áður gerðum breytingum á geymslum í kjallara, fyrir breyttri afmörkun íbúðar 0001, breyttu innra skipulagi íbúðar á 3. hæð, áður gerðri stækkun kvists á suðurþekju og fyrir breyttri staðsetningu svala á 3. hæð fjöleignarhússins á lóð nr. 54 við Bergstaðastræti. Samþykki sumra meðeigenda dags. 29. mars 2003 fylgir erindinu. Gjald kr. 5.100"
26898 (04.06.510.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN026898,Bíldshöfði 20,breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að breyta fyrirkomulagi bílastæða á lóð, breyta innra fyrirkomulagi á öllum hæðum, breyta inngangi á austurhlið, byggja nýtt anddyri og stækka glugga á suðurhlið hússins á lóðinni nr. 20 við Bíldshöfða. Stærð: Stækkun, anddyri 20,3 ferm. og 60,9 rúmm. Gjald kr. 5.100 + 3.106"
27156 (04.23.370.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN027156,Bleikjukvísl 10,breytingar á lóð,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til þess að stækka leikskólalóð til suðurs um samtals 373 ferm. að hitaveitustokki norðan við Streng, breyta aðkomu að leikskóla og færa geymsluskúr á lóð nr. 10 við Bleikjukvísl. Jafnframt er erindi 26384 dregið til baka. Bréf umsækjanda dags. 3. mars 2003 fylgir erindinu."
27213 (01.13.911.9),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN027213,Bræðraborgarst 43,Br. skráning,Samþykkt. Samþykkt er gerð með vísan til 15. gr. reglugerðar nr. 910/2000 og eignaskiptayfirlýsingar frá 11. júní 1993.,Sótt er um leyfi til þess að afmarka rými 0401 sem séreign í fjölbýlishúsinu á lóð nr. 43 við Bræðraborgarstíg. Eignaskiptayfirlýsing innfærð 8. júlí 1993 fylgir erindinu.
25082 (04.23.520.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN025082,Bröndukvísl 8,Garðskáli og þakgluggi,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að gera þakglugga á suðurhlið og samþykki fyrir áður gerðum garðskála á vesturhlið hússins á lóðinni nr. 8 við Bröndukvísl. Stærð: Stækkun garðskáli 10,3 ferm. og 28,7 rúmm. Gjald kr. 4.800 + 1.378"
26987 (04.94.870.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN026987,Dalsel 24-40,(38-40) lokun svala,Frestað. Lagfæra skráningu.,"Sótt er um leyfi til að gera svalaskýli á fjölbýlishúsunum nr. 38 og 40 við Dalsel á lóðinni nr. 24-40 við Dalsel. Erindinu fylgir samþykki meðlóðarhafa að Dalseli 24, 26, 28, 30, 32, 34 og 36, bréf formanns sameiginlegs húsfélags vegna framkvæmdanna dags. 10. apríl 2003. Gjald kr. 5.100"
27190 (01.39.--9.6 09),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN027190,Engjavegur Þlb. 13-15 ,niðurrif,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um leyfi til að rífa gróðurhús (fastanr. 2020284, -285 eða -286?) við Engjaveg í Grasagarðinum í Laugardal. Gjald kr. 5.100"
23935 (01.18.452.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN023935,Freyjugata 10,Reyndarteikningar,Frestað. Skoðist á milli funda.,"Sótt er um samþykki fyrir áður gerðum íbúðum á 1. og 2. hæð og fyrir núverandi útliti og fyrirkomulagi hússins á lóðinni nr. 10 við Freyjugötu. Skoðunarskýrslur byggingarfulltrúa dags. 5. desember 2001 og samþykki meðeigenda dags. 2. október 2001 fylgir erindinu. Þinglýst yfirlýsing um umferðarrétt dags. 5. júlí 1989 fylgir erindinu. Afsalsbréf dags. 15. marz 1958,  20. desember 1964 og 17. febrúar 1965 fylgja erindinu. Bréf hönnuðar dags. 25. september 2002 og bréf umsækjanda dags. 11. apríl 2003 fylgja erindinu. Gjald kr. 4.100"
27024 (01.13.601.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN027024,Garðastræti 6,svalir 4.hæð,"Frestað. Vantar samþykki meðeigenda, að því fengnu verður málið sent skipulagsfulltrúa til ákvörðunar um grenndarkynningu.",Sótt er um leyfi til þess að byggja svalir við vesturhlið 4. hæðar fjöleignahússins á lóð nr. 6 við Garðastræti. Gjald kr. 5.100
27157 (02.84.010.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN027157,Garðhús 55,sólstofa,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja sólstofu við suðvesturhorn 1. hæðar íbúðarhússins á lóð nr. 55 við Garðhús. Stærð: Sólstofa 26,8 ferm., 69 rúmm. Gjald kr. 5.100 + 3.519"
