nr,url,heimilisfang,tegund,nidurstada,spurning
30763 (01.13.650.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN030763,Aðalstræti 6,reyndarteikningar,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,Sótt er um samþykki fyrir núverandi fyrirkomulagi hússins á lóðinni nr. 6 við Aðalstræti. Gerð er grein fyrir fjölgun séreigna (úr 18 í 20) og breytingum á innra fyrirkomulagi á öllum hæðum hússins. Ný skráningartafla fylgir erindinu.  Þinglýstur eignaskiptasamningur dags. 2. júní 1993 fylgir erindinu. Bréf forvarnarsviðs Slökkviliðs höfuðborgarsvæðisins dags. 23. nóvember 2001 fylgir erindinu. Yfirlýsing eigenda lóðarinnar Fishersund 1 dags. 4. febrúar 2005 fylgir erindinu.  Tölvubréf dags. 3. febrúar 2005 ásamt tilboði Íslenska gámafélagsins ehf. dags. 13. október 2004 fylgir erindinu. Gjald kr. 5.700
30993 (02.40.430.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN030993,Barðastaðir 67,nýtt byggingarleyfi,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,"Sótt er um leyfi til þess að byggja tvílyft steinsteypt einbýlishús með innbyggðri bílgeymslu á lóðinni 67 við Barðastaði. Húsið verði einangrað að utan og klætt með flísum, en að hluta pússað með steinvölum í yfirborði pússningar og þak lagt læstri koparklæðningu. Jafnframt verði samþykkt frá 7. des. 2004 fyrir sömu lóð felld úr gildi. Stærðir: Íbúð 505,1 ferm. og 1796,9 rúmm.,  bílskúr 41,9 ferm. og 177,7 rúmm..  Samtals. 547 ferm. og 1.974,3 rúmm. Gjald kr. 5.700 + 112.535"
31200 (01.85.400.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN031200,Bjarmaland  1-7,"(7) skjólv.,heitur pottur o.fl.",Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsfulltrúa vegna girðingar.,"Sótt er um leyfi til þess að breyta þakkanti, klæða hluta útveggja með grágrýti, breyta gluggum frá nýsamþykktum uppdráttum og setja upp heitan pott og timbur skjólgirðingu á austurhluta sérnotahlutar einbýlishúss nr. 7 á lóð nr. 1-7 við Bjarmaland. Samþykki sumra meðlóðarhafa (á teikningu) fylgir erindinu ásamt bréfi eiganda Bjarmalands 9 dags. 14. mars 2005. Gjald kr. 5.700"
31148 (01.21.800.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN031148,Borgartún 21 - 21A,(21) breyting 1. hæð,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til þess að breyta innra fyrirkomulagi  norðurhluta fyrstu hæðar hússins nr. 21 á lóðinni nr. 21-21A við Borgartún. Gjald kr. 5.700
31069 (00.00.000.0 04),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN031069,Búðagerði 7,íbúð á 1. hæð í stað atvinnuhúsnæðis,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Byggingarfulltrúi getur ekki fallist á að verið sé að breyta inngangi í rýmið. Samþykktir aðaluppdrættir frá 13. mars 1965 sýna innganga bæði að framan og aftan. Ekki verður fallist á að aðalinngangur íbúða valdi meira ónæði en búast má við og á það bent að tröppur tengjast ekki útvegg við svefnherbergisglugga s.s. ef um svalagangshús væri að ræða. Þá verður ekki fallist á að breyting úr atvinnuhúsnæði (fiskbúð) valdi meiri hávaða en stafa frá einstaklingsíbúð. Auk þess sem íbúar ættu að vera lausir við lyktarmengun.  Því telur byggingarfulltrúi að umrædd breyting sé íbúum hússins í vil.,"Sótt er um leyfi til að breyta atvinnuhúsnæði í kjallara og á fyrstu hæð húss nr. 7 (mhl. 04) á lóðinni nr. 1-7 við Búðagerði í íbúð með inngang frá Sogavegi. Erindinu fylgir samþykki nokkurra meðlóðarhafa, samþykki meðeigenda í matshluta dags. 14. jan. 2005 og mótmæli húseigenda að Búðagerði 5 dags. 23. jan. 2005 og mótmæli EMBLU lögmannsstofu f.h. búðareiganda að Búðargerði 5, dags. 1. febrúar 2005. Gjald kr. 5.700"
28539 (01.35.701.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN028539,Efstasund 44,endurbyggja viðbyggingu,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til skipulagsfulltrúa til ákvörðunar um grenndarkynningu. Vísað er til uppdrátta 01 og 02 dags. 24. febrúar 2005.,Sótt er um leyfi til þess að byggja valmaþak og stækka (áður) bílgeymslu hússins á lóðinni nr. 44 við Efstasund. Jafnframt er sótt um leyfi til þess að útbúa íbúðarherbergi í áður bílgeymslu og nýta hana sem hluta íbúðarinnar. Samþykki eiganda Efstasunds 42 dags. 1. mars 2005 fylgir erindinu. Stærð: Stækkun xx Gjald kr. 5.100 + xx
31153 (08.1-.--7.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN031153,Elliðavatnsblettur 117,endurn. samþ. 23.03.04,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Sótt er um endurnýjun á samþykkt afgreiðslufundar byggingarfulltrúa 23. mars 2004 ""til að rífa hluta frístundahúss á landi nr. 117 á Elliðavatnbletti (við Heiðarveg sunnan Helluvatns) og byggja álíka stóra viðbyggingu ásamt um 29 ferm. timburpalli við eftirstandandi hús.""  Niðurrif: ca. 28 ferm. Stærð viðbyggingar: 28 ferm. og 100,8 rúmm. Gjald kr. 5.700 + 5.745"
31184 (00.00.000.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN031184,Fellsmúli 30,br. inni og úti,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,Sótt er um leyfi til þess að breyta útliti og innra fyrirkomulagi lúguverslunar sem er hús nr. 30 (matshl. 04) á lóðinni nr. 24-30 við Fellsmúla. Jafnframt er sótt um að færa til tvö bílastæði á lóðinni. Gjald kr. 5.700
28479 (00.00.000.0 36),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN028479,Fluggarðar skýli 23,"br. á dyrum, innréttingum o.fl.",Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Sótt er um leyfi til breytinga á flugskýli nr. 23 við Fluggarða á Reykjavíkurflugvelli. Breytingar frá fyrri samþykkt fela m.a. í sér að innakstursdyr fyrir flugvélar eru færðar af austurgafli á suðvestur langhlið, komið er fyrir gluggum á vesturgafli og norðlægri langhlið og fyrirkomulagi breytt í norðurenda hússins. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 12. desember 2003 fylgir erindinu. Samþykki flugmálastjórnar er áritað á teikningar. Stærðir: Óbreytt fermetrastærð eða 369,9 ferm., en rúmm. voru 2072,2 rúmm. og verða 2182,5 rúmm. Gjald kr. 5.100 + 6.287"
31187 (02.46.810.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN031187,Fossaleynir 19-23,breyting  inni,Frestað. Gera skal betur grein fyrir erindinu þannig að unnt sé að fjalla um það.,Sótt er um leyfi fyrir ótilteknum áður gerðum breytingum á innra fyrirkomulagi annrrar hæðar hússins á lóðinni nr. 19-23 við Fossaleyni. Gjald kr. 5.700
