nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
46697 (01.14.041.4),BN046697,Aðalstræti 9,Breyting inni,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um samþykki fyrir reyndarteikningum þar sem gerð er grein fyrir innra skipulagi þar sem verið er að innrétta verslun og snyrtistofu í rými 0103, 0104 og 0105 í húsinu á lóð nr. 9 við Aðalstræti.  Bréf frá hönnuði dags. 21. nóv. 2013 og aftur 25.okt. 2013 fylgir.  Gjald kr. 9.000"
46794 (01.84.170.1),BN046794,Akraland  1-3,3 - Svalalokkun,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi fyrir svalalokun með opnanlegum perluglersflekum á brautum í  fjölbýlishúsi nr. 3 á lóð nr. 1-3 við Akraland.  Fundargerð húsfélags dags. 18. júní 2013 og samþykki meðeigenda dags. 25. okt. 2013 fylgir.  Stærð: XX rúmm.  Gjald kr. 9.000
46815 (00.00.000.0 02),BN046815,Borgartún 35,Breyting 1.hæð og kjallara,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta innréttingum á 1. hæð og byggja loftræsistokk frá kjallara í húsi nr. 35 á lóð nr.  35-37 við Borgartún.  Meðfylgjandi er minnisblað vegna uppfærslu á brunavörnum frá Verkís dags. 26.10. 2013.  Stækkun 4,8 rúmm.  Gjald kr. 9.000"
46788 (01.83.6-9.8),BN046788,Bústaðav. Bjarkahlíð,Breyting inni,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi fyrir innri breytingum á áður samþykktu erindi BN043955 þar sem breytt er herbergjaskipan, flutt til eldhús og geymslur í kjallaranum breytt í sali í húsinu á lóð með landnr. 108619 Bústaðavegi. Bjarkahlíð."
46796 (01.45.440.9),BN046796,Dugguvogur 23,Vinnustofa - íbúð,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta skrifstofurými 0305 í vinnustofu listamanns með búsetumöguleika fyrir einstakling eða par sbr. fyrirspurn BN046386 og byggja svalir á suðausturhlið húss á lóð nr. 23 við Dugguvog.  Meðfylgjandi eru samþykktir meðeigenda.  Gjald kr. 9.000
46526 (01.67.301.4),BN046526,Einarsnes 60,Bílskúr,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja bílskúr með vegg úr steinsteypu að lóðarmörkum en að öðru leyti úr timbri, klæddum að utan með lóðréttri bárujárnsklæðningu á lóð nr. 60 við Einarsnes.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 27. september 2013 fylgir erindinu ásamt umsögn skipulagsfulltrúa dags. 26. september 2013.  Stærð: 28 ferm. 81,2 rúmm.  Gjald kr. 9.000 + 9.000"
46009 (01.18.551.2),BN046009,Fjólugata 21,Svalalokun,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til þess að byggja svalaskýli á nyrðri svölum á vesturhlið fyrstu hæðar hússins á lóðinni nr. 21 við Fjólugötu.  Samþykki meðeiganda (á teikn.) fylgir erindinu ásamt útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 31. maí 2013 og umsögn skipulagsfulltrúa dags. 31. maí 2013.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 15. nóvember 2013 fylgir erindinu. Erindið var grenndarkynnt frá 9. október til og með 6. nóvember 2013. Engar athugasemdir bárust.  Bréf umsækjanda dags. 24. júní 2013 fylgir erindinu.  Stærð: Svalaskýli 4,3 ferm. og 10,3 rúmm.  Gjald kr. 9.000"
46807 (04.06.010.3),BN046807,Funahöfði 13,Breyta eignarhlutum,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að skipta húsinu upp í 4 einingahluta og koma fyrir stafsmannaðstöðu í rými 0102. Jafnframt er sótt um samþykki á núverandi fyrirkomulagi húsinu á lóð nr. 13 við Funahöfða   Gjald kr. 9.000
46814 (04.30.230.1),BN046814,Grjótháls 5,2.hæð - Fækkun veggja  og brunatexta í bakhúsi,Frestað. Vísað til athugasemda eldvarnaeftirlits á umsóknarblaði.,"Sótt er um leyfi fyrir innri breytingum á 2. hæð, breytingum á brunavörnum,  fjarlægðir eru millivegir og aðrir settir upp í staðin í húsinu á lóð nr. 5 við Grjótháls.  Gjald kr. 9.000"
46810 (04.67.08-.-),BN046810,Háberg  3-7,5 - Svalaskýli,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt erum leyfi til að setja svalalokun með 90% opnun með 8 mm öryggisgleri á íbúð 0304 í húsinu á lóð nr. 5 við Háberg.  Samþykki sumra fylgir dags. 12 okt. 2013.  Stækkun: 26,5 rúmm.  Gjald kr. 9.000"
46809 (02.29.700.1),BN046809,Hesthamrar 2,Viðbygging - Sólskáli,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsfulltrúa.,Sótt er um leyfi til að byggja sólskála sem viðbyggingu við húsið á lóð nr. 2 við Hesthamra.  Stækkun viðbyggingar : XX ferm. XX rúmm.  Gjald kr. 9.000
46827 (01.38.401.7),BN046827,Hjallavegur 68,Reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um samþykki á breytingum á áður samþykktu erindi (sbr. BN046271) þar sem svalir og stigi frá 1. hæð út í garð eru felld út af teikningu af húsi á lóð nr. 68 við Hjallaveg.  Gjald kr. 9.000
