nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
46243 (01.14.040.8),BN046243,Austurstræti 12A,Útiveitingar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að koma fyrir borðum fyrir útiveitingar til 48 gesta Vallarstrætismegin við veitingahús á lóð nr. 12A við Austurstræti.  Erindi fylgir bréf frá Reitum IV dags. 1. júlí 2013.  Gjald kr. 9.000
46276 (01.26.140.1),BN046276,Ármúli 1,Stoðveggur o.fl.,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að byggja 80 cm. háan stoðvegg að lóðarmörkum við Háaleitisbraut, fyrirkomulagi bílastæða breytt, byggt sorpgerði og útbúin hjólastæði á lóð nr. 1 við Ármúla.  Gjald kr. 9.000"
46367 (01.18.621.2),BN046367,Baldursgata 30,Br. þvottahús,Frestað. Samkvæmt gögnum embættisins er lágmarksgjald ógreitt.,Sótt er um leyfi til breytinga á nýsamþykktu erindi BN045844 er varðar staðsetningu þvottavélar á baðherbergi í íbúð 0201 í húsi á lóð nr. 30 við Baldursgötu.  Gjald kr. 9.000
46356 (01.67.302.0),BN046356,Bauganes 31A,Einbýlishús,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja tvílyft einbýlishús úr forsteyptum einingum með innbyggðri bílgeymslu á lóð nr. 31A við Bauganes.  Stærð:  1. hæð bílgeymsla 24,9 ferm., íbúð 105,1 ferm., 2. hæð íbúð 130 ferm.  Samtals 234,3 ferm., 820,5 rúmm.  Gjald kr. 9.000"
45111 (01.18.431.6),BN045111,Bergstaðastræti 28A,Íbúð jarðhæð,Frestað. Lagfæra skráningu.,Sótt er leyfi fyrir áður gerðri íbúð þar sem fyrir 1999 var hárgreiðslu- og snyrtistofa á fyrstu hæð í húsi á lóð nr. 28A við Bergstaðastræti.  Gjald kr. 8.500 + 9.000
46339 (01.19.022.1),BN046339,Bergþórugata 15,Innri breytingar,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til breytinga á erindi BN044775 sem felast í að færa geymslu úr rými 0301 í rými 0201 sem bæði eru hluti af íbúð 0201 í fjölbýlishúsi á lóð nr. 15 við Bergþórugötu.
46340 (04.06.510.1),BN046340,Bíldshöfði 20,Farsímaloftnet,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að setja upp þrjú farsímaloftnet á útveggi austur- vestur og norður hússins á lóð nr. 20 við Bíldshöfða.  Samþykki eigenda húss dags. 21. Júní 2013 fylgir.   Gjald kr. 9.000
46280 (04.05.560.3),BN046280,Bíldshöfði 5A,Reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,Vegna lokaúttektar er sótt um samþykki fyrir núverandi innra fyrirkomulagi og útliti hússins á lóðinni nr. 5A við Bíldshöfða.  Bréf hönnuðar dags. 2. júlí 2013 fylgir erindinu.  Gjald kr. 9.000
46281 (04.06.400.1),BN046281,Bíldshöfði 8,Reyndarteikningar,Frestað. Lagfæra skráningu.,"Vegna athugasemda við úttekt er sótt um samþykki fyrir núverandi fyrirkomulagi í húsinu á lóðinni nr. 8 við Bíldshöfða.  Stigum á aðra hæð og björgunaropi hefur verið breytt, brunaslöngur færðar inn á uppdrátt og gólfniðurföll fjarlægð.  Bréf hönnuðar dags. 2. júlí 2013 fylgir erindinu.  Gjald kr. 9.000"
46204 (01.70.421.6),BN046204,Blönduhlíð 9,Reyndarteikningar,Frestað. Gera þarf betur grein fyrir erindinu.,"Sótt er um samþykki á áður gerðum breytingum á þaki fjölbýlishúss á lóð nr. 9 við Blönduhlíð.  Stærðir, stækkun: xx ferm., xx rúmm.  Stærðir eftir stækkun: 418,4 ferm., 1.226,9 rúmm.  Gjald kr. 9.000"
