nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
46054 (04.63.200.1),BN046054,Arnarbakki 2-6,Húðflúrstofa,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að fjölga eignarhlutum og innrétta húðflúrstofu í rými 0108 á fyrstu hæð hússins nr. 2 (matshl. 01) á lóðinni nr. 2-6 við Arnarbakka.  Gjald kr. 9.000
46014 (04.60.280.1),BN046014,Álfabakki 7,Eldsneytisafgreiðsla,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,"Sótt er um leyfi til að koma fyrir metanafgreiðslu, sbr. nýsamþykkt erindi BN045816, við bensínafgreiðslu Olíuverslunar Íslands á lóð nr. 7 við Álfabakka.  Gjald kr. 9.000"
45986 (01.26.140.1),BN045986,Ármúli 1,"Viðbygging, breyting inni, breyting úti",Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til að færa út inndregna neðri hæð austan við stigahús, breyta innra skipulagi hæða og koma fyrir mötuneyti í kjallara sem mun þjónusta skrifstofuhæðir hússins á lóð nr. 1 við Ármúla.  Umsögn burðarvirkishönnuðar dags. 6. apríl 2013 fylgir  Stækkun: 89,3 ferm., 375,1 rúmm.  Gjald kr. 9.000"
45640 (01.71.010.3),BN045640,Barmahlíð 38,Breyting inni - kjallari,"Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Þinglýsa skal yfirlýsingu annarra eigenda að  sameiginlegu inngangsrými fyrir útgáfu byggingarleyfis. Skilyrt er að ný eignaskiptayfirlýsing sé samþykkt fyrir útgáfu byggingarleyfis, henni verður þinglýst eigi síðar en við lokaúttekt.",Sótt er um leyfi til að breyta innra skipulagi kjallara þannig að íbúðin stækkar í húsi á lóð nr. 38 við Barmahlíð.  Bréf frá umsækjanda dags. 21. maí 2013 og samþykki eigenda íbúðar 0201 fylgir dags. 20. febrúar 2013.  Gjald kr. 9.000 + 9.000
46043 (01.18.663.0),BN046043,Bragagata 38,Kvistur og áður gerðar breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja kvist á götuhlið og gerð er grein fyrir áður gerðum breytingum á 1. hæð í fjölbýlishúsi á lóð nr. 38 við Bragagötu.  Jafnframt er erindi BN045059 dregið til baka.  Stækkun:  3,2 rúmm.  Gjald kr. 9.000"
46040 (01.34.430.8),BN046040,Bugðulækur 20,Reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um samþykki á reyndarteikningum af kjallara vegna eignaskipasamnings af húsinu á lóð nr. 20 við Bugðulæk.   Jákvæð fyrirspurn BN45642 dags. 5. mars 2013 og samþykki meðeigenda dags. 11. maí 2013 fylgir.   Gjald kr. 9.000
46026 (01.51.700.3),BN046026,Granaskjól 27,Breyting kjallara,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að grafa út rými undir hluta húss og innrétta geymslur í einbýlishúsi á lóð nr. 27 við Granaskjól.  Erindi fylgir jákvæð fsp. dags. 9. apríl 2013.  Stækkun:  77 ferm., 181 rúmm.  Gjald kr. 9.000"
46011 (01.11.450.1),BN046011,Grandagarður 14,Veitingastaður 1. hæð,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,"Sótt er um leyfi til þess að innrétta kaffihús í flokki II á fyrstu hæð skrifstofuhúss á lóðinni nr. 14 við Grandagarð.  Jákv. fyrirspurn, erindi BN045974, ásamt samþykki f.h. eiganda (á fyrirspurnarblaði) fylgir erindinu.  Gjald kr. 9.000"
46041 (01.11.500.1),BN046041,Grandagarður 15-37,23 - Veitingastaður,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsfulltrúa.,Sótt er um leyfi til að innrétta veitingastað í flokki II í verbúð nr.23 á lóð nr. 15-37 við Grandagarð.  Stækkun xx ferm. (milliloft)  Gjald kr. 9.000
46051 (01.11.500.1),BN046051,Grandagarður 15-37,21 - Breytingar v/ísbúðar,Samþykkt. Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,"Sótt er um leyfi til breytinga á nýsamþykktu erindi, BN045691 þar sem breytt er staðsetningu á gólfniðurföllum, handlaugum o. fl. í húsi nr. 21 á lóð nr. 15-37 við Grandagarð.  Gjald kr. 9.000"
