nr,url,heimilisfang,tegund,nidurstada,spurning
55495 (01.13.650.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN055495,Aðalstræti 6,Minniháttar fyrirkomulagsbreytingar,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til að koma fyrir gluggum á 5., 6. og 7 hæð norðvesturgafls, færa til herbergi ætluð hreyfihömluðum á sömu hæðum og smávægilegum breytingum á innréttingum herbergja í hóteli á lóð nr. 6 við Aðalstræti. Erindi fylgir umsögn burðarvirkishönnuðar dags. 20. nóvember 2018 og brunahönnun dags. 19. nóvember 2018. Gjald kr. 11.000"
55477 (04.68.100.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN055477,Asparfell 2-12,12 - Reyndarteikningar v/lokaúttektar - BN043295,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Áskilið samþykki heilbrigðiseftirlits. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að breyta áður samþykktu erindi BN043295 vegna lokaúttektar í leikskóla á fyrstu hæð í húsi á lóð nr. 12 við Asparfell. Gjald kr. 11.000
55454 (01.26.310.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN055454,Ármúli 13,Reyndarteikningar,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.Áskilið samþykki Vinnueftirlits ríkisins.,Sótt er um leyfi til að breyta erindi BN053854 sem felst í minni háttar breytingum á útliti og innra fyrirkomulagi í húsi á lóð nr. 13 við Ármúla. Gjald kr. 11.000
55386 (01.26.200.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN055386,Ármúli 5,Stækkun á hóteli og útsogsrör sett á austurgafl.,"Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Skilyrt er að ný eignaskiptayfirlýsing sé samþykkt fyrir útgáfu byggingarleyfis, henni verður þinglýst eigi síðar en við lokaúttekt. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.","Sótt er um leyfi til að breyta innra fyrirkomulagi í núverandi hóteli sem er í flokki IV, tegund a) og taka í notkun nýja álmu fyrir 83 gesti auk þess að setja nýja reyklosunarstokka í kjallara og útsogsrör á austurgafl á húsi á lóð nr. 5 við Ármúla. Afrit af tölvupósti frá framkvæmdarstjóra Prófasts ehf., dags. 19. október 2018, bréf hönnuðar með útskýringum á úrbótum vegna athugasemda, dags. 7. nóvember 2018 og undirritað samþykki 2ja meðeigenda á lóð mótt. 9. nóvember 2018, undirritað samþykki allra eigenda fyrir útsogsröri frá eldhúsi á austurgafli, ódags. en sent með tp. frá GP arkitektum þann 16. nóv. 2018 , fylgir erindinu. Breyttur texti í umsókn um byggingarleyfi mótt. m. tp. frá TAG teiknistofa ehf, dags. 14. nóv. 2018. Gjald kr. 11.000"
54831 (01.35.312.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN054831,Ásvegur 11,"Ofanábygging, svalir og flr.",Frestað. Lagfæra skráningu.,"Sótt er um leyfi til að byggja hæð ofaná hús, byggja svalir og utanáliggjandi stigahús, skipta húsi í tvær eignir og innrétta geymslur í bílskúr húss á lóð nr. 11 við Ásveg. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 6. júlí 2018 fylgir erindi, ásamt umsögn skipulagsfulltrúa dags. 6. júlí 2018. Stækkun:  70,2 ferm., 161,7 rúmm. Stærð húss eftir stækkun:  213,1 ferm., 468 rúmm. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 9. nóvember 2018 fylgir erindi. Gjald kr. 11.000"
55375 (01.67.211.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN055375,Bauganes 17,Skyggni fyrir ofan útihurð - staðsetn. þvottahúss.,Samþykkt.  Samræmist ákvæðum laga nr. 160 / 2010. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektum sbr. greinar nr. 2.4.7 og 2.9.2 í byggingarreglugerð nr. 112/2012. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að breyta fyrirkomulagi þvottahúss og geymslu ásamt því að setja skyggni fyrir ofan útihurð í húsi á lóð nr. 17 við Bauganes. Gjald kr. 11.000
55332 (01.18.021.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN055332,Bergstaðastræti 14,Breyting kjallara,Frestað. Vísað til athugasemda.,"Sótt er um leyfi fyrir veitingastað í flokki II, tegund a, í kjallara húss nr. 14 við Bergstaðastræti. Útskrift úr gerðabók embættis afgreiðslufundar skipulagsfulltrúa frá 26. október 2018 fylgir erindi, ásamt umsögn skipulagsfulltrúa dags. 26. október 2018. Einnig fylgir Greinagerð húsfélags dags. 23. nóv. 2018. Gjald kr. 11.000"
55470 (04.06.200.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN055470,Bíldshöfði 9,Mathöll - 1.hæð,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til að koma fyrir matarmarkaði og sex veitingastöðum í rými 0104, einum í flokki I - tegund C og fimm í flokki II - tegund C, ásamt starfsmannarými og þurrvörulager í hluta rýmis 0105 í húsi á lóð nr. 9 við Bíldshöfða. Gjald kr. 11.000"
55486 (02.49.610.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN055486,Blikastaðavegur 2-8,Sótt um áður gerða breytingu á innra skipulagi.,Frestað. Vísað til athugasemda.,Sótt er um leyfi fyrir áður gerðum breytingum milli mátlína 6-10 þar sem gerð er grein fyrir ?? sem hafa verið gerðar í húsinu á lóð nr. 2 til 8 við Blikastaðaveg. Stækkun:  XX ferm.  Gjald kr. 11.000
55471 (01.24.120.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN055471,Brautarholt 2,Breyting á erindi BN051678 og BN054253,Frestað. Lagfæra skráningu.,Sótt er um leyfi til að breyta erindi BN051678 þannig að stjórnbúnaður vatnsúðakerfis færist úr starfsmannarými niður í kjallara og texta um brunavarnir verður breytt í gististað í flokki II í húsi á lóð nr. 2 við Brautarholt. Gjald kr. 11.000
