nr,url,heimilisfang,tegund,nidurstada,spurning
38259 (04.60.350.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038259,Álfab. 12-16/Þönglab.,innr. verslanir,Frestað. Lagfæra skráningartöflu.,"Sótt er um leyfi til að endurinnrétta verslunaeiningar skráðar nr.  0102, 0103 þar sem samnýting á starfsmannaðstöðu verður á milli apóteks og gleraugnaverslunar í verslunarmiðstöðinni Mjódd á lóð nr. 14 við Álfabakka. Gjald kr. 7.300"
38447 (04.60.280.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038447,Álfabakki 7,breyta innréttingu afgreiðslusal,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilið samþykki Vinnueftirlits ríkisins. Áskilið samþykki heilbrigðiseftirlits. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að breyta innréttingu í afgreiðslusal bensínstöðvar á lóð nr. 7 við Álfabakka. Gjald kr. 7.300
38448 (01.18.121.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038448,Baldursgata 39,hótelíbúðir,Frestað. Vísað til athugasemda á umsóknarblaði. Sbr. einnig útskrift úr gerðabók skipulagsstjóra frá 20. júní 2008.,"Sótt er um leyfi til að byggja ofan á og innrétta átta hótelíbúðir í íbúðarhúsinu á lóð nr. 39 við Baldursgötu. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 20. júní 2008 fylgir erindinu. Stækkun:  xx ferm., xx rúmm. Gjald kr. 7.300 + xx"
38537 (01.71.011.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038537,Barmahlíð 54,"brú,þaksvalir",Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsstjóra.,Sótt er um leyfi fyrir brú af svölum íbúðar 01-0101 yfir á þak bílskúrs og gerð þaksvala þar með stiga niður í garð við hús á lóð nr. 54 við Barmahlíð. Sbr. fyrirspurn BN038364 dags. 10.6.2008 Gjald kr. 7.300
38514 (01.19.032.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038514,Bergþórugata 33,íbúð 1.hæð lagfæra,Frestað. Vísað til athugasemda á umsóknarblaði. Gera skal grein fyrir öðrum breytingum frá samþykktum uppdráttum tilheyrandi íbúð í risi.,Sótt erum leyfi til að breyta íbúð á 1.hæð í húsinu Bergþórugötu 33. þ.e fataskáp í anddyri og salerni lagað.  Gjald 7.300
38350 (02.49.610.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038350,Blikastaðavegur 2-8,nýbygging,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til að byggja úr stálgrind klæddri samlokueiningum á steyptum undirstöðum verslunar- og þjónustumiðstöð N-1 með verslun, veitingasölu og dekkjaverkstæði ásamt sjálfvirkri þvottastöð og eldsneytissölu á lóð nr. 2-8 við Blikastaðaveg. Meðfylgjandi brunahönnun dags. 20.5.2008 Stærðir: 1. hæð 1.972,5 ferm., 14.236,2 rúmm., milligólf 574,5 ferm., þvottastöð 143,6 ferm., 689,3 rúmm. Samtals A-rými 2.690,6 ferm., 14.925,5 rúmm. Dæluskyggni 205,8 ferm., gasgeymsla 9,9 ferm. 12,8 rúmm. Samtals B-rými 215,7 ferm., 12,8 rúmm. Neðanjarðargeymslur 143,1 rúmm. Samtals 15.081 rúmm. Gjald kr. 7.300 + 1.100.913"
38145 (04.30.430.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038145,Dragháls 28-30/F.....,stækkun kjallara og niðurrif á viðbyggingu,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til byggja staðsteypt atvinnuhúsnæði á þremur hæðum í samræmi við það sem búið er að byggja auk þess rífa það sem fyrir er á lóð nr. 28-30 við Dragháls mhl 03 og einnig hluta af  mhl 02 sem tengist samliggjandi atvinnuhúsnæði við Fossháls nr. 27-29 á lóð nr. 28-30 við Dragháls. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 9. maí 2008 fylgir erindinu. Stærðir niðurrifs 146 ferm., 425 rúmm. stærðir nýbyggingar 3.975 ferm., 17.448 rúmm. Gjald kr. 7.300 + 1.273.704"
38528 (01.19.340.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038528,Egilsgata 3,breyting innanhús 5-6 h.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að endurinnrétta 5. og 6. hæð í Domus Medica sem stendur á lóð nr. 3 við Egilsgötu. Meðfylgjandi er yfirlýsing burðarvirkjahönnuðar vegna nýrrar lyftu milli 5. og 6. hæðar. Sömuleiðis niðurstöðuskýrsla brunavarna, Gjald kr. 7.300"
38523 (01.47.050.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038523,Eikjuvogur 27,nýbygging,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja staðsteypt einbýlishús á tveimur hæðum með innbyggðri bílgeymslu á lóð nr. 27 við Eikjuvog. Stærð:  1. hæð íbúð 155,3 ferm., bílgeymsla 55,2 ferm., 2. hæð íbúð 164,6 ferm. Samtals 375,1 ferm., 1330,3 rúmm. Gjald kr. 7.300 + 97.112"
38520 (01.70.580.1 06),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038520,Eskihlíð 26,sólstofa og ofl.,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að byggja sólstofu við austurgafl fjölbýlishússins á lóð nr. 26 við Eskihlíð. Stækkun xx ferm. xx rúmm. Gjald kr. 7.300 + xx
38515 (01.19.640.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038515,Fjölnisvegur 14,stækka svalir,Frestað. Vísað til athugasemda á umsóknarblaði. Málið verður sent skipulagstjóra til ákvörðunar um grenndarkynningu þegar uppdrættir hafa verið lagfærðir.,Sótt er um leyfi til að stækka svalir á 1. hæð sbr. fyrirspurn BN038085 á einbýlishúsi á lóð nr. 14 við Fjölnisveg. Erindinu fylgir samþykki eiganda bílskúrs á lóð ódags. Gjald kr. 7.300
38314 (02.69.520.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038314,Gefjunarbrunnur 7,einbýlishús,Frestað. Vísað til athugasemda á umsóknarblaði og leiðréttri bókun skipulagsstjóra frá fundi þann 20. júní 2008.,"Sótt er um leyfi til að byggja tvílyft, staðsteypt einbýlishús með innbyggðri bílgeymslu á lóðinni nr. 7 við Gefjunarbrunn. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 13. og 20. júní 2008 fylgir erindinu. Stærð:  1. hæð íbúð 94,2 ferm., bílgeymsla 26,4 ferm., 2. hæð íbúð 155,5 ferm. Samtals 276,1 ferm., 885,4 rúmm. Gjald kr. 7.300 + 64.634"
38495 (01.11.730.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038495,Geirsgata 3a-7c,"nr. 5 breyting á innra skipulagi, - fjölgun gesta",Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að innrétta efri hæð til veitingareksturs og til minni háttar breytinga á innra skipulagi veitingahússins nr. 5 á lóð nr. 3a-7c við Geirsgötu. Gjald kr. 7.300
38432 (05.05.630.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038432,Gerðarbrunnur 36-38,nýbygging,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja parhús á tveimur hæðum með innbyggðum bílgeymslum á lóð nr. 36-38 við Gerðarbrunn. Hús nr. 36:  1. hæð íbúð 125,7 ferm., 2. hæð íbúð 83,5 ferm., bílgeymsla 33,7 ferm.  Samtals 242,9 ferm., 852,9 rúmm. Hús nr. 38:  Sömu stærðir."
