nr,url,heimilisfang,tegund,nidurstada,spurning
36324 (01.14.041.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN036324,Aðalstræti 9,sótt um skráningartöflu,Frestað. Málinu vísað til umsagnar lögfræði- og stjórnsýslu.,"Sótt er um samþykki fyrir minni háttar breytingum á innra skipulagi  kjallara, 1. og 2. hæðar v/eignaskipta í atvinnu- og íbúðarhúsinu á lóðinni nr. 9 við Aðalstræti. Álit kærunefndar fjöleignahúsmála, mál nr. 1/2008 fylgir erindinu ásamt bréfi Jóns E. Jakobssonar lögmanns dags. 6. júní 2008."
38571 (01.11.980.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038571,Austurbakki 2,1.áfangi bílahús,Frestað. Vantar umsagnir Austurhafnar og bílastæðasjóðs.,Sótt er um leyfi fyrir botnplötu og sökklum undir 1. áfanga bílgeymsluhúss og aðkomurýmis TR á lóð nr. 2 við Austurbakka. Meðfylgjandi er grein um burðarvirki og áætluð áfangaskipti. Gjald kr. 7.300
38254 (01.29.010.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038254,Ármúli 10,"fasteigna skipting, eignaskiptayfirlýsing",Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi.,Sótt er um leyfi til að skipta í tvo eignarhluta húseigninni á lóð nr. 10 við Ármúla. Gjald kr. 7.300 + 7.300
38537 (01.71.011.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038537,Barmahlíð 54,"brú,þaksvalir",Frestað. Samþykki lóðarhafa  í Barmahlíð 52 liggur ekki fyrir vísað er til  bókunnar byggingarfulltrúa á afgreiðslufundi þann 20. maí 2008 en þar sagði:  Er fyrirspyrjanda uppálagt að framvísa samþykki eigenda Barmahlíðar 52 innan 14 daga. Verði það ekki gert mun embætti byggingarfulltrúa halda áfram áður boðuðum aðgerðum.,Sótt er um leyfi fyrir brú af svölum íbúðar 01-0101 yfir á þak bílskúrs og gerð þaksvala þar með stiga niður í garð við hús á lóð nr. 54 við Barmahlíð. Sbr. fyrirspurn BN038364 dags. 10.6.2008. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 4. júlí 2008 fylgir erindinu. Gjald kr. 7.300
37642 (01.18.401.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN037642,Bergstaðastræti 16,"kvistir, þak, gluggar ofl.",Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að setja kvisti á þak, hækka þak og bæta við gluggum og hurðum á vestur- og suðurhlið nýsamþykkts húss sbr. erindi BN0365484 dags. 6. ágúst  2007 á lóð nr 16 við Bergstaðastræti. Meðfylgjandi er bréf frá Húsafriðunarnefnd vegna kvista og glugga í risi dags. 28. apríl 2008  Gjald kr. 7.300 + 7.300"
38299 (01.18.600.9),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038299,Bergstaðastræti 49,svalir,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Sótt er um leyfi til að byggja tvennar svalir úr timbri sbr. fyrirspurn nr. BN037885 dags. 11.3.2008 við stofu á 1. hæð og svefnherbergi á þakhæð í einbýlishúsi á lóð nr. 49 við Bergstaðastræti. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 4. júlí 2008 fylgir erindinu. Stækkun: Útigeymslur í B rýmum 9,2 ferm., 14,5 rúmm. Samtals allt húsið: 178,2 ferm., 523,9 rúmm. Gjald kr. 7.300"
38258 (01.18.530.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038258,Bergstaðastræti 50A,setja kvist,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst fyrir útgáfu á byggingarleyfi.,"Sótt er um leyfi til að setja kvist á norðausturhlið, innrétta rishæð að hluta og fyrir áður gerðri framkvæmd þar sem porti er lokað á götuhlið í þríbýlishúsinu á lóð nr. 50 A við Bergstaðastræti. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 4. júlí 2008 fylgir erindinu. Stærð stækkunar ferm yfir 1,8 m.  4,8 ferm.,  11,6 rúmm. Gjald kr. 7.300 + 846"
38594 (02.49.610.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038594,Blikastaðavegur 2-8,þvottastöð,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um þær breytingar, sbr. nýsamþykkt erindi BN038350 dags. 19.6.2008, að færa dæluplan og fella út skyggni, að spegla og færa þvottastöð, færa gas- og forðageymslu þvottastöðvar, bæta við hraðdælu, bæta við eldsneytisgeymi og AD-blue geymi og aðrar þær breytingar, sem þessum tilfærslum fylgja á þjónustumiðstöð N1 á lóð nr. 2-8 við Blikastaðaveg. Gjald kr. 7.300"
38493 (01.21.810.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038493,Borgartún 29,innréttaður veitingastaður,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að innrétta veitingastað á fyrstu hæð í atvinnuhúsi á lóð nr. 29 við Borgartún. Gjald kr. 7.300
37949 (01.22.010.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN037949,Borgartún 8-16,5. áfangi H2 +G2 glerbygg.,Frestað. Lagfæra skráningartöflu.,"Sótt er um leyfi til að byggja 9 hæða skrifstofubyggingu, H2 ásamt viðbyggingu úr gleri, G2 á þriggja hæða kjallara þar sem m.a. eru geymslur, bílstæði og tæknirými á lóð nr. 8-16 við Borgartún.  Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 4. apríl 2008 fylgir erindinu. Erindi fylgir bréf hönnuðar dags. 1. júlí 2008 og jafnframt er erindi BN038596 dregið til baka. Stærðir: -2. hæð 2086,3 ferm., -1. hæð 2328,5 ferm., 0. hæð 977,8 ferm., 1. hæð 1884,1 ferm., 2. hæð 1018,0 ferm., 3. hæð 1065,8 ferm., 4. hæð 1065,8 ferm., 5. hæð 1065,8 ferm., 6. hæð 1065,8 ferm., 7. hæð 1065,8 ferm., 8. hæð 550,1 ferm., 9. hæð 537,1 ferm. Samtals 14710,9 ferm., 65504,3 rúmm. Gjald kr. 7.300 + 4.781.814"
37947 (01.22.010.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN037947,Borgartún 8-16,4. áfangi G1 Glerbygg. við H1,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að byggja viðbyggingu við H1, glerskála nefndan G1 með burðarvirki úr stáli byggðan ofan á efstu plötu bílakjallara á lóð nr. 8-16 við Borgartún. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 4. apríl 2008 fylgir erindinu. Erindi fylgir bréf hönnuðar dags. 1. júlí 2008 og um leið er erindi BN038597 dregið til baka. Stærðir:  390,0 ferm. 3271,4 rúmm. Gjald kr. 7.300 + 238.812"
38145 (04.30.430.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038145,Dragháls 28-30/F.....,stækkun kjallara og niðurrif á viðbyggingu,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til byggja staðsteypt atvinnuhúsnæði á þremur hæðum í samræmi við það sem búið er að byggja auk þess rífa það sem fyrir er á lóð nr. 28-30 við Dragháls mhl 03 og einnig hluta af  mhl 02 sem tengist samliggjandi atvinnuhúsnæði við Fossháls nr. 27-29 á lóð nr. 28-30 við Dragháls. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 9. maí 2008 fylgir erindinu. Stærðir niðurrifs 146 ferm., 425 rúmm. Stækkun 1.392,8 ferm., 6.885,2 rúmm. Nýbyggingar samtals 3.974,7 ferm., 17.448 rúmm. Gjald kr. 7.300 + 7.300 + 1.273.704"
38523 (01.47.050.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038523,Eikjuvogur 27,nýbygging,Frestað. Vísað til athugasemda Orkuveitu Reykjavíkur.,"Sótt er um leyfi til að byggja staðsteypt einbýlishús á tveimur hæðum með innbyggðri bílgeymslu á lóð nr. 27 við Eikjuvog. Samþykki nágranna fylgir með. Stærð:  1. hæð íbúð 155,3 ferm., bílgeymsla 55,2 ferm., 2. hæð íbúð 164,6 ferm. Samtals 375,1 ferm., 1330,3 rúmm. Gjald kr. 7.300 + 97.112"
38520 (01.70.580.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038520,Eskihlíð 24-26,sólstofa og ofl.,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.  Áskilin lokaúttekt byggingarfulltrúa. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst fyrir útgáfu á byggingarleyfi.,"Sótt er um leyfi til að byggja sólstofu við austurgafl fjölbýlishússins á lóð nr. 26 við Eskihlíð. Stækkun 17,3 ferm. 43,8 rúmm. Gjald kr. 7.300 + 3.197"
38595 (01.08.910.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038595,Fiskislóð 29,br útlits á innkeyrsluurð,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að breyta innkeyrsluhurð á nýsamþykktri bílaþvottastöð, BN035355 dags. 19. júní 2007, á lóð nr. 29 við Fiskislóð. Gjald kr. 7.300"
37726 (10.86.401),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN037726,Fiskislóð 37,atvinnuhúsnæði,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að byggja stálgrindarhús sem er að hluta til á tveimur hæðum, húsið skiptist í tvo eignarhluta af sömu stærð með sameiginlegum tæknirýmum og stigahúsi með lyftu á lóðinni nr. 37 við Fiskislóð. Meðfylgjandi er staðfesting á úthlutunar lóðar dags. 5. janúar 2008. og skýrsla brunahönnuðar dags. 4. febrúar 2008. Stærðir 1. hæð 1861,5 ferm. 2. hæð 607,3 ferm. Samtals 2467,8 ferm., 15930,5 rúmm. Gjald kr. 7.300 + 1.383.408"
38560 (05.05.610.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038560,Gerðarbrunnur 15,innra skipulag og norð-vestur ásýnd,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að breyta útliti með því að koma fyrir rennihurð á norðvesturhlið nýsamþykkts einbýlishúss, BN037804 dags. 1. apríl 2008, á lóð nr. 15 við Gerðarbrunn. Gjald kr. 7.300"
38589 (01.46.100.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038589,Grensásvegur  3-7,5-7 br. inngangi og innréttingum,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta inngangi og innra skipulagi 1. hæðar atvinnuhússins nr. 7 á lóð nr. 3-7 við Grensásveg. Samþykki eigenda Grensásvegar 5 og 7 fylgir  Gjald kr. 7.300
