nr,url,heimilisfang,tegund,nidurstada,spurning
39019 (01.35.410.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039019,>Austurbrún 33,geymsluskúr,Frestað. Vísað til fyrri athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja geymsluskúr úr timbri og með steyptar undirstöður á lóð nr. 33 við Austurbrún. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 17. október 2008 fylgir með málinu. Stærð: 9,8 ferm.  XXX rúmm. Gjald kr. 7.300 + XXX"
38880 (01.14.030.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038880,Austurstræti 17,"breyting inni, verslun",Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi til þess að breyta innra skipulagi í kjallara og í verslun á fyrstu hæð hússins á lóðinni nr. 17 við Austurstæti. Gjald 7.300
39069 (02.42.110.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039069,Bakkastaðir 45,Byggingarleyfi fellt úr gildi,Frestað. Skoðist á staðnum.,"Sótt er um leyfi til  ógildingar á byggingarleyfi BN038837, sem staðfest var í borgarráði þann 11. september 2008,  á lóðinni nr. 45 við Bakkastaði. Ástæða þessa er frestun á fyrirhugðaðri framkvæmd um óákveðin tíma vegna ótryggs efnahagsástands"
39001 (01.18.420.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039001,Baldursgata 33,handrið,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til þess að breyta gerð svalahandriða frá áður samþykktum teikningum við einbýlishús á lóð nr. 33 við Baldursgötu. Skriflegt samþykki eigenda lóðarinnar Freyjugata 11og 11a liggur fyrir dagsett 21.08.2008, enfremur fylgir umsókninni bréf Fasteignamáls Lögmannsstofu dags. 8. október 2008. Gjald kr. 7.300"
38940 (01.18.411.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038940,Bergstaðastræti 17B,reyndarteikning,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að lækka gólf og til að breyta þakgerð á nýsamþykktu einbýlishúsi, BN035349 dags. 10. júlí 2007,  á lóð nr. 17B við Bergstaðastræti. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 26. september 2008 fylgir erindinu. Stækkun:  8,3 rúmm. Gjald kr. 7.300 + 606"
39077 (04.06.200.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039077,Bíldshöfði 9,takmarkað byggingarleyfi 9B,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Samþykktin fellur úr gildi við útgáfu á endanlegu byggingarleyfi. Vegna útgáfu á takmörkuðu byggingarleyfi skal umsækjandi hafa samband við yfirverkfræðing embættis byggingarfulltrúa.,Sótt er um takmarkað byggingarleyfi til að steypa upp 1. til 8. hæð hússins nr. 9B á lóðinni nr. 9 við Bíldshöfða.
34530 (00.00.000.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN034530,Bogahlíð 4,sólskáli á svölum þegar byggður,Frestað. Vantar skráningartöflu,"Sótt er um leyfi til að byggja svalaskýli úr prófílum og tvöföldu sólgleri á hluta svala á fjölbýlishúsinu á lóðinni nr. 4 við Bogahlíð. Meðfylgjandi er samþykki meðeigenda dags. feb. 2007 Stærðir 14 ferm., 39,2 rúmm Gjald kr. 6.100 + 2.862"
38965 (02.57.580.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038965,Bæjarflöt 10,millipallur,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt erum leyfi til að byggja millipall fyrir kaffistofu starfsmanna og búningsaðstöðu í atvinnuhúsnæði á lóð nr. 10 við Bæjarflöt. Stækkun:  75,8 ferm. Gjald kr. 7.300"
38961 (04.94.830.1 06),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038961,Dalsel 11,svalaskýli,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Enda sé glerjað með perlugleri.,"Sótt er um leyfi til að setja upp svalaskýli með færanlegu glerkerfi með einföldu gleri, að auki setja nýjar inngangshurðir (EICS 30) að íbúðum, hjólageymslum, geymslugang og þvottahús. Svo og opnanlegt fag sett efst í glugga í hvoru stigahúsi til reykræstingar í fjölbýlishúsi á lóð nr 11 og 13 við Dalsel. Undirskriftir eigenda íbúðanna að Dalseli 11 og 13 frá 20.05.2008. Stærðir svalaskýla: 12 x 4,8 = 57,6 ferm. 12 x 13 =156,0 rúmm. Gjöld kr. 7.300 +11.388"
39024 (01.45.400.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039024,Dugguvogur 8-10,breyting á iðnaðarhúsn. í íbúðir,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta í íbúðir 2. og 3. hæð atvinnuhússins á lóðinni nr. 8-10 við Dugguvog. Gjald kr. 7.300
38914 (00.00.000.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038914,Ferjuvogur 2,br á reyndarteikningum,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi fyrir reyndarteikningum  í samræmi við athugasemdir við forúttekt á nýbyggingu og endurnýjuðu eldra húsi í Vogaskóla á lóð nr. 2 við Ferjuvog. Gjald kr. 7.300
