nr,url,heimilisfang,tegund,nidurstada,spurning
Þetta gerðist:,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN012455,Amtmannsstígur 6,Gert vegna eignaskiptasamnings,Frestað. Vísað til athugasemda á umsóknareyðublaði.,Sótt er um leyfi fyrir núverandi útliti og fyrirkomulagi hússins samkvæmt uppmælingu í húsinu á lóðinni nr. 6 við Amtmannsstíg. Gjald kr. 2.250.oo.
"12455 (01.01.180.007) Amtmannsstígur 6,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN012479,Austurstræti 20,auglýsingaskilti,Frestað. Vantar upplýsingar um hæðir undir skyggni og litasamsetningu.,Sótt er um leyfi til að setja upp skyggni með auglýsingum á húsið á lóðinni nr. 20 við Austurstræti. Gjald kr. 2.250.oo.
"12479 (01.01.140.503) Austurstræti 20,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN012523,Baldursgata 30,Baðherbergi,Frestað. Kanna lóðamörk.,Sótt er um leyfi fyrir baðherbergjum á 2. og 3. hæð hússins á lóðinni nr. 30 við Baldursgötu. Gjald kr. 2.250.oo.
"12523 (01.01.186.212) Baldursgata 30,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN012327,Bergstaðastræti 54,Byggja svalir á 2.hæð.,Frestað. Vantar samþykki meðeigenda. Athygli vakin á því að byggingarleyfi frá 30.10.1986 er fallið úr gildi.,Sótt er um leyfi til að byggja svalir úr timbri og stáli á 2. hæð hússins á lóðinni nr. 54 við Bergstaðastræti. Gjald kr.  2.250.oo.
"12327 (01.01.185.601) Bergstaðastræti 54,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN012517,Bergþórugata 31,Svalir,Samþykkt. Athygli umsækjanda er vakin á því að íbúð í risi var samþykkt á fundi byggingarnefndar þann 26.05.1993.,Sótt er um leyfi til að byggja svalir á norðurhlið 1. og 2. hæðar úr stáli og timbri og fá samþykkta íbúð í risi hússins á lóðinni nr. 31 við Bergþórugötu. Gjald kr.  2.250.oo.
"12517 (01.01.190.322) Bergþórugata 31,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN012518,Borgartún 21,Reyndartekning,Frestað. Skoðist á staðnum.,Sótt er um leyfi fyrir breytingum á innréttingum m.t.t. eldvarna í húsinu á lóðinni nr. 21 við Borgartún. Gjald kr. 2.250.oo.
"12518 (01.01.218.001) Borgartún 21,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN012458,Bárugata 19,br. á rishæð eftir bruna,Frestað. Vísað til athugasemda á umsóknareyðublaði.,Sótt er um leyfi til að breyta innréttingum eftir bruna í rishæð hússins á lóðinni nr. 19 við Bárugötu. Gjald kr. 2.250.oo.
"12458 (01.01.135.503) Bárugata 19,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN012516,Dalsel 19-35,Tvær íbúðir í kjallara,Synjað. Stenst ekki ákvæði byggingarreglugerðar.,Sótt er um leyfi til að fá samþykktar tvær  íbúðir á jarðhæð hússins nr.  35 á lóðinni nr. 19-35 við Dalsel. Gjald kr.  2.250.oo. Skoðunarskýrslur byggingarfulltrúa dags. 14.06.96 og heilbrigðiseftirlits dags. 26.06.96 fylgja erindinu.
"12516 (01.04.948.303) Dalsel 19-35,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN012478,Engjateigur 1,"innra fyrirkomul., gluggar ofl",Frestað. Vísað til athugasemda á umsóknareyðublaði.,"Sótt er um leyfi til að breyta innra fyrirkomulagi (innrétta tónlistarskóla) og breyta gluggum, opnanleg fög og þakgluggum í húsinu á lóðinni nr. 1 við Engjateig. Gjald kr. 2.250.oo."
"12478 (01.01.366.402) Engjateigur 1,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN012360,Furugerði 15-21,Hurð út í garð á jarðhæð,Samþykkt.,Sótt er um leyfi til að gera hurð úr setustofu út í garð á íbúð á 1. hæð í húsinu nr. 19 á lóðinni nr. 19-21 við Furugerði. Gjald kr. 2.250.oo.
"12360 (01.01.807.202) Furugerði 15-21,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN012465,FÁkafen 9,innrétta matsölustað,Frestað. Vísað til athugasemda á umsóknareyðublaði.,Sótt er um leyfi til að innrétta matsölustað og setja sólskyggni fyrir ofan glugga á vesturhlið hússins á lóðinni nr. 9 við Fákafen. Gjald kr. 2.250.oo.
"12465 (01.01.463.401) FÁkafen 9,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN012519,Grjótasel 9,Íbúð á neðri hæð,Samþykkt. Áskilin lokaúttekt byggingarfulltrúa.,Sótt er um leyfi til að skipta í tvo eignarhluta og gera tvær íbúðir í húsinu á lóðinni nr. 9 við Grjótasel. Gjald kr. 2.250.oo. Meðfylgjandi er umsögn borgarskipulags dags. 24.06.1996.
