nr,url,heimilisfang,tegund,nidurstada,spurning
Þetta gerðist:,http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN010864,Aðalstræti 6,ELDVARNARTEIKN,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að setja upp eldvarnarveggi í húsinu á lóðinni nr. 6 við Aðalstræti. Gjald kr. 2.250.oo.
"10864 (01.01.136.502) Aðalstræti 6,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN010845,Borgartún 17,nýjar reyndarteikningar,Samþykkt.,Sótt er um leyfi fyrir breytingum í samræmi við bréf eldvarnareftirlitsins dags. 05.09.95. Gjald kr. 2.250.oo.
"10845 (01.01.217.701) Borgartún 17,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN010871,Grensásvegur 14,br.innr.vegna matvælafr.,Samþykkt. Áskilið samþykki heimbrigðisnefndar.,Sótt er um leyfi til að breyta innréttingu vegna matvælaframleiðslu í húsinu á lóðinni nr. 14 við Grensásveg. Gjald kr. 2.250.oo.
"10871 (01.01.295.405) Grensásvegur 14,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN010879,Skeggjagata 17,áður gerðar breytingar í kj.,Frestað. Vantar samþykki meðeigenda. Vantar skráningartöflu. Lagfæra eignarnúmer.,Sótt er um leyfi fyrir áður gerðum breytingum í kjallara hússins á lóðinni nr. 17 við Skeggjagötu. Gjald kr. 2.250.oo.
"10879 (01.01.243.143) Skeggjagata 17,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN010876,Síðumúli 15,breyttar innréttingar,Frestað. Vantar B-30 hurðir.,Sótt er um leyfi fyrir breyttum innréttingum í húsinu á lóðinni nr. 15 við Síðumúla. Gjald kr. 2.250.oo.
"10876 (01.01.292.108) Síðumúli 15,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN010877,Súðarvogur 2e og 2f,breytinngar innanhús/brunav.,Frestað. Gera grein fyrir reykræstingu.,Sótt er um leyfi fyrir breytingum innanhúss vegna brunavarna í húsinu á lóðinni nr. 2E og 2F við Súðarvog. Gjald kr. 2.250.oo.
"10877 (01.01.450.201) Súðarvogur 2e og 2f,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN010825,Viðarhöfði 2,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",Frestað. Gera grein fyrir loftræstingu lokaðara rýma.,Sótt er um leyfi til að breyta heildar fyrirkomulagi í húsinu á lóðinni nr. 2 við Viðarhöfða. Gjald kr. 2.250.oo.
"10825 (01.04.077.501) Viðarhöfði 2,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN011123,Háagerði 89,Trjáfelling,Samþykkt.,Sótt er um leyfi til að fella tvö tré á lóðinni nr. 89 við Háagerði. Samþykki garðyrkjustjóra liggur fyrir.
"11123 (01.01.817.404) Háagerði 89,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN011122,Vatnsmýrarvegur 7,,Samþykkt.,Byggingarfulltrúi hefur ákveðið á lóð II ( Avis ) verði tölusett nr. 7 við Vatnsmýrarveg og lóð III ( sportleigan ) verði tölusett nr. 9.
"11122 (01.01.622.101) Vatnsmýrarvegur 7,",http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN010866,Meistari/húsasmíðameistari,meistari/húsasmíðameistari,Samþykkt.,Ofanritaður sækir um leyfi byggingarnefndar til að mega standa fyrir byggingum í lögsagnarumdæmi Reykjavíkur sem húsasmíðameistari. Óskar Þorsteinsson vék af fundi við afgreiðslu málsins.
