nr,url,heimilisfang,tegund,nidurstada,spurning
39778 (02.34.480.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039778,Dofraborgir 3,(fsp) sólskáli,Jákvætt. Að fyrirspyrjandi láti vinna á eigin kostnað tillögu um breytingu á deiliskipulagi sem grenndarkynnt verður ef berst.,Spurt er hvort leyfi fengist til að byggja sólskála við suðurhlið einbýlishúss á lóð nr. 3 við Dofraborgir. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 8. maí 2009 fylgir erindinu.
39732 (01.24.770.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039732,Guðrúnargata 8,(fsp) 2 bílskúrar,Nei. Með vísan til umsagnar skipulagsstjóra,Spurt er hvort leyft yrði að byggja annan bílskúr eins og sýnt er á skissu af þríbýlishúsinu á lóð nr. 8 við Guðrúnargötu. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 8. maí 2009 fylgir erindinu ásamt umsögn skipulagsstjóra dags. 6. maí 2009.
39836 (02.86.270.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039836,Hverafold 130,(fsp) bílskúr,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,Spurt er hvort leyfi fengist til að byggja bílskúr 35 ferm. að stærð við parhúsið  á lóð nr. 130 við Hverafold.
39860 (01.38.420.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039860,Laugarásvegur 65,(fsp) bílskúr,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,Spurt er hvort leyft yrði að byggja þrefaldan bílskúr eins og sýnt er á meðfylgjandi tillögu dags. 2. aprí 1987 af þríbýlishúsinu á lóð nr. 65 við Laugarásveg.
39830 (01.17.110.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039830,Laugavegur 21 - Klapp,(fsp) pylsuvagn,"Jákvætt. Hvað skipulag varðar, en umsækjanda bent á að leita til höfuðborgarstofu varðandi umsókn um leyfi.",Spurt er hvot leyfi fengist til að staðsetja 6 ferm. pylsuvagn á hjólum á lóð nr. 21 við Laugaveg. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 8. maí 2009 fylgir erindinu.
39857 (01.71.000.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039857,Miklabraut 72,(fsp) breyta nýtingu íbúðar í gistiíbúð,Jákvætt. Enda verði sótt um leyfi til lögreglustjóra og heilbrigðiseftirlits.,Spurt er hvort leyfi fengist til að breyta nýtingu íbúðar í gistiíbúð í fjölbýlishúsi á lóð nr. 72 við Miklabraut.
39753 (01.18.451.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039753,Óðinsgata 21,(fsp) pallur,Jákvætt. Að uppfylltum skilyrðum enda verði sótt um byggingarleyfi í samræmi við ath. skipulagsstjóra. Berist umsókn verður hún grenndarkynnt.,"Spurt er hvort leyfi fengist fyrir að setja timburpall ofan á þak, og ganga út á hann úr íbúð á 3. hæð fjölbýlishúss á lóð nr. 21 við Óðinsgötu. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 8. maí 2009 fylgir erindinu ásamt umsögn skipulagsstjóra dags. 8. maí 2009."
39838 (01.24.600.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039838,Stangarholt 6,(fsp) byggja svailir,Frestað. Skoðist milli funda.,Spurt er hvort endurnýja þurfi leyfi BN025046 samþykkt var 13. ágúst 2002 þar sem talað er um reyndarteikningu og svalir eru sýndar á fjölbýlishúsinu á lóð nr. 6 við Stangarholt.
39768 (01.45.300.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039768,Súðarvogur 7,(fsp) ofanábygging framhús,Nei. Er ekki í samræmi við aðalskipulag Reykjavíkur sbr. umsögn skipulagsstjóra.,Spurt er hvort leyft yrði að byggja tvær hæðir ofan á framhús (Mhl. 02) og innrétta 21 íbúð á 3. 4. og 5. hæð atvinnuhússins á lóð nr. 7 við Súðarvog. Einnig er gerð grein fyrir fyrirkomulagi á öðrum hæðum þar sem einnig eru nokkrar íbúðir. Erindi fylgir bréf umsækjanda dags. 7. apríl 2009 ásamt útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 8. maí 2009.
39801 (01.18.640.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039801,Urðarstígur 12,"(fsp) viðbygging, hækkun","Frestað. Málinu hefur verið vísað til vinnslu deiliskipulags Urðarstígsreitar samanber bókun skipulagsstjóra, að þeirri vinnu lokinni verður unnt að gefa fullnægjandi svar.",Spurt er hvort leyft yrði að byggja við og hækka einbýlishúsið á lóð nr. 12 við Urðarstíg. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 8. maí 2009 fylgir erindinu.
39862 (01.54.002.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039862,"62"">Víðimelur 34",[fsp] breyta notkun bílskúrs,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,"Spurt er hvort leyft yrði að breyta skilgreiningu bílskúrs í geymsluskúr og til að stækka garðinn sem nemur heimreiðinni að bílskúrnum við fjölbýlishúsið á lóð nr. 34 við Víðimel. Erindi fylgir bréf fyrirspyrjanda dags, 6. maí 2009"
39840 (01.24.420.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039840,Þverholt 20,(fsp) breyting á risi,Nei. Samræmist ekki deiliskipulagi sbr. athugasemd skipulagsstjóra á fyrirpurnarblaði.,Spurt er hvort leyfi fengist til að breyta þakhalla til að stækka 3. hæð í einbýlishúsi á lóð nr. 20 við Þverholt.
