nr,url,heimilisfang,tegund,nidurstada,spurning
40376 (05.86.550.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040376,Almannadalur 9-15,nr. 13 breyting inni og tilfærsla á hurðum utanhúss,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst fyrir útgáfu á byggingarleyfi. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að spegla á lóð, breyta innra fyrirkomulagi og útliti á hesthúsi nr. 13, sjá BN035694 dags. 5. júní 2007, á lóðinni nr. 9-15 í Almannadal. Erindi fylgir samþykki sumra meðlóðarhafa áritað á uppdrátt og bréf hönnuðar dags. 1. október 2009. Gjald kr. 7.700"
38887 (01.11.980.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038887,Austurbakki 2,"tónlistarhús, br. BN34842",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að breyta sbr. erindi 34842, burðarveggjum og súlum, breyta stærðum palla, lögun svala og kaffibars milli vestur- og austurbyggingar, breyta innra skipulagi víða, fella niður stiga eða breyta ásamt breytingum á  flóttaleiðum Tónlistar- og ráðstefnuhússins á lóð nr. 2 við Austurbakka. Bréf ÍAV dags. 17. júlí 2009, eldvarnarskýrsla Mannvits dags. júlí og sept. 2009, yfirlit yfir ófrágengin rými dags. sept. 2009, fundargerðir funda Batterísins við Vinnueftirlit Ríkisins og Heilbrigðiseftirlit dags. sept. 2009 og aðgengisáætlun Batterísins  dags. sept. 2009 fylgja erindinu. Stærð var: Tónlistar- og ráðstefnuhús neðri kjallari 3710,7  ferm., efri kjallari 3131,9 ferm., 1. hæð 6785,3 ferm., 2. hæð 7093,4 ferm., 3. hæð 2036,4 ferm., 4. hæð 2716 ferm., 5. hæð 1128,1 ferm., 6. hæð 665,4 ferm., 7. hæð 750,9 ferm., 8. hæð 358,8 ferm., samtals 28376,9 ferm., 232911,9 rúmm. Geymslur og vörumóttaka (B-rými) samtals 493,3 ferm., 2640,9 rúmm. Stærð veður: Tónlistar- og ráðstefnuhús neðri kjallari 4097,2 ferm., efri kjallari 3154 ferm., 1. hæð 6654,8 ferm., 2. hæð 7436,6 ferm., 3. hæð 2011,5 ferm., 4. hæð 2754,1 ferm., 5. hæð 1155,7 ferm., 6. hæð 605,8 ferm., 7. hæð 640,8 ferm., 8. hæð 310 ferm., samtals 28820,5 ferm., 244494,1 rúmm.  Hús hefur stækkað um 443,6 ferm., 8941,3 rúmm. og  B-rými hafa orðið A-rými. Gjald kr. 7.300 + 7.700 + 688.511"
40328 (01.14.050.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040328,Austurstræti 16,breyta innra skipulagi,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að skipta í tvo hluta, annarsvegar skemmtistað með 250 gesti og í flokki III og hinsvegar bar með 100 gesti og í flokki III, með því að koma fyrir millivegg  og bæta við tveimur snyrtingum í núverandi skemmtistað á jarðhæð verslunarhússins á lóð nr. 16 við Austurstræti.  Bréf frá eiganda dags. 14.sept. 2009, bréf frá Húsafriðunarnefnd dags. 28. sept. 2009, umsögn Minjasafns Reykjavíkur dags. 5. október 2009 og hljóðskýrsla dags. 14. sept. 2009 fylgir erindinu. Gjald kr. 7.700"
40525 (01.43.020.8),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040525,Álfheimar  2-6,leiðrétting v/eignaskiptasamnings,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til að leiðrétta eignanúmer á nýsamþykktum uppdráttum, BN040263 dags. 22. september 2009, af verslunarhúsinu á lóð nr. 2-6 við Álfheima. Gjald kr. 7.700"
40178 (01.18.431.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040178,Bergstaðastræti 24B,"viðbygging, kvistur",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að hækka veggi og gafla, byggja nýtt anddyri, setja kvist úr steinsteypu og hækka timburþak sbr. fsp.BN038508 á einbýlishúsi frá 1919 á lóð nr. 24B við Bergstaðastræti. Erindið var grenndarkynnt frá 22. júlí til og með 20. ágúst 2009. Eftirtaldir aðilar sendu inn athugasemdir: Inga Jóhannsdóttir, dags. 11. ágúst og Guðrún Margrét Árnadóttir, dags. 18. ágúst 2009. Einnig lögð fram umsögn skipulagsstjóra dags. 4. september 2009.  Stærðir stækkun: xx ferm., xx rúmm. Samtals eftir stækkun. kjallari 62,4 ferm., 1. hæð 59,4 ferm., 2. hæð 54 ferm., samtals 175,8 ferm., 452,7 rúmm. Gjald kr. 7.700 + xx"
40508 (01.18.431.6),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040508,Bergstaðastræti 28A,gististaður á 2. hæð,Frestað. Vísað til athugasemda á umsóknarblaði. Leyfi til rekstrar gististaðar er utan valdsviðs embættis byggingarfulltrúa. Sækja ber um starfsleyfi til Heilbrigðiseftirlits Reykjavíkur og leyfadeildar  embættis lögreglustjóra.,"Sótt er um leyfi til þess að breyta innra fyrirkomulagi í íbúð á 2. hæð, einnig er sótt um leyfi til reksturs gististaðar í húsi á lóð nr. 28A við Bergstaðastræti. Gjald kr. 7.700"
40502 (02.57.600.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040502,Bæjarflöt 1-3,"br. innra skipulagi, milliloft",Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsstjóra.,Sótt er um leyfi til að byggja milliloft í atvinnuhúsinu á lóð nr. 1-3 við Bæjarflöt. Stækkun:  92 ferm. Gjald kr. 7.700
40484 (01.41.012.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040484,Efstasund 83,endurnýjun byggingarleyfis BN034012,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst fyrir útgáfu á byggingarleyfi. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um endurnýjun á erindi BN034012 dags. 27. júní 2006, þar sem veitt var leyfi fyrir breyttu innra skipulagi, til að koma fyrir tröppum af svölum ofan í garð og byggja þakhæð ofan á húsið á lóðinni nr. 83 við Efstasund. Stækkun:  58,1 ferm., 134,1 rúmm. Gjald kr. 7.700 + 10.326"
40303 (01.46.620.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040303,Faxafen 14,breyting inni,Frestað. Vísað til athugasemda heilbrigðiseftirlits.,Sótt er um leyfi fyrir breytingum á líkamsræktarstöð sem verið hefur í rekstri og felast í að færa til innveggi og breyta rýmum á neðri hæð en milligólf verður óbreytt í húsnæðinu á lóð nr. 14 við Faxafen. Samþykki eigenda húsnæðisins dags 10. ágúst 2009 og jákvæð fyrirspurn BN040222 dags. 21. júlí 2009 fylgir erindinu sem og bréf rekstraraðila dags. 1. sept 2009. Einnig bréf Heilsuborgar 22. september 2009. Gjald kr. 7.700 + 7700
40499 (01.61.960.1 01),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040499,Flugvöllur 106641,gera gat í plötu 4.hæðar,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til að gera gat 600 x 600 mm í plötu til reykræstingar úr lyftustokk á fjórðu hæð Hótel Loftleiðir á lóð 106641 við Flugvallarbraut. Gjald kr. 7.700
